                    ************************************************************************************************
                    *  Z= 28 A= 64: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 64 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   6.50  0.835  4.80E+02 8.35E+02 2.21E+03 2.05E+01 2.34E+01 5.91E+01 4.66E+01 4.87E+01 3.19E+01 2.58E+01 1.13E+01 7.91E+00 2.08E+00 8.83E-01 1.58E-01 1.58E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.866  8.35E+02 1.26E+03 3.83E+03 2.46E+01 4.32E+01 9.88E+01 6.87E+01 8.61E+01 5.41E+01 4.23E+01 2.49E+01 1.57E+01 3.77E+00 2.50E+00 3.62E-01 2.03E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.897  1.41E+03 1.98E+03 6.26E+03 5.63E+01 5.99E+01 1.37E+02 1.16E+02 1.38E+02 8.82E+01 7.33E+01 3.95E+01 2.90E+01 7.30E+00 5.41E+00 7.23E-01 2.03E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  0.926  2.32E+03 2.94E+03 9.80E+03 9.33E+01 8.69E+01 1.85E+02 1.77E+02 2.10E+02 1.34E+02 1.23E+02 6.27E+01 4.38E+01 1.99E+01 8.67E+00 2.70E+00 6.78E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  0.955  3.79E+03 4.52E+03 1.58E+04 1.12E+02 1.39E+02 2.99E+02 2.55E+02 3.23E+02 2.16E+02 1.94E+02 1.13E+02 7.17E+01 3.74E+01 1.91E+01 5.01E+00 1.59E+00 1.58E-01 1.58E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  0.983  6.08E+03 6.87E+03 2.46E+04 1.48E+02 1.95E+02 4.45E+02 3.78E+02 4.64E+02 3.36E+02 3.06E+02 1.82E+02 1.23E+02 6.18E+01 3.69E+01 1.07E+01 5.09E+00 5.19E-01 2.03E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  1.009  9.76E+03 1.04E+04 3.86E+04 2.07E+02 2.76E+02 6.59E+02 5.86E+02 6.76E+02 5.14E+02 4.85E+02 2.78E+02 2.19E+02 1.07E+02 6.09E+01 2.75E+01 9.97E+00 1.39E+00 2.03E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  1.036  1.55E+04 1.55E+04 6.03E+04 3.00E+02 3.93E+02 9.87E+02 8.51E+02 1.03E+03 7.83E+02 7.28E+02 4.54E+02 3.58E+02 1.85E+02 1.06E+02 5.39E+01 2.03E+01 4.27E+00 1.76E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.086  4.28E+04 3.36E+04 1.42E+05 6.96E+02 8.35E+02 2.02E+03 1.87E+03 2.28E+03 1.75E+03 1.67E+03 1.10E+03 8.72E+02 4.78E+02 3.14E+02 1.55E+02 7.88E+01 2.87E+01 9.79E+00 1.11E+00 7.77E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.135  1.05E+05 7.13E+04 3.21E+05 1.32E+03 1.74E+03 4.22E+03 3.73E+03 4.85E+03 3.78E+03 3.67E+03 2.53E+03 2.06E+03 1.22E+03 8.31E+02 4.39E+02 2.33E+02 1.01E+02 4.10E+01 1.21E+01 2.25E+00 7.08E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
