                    ************************************************************************************************
                    *  Z= 22 A= 46: Positive-Parity Spin-dependent Level Density [MeV-1] for Ti 46 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   6.50  0.958  1.88E+02 2.41E+03 5.38E+02 1.05E+00 2.92E+00 4.24E+00 4.76E+00 4.97E+00 4.96E+00 4.85E+00 4.58E+00 4.01E+00 3.06E+00 2.07E+00 1.22E+00 7.86E-01 4.11E-01 2.75E-01 1.47E-01 3.38E-02 1.29E-02 5.26E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.994  2.69E+02 7.02E+02 1.14E+03 1.70E+00 4.70E+00 7.20E+00 8.58E+00 9.57E+00 9.87E+00 9.82E+00 9.15E+00 8.05E+00 6.37E+00 4.78E+00 3.28E+00 2.20E+00 1.39E+00 8.93E-01 4.89E-01 1.20E-01 4.78E-02 1.32E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  1.029  4.30E+02 1.93E+03 2.32E+03 2.46E+00 6.85E+00 1.12E+01 1.43E+01 1.69E+01 1.80E+01 1.82E+01 1.70E+01 1.53E+01 1.27E+01 1.03E+01 7.81E+00 5.75E+00 3.96E+00 2.66E+00 1.60E+00 2.98E-01 1.43E-01 6.91E-02 2.91E-02 1.27E-02 8.96E-03 4.06E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  1.063  5.99E+02 4.26E+03 2.57E+03 2.64E+00 7.39E+00 1.21E+01 1.57E+01 1.86E+01 1.96E+01 2.00E+01 1.87E+01 1.69E+01 1.41E+01 1.16E+01 8.99E+00 6.71E+00 4.65E+00 3.08E+00 1.84E+00 9.82E-02 2.89E-02 5.65E-03 4.38E-03 4.65E-03 1.66E-02 7.24E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  1.096  6.93E+02 8.95E+03 1.43E+03 1.75E+00 4.83E+00 7.90E+00 1.01E+01 1.17E+01 1.22E+01 1.20E+01 1.09E+01 9.53E+00 7.47E+00 5.97E+00 4.49E+00 3.24E+00 2.11E+00 1.29E+00 6.53E-01 1.32E-01 8.87E-02 6.37E-02 2.05E-02 1.15E-02 1.72E-03 7.39E-04 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  1.127  7.63E+02 1.05E+04 1.14E+03 1.53E+00 4.18E+00 6.79E+00 8.56E+00 9.88E+00 1.02E+01 9.94E+00 8.91E+00 7.67E+00 5.85E+00 4.64E+00 3.47E+00 2.48E+00 1.58E+00 9.20E-01 4.44E-01 1.74E-01 6.01E-02 2.15E-02 5.35E-03 2.13E-03 1.99E-04 6.56E-05 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  1.158  8.35E+02 6.50E+03 1.04E+03 1.21E+00 3.44E+00 5.62E+00 7.28E+00 8.54E+00 9.05E+00 9.00E+00 8.29E+00 7.27E+00 4.79E+00 3.94E+00 3.03E+00 2.25E+00 1.53E+00 9.93E-01 5.75E-01 3.23E-01 1.52E-01 6.94E-02 5.09E-03 1.75E-03 1.35E-02 3.79E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  1.188  9.11E+02 6.15E+03 9.77E+02 9.58E-01 2.81E+00 4.63E+00 6.18E+00 7.39E+00 8.08E+00 8.21E+00 7.80E+00 6.98E+00 3.93E+00 3.36E+00 2.66E+00 2.06E+00 1.50E+00 1.11E+00 7.87E-01 6.21E-01 4.39E-01 2.81E-01 6.04E-03 2.14E-03 2.53E-02 7.09E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.246  1.24E+03 6.10E+03 1.50E+03 1.77E+00 5.16E+00 8.05E+00 1.04E+01 1.18E+01 1.23E+01 1.20E+01 1.09E+01 9.55E+00 7.79E+00 6.29E+00 4.86E+00 3.61E+00 2.49E+00 1.60E+00 9.25E-01 4.80E-01 1.97E-01 6.51E-02 1.03E-02 1.76E-04 9.51E-04 1.61E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.302  1.81E+03 1.21E+04 4.00E+03 4.37E+00 1.25E+01 1.99E+01 2.56E+01 2.95E+01 3.11E+01 3.09E+01 2.89E+01 2.58E+01 2.18E+01 1.76E+01 1.33E+01 9.73E+00 6.71E+00 4.26E+00 2.60E+00 1.52E+00 4.27E-01 1.80E-01 6.19E-02 2.02E-02 3.75E-04 1.10E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
