                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   9.00  0.865  2.46E+03 9.69E+02 1.03E+04 2.69E+01 7.63E+01 1.14E+02 1.35E+02 1.38E+02 1.28E+02 1.08E+02 8.44E+01 6.11E+01 4.13E+01 2.61E+01 1.55E+01 8.60E+00 4.49E+00 2.21E+00 1.02E+00 4.44E-01 1.82E-01 7.04E-02 2.57E-02 8.82E-03 2.86E-03 8.75E-04 2.53E-04 6.89E-05 1.77E-05 4.31E-06 9.89E-07 2.14E-07 4.39E-08
   9.50  0.888  4.01E+03 1.54E+03 1.67E+04 4.13E+01 1.17E+02 1.76E+02 2.09E+02 2.17E+02 2.02E+02 1.73E+02 1.37E+02 1.01E+02 6.94E+01 4.48E+01 2.71E+01 1.55E+01 8.28E+00 4.19E+00 1.99E+00 8.97E-01 3.81E-01 1.53E-01 5.78E-02 2.07E-02 7.01E-03 2.24E-03 6.79E-04 1.94E-04 5.26E-05 1.35E-05 3.27E-06 7.49E-07 1.63E-07
  10.00  0.911  6.43E+03 2.42E+03 2.66E+04 6.26E+01 1.78E+02 2.68E+02 3.20E+02 3.35E+02 3.15E+02 2.73E+02 2.19E+02 1.63E+02 1.14E+02 7.51E+01 4.64E+01 2.70E+01 1.48E+01 7.68E+00 3.76E+00 1.74E+00 7.63E-01 3.16E-01 1.24E-01 4.60E-02 1.62E-02 5.39E-03 1.70E-03 5.08E-04 1.44E-04 3.87E-05 9.85E-06 2.38E-06 5.44E-07
  11.00  0.956  1.79E+04 5.74E+03 6.51E+04 1.39E+02 3.98E+02 6.02E+02 7.28E+02 7.70E+02 7.37E+02 6.49E+02 5.32E+02 4.08E+02 2.93E+02 1.99E+02 1.27E+02 7.69E+01 4.40E+01 2.38E+01 1.22E+01 5.95E+00 2.75E+00 1.21E+00 5.02E-01 1.98E-01 7.45E-02 2.66E-02 9.02E-03 2.91E-03 8.91E-04 2.60E-04 7.20E-05 1.90E-05 4.75E-06
  12.00  0.998  4.40E+04 1.30E+04 1.52E+05 3.00E+02 8.59E+02 1.30E+03 1.59E+03 1.70E+03 1.65E+03 1.47E+03 1.23E+03 9.63E+02 7.10E+02 4.94E+02 3.25E+02 2.03E+02 1.20E+02 6.75E+01 3.60E+01 1.83E+01 8.83E+00 4.06E+00 1.78E+00 7.40E-01 2.94E-01 1.11E-01 4.00E-02 1.37E-02 4.50E-03 1.40E-03 4.17E-04 1.18E-04 3.20E-05
  13.00  1.039  1.01E+05 2.85E+04 3.41E+05 6.24E+02 1.79E+03 2.74E+03 3.36E+03 3.62E+03 3.55E+03 3.22E+03 2.73E+03 2.17E+03 1.64E+03 1.16E+03 7.85E+02 5.03E+02 3.06E+02 1.78E+02 9.81E+01 5.16E+01 2.59E+01 1.24E+01 5.66E+00 2.46E+00 1.03E+00 4.07E-01 1.54E-01 5.60E-02 1.94E-02 6.40E-03 2.02E-03 6.11E-04 1.76E-04
  14.00  1.078  2.22E+05 6.04E+04 7.37E+05 1.26E+03 3.64E+03 5.57E+03 6.87E+03 7.47E+03 7.39E+03 6.79E+03 5.83E+03 4.72E+03 3.61E+03 2.62E+03 1.81E+03 1.18E+03 7.40E+02 4.41E+02 2.51E+02 1.36E+02 7.05E+01 3.49E+01 1.65E+01 7.49E+00 3.25E+00 1.35E+00 5.34E-01 2.03E-01 7.36E-02 2.56E-02 8.52E-03 2.72E-03 8.29E-04
  15.00  1.116  4.70E+05 1.24E+05 1.55E+06 2.50E+03 7.19E+03 1.11E+04 1.37E+04 1.50E+04 1.50E+04 1.39E+04 1.21E+04 9.91E+03 7.70E+03 5.68E+03 3.99E+03 2.67E+03 1.71E+03 1.04E+03 6.07E+02 3.38E+02 1.81E+02 9.22E+01 4.51E+01 2.11E+01 9.49E+00 4.08E+00 1.68E+00 6.66E-01 2.52E-01 9.17E-02 3.20E-02 1.07E-02 3.43E-03
  16.00  1.153  9.68E+05 2.49E+05 3.17E+06 4.82E+03 1.39E+04 2.14E+04 2.67E+04 2.94E+04 2.96E+04 2.77E+04 2.43E+04 2.02E+04 1.59E+04 1.19E+04 8.51E+03 5.80E+03 3.78E+03 2.35E+03 1.40E+03 8.02E+02 4.39E+02 2.30E+02 1.16E+02 5.60E+01 2.59E+01 1.15E+01 4.92E+00 2.02E+00 7.94E-01 3.00E-01 1.09E-01 3.80E-02 1.27E-02
  17.00  1.188  1.94E+06 4.88E+05 6.31E+06 9.12E+03 2.64E+04 4.08E+04 5.10E+04 5.64E+04 5.71E+04 5.39E+04 4.78E+04 4.01E+04 3.20E+04 2.43E+04 1.76E+04 1.22E+04 8.08E+03 5.13E+03 3.12E+03 1.82E+03 1.02E+03 5.49E+02 2.83E+02 1.41E+02 6.70E+01 3.07E+01 1.35E+01 5.72E+00 2.33E+00 9.11E-01 3.43E-01 1.24E-01 4.33E-02
  18.00  1.223  3.82E+06 9.37E+05 1.23E+07 1.69E+04 4.90E+04 7.60E+04 9.54E+04 1.06E+05 1.08E+05 1.03E+05 9.19E+04 7.79E+04 6.28E+04 4.82E+04 3.54E+04 2.49E+04 1.68E+04 1.08E+04 6.71E+03 3.99E+03 2.28E+03 1.25E+03 6.63E+02 3.37E+02 1.65E+02 7.75E+01 3.51E+01 1.53E+01 6.42E+00 2.59E+00 1.01E+00 3.78E-01 1.36E-01
  19.00  1.256  7.35E+06 1.77E+06 2.36E+07 3.10E+04 8.97E+04 1.39E+05 1.75E+05 1.96E+05 2.01E+05 1.92E+05 1.73E+05 1.48E+05 1.20E+05 9.36E+04 6.96E+04 4.95E+04 3.38E+04 2.22E+04 1.40E+04 8.47E+03 4.93E+03 2.77E+03 1.49E+03 7.76E+02 3.88E+02 1.87E+02 8.69E+01 3.89E+01 1.68E+01 6.97E+00 2.79E+00 1.08E+00 4.02E-01
  20.00  1.289  1.39E+07 3.27E+06 4.43E+07 5.57E+04 1.61E+05 2.51E+05 3.18E+05 3.56E+05 3.67E+05 3.53E+05 3.20E+05 2.76E+05 2.27E+05 1.78E+05 1.34E+05 9.64E+04 6.67E+04 4.44E+04 2.84E+04 1.75E+04 1.04E+04 5.91E+03 3.25E+03 1.72E+03 8.81E+02 4.34E+02 2.06E+02 9.45E+01 4.18E+01 1.78E+01 7.34E+00 2.92E+00 1.12E+00
  22.50  1.367  8.52E+07 1.43E+07 2.00E+08 2.28E+05 6.61E+05 1.03E+06 1.31E+06 1.49E+06 1.55E+06 1.51E+06 1.39E+06 1.22E+06 1.02E+06 8.20E+05 6.31E+05 4.67E+05 3.32E+05 2.28E+05 1.51E+05 9.60E+04 5.90E+04 3.50E+04 2.01E+04 1.11E+04 5.95E+03 3.07E+03 1.54E+03 7.42E+02 3.46E+02 1.56E+02 6.83E+01 2.88E+01 1.18E+01
  25.00  1.441  3.72E+08 5.73E+07 8.26E+08 8.64E+05 2.51E+06 3.95E+06 5.04E+06 5.75E+06 6.04E+06 5.95E+06 5.56E+06 4.94E+06 4.21E+06 3.44E+06 2.70E+06 2.04E+06 1.49E+06 1.05E+06 7.10E+05 4.65E+05 2.95E+05 1.81E+05 1.07E+05 6.16E+04 3.42E+04 1.84E+04 9.59E+03 4.84E+03 2.36E+03 1.12E+03 5.12E+02 2.28E+02 9.80E+01
  30.00  1.579  7.98E+09 7.61E+08 1.15E+10 1.04E+07 3.03E+07 4.79E+07 6.17E+07 7.11E+07 7.58E+07 7.60E+07 7.24E+07 6.59E+07 5.75E+07 4.83E+07 3.91E+07 3.06E+07 2.32E+07 1.69E+07 1.20E+07 8.24E+06 5.48E+06 3.54E+06 2.22E+06 1.35E+06 7.94E+05 4.54E+05 2.53E+05 1.36E+05 7.15E+04 3.64E+04 1.80E+04 8.68E+03 4.06E+03
  40.00  1.823  1.51E+12 7.53E+10 1.23E+12 8.84E+08 2.59E+09 4.12E+09 5.37E+09 6.28E+09 6.83E+09 7.01E+09 6.86E+09 6.44E+09 5.82E+09 5.08E+09 4.30E+09 3.52E+09 2.80E+09 2.16E+09 1.63E+09 1.19E+09 8.44E+08 5.84E+08 3.94E+08 2.58E+08 1.65E+08 1.03E+08 6.26E+07 3.71E+07 2.15E+07 1.21E+07 6.64E+06 3.56E+06 1.86E+06
