                    ************************************************************************************************
                    *  Z= 22 A= 46: Positive-Parity Spin-dependent Level Density [MeV-1] for Ti 46 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   6.50  0.958  2.42E+02 2.41E+03 7.03E+02 1.37E+00 3.81E+00 5.55E+00 6.22E+00 6.49E+00 6.49E+00 6.34E+00 5.98E+00 5.24E+00 3.99E+00 2.70E+00 1.59E+00 1.02E+00 5.33E-01 3.60E-01 1.92E-01 4.42E-02 1.69E-02 6.88E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.994  3.49E+02 7.02E+02 1.51E+03 2.25E+00 6.21E+00 9.52E+00 1.13E+01 1.26E+01 1.30E+01 1.30E+01 1.21E+01 1.06E+01 8.41E+00 6.30E+00 4.32E+00 2.90E+00 1.83E+00 1.18E+00 6.44E-01 1.58E-01 6.31E-02 1.75E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  1.029  5.63E+02 1.93E+03 3.08E+03 3.29E+00 9.14E+00 1.49E+01 1.91E+01 2.26E+01 2.40E+01 2.43E+01 2.27E+01 2.04E+01 1.69E+01 1.37E+01 1.04E+01 7.64E+00 5.26E+00 3.53E+00 2.12E+00 3.96E-01 1.90E-01 9.20E-02 3.87E-02 1.69E-02 1.19E-02 5.40E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  1.063  7.91E+02 4.26E+03 3.47E+03 3.56E+00 9.97E+00 1.63E+01 2.11E+01 2.50E+01 2.65E+01 2.69E+01 2.53E+01 2.28E+01 1.90E+01 1.57E+01 1.21E+01 9.05E+00 6.27E+00 4.16E+00 2.48E+00 1.34E-01 3.94E-02 8.17E-03 6.12E-03 6.34E-03 2.24E-02 9.75E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  1.096  9.19E+02 8.95E+03 1.95E+03 2.39E+00 6.59E+00 1.08E+01 1.37E+01 1.60E+01 1.66E+01 1.64E+01 1.49E+01 1.30E+01 1.02E+01 8.15E+00 6.13E+00 4.42E+00 2.89E+00 1.76E+00 8.95E-01 1.79E-01 1.20E-01 8.61E-02 2.77E-02 1.56E-02 2.47E-03 1.06E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  1.127  1.02E+03 1.05E+04 1.57E+03 2.09E+00 5.74E+00 9.31E+00 1.17E+01 1.36E+01 1.40E+01 1.36E+01 1.22E+01 1.05E+01 8.03E+00 6.37E+00 4.77E+00 3.40E+00 2.17E+00 1.26E+00 6.10E-01 2.38E-01 8.27E-02 2.97E-02 7.46E-03 3.00E-03 2.75E-04 9.09E-05 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  1.158  1.12E+03 6.50E+03 1.44E+03 1.68E+00 4.75E+00 7.77E+00 1.01E+01 1.18E+01 1.25E+01 1.24E+01 1.15E+01 1.00E+01 6.62E+00 5.45E+00 4.19E+00 3.10E+00 2.11E+00 1.37E+00 7.93E-01 4.44E-01 2.08E-01 9.51E-02 7.02E-03 2.42E-03 1.85E-02 5.20E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  1.188  1.22E+03 6.15E+03 1.36E+03 1.34E+00 3.91E+00 6.45E+00 8.62E+00 1.03E+01 1.13E+01 1.14E+01 1.09E+01 9.72E+00 5.47E+00 4.69E+00 3.71E+00 2.87E+00 2.09E+00 1.54E+00 1.09E+00 8.61E-01 6.07E-01 3.88E-01 8.41E-03 2.98E-03 3.51E-02 9.85E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.246  1.68E+03 6.10E+03 2.12E+03 2.50E+00 7.28E+00 1.13E+01 1.46E+01 1.66E+01 1.74E+01 1.69E+01 1.54E+01 1.35E+01 1.10E+01 8.87E+00 6.85E+00 5.09E+00 3.52E+00 2.26E+00 1.31E+00 6.79E-01 2.80E-01 9.25E-02 1.45E-02 2.56E-04 1.44E-03 2.30E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.302  2.49E+03 1.21E+04 5.71E+03 6.25E+00 1.79E+01 2.85E+01 3.66E+01 4.22E+01 4.45E+01 4.42E+01 4.13E+01 3.68E+01 3.11E+01 2.51E+01 1.91E+01 1.39E+01 9.59E+00 6.09E+00 3.72E+00 2.17E+00 6.10E-01 2.58E-01 8.82E-02 2.89E-02 5.37E-04 1.57E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  13.00  1.355  3.03E+03 3.89E+04 3.51E+03 3.84E+00 1.09E+01 1.74E+01 2.21E+01 2.56E+01 2.68E+01 2.65E+01 2.44E+01 2.15E+01 1.80E+01 1.45E+01 1.17E+01 8.69E+00 6.02E+00 4.61E+00 2.92E+00 1.81E+00 9.08E-01 3.24E-01 1.02E-01 3.09E-02 2.58E-04 3.92E-04 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.406  4.33E+03 2.61E+04 8.90E+03 9.74E+00 2.81E+01 4.42E+01 5.65E+01 6.46E+01 6.79E+01 6.72E+01 6.30E+01 5.66E+01 4.88E+01 4.04E+01 3.01E+01 2.25E+01 1.59E+01 8.80E+00 5.39E+00 3.10E+00 1.64E+00 7.88E-01 2.64E-01 8.58E-02 1.81E-02 5.90E-04 1.68E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.455  5.42E+03 8.42E+04 7.17E+03 6.31E+00 1.83E+01 2.93E+01 3.80E+01 4.43E+01 4.73E+01 4.74E+01 4.47E+01 4.03E+01 3.46E+01 2.86E+01 2.74E+01 2.22E+01 1.68E+01 1.25E+01 7.82E+00 4.62E+00 2.55E+00 1.32E+00 2.06E-01 6.38E-02 1.40E-02 7.88E-04 7.93E-04 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.503  6.55E+03 6.94E+04 7.13E+03 7.33E+00 2.13E+01 3.35E+01 4.29E+01 4.88E+01 5.10E+01 5.01E+01 4.67E+01 4.17E+01 3.58E+01 2.97E+01 2.32E+01 1.73E+01 1.25E+01 1.20E+01 7.97E+00 4.96E+00 2.88E+00 1.57E+00 1.53E-01 4.33E-02 1.01E-02 1.05E-03 4.73E-05 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  17.00  1.549  7.76E+03 8.53E+04 9.35E+03 1.14E+01 3.31E+01 5.21E+01 6.63E+01 7.56E+01 7.90E+01 7.80E+01 7.26E+01 6.43E+01 5.42E+01 4.39E+01 2.24E+01 1.57E+01 1.10E+01 8.98E+00 5.28E+00 2.79E+00 1.39E+00 6.58E-01 2.45E-01 1.39E-01 5.77E-02 1.88E-02 4.55E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  18.00  1.594  8.96E+03 1.43E+05 9.71E+03 1.19E+01 3.44E+01 5.42E+01 6.92E+01 7.87E+01 8.21E+01 8.00E+01 7.32E+01 6.38E+01 5.26E+01 4.14E+01 2.96E+01 2.08E+01 1.37E+01 8.57E+00 4.92E+00 2.64E+00 1.31E+00 6.16E-01 2.66E-01 1.02E-01 3.27E-02 9.74E-03 3.79E-04 1.41E-04 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  19.00  1.638  1.11E+04 1.68E+05 1.46E+04 1.88E+01 5.44E+01 8.55E+01 1.09E+02 1.24E+02 1.30E+02 1.29E+02 1.21E+02 1.08E+02 9.30E+01 7.69E+01 2.76E+01 1.90E+01 1.23E+01 7.44E+00 4.14E+00 2.18E+00 1.06E+00 4.80E-01 2.03E-01 7.31E-02 2.21E-02 1.95E-02 4.64E-03 3.59E-04 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
