                    ************************************************************************************************
                    *  Z= 21 A= 45: Positive-Parity Spin-dependent Level Density [MeV-1] for Sc 45 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   8.50  1.053  1.26E+04 1.06E+03 3.28E+04 8.15E+01 1.45E+02 2.03E+02 2.47E+02 2.73E+02 2.77E+02 2.62E+02 2.34E+02 2.00E+02 1.63E+02 1.30E+02 1.13E+02 8.51E+01 6.17E+01 2.38E+01 1.28E+01 6.10E+00 4.29E+00 1.85E+00 2.93E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  1.083  1.73E+04 2.33E+03 4.75E+04 1.25E+02 2.13E+02 2.97E+02 3.61E+02 3.99E+02 4.04E+02 3.81E+02 3.42E+02 2.91E+02 2.36E+02 1.88E+02 1.56E+02 1.10E+02 7.35E+01 4.63E+01 2.52E+01 1.37E+01 5.79E+00 3.23E+00 5.43E-01 1.45E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  1.113  2.15E+04 2.06E+03 5.83E+04 1.97E+02 3.04E+02 4.17E+02 4.96E+02 5.35E+02 5.30E+02 4.95E+02 4.39E+02 3.71E+02 3.00E+02 2.32E+02 1.79E+02 1.18E+02 7.23E+01 3.98E+01 1.77E+01 7.50E+00 2.07E+00 1.30E+00 2.62E-01 4.77E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  1.142  2.56E+04 3.29E+03 7.07E+04 2.75E+02 4.04E+02 5.40E+02 6.32E+02 6.68E+02 6.52E+02 6.02E+02 5.28E+02 4.42E+02 3.53E+02 2.67E+02 2.23E+02 1.44E+02 8.52E+01 4.51E+01 1.91E+01 7.60E+00 1.92E+00 1.10E+00 3.44E-01 5.55E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.197  3.93E+04 5.53E+03 1.00E+05 3.64E+02 5.69E+02 7.41E+02 8.54E+02 8.91E+02 8.62E+02 7.86E+02 6.79E+02 5.60E+02 4.39E+02 3.25E+02 3.79E+02 2.56E+02 1.63E+02 9.95E+01 6.02E+01 3.17E+01 1.41E+01 5.57E+00 1.50E+00 2.11E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.251  7.51E+04 7.49E+03 1.65E+05 4.33E+02 8.17E+02 1.13E+03 1.34E+03 1.44E+03 1.43E+03 1.34E+03 1.19E+03 1.00E+03 8.15E+02 6.38E+02 4.71E+02 3.32E+02 2.18E+02 1.36E+02 1.26E+02 6.84E+01 3.46E+01 1.70E+01 3.72E+00 6.91E-01 1.39E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  13.00  1.302  1.25E+05 1.07E+04 3.63E+05 8.28E+02 1.62E+03 2.33E+03 2.85E+03 3.15E+03 3.22E+03 3.07E+03 2.74E+03 2.32E+03 1.86E+03 1.40E+03 1.02E+03 7.00E+02 4.58E+02 2.81E+02 2.28E+02 1.26E+02 6.44E+01 3.03E+01 7.45E+00 2.54E+00 9.19E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.351  1.98E+05 2.58E+04 4.55E+05 1.05E+03 2.05E+03 2.90E+03 3.54E+03 3.92E+03 3.98E+03 3.78E+03 3.37E+03 2.87E+03 2.32E+03 1.80E+03 1.33E+03 9.35E+02 6.26E+02 3.98E+02 2.40E+02 1.35E+02 7.15E+01 3.52E+01 1.50E+01 5.51E+00 1.64E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.398  2.86E+05 3.97E+04 3.60E+05 9.14E+02 1.76E+03 2.46E+03 2.95E+03 3.21E+03 3.22E+03 3.01E+03 2.65E+03 2.26E+03 1.82E+03 1.41E+03 1.04E+03 7.25E+02 4.76E+02 2.95E+02 1.69E+02 9.17E+01 4.66E+01 2.22E+01 9.79E+00 3.77E+00 1.71E+00 1.20E-01 1.95E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.444  3.89E+05 2.35E+04 7.62E+05 1.66E+03 3.25E+03 4.62E+03 5.69E+03 6.32E+03 6.49E+03 6.22E+03 5.60E+03 4.80E+03 3.92E+03 3.06E+03 2.27E+03 1.62E+03 1.09E+03 7.04E+02 4.34E+02 2.55E+02 1.40E+02 7.13E+01 3.28E+01 1.40E+01 4.89E+00 4.53E-01 6.94E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
