                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   7.50  0.789  5.17E+05 2.80E+05 2.78E+06 8.85E+03 2.49E+04 3.66E+04 4.23E+04 4.21E+04 3.74E+04 3.02E+04 2.23E+04 1.52E+04 9.55E+03 5.58E+03 3.03E+03 1.53E+03 7.24E+02 3.18E+02 1.31E+02 5.02E+01 1.80E+01 6.05E+00 1.90E+00 5.58E-01 1.54E-01 3.95E-02 9.53E-03 2.15E-03 4.55E-04 9.02E-05 1.67E-05 2.91E-06 4.75E-07
   8.00  0.815  1.11E+06 5.92E+05 6.02E+06 1.79E+04 5.04E+04 7.44E+04 8.68E+04 8.75E+04 7.90E+04 6.48E+04 4.89E+04 3.41E+04 2.20E+04 1.33E+04 7.45E+03 3.90E+03 1.91E+03 8.78E+02 3.77E+02 1.52E+02 5.74E+01 2.03E+01 6.75E+00 2.10E+00 6.16E-01 1.69E-01 4.37E-02 1.06E-02 2.42E-03 5.18E-04 1.04E-04 1.97E-05 3.50E-06
   8.50  0.840  2.33E+06 1.22E+06 1.27E+07 3.52E+04 9.97E+04 1.48E+05 1.74E+05 1.77E+05 1.62E+05 1.35E+05 1.04E+05 7.38E+04 4.89E+04 3.02E+04 1.74E+04 9.43E+03 4.78E+03 2.27E+03 1.02E+03 4.26E+02 1.68E+02 6.24E+01 2.18E+01 7.15E+00 2.21E+00 6.44E-01 1.76E-01 4.55E-02 1.11E-02 2.54E-03 5.47E-04 1.11E-04 2.13E-05
   9.00  0.865  4.79E+06 2.46E+06 2.60E+07 6.81E+04 1.93E+05 2.88E+05 3.41E+05 3.51E+05 3.24E+05 2.74E+05 2.14E+05 1.55E+05 1.05E+05 6.62E+04 3.92E+04 2.18E+04 1.14E+04 5.59E+03 2.58E+03 1.12E+03 4.61E+02 1.78E+02 6.50E+01 2.23E+01 7.24E+00 2.22E+00 6.40E-01 1.75E-01 4.49E-02 1.09E-02 2.51E-03 5.43E-04 1.11E-04
   9.50  0.888  9.62E+06 4.84E+06 5.22E+07 1.29E+05 3.68E+05 5.50E+05 6.55E+05 6.79E+05 6.34E+05 5.43E+05 4.29E+05 3.16E+05 2.18E+05 1.40E+05 8.51E+04 4.84E+04 2.60E+04 1.31E+04 6.25E+03 2.81E+03 1.19E+03 4.79E+02 1.81E+02 6.49E+01 2.20E+01 7.03E+00 2.13E+00 6.09E-01 1.65E-01 4.22E-02 1.02E-02 2.35E-03 5.10E-04
  10.00  0.911  1.90E+07 9.34E+06 1.03E+08 2.41E+05 6.88E+05 1.03E+06 1.24E+06 1.29E+06 1.22E+06 1.05E+06 8.43E+05 6.30E+05 4.41E+05 2.90E+05 1.79E+05 1.04E+05 5.72E+04 2.97E+04 1.45E+04 6.72E+03 2.94E+03 1.22E+03 4.78E+02 1.78E+02 6.24E+01 2.08E+01 6.56E+00 1.96E+00 5.56E-01 1.49E-01 3.80E-02 9.18E-03 2.10E-03
  11.00  0.956  8.51E+07 3.31E+07 3.75E+08 8.03E+05 2.29E+06 3.47E+06 4.19E+06 4.43E+06 4.24E+06 3.74E+06 3.06E+06 2.35E+06 1.69E+06 1.15E+06 7.33E+05 4.43E+05 2.53E+05 1.37E+05 7.04E+04 3.43E+04 1.58E+04 6.94E+03 2.89E+03 1.14E+03 4.29E+02 1.53E+02 5.19E+01 1.67E+01 5.13E+00 1.50E+00 4.14E-01 1.09E-01 2.74E-02
  12.00  0.998  3.05E+08 1.10E+08 1.28E+09 2.53E+06 7.25E+06 1.10E+07 1.34E+07 1.43E+07 1.39E+07 1.25E+07 1.04E+07 8.13E+06 5.99E+06 4.17E+06 2.75E+06 1.71E+06 1.01E+06 5.69E+05 3.04E+05 1.54E+05 7.46E+04 3.43E+04 1.50E+04 6.25E+03 2.48E+03 9.37E+02 3.38E+02 1.16E+02 3.79E+01 1.18E+01 3.52E+00 9.99E-01 2.70E-01
  13.00  1.039  1.00E+09 3.47E+08 4.15E+09 7.61E+06 2.18E+07 3.33E+07 4.09E+07 4.41E+07 4.32E+07 3.92E+07 3.32E+07 2.65E+07 1.99E+07 1.42E+07 9.56E+06 6.13E+06 3.73E+06 2.16E+06 1.20E+06 6.29E+05 3.15E+05 1.51E+05 6.89E+04 3.00E+04 1.25E+04 4.96E+03 1.88E+03 6.82E+02 2.36E+02 7.80E+01 2.47E+01 7.45E+00 2.15E+00
  14.00  1.078  3.09E+09 1.05E+09 1.28E+10 2.19E+07 6.31E+07 9.66E+07 1.19E+08 1.30E+08 1.28E+08 1.18E+08 1.01E+08 8.19E+07 6.26E+07 4.54E+07 3.13E+07 2.05E+07 1.28E+07 7.64E+06 4.35E+06 2.36E+06 1.22E+06 6.06E+05 2.87E+05 1.30E+05 5.63E+04 2.33E+04 9.25E+03 3.51E+03 1.28E+03 4.44E+02 1.48E+02 4.71E+01 1.44E+01
