                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  20.00  1.289  3.91E+06 3.90E+07 1.01E+07 1.15E+04 1.46E+04 3.68E+04 3.71E+04 5.40E+04 5.10E+04 6.03E+04 5.37E+04 5.57E+04 4.76E+04 4.53E+04 3.58E+04 3.14E+04 2.31E+04 1.89E+04 1.32E+04 9.98E+03 6.32E+03 4.25E+03 2.46E+03 1.52E+03 7.89E+02 4.04E+02 1.82E+02 7.56E+01 2.83E+01 9.21E+00 2.18E+00 3.46E-01 2.33E-01
  22.50  1.367  1.07E+07 1.16E+08 2.31E+07 2.43E+04 3.03E+04 7.70E+04 7.77E+04 1.14E+05 1.08E+05 1.29E+05 1.15E+05 1.21E+05 1.04E+05 1.01E+05 8.10E+04 7.30E+04 5.47E+04 4.63E+04 3.32E+04 2.62E+04 1.74E+04 1.25E+04 7.68E+03 5.09E+03 2.86E+03 1.65E+03 8.22E+02 3.91E+02 1.69E+02 6.78E+01 2.35E+01 6.83E+00 1.46E+00
  25.00  1.441  2.49E+07 3.18E+08 4.95E+07 4.90E+04 6.02E+04 1.55E+05 1.56E+05 2.30E+05 2.17E+05 2.61E+05 2.34E+05 2.48E+05 2.15E+05 2.11E+05 1.72E+05 1.57E+05 1.19E+05 1.03E+05 7.55E+04 6.15E+04 4.20E+04 3.15E+04 2.01E+04 1.41E+04 8.48E+03 5.28E+03 2.83E+03 1.51E+03 7.28E+02 3.39E+02 1.34E+02 4.94E+01 1.53E+01
  30.00  1.579  1.48E+08 2.18E+09 2.23E+08 2.04E+05 2.42E+05 6.37E+05 6.37E+05 9.53E+05 8.97E+05 1.09E+06 9.84E+05 1.05E+06 9.18E+05 9.13E+05 7.50E+05 6.94E+05 5.40E+05 4.77E+05 3.58E+05 3.01E+05 2.14E+05 1.68E+05 1.13E+05 8.51E+04 5.48E+04 3.77E+04 2.26E+04 1.41E+04 7.84E+03 4.49E+03 2.20E+03 1.06E+03 4.51E+02
  40.00  1.823  5.61E+09 1.14E+11 5.11E+09 4.30E+06 4.91E+06 1.33E+07 1.32E+07 2.00E+07 1.89E+07 2.32E+07 2.11E+07 2.28E+07 2.02E+07 2.02E+07 1.68E+07 1.58E+07 1.25E+07 1.11E+07 8.60E+06 7.30E+06 5.35E+06 4.28E+06 2.99E+06 2.32E+06 1.57E+06 1.13E+06 7.34E+05 4.99E+05 3.12E+05 2.04E+05 1.21E+05 7.45E+04 4.10E+04
  50.00  2.038  1.20E+11 4.77E+12 1.12E+11 8.33E+07 9.36E+07 2.57E+08 2.55E+08 3.91E+08 3.73E+08 4.66E+08 4.22E+08 4.64E+08 4.17E+08 4.22E+08 3.59E+08 3.41E+08 2.77E+08 2.52E+08 1.98E+08 1.72E+08 1.30E+08 1.06E+08 7.65E+07 6.03E+07 4.23E+07 3.11E+07 2.10E+07 1.46E+07 9.47E+06 6.35E+06 3.93E+06 2.48E+06 1.46E+06
  60.00  2.233  3.72E+12 3.20E+14 3.71E+12 2.20E+09 2.45E+09 6.80E+09 6.86E+09 1.10E+10 1.08E+10 1.46E+10 1.23E+10 1.41E+10 1.30E+10 1.30E+10 1.17E+10 1.11E+10 9.23E+09 8.74E+09 6.65E+09 6.03E+09 4.75E+09 4.06E+09 2.97E+09 2.39E+09 1.72E+09 1.32E+09 9.37E+08 6.90E+08 4.79E+08 3.40E+08 2.11E+08 1.37E+08 8.99E+07
  70.00  2.411  5.66E+13 8.87E+15 5.61E+13 3.04E+10 3.36E+10 9.38E+10 9.52E+10 1.52E+11 1.50E+11 2.03E+11 1.74E+11 2.00E+11 1.85E+11 1.88E+11 1.70E+11 1.64E+11 1.38E+11 1.33E+11 1.03E+11 9.47E+10 7.59E+10 6.61E+10 4.93E+10 4.06E+10 2.99E+10 2.36E+10 1.72E+10 1.30E+10 9.37E+09 6.85E+09 4.43E+09 2.98E+09 2.04E+09
  80.00  2.578  7.18E+14 2.00E+17 7.23E+14 3.63E+11 4.01E+11 1.12E+12 1.13E+12 1.82E+12 1.80E+12 2.43E+12 2.10E+12 2.43E+12 2.25E+12 2.32E+12 2.12E+12 2.05E+12 1.74E+12 1.69E+12 1.33E+12 1.25E+12 1.01E+12 8.94E+11 6.82E+11 5.72E+11 4.29E+11 3.46E+11 2.57E+11 2.00E+11 1.47E+11 1.10E+11 7.34E+10 5.12E+10 3.60E+10
  90.00  2.734  7.98E+15 3.83E+18 8.12E+15 3.82E+12 4.18E+12 1.17E+13 1.19E+13 1.91E+13 1.88E+13 2.56E+13 2.22E+13 2.59E+13 2.41E+13 2.49E+13 2.29E+13 2.25E+13 1.93E+13 1.90E+13 1.51E+13 1.42E+13 1.17E+13 1.04E+13 8.09E+12 6.90E+12 5.26E+12 4.30E+12 3.27E+12 2.58E+12 1.93E+12 1.48E+12 1.01E+12 7.23E+11 5.20E+11
 100.00  2.882  7.93E+16 6.34E+19 8.15E+16 3.60E+13 3.93E+13 1.10E+14 1.12E+14 1.80E+14 1.78E+14 2.42E+14 2.12E+14 2.48E+14 2.32E+14 2.41E+14 2.23E+14 2.20E+14 1.90E+14 1.88E+14 1.52E+14 1.44E+14 1.20E+14 1.08E+14 8.46E+13 7.33E+13 5.65E+13 4.69E+13 3.61E+13 2.90E+13 2.20E+13 1.73E+13 1.20E+13 8.75E+12 6.40E+12
 110.00  3.023  7.17E+17 9.31E+20 7.42E+17 3.10E+14 3.37E+14 9.49E+14 9.63E+14 1.55E+15 1.54E+15 2.09E+15 1.84E+15 2.16E+15 2.02E+15 2.12E+15 1.97E+15 1.96E+15 1.70E+15 1.70E+15 1.38E+15 1.32E+15 1.10E+15 1.01E+15 7.98E+14 6.95E+14 5.44E+14 4.57E+14 3.57E+14 2.91E+14 2.23E+14 1.78E+14 1.26E+14 9.36E+13 6.96E+13
 120.00  3.157  5.97E+18 1.23E+22 6.20E+18 2.46E+15 2.67E+15 7.54E+15 7.64E+15 1.23E+16 1.22E+16 1.67E+16 1.47E+16 1.74E+16 1.63E+16 1.72E+16 1.60E+16 1.60E+16 1.40E+16 1.40E+16 1.15E+16 1.11E+16 9.32E+15 8.59E+15 6.86E+15 6.05E+15 4.78E+15 4.05E+15 3.19E+15 2.64E+15 2.05E+15 1.65E+15 1.18E+15 8.94E+14 6.76E+14
 130.00  3.286  4.61E+19 1.48E+23 4.81E+19 1.83E+16 1.98E+16 5.59E+16 5.66E+16 9.14E+16 9.05E+16 1.23E+17 1.10E+17 1.30E+17 1.22E+17 1.29E+17 1.21E+17 1.22E+17 1.07E+17 1.08E+17 8.86E+16 8.61E+16 7.29E+16 6.76E+16 5.45E+16 4.84E+16 3.86E+16 3.31E+16 2.63E+16 2.19E+16 1.72E+16 1.40E+16 1.02E+16 7.81E+15 5.95E+15
 140.00  3.410  3.34E+20 1.64E+24 3.49E+20 1.27E+17 1.37E+17 3.88E+17 3.93E+17 6.35E+17 6.30E+17 8.60E+17 7.65E+17 9.12E+17 8.57E+17 9.13E+17 8.53E+17 8.64E+17 7.63E+17 7.71E+17 6.40E+17 6.24E+17 5.32E+17 4.96E+17 4.03E+17 3.61E+17 2.90E+17 2.50E+17 2.01E+17 1.69E+17 1.34E+17 1.10E+17 8.10E+16 6.28E+16 4.85E+16
