                    ************************************************************************************************
                    *  Z= 28 A= 60: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 60 and ldmodel= 3  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   9.00  1.254  8.23E+02 2.31E+02 2.25E+03 7.55E+00 2.12E+01 3.10E+01 3.56E+01 3.51E+01 3.08E+01 2.45E+01 1.78E+01 1.19E+01 7.35E+00 4.20E+00 2.23E+00 1.10E+00 5.02E-01 2.14E-01 8.50E-02 3.15E-02 1.09E-02 3.50E-03 1.05E-03 2.96E-04 7.75E-05 1.90E-05 4.35E-06 9.30E-07 1.86E-07 3.47E-08 6.06E-09 9.90E-10 1.51E-10
   9.50  1.288  1.14E+03 3.14E+02 3.11E+03 1.00E+01 2.81E+01 4.12E+01 4.76E+01 4.74E+01 4.20E+01 3.38E+01 2.49E+01 1.69E+01 1.06E+01 6.16E+00 3.33E+00 1.67E+00 7.85E-01 3.43E-01 1.40E-01 5.35E-02 1.90E-02 6.34E-03 1.97E-03 5.75E-04 1.57E-04 4.00E-05 9.54E-06 2.13E-06 4.46E-07 8.74E-08 1.60E-08 2.76E-09 4.44E-10
  10.00  1.322  1.56E+03 4.26E+02 4.27E+03 1.32E+01 3.72E+01 5.47E+01 6.35E+01 6.36E+01 5.69E+01 4.62E+01 3.44E+01 2.37E+01 1.51E+01 8.92E+00 4.92E+00 2.52E+00 1.21E+00 5.42E-01 2.27E-01 8.89E-02 3.26E-02 1.12E-02 3.60E-03 1.08E-03 3.06E-04 8.11E-05 2.01E-05 4.68E-06 1.02E-06 2.09E-07 4.02E-08 7.24E-09 1.22E-09
  11.00  1.386  3.11E+03 7.73E+02 7.95E+03 2.28E+01 6.45E+01 9.54E+01 1.12E+02 1.13E+02 1.03E+02 8.51E+01 6.48E+01 4.56E+01 2.99E+01 1.82E+01 1.04E+01 5.53E+00 2.76E+00 1.29E+00 5.65E-01 2.32E-01 8.97E-02 3.25E-02 1.11E-02 3.55E-03 1.07E-03 3.03E-04 8.05E-05 2.02E-05 4.75E-06 1.05E-06 2.20E-07 4.31E-08 7.96E-09
  12.00  1.448  5.87E+03 1.38E+03 1.45E+04 3.89E+01 1.10E+02 1.64E+02 1.94E+02 1.99E+02 1.83E+02 1.54E+02 1.19E+02 8.57E+01 5.75E+01 3.60E+01 2.11E+01 1.16E+01 5.99E+00 2.91E+00 1.33E+00 5.69E-01 2.30E-01 8.75E-02 3.14E-02 1.06E-02 3.37E-03 1.01E-03 2.86E-04 7.65E-05 1.92E-05 4.57E-06 1.02E-06 2.17E-07 4.32E-08
  13.00  1.507  1.07E+04 2.43E+03 2.61E+04 6.56E+01 1.86E+02 2.79E+02 3.31E+02 3.43E+02 3.19E+02 2.72E+02 2.14E+02 1.57E+02 1.08E+02 6.90E+01 4.16E+01 2.35E+01 1.25E+01 6.27E+00 2.96E+00 1.32E+00 5.56E-01 2.20E-01 8.26E-02 2.93E-02 9.78E-03 3.09E-03 9.24E-04 2.61E-04 6.96E-05 1.76E-05 4.20E-06 9.48E-07 2.02E-07
  14.00  1.564  1.91E+04 4.20E+03 4.61E+04 1.09E+02 3.11E+02 4.67E+02 5.59E+02 5.83E+02 5.48E+02 4.73E+02 3.79E+02 2.82E+02 1.97E+02 1.29E+02 7.95E+01 4.61E+01 2.52E+01 1.30E+01 6.35E+00 2.93E+00 1.27E+00 5.25E-01 2.05E-01 7.56E-02 2.64E-02 8.75E-03 2.74E-03 8.14E-04 2.29E-04 6.11E-05 1.54E-05 3.69E-06 8.38E-07
  15.00  1.619  3.35E+04 7.18E+03 8.02E+04 1.80E+02 5.14E+02 7.74E+02 9.31E+02 9.78E+02 9.29E+02 8.11E+02 6.58E+02 4.98E+02 3.53E+02 2.36E+02 1.48E+02 8.80E+01 4.93E+01 2.61E+01 1.31E+01 6.22E+00 2.80E+00 1.19E+00 4.82E-01 1.85E-01 6.72E-02 2.32E-02 7.59E-03 2.36E-03 6.95E-04 1.95E-04 5.17E-05 1.31E-05 3.13E-06
  16.00  1.672  5.77E+04 1.21E+04 1.38E+05 2.93E+02 8.39E+02 1.27E+03 1.53E+03 1.62E+03 1.55E+03 1.37E+03 1.12E+03 8.63E+02 6.22E+02 4.22E+02 2.70E+02 1.64E+02 9.38E+01 5.09E+01 2.62E+01 1.28E+01 5.92E+00 2.60E+00 1.09E+00 4.31E-01 1.62E-01 5.81E-02 1.98E-02 6.39E-03 1.97E-03 5.76E-04 1.60E-04 4.24E-05 1.07E-05
  17.00  1.723  9.81E+04 2.02E+04 2.33E+05 4.74E+02 1.36E+03 2.06E+03 2.50E+03 2.66E+03 2.57E+03 2.28E+03 1.89E+03 1.47E+03 1.08E+03 7.41E+02 4.83E+02 2.98E+02 1.74E+02 9.66E+01 5.09E+01 2.54E+01 1.21E+01 5.46E+00 2.35E+00 9.60E-01 3.74E-01 1.38E-01 4.88E-02 1.64E-02 5.24E-03 1.60E-03 4.63E-04 1.28E-04 3.37E-05
  18.00  1.773  1.65E+05 3.32E+04 3.89E+05 7.57E+02 2.17E+03 3.30E+03 4.02E+03 4.31E+03 4.19E+03 3.76E+03 3.15E+03 2.47E+03 1.83E+03 1.28E+03 8.47E+02 5.31E+02 3.16E+02 1.79E+02 9.62E+01 4.92E+01 2.40E+01 1.11E+01 4.91E+00 2.06E+00 8.27E-01 3.16E-01 1.15E-01 4.00E-02 1.32E-02 4.18E-03 1.26E-03 3.62E-04 9.93E-05
