                    ************************************************************************************************
                    *  Z= 33 A= 73: Positive-Parity Spin-dependent Level Density [MeV-1] for As 73 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   6.50  0.724  3.57E+04 4.22E+03 1.60E+05 6.85E+02 1.36E+03 1.87E+03 2.20E+03 2.16E+03 2.07E+03 1.66E+03 1.30E+03 8.72E+02 5.91E+02 3.62E+02 2.33E+02 1.36E+02 8.04E+01 4.15E+01 2.11E+01 8.40E+00 1.86E+00 1.50E+00 2.81E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.751  6.21E+04 7.74E+03 2.74E+05 1.17E+03 2.31E+03 3.12E+03 3.59E+03 3.54E+03 3.43E+03 2.80E+03 2.22E+03 1.56E+03 1.07E+03 6.68E+02 4.35E+02 2.63E+02 1.47E+02 7.77E+01 3.96E+01 1.67E+01 5.23E+00 4.05E+00 1.10E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.778  1.06E+05 1.26E+04 4.55E+05 1.84E+03 3.61E+03 4.92E+03 5.75E+03 5.77E+03 5.51E+03 4.57E+03 3.71E+03 2.62E+03 1.85E+03 1.20E+03 7.77E+02 4.63E+02 2.64E+02 1.50E+02 7.83E+01 3.37E+01 1.53E+01 9.28E+00 2.02E+00 2.81E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  0.803  1.76E+05 2.18E+04 7.50E+05 2.92E+03 5.73E+03 7.80E+03 9.16E+03 9.14E+03 8.88E+03 7.37E+03 6.05E+03 4.37E+03 3.15E+03 2.09E+03 1.37E+03 8.07E+02 5.03E+02 2.83E+02 1.48E+02 7.11E+01 3.57E+01 1.57E+01 3.78E+00 2.34E+00 5.61E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  0.828  2.90E+05 3.55E+04 1.22E+06 4.61E+03 9.05E+03 1.23E+04 1.44E+04 1.45E+04 1.41E+04 1.19E+04 9.81E+03 7.13E+03 5.24E+03 3.57E+03 2.35E+03 1.41E+03 8.98E+02 5.03E+02 2.77E+02 1.37E+02 6.93E+01 2.81E+01 1.05E+01 7.14E+00 2.15E+00 2.81E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  0.852  4.67E+05 5.76E+04 1.95E+06 7.03E+03 1.38E+04 1.89E+04 2.24E+04 2.26E+04 2.20E+04 1.88E+04 1.56E+04 1.14E+04 8.55E+03 5.90E+03 3.94E+03 2.43E+03 1.53E+03 8.78E+02 4.98E+02 2.47E+02 1.29E+02 5.80E+01 2.79E+01 1.59E+01 5.04E+00 1.58E+00 1.40E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  0.875  7.42E+05 9.33E+04 3.08E+06 1.05E+04 2.07E+04 2.87E+04 3.43E+04 3.49E+04 3.42E+04 2.92E+04 2.44E+04 1.82E+04 1.37E+04 9.48E+03 6.49E+03 4.06E+03 2.57E+03 1.48E+03 8.63E+02 4.46E+02 2.34E+02 1.16E+02 5.59E+01 2.69E+01 8.44E+00 3.78E+00 4.90E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  0.898  1.16E+06 1.48E+05 4.79E+06 1.56E+04 3.09E+04 4.28E+04 5.14E+04 5.27E+04 5.20E+04 4.49E+04 3.78E+04 2.85E+04 2.17E+04 1.51E+04 1.05E+04 6.66E+03 4.26E+03 2.46E+03 1.46E+03 7.77E+02 4.15E+02 2.19E+02 1.07E+02 4.76E+01 1.63E+01 7.09E+00 2.04E+00 3.41E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  0.942  3.02E+06 3.58E+05 1.09E+07 3.30E+04 6.50E+04 9.01E+04 1.08E+05 1.12E+05 1.13E+05 1.00E+05 8.60E+04 6.65E+04 5.12E+04 3.65E+04 2.57E+04 1.67E+04 1.09E+04 6.48E+03 3.87E+03 2.08E+03 1.16E+03 6.20E+02 3.23E+02 1.58E+02 7.75E+01 3.19E+01 9.55E+00 2.46E+00 5.61E-01 1.40E-01 1.00E-30 1.00E-30 1.00E-30
  12.00  0.984  6.91E+06 8.02E+05 2.33E+07 6.48E+04 1.28E+05 1.78E+05 2.14E+05 2.25E+05 2.29E+05 2.06E+05 1.81E+05 1.44E+05 1.13E+05 8.24E+04 5.88E+04 3.89E+04 2.59E+04 1.56E+04 9.44E+03 5.21E+03 2.98E+03 1.63E+03 8.43E+02 4.08E+02 1.99E+02 8.57E+01 3.42E+01 1.36E+01 3.64E+00 9.00E-01 1.00E-30 1.00E-30 1.00E-30
  13.00  1.024  1.46E+07 1.68E+06 4.74E+07 1.22E+05 2.42E+05 3.38E+05 4.10E+05 4.36E+05 4.46E+05 4.05E+05 3.62E+05 2.92E+05 2.35E+05 1.75E+05 1.27E+05 8.55E+04 5.77E+04 3.56E+04 2.19E+04 1.24E+04 7.16E+03 3.96E+03 2.15E+03 1.13E+03 5.68E+02 2.63E+02 1.16E+02 4.43E+01 1.40E+01 2.77E+00 1.30E+00 3.41E-01 1.00E-30
  14.00  1.063  2.88E+07 3.36E+06 9.11E+07 2.17E+05 4.29E+05 6.02E+05 7.36E+05 7.90E+05 8.18E+05 7.58E+05 6.85E+05 5.63E+05 4.61E+05 3.49E+05 2.60E+05 1.78E+05 1.21E+05 7.55E+04 4.71E+04 2.71E+04 1.58E+04 8.88E+03 4.89E+03 2.55E+03 1.33E+03 6.22E+02 2.89E+02 1.20E+02 5.00E+01 2.06E+01 6.71E+00 1.42E+00 1.00E-30
