                    ************************************************************************************************
                    *  Z= 28 A= 60: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 60 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   6.50  1.064  2.76E+02 8.82E+01 6.20E+02 5.51E+00 1.46E+01 1.88E+01 1.80E+01 1.39E+01 9.03E+00 4.98E+00 2.36E+00 9.69E-01 3.45E-01 1.07E-01 2.90E-02 6.88E-03 1.42E-03 2.59E-04 4.11E-05 5.74E-06 7.03E-07 7.56E-08 7.13E-09 5.91E-10 4.31E-11 2.76E-12 1.55E-13 7.68E-15 3.34E-16 1.28E-17 4.30E-19 1.27E-20 3.31E-22
   7.00  1.104  4.01E+02 1.25E+02 9.19E+02 7.11E+00 1.90E+01 2.51E+01 2.49E+01 2.01E+01 1.38E+01 8.13E+00 4.17E+00 1.87E+00 7.38E-01 2.56E-01 7.86E-02 2.13E-02 5.10E-03 1.08E-03 2.04E-04 3.41E-05 5.05E-06 6.64E-07 7.76E-08 8.05E-09 7.42E-10 6.08E-11 4.43E-12 2.87E-13 1.65E-14 8.47E-16 3.86E-17 1.56E-18 5.63E-20
   7.50  1.143  5.76E+02 1.75E+02 1.35E+03 9.21E+00 2.48E+01 3.35E+01 3.40E+01 2.86E+01 2.05E+01 1.28E+01 7.03E+00 3.40E+00 1.46E+00 5.56E-01 1.89E-01 5.73E-02 1.55E-02 3.76E-03 8.16E-04 1.58E-04 2.75E-05 4.29E-06 5.99E-07 7.50E-08 8.42E-09 8.49E-10 7.68E-11 6.23E-12 4.54E-13 2.97E-14 1.74E-15 9.18E-17 4.35E-18
   8.00  1.180  8.22E+02 2.46E+02 1.96E+03 1.19E+01 3.25E+01 4.44E+01 4.63E+01 4.02E+01 3.00E+01 1.97E+01 1.14E+01 5.87E+00 2.71E+00 1.12E+00 4.15E-01 1.39E-01 4.17E-02 1.13E-02 2.76E-03 6.08E-04 1.21E-04 2.18E-05 3.54E-06 5.20E-07 6.91E-08 8.30E-09 9.02E-10 8.87E-11 7.89E-12 6.35E-13 4.62E-14 3.05E-15 1.82E-16
   8.50  1.216  1.16E+03 3.42E+02 2.84E+03 1.55E+01 4.24E+01 5.88E+01 6.26E+01 5.58E+01 4.32E+01 2.95E+01 1.79E+01 9.76E+00 4.79E+00 2.12E+00 8.48E-01 3.07E-01 1.01E-01 3.01E-02 8.16E-03 2.01E-03 4.49E-04 9.15E-05 1.69E-05 2.86E-06 4.38E-07 6.12E-08 7.79E-09 9.04E-10 9.54E-11 9.18E-12 8.05E-13 6.43E-14 4.69E-15
   9.00  1.252  1.64E+03 4.75E+02 4.07E+03 2.01E+01 5.53E+01 7.77E+01 8.42E+01 7.68E+01 6.12E+01 4.33E+01 2.75E+01 1.57E+01 8.12E+00 3.82E+00 1.63E+00 6.35E-01 2.26E-01 7.32E-02 2.17E-02 5.87E-03 1.45E-03 3.30E-04 6.84E-05 1.30E-05 2.26E-06 3.60E-07 5.26E-08 7.04E-09 8.63E-10 9.70E-11 9.99E-12 9.44E-13 8.18E-14
   9.50  1.286  2.29E+03 6.55E+02 5.80E+03 2.60E+01 7.21E+01 1.02E+02 1.13E+02 1.05E+02 8.59E+01 6.27E+01 4.12E+01 2.46E+01 1.33E+01 6.60E+00 2.99E+00 1.24E+00 4.71E-01 1.65E-01 5.27E-02 1.55E-02 4.21E-03 1.05E-03 2.40E-04 5.07E-05 9.84E-06 1.76E-06 2.90E-07 4.40E-08 6.15E-09 7.92E-10 9.40E-11 1.03E-11 1.04E-12
  10.00  1.319  3.19E+03 9.01E+02 8.21E+03 3.38E+01 9.39E+01 1.34E+02 1.50E+02 1.43E+02 1.19E+02 8.96E+01 6.09E+01 3.76E+01 2.13E+01 1.10E+01 5.26E+00 2.31E+00 9.32E-01 3.47E-01 1.19E-01 3.78E-02 1.11E-02 3.00E-03 7.51E-04 1.74E-04 3.72E-05 7.37E-06 1.35E-06 2.29E-07 3.60E-08 5.22E-09 7.03E-10 8.75E-11 1.01E-11
  11.00  1.384  6.55E+03 1.68E+03 1.62E+04 5.65E+01 1.58E+02 2.30E+02 2.63E+02 2.58E+02 2.25E+02 1.77E+02 1.27E+02 8.35E+01 5.07E+01 2.84E+01 1.48E+01 7.11E+00 3.18E+00 1.32E+00 5.11E-01 1.84E-01 6.15E-02 1.92E-02 5.57E-03 1.51E-03 3.80E-04 8.95E-05 1.96E-05 4.02E-06 7.68E-07 1.37E-07 2.27E-08 3.52E-09 5.10E-10
  12.00  1.445  1.28E+04 3.13E+03 3.12E+04 9.84E+01 2.77E+02 4.07E+02 4.71E+02 4.70E+02 4.18E+02 3.38E+02 2.50E+02 1.71E+02 1.08E+02 6.33E+01 3.45E+01 1.76E+01 8.32E+00 3.68E+00 1.52E+00 5.87E-01 2.12E-01 7.17E-02 2.27E-02 6.71E-03 1.86E-03 4.83E-04 1.17E-04 2.68E-05 5.71E-06 1.14E-06 2.14E-07 3.77E-08 6.21E-09
