                    ************************************************************************************************
                    *  Z= 25 A= 55: Positive-Parity Spin-dependent Level Density [MeV-1] for Mn 55 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   6.50  0.947  7.05E+02 1.14E+02 1.85E+03 1.44E+01 1.72E+01 2.46E+01 2.43E+01 2.41E+01 2.40E+01 2.06E+01 1.59E+01 1.09E+01 7.43E+00 4.92E+00 2.06E+00 1.05E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.982  1.26E+03 2.27E+02 4.10E+03 1.91E+01 4.13E+01 5.09E+01 5.30E+01 5.67E+01 5.47E+01 4.72E+01 3.75E+01 2.60E+01 1.61E+01 7.07E+00 4.68E+00 1.71E+00 1.23E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  1.017  2.27E+03 5.06E+02 8.33E+03 3.26E+01 6.72E+01 8.68E+01 1.03E+02 1.08E+02 1.01E+02 9.32E+01 7.68E+01 5.35E+01 3.39E+01 2.03E+01 1.37E+01 5.09E+00 1.76E+00 7.98E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  1.050  3.82E+03 9.24E+02 8.92E+03 4.01E+01 7.66E+01 9.77E+01 1.16E+02 1.24E+02 1.14E+02 9.37E+01 7.27E+01 5.57E+01 3.62E+01 1.90E+01 1.42E+01 7.07E+00 2.43E+00 1.36E+00 6.00E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  1.082  5.98E+03 8.58E+02 1.10E+04 4.93E+01 8.81E+01 1.24E+02 1.39E+02 1.41E+02 1.33E+02 1.11E+02 8.81E+01 6.62E+01 4.57E+01 2.87E+01 1.92E+01 1.00E+01 6.30E+00 3.41E+00 4.75E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  1.114  9.38E+03 1.13E+03 1.78E+04 6.34E+01 1.20E+02 1.79E+02 2.06E+02 1.98E+02 1.91E+02 1.83E+02 1.47E+02 1.08E+02 7.91E+01 5.85E+01 3.46E+01 1.94E+01 1.50E+01 6.82E+00 3.06E+00 6.84E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  1.144  1.51E+04 1.81E+03 2.94E+04 9.57E+01 1.85E+02 2.58E+02 3.02E+02 3.11E+02 3.03E+02 2.84E+02 2.41E+02 1.89E+02 1.40E+02 1.03E+02 6.59E+01 4.08E+01 2.58E+01 1.31E+01 5.66E+00 2.23E+00 1.12E-02 7.14E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  1.174  2.21E+04 2.87E+03 4.65E+04 1.35E+02 2.59E+02 3.56E+02 4.20E+02 4.50E+02 4.42E+02 4.10E+02 3.56E+02 2.92E+02 2.22E+02 2.03E+02 1.35E+02 8.48E+01 4.93E+01 2.59E+01 1.10E+01 4.37E+00 8.49E-01 1.17E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.231  4.65E+04 6.39E+03 9.84E+04 2.29E+02 4.36E+02 6.06E+02 7.28E+02 7.93E+02 7.96E+02 7.51E+02 6.67E+02 5.69E+02 4.57E+02 5.73E+02 3.89E+02 2.45E+02 1.41E+02 7.42E+01 3.39E+01 1.32E+01 3.50E+00 8.58E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.286  1.03E+05 9.76E+03 1.56E+05 3.67E+02 7.01E+02 9.76E+02 1.18E+03 1.29E+03 1.30E+03 1.24E+03 1.11E+03 9.56E+02 7.82E+02 7.78E+02 5.45E+02 3.60E+02 2.22E+02 1.26E+02 6.44E+01 2.90E+01 1.10E+01 3.08E+00 2.32E-01 9.84E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
