                    ************************************************************************************************
                    *  Z= 30 A= 66: Positive-Parity Spin-dependent Level Density [MeV-1] for Zn 66 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   6.50  0.818  5.63E+02 2.20E+02 1.60E+03 1.28E+01 3.40E+01 4.48E+01 4.40E+01 3.53E+01 2.39E+01 1.39E+01 7.04E+00 3.10E+00 1.20E+00 4.08E-01 1.22E-01 3.22E-02 7.50E-03 1.54E-03 2.81E-04 4.53E-05 6.47E-06 8.18E-07 9.17E-08 9.10E-09 8.02E-10 6.26E-11 4.33E-12 2.66E-13 1.45E-14 7.02E-16 3.01E-17 1.15E-18 3.88E-20
   7.00  0.849  9.17E+02 3.54E+02 2.69E+03 1.90E+01 5.10E+01 6.84E+01 6.92E+01 5.76E+01 4.09E+01 2.52E+01 1.36E+01 6.47E+00 2.72E+00 1.02E+00 3.37E-01 9.96E-02 2.62E-02 6.16E-03 1.29E-03 2.42E-04 4.06E-05 6.08E-06 8.15E-07 9.77E-08 1.05E-08 1.01E-09 8.66E-11 6.67E-12 4.60E-13 2.84E-14 1.57E-15 7.81E-17 3.47E-18
   7.50  0.879  1.49E+03 5.71E+02 4.51E+03 2.83E+01 7.68E+01 1.05E+02 1.08E+02 9.33E+01 6.90E+01 4.46E+01 2.55E+01 1.29E+01 5.84E+00 2.36E+00 8.56E-01 2.78E-01 8.14E-02 2.14E-02 5.06E-03 1.08E-03 2.07E-04 3.58E-05 5.59E-06 7.88E-07 1.00E-07 1.15E-08 1.19E-09 1.11E-10 9.34E-12 7.11E-13 4.89E-14 3.03E-15 1.70E-16
   8.00  0.908  2.41E+03 9.20E+02 7.53E+03 4.25E+01 1.16E+02 1.61E+02 1.70E+02 1.50E+02 1.15E+02 7.75E+01 4.64E+01 2.49E+01 1.20E+01 5.19E+00 2.03E+00 7.17E-01 2.29E-01 6.65E-02 1.74E-02 4.15E-03 8.97E-04 1.76E-04 3.13E-05 5.06E-06 7.43E-07 9.92E-08 1.20E-08 1.33E-09 1.33E-10 1.21E-11 1.00E-12 7.57E-14 5.19E-15
   8.50  0.935  3.89E+03 1.48E+03 1.26E+04 6.42E+01 1.76E+02 2.47E+02 2.66E+02 2.41E+02 1.90E+02 1.33E+02 8.29E+01 4.66E+01 2.37E+01 1.09E+01 4.56E+00 1.73E+00 5.99E-01 1.89E-01 5.43E-02 1.42E-02 3.41E-03 7.44E-04 1.49E-04 2.71E-05 4.52E-06 6.88E-07 9.59E-08 1.22E-08 1.42E-09 1.52E-10 1.48E-11 1.32E-12 1.08E-13
   9.00  0.963  6.28E+03 2.39E+03 2.09E+04 9.73E+01 2.69E+02 3.80E+02 4.16E+02 3.85E+02 3.12E+02 2.25E+02 1.46E+02 8.55E+01 4.56E+01 2.21E+01 9.80E+00 3.97E+00 1.47E+00 4.99E-01 1.55E-01 4.43E-02 1.16E-02 2.79E-03 6.16E-04 1.25E-04 2.33E-05 3.99E-06 6.27E-07 9.08E-08 1.21E-08 1.48E-09 1.66E-10 1.72E-11 1.64E-12
   9.50  0.989  1.01E+04 3.85E+03 3.47E+04 1.48E+02 4.11E+02 5.86E+02 6.50E+02 6.13E+02 5.08E+02 3.77E+02 2.53E+02 1.54E+02 8.56E+01 4.36E+01 2.03E+01 8.71E+00 3.43E+00 1.24E+00 4.15E-01 1.28E-01 3.62E-02 9.47E-03 2.29E-03 5.09E-04 1.05E-04 1.99E-05 3.49E-06 5.65E-07 8.45E-08 1.17E-08 1.49E-09 1.76E-10 1.92E-11
  10.00  1.015  1.63E+04 6.20E+03 5.71E+04 2.27E+02 6.34E+02 9.11E+02 1.02E+03 9.76E+02 8.24E+02 6.25E+02 4.29E+02 2.69E+02 1.54E+02 8.14E+01 3.95E+01 1.76E+01 7.28E+00 2.77E+00 9.76E-01 3.18E-01 9.57E-02 2.67E-02 6.89E-03 1.65E-03 3.65E-04 7.49E-05 1.43E-05 2.51E-06 4.11E-07 6.23E-08 8.76E-09 1.14E-09 1.38E-10
  11.00  1.064  4.73E+04 1.55E+04 1.48E+05 5.33E+02 1.49E+03 2.16E+03 2.46E+03 2.40E+03 2.07E+03 1.61E+03 1.15E+03 7.46E+02 4.46E+02 2.47E+02 1.26E+02 5.95E+01 2.61E+01 1.06E+01 4.00E+00 1.40E+00 4.58E-01 1.39E-01 3.92E-02 1.03E-02 2.51E-03 5.72E-04 1.21E-04 2.39E-05 4.39E-06 7.51E-07 1.20E-07 1.78E-08 2.46E-09
  12.00  1.111  1.21E+05 3.70E+04 3.62E+05 1.20E+03 3.38E+03 4.94E+03 5.68E+03 5.62E+03 4.95E+03 3.95E+03 2.88E+03 1.93E+03 1.20E+03 6.87E+02 3.66E+02 1.81E+02 8.36E+01 3.59E+01 1.44E+01 5.36E+00 1.87E+00 6.07E-01 1.84E-01 5.22E-02 1.38E-02 3.43E-03 7.94E-04 1.72E-04 3.48E-05 6.58E-06 1.16E-06 1.93E-07 2.98E-08
