                    ************************************************************************************************
                    *  Z= 25 A= 55: Positive-Parity Spin-dependent Level Density [MeV-1] for Mn 55 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   9.50  1.144  1.36E+04 2.11E+03 3.25E+04 1.90E+02 3.59E+02 4.93E+02 5.29E+02 5.05E+02 5.00E+02 3.62E+02 2.54E+02 1.52E+02 1.09E+02 5.32E+01 2.02E+01 8.07E+00 2.16E+00 8.21E-01 1.51E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  1.174  1.99E+04 3.12E+03 4.96E+04 2.78E+02 5.39E+02 7.37E+02 8.19E+02 7.48E+02 7.33E+02 5.33E+02 3.95E+02 2.43E+02 1.67E+02 8.51E+01 4.24E+01 1.56E+01 5.20E+00 1.32E+00 6.51E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.231  4.57E+04 7.13E+03 1.09E+05 5.68E+02 1.14E+03 1.48E+03 1.69E+03 1.63E+03 1.57E+03 1.14E+03 8.67E+02 6.00E+02 3.77E+02 2.10E+02 1.20E+02 5.04E+01 1.81E+01 4.97E+00 1.87E+00 4.38E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.286  9.75E+04 1.48E+04 2.33E+05 1.16E+03 2.28E+03 2.95E+03 3.37E+03 3.30E+03 3.17E+03 2.46E+03 1.91E+03 1.31E+03 8.68E+02 5.03E+02 2.87E+02 1.28E+02 5.28E+01 1.81E+01 5.04E+00 1.75E+00 4.38E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  13.00  1.339  1.98E+05 3.06E+04 4.76E+05 2.28E+03 4.40E+03 5.72E+03 6.64E+03 6.50E+03 6.31E+03 4.90E+03 3.95E+03 2.73E+03 1.87E+03 1.12E+03 6.81E+02 3.02E+02 1.45E+02 5.49E+01 1.73E+01 4.44E+00 8.76E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.389  3.89E+05 6.03E+04 9.39E+05 4.21E+03 8.02E+03 1.06E+04 1.25E+04 1.24E+04 1.22E+04 9.50E+03 7.72E+03 5.54E+03 3.83E+03 2.35E+03 1.48E+03 7.25E+02 3.55E+02 1.47E+02 5.28E+01 1.57E+01 4.24E+00 1.30E+00 4.38E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.438  7.43E+05 1.15E+05 1.80E+06 7.44E+03 1.46E+04 1.94E+04 2.25E+04 2.26E+04 2.25E+04 1.82E+04 1.49E+04 1.09E+04 7.69E+03 4.88E+03 3.06E+03 1.58E+03 8.08E+02 3.55E+02 1.43E+02 4.82E+01 1.46E+01 3.14E+00 4.48E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.485  1.38E+06 2.13E+05 3.36E+06 1.32E+04 2.62E+04 3.45E+04 4.03E+04 4.07E+04 4.08E+04 3.32E+04 2.78E+04 2.06E+04 1.50E+04 9.64E+03 6.26E+03 3.25E+03 1.77E+03 7.98E+02 3.53E+02 1.27E+02 4.30E+01 9.86E+00 2.28E+00 4.38E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  17.00  1.531  2.51E+06 3.88E+05 6.08E+06 2.26E+04 4.44E+04 5.92E+04 6.99E+04 7.13E+04 7.19E+04 5.92E+04 4.97E+04 3.77E+04 2.80E+04 1.83E+04 1.23E+04 6.64E+03 3.65E+03 1.75E+03 8.17E+02 3.15E+02 1.17E+02 3.36E+01 8.36E+00 1.97E+00 4.38E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  18.00  1.575  4.45E+06 6.78E+05 1.07E+07 3.77E+04 7.37E+04 9.95E+04 1.18E+05 1.21E+05 1.22E+05 1.03E+05 8.77E+04 6.73E+04 5.03E+04 3.39E+04 2.31E+04 1.29E+04 7.21E+03 3.63E+03 1.74E+03 7.16E+02 2.91E+02 9.12E+01 2.67E+01 5.89E+00 1.32E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
