                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   6.50  0.735  2.24E+04 1.18E+04 1.13E+05 3.98E+02 1.12E+03 1.62E+03 1.85E+03 1.81E+03 1.57E+03 1.24E+03 8.85E+02 5.81E+02 3.52E+02 1.96E+02 1.02E+02 4.87E+01 2.17E+01 8.96E+00 3.44E+00 1.23E+00 4.09E-01 1.27E-01 3.66E-02 9.83E-03 2.46E-03 5.74E-04 1.25E-04 2.53E-05 4.79E-06 8.46E-07 1.39E-07 2.14E-08 3.06E-09
   7.00  0.763  4.66E+04 2.42E+04 2.36E+05 7.94E+02 2.23E+03 3.26E+03 3.74E+03 3.69E+03 3.24E+03 2.58E+03 1.87E+03 1.25E+03 7.72E+02 4.41E+02 2.33E+02 1.15E+02 5.25E+01 2.24E+01 8.87E+00 3.28E+00 1.13E+00 3.64E-01 1.09E-01 3.07E-02 8.04E-03 1.97E-03 4.49E-04 9.59E-05 1.91E-05 3.57E-06 6.22E-07 1.01E-07 1.55E-08
   7.50  0.789  9.63E+04 4.97E+04 4.94E+05 1.57E+03 4.42E+03 6.49E+03 7.51E+03 7.48E+03 6.65E+03 5.36E+03 3.96E+03 2.69E+03 1.70E+03 9.91E+02 5.38E+02 2.72E+02 1.28E+02 5.65E+01 2.32E+01 8.92E+00 3.20E+00 1.07E+00 3.37E-01 9.91E-02 2.73E-02 7.02E-03 1.69E-03 3.82E-04 8.08E-05 1.60E-05 2.97E-06 5.17E-07 8.43E-08
   8.00  0.815  1.96E+05 9.99E+04 1.02E+06 3.01E+03 8.50E+03 1.26E+04 1.46E+04 1.48E+04 1.33E+04 1.09E+04 8.24E+03 5.75E+03 3.72E+03 2.24E+03 1.26E+03 6.58E+02 3.23E+02 1.48E+02 6.36E+01 2.56E+01 9.67E+00 3.43E+00 1.14E+00 3.55E-01 1.04E-01 2.86E-02 7.38E-03 1.79E-03 4.08E-04 8.73E-05 1.76E-05 3.32E-06 5.90E-07
   8.50  0.840  3.92E+05 1.96E+05 2.03E+06 5.65E+03 1.60E+04 2.37E+04 2.79E+04 2.84E+04 2.60E+04 2.17E+04 1.66E+04 1.18E+04 7.84E+03 4.84E+03 2.80E+03 1.51E+03 7.67E+02 3.65E+02 1.63E+02 6.84E+01 2.70E+01 1.00E+01 3.50E+00 1.15E+00 3.55E-01 1.03E-01 2.83E-02 7.31E-03 1.78E-03 4.07E-04 8.78E-05 1.78E-05 3.42E-06
   9.00  0.865  7.67E+05 3.75E+05 3.98E+06 1.04E+04 2.95E+04 4.40E+04 5.21E+04 5.36E+04 4.95E+04 4.19E+04 3.27E+04 2.37E+04 1.60E+04 1.01E+04 5.99E+03 3.33E+03 1.74E+03 8.54E+02 3.95E+02 1.72E+02 7.05E+01 2.72E+01 9.93E+00 3.41E+00 1.11E+00 3.39E-01 9.79E-02 2.67E-02 6.87E-03 1.67E-03 3.83E-04 8.30E-05 1.70E-05
   9.50  0.888  1.47E+06 7.05E+05 7.61E+06 1.89E+04 5.36E+04 8.02E+04 9.55E+04 9.90E+04 9.25E+04 7.91E+04 6.26E+04 4.61E+04 3.17E+04 2.05E+04 1.24E+04 7.06E+03 3.79E+03 1.91E+03 9.12E+02 4.10E+02 1.74E+02 6.98E+01 2.64E+01 9.47E+00 3.20E+00 1.03E+00 3.10E-01 8.88E-02 2.40E-02 6.16E-03 1.49E-03 3.42E-04 7.43E-05
  10.00  0.911  2.77E+06 1.30E+06 1.43E+07 3.36E+04 9.57E+04 1.44E+05 1.72E+05 1.80E+05 1.69E+05 1.46E+05 1.17E+05 8.78E+04 6.14E+04 4.03E+04 2.49E+04 1.45E+04 7.96E+03 4.13E+03 2.02E+03 9.36E+02 4.10E+02 1.70E+02 6.66E+01 2.47E+01 8.69E+00 2.90E+00 9.14E-01 2.73E-01 7.74E-02 2.08E-02 5.29E-03 1.28E-03 2.92E-04
  11.00  0.956  1.12E+07 4.21E+06 4.77E+07 1.02E+05 2.92E+05 4.42E+05 5.34E+05 5.64E+05 5.40E+05 4.76E+05 3.90E+05 2.99E+05 2.15E+05 1.46E+05 9.33E+04 5.64E+04 3.22E+04 1.75E+04 8.97E+03 4.36E+03 2.02E+03 8.84E+02 3.68E+02 1.45E+02 5.46E+01 1.95E+01 6.61E+00 2.13E+00 6.53E-01 1.90E-01 5.28E-02 1.39E-02 3.49E-03
  12.00  0.998  3.69E+07 1.29E+07 1.50E+08 2.96E+05 8.47E+05 1.29E+06 1.57E+06 1.68E+06 1.63E+06 1.46E+06 1.21E+06 9.51E+05 7.01E+05 4.87E+05 3.21E+05 2.00E+05 1.18E+05 6.66E+04 3.55E+04 1.80E+04 8.71E+03 4.00E+03 1.75E+03 7.30E+02 2.90E+02 1.10E+02 3.95E+01 1.36E+01 4.44E+00 1.38E+00 4.12E-01 1.17E-01 3.16E-02
