                    ************************************************************************************************
                    *  Z= 22 A= 50: Positive-Parity Spin-dependent Level Density [MeV-1] for Ti 50 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   6.50  1.076  1.17E+02 3.95E+01 2.54E+02 2.93E+00 7.57E+00 9.31E+00 8.28E+00 5.80E+00 3.33E+00 1.58E+00 6.32E-01 2.13E-01 6.09E-02 1.48E-02 3.06E-03 5.40E-04 8.13E-05 1.05E-05 1.15E-06 1.09E-07 8.77E-09 6.06E-10 3.59E-11 1.82E-12 7.93E-14 2.96E-15 9.47E-17 2.60E-18 6.13E-20 1.24E-21 2.15E-23 3.20E-25 4.09E-27
   7.00  1.116  1.73E+02 5.65E+01 3.79E+02 3.86E+00 1.01E+01 1.27E+01 1.17E+01 8.64E+00 5.27E+00 2.70E+00 1.18E+00 4.39E-01 1.40E-01 3.86E-02 9.17E-03 1.88E-03 3.33E-04 5.10E-05 6.77E-06 7.79E-07 7.77E-08 6.73E-09 5.05E-10 3.29E-11 1.86E-12 9.14E-14 3.90E-15 1.44E-16 4.64E-18 1.30E-19 3.16E-21 6.66E-23 1.22E-24
   7.50  1.156  2.53E+02 8.00E+01 5.60E+02 5.06E+00 1.33E+01 1.72E+01 1.64E+01 1.26E+01 8.10E+00 4.43E+00 2.08E+00 8.43E-01 2.96E-01 9.07E-02 2.42E-02 5.62E-03 1.14E-03 2.03E-04 3.16E-05 4.31E-06 5.14E-07 5.38E-08 4.94E-09 3.98E-10 2.81E-11 1.74E-12 9.47E-14 4.52E-15 1.90E-16 6.98E-18 2.26E-19 6.41E-21 1.60E-22
   8.00  1.193  3.66E+02 1.13E+02 8.16E+02 6.62E+00 1.76E+01 2.31E+01 2.26E+01 1.80E+01 1.21E+01 7.01E+00 3.51E+00 1.53E+00 5.84E-01 1.95E-01 5.76E-02 1.49E-02 3.42E-03 6.90E-04 1.23E-04 1.94E-05 2.70E-06 3.33E-07 3.63E-08 3.50E-09 3.00E-10 2.27E-11 1.52E-12 9.02E-14 4.75E-15 2.21E-16 9.14E-18 3.35E-19 1.09E-20
   8.50  1.230  5.23E+02 1.57E+02 1.18E+03 8.63E+00 2.32E+01 3.09E+01 3.09E+01 2.55E+01 1.78E+01 1.08E+01 5.70E+00 2.65E+00 1.09E+00 3.93E-01 1.26E-01 3.60E-02 9.13E-03 2.06E-03 4.13E-04 7.39E-05 1.18E-05 1.67E-06 2.12E-07 2.39E-08 2.41E-09 2.17E-10 1.75E-11 1.25E-12 8.03E-14 4.59E-15 2.35E-16 1.07E-17 4.37E-19
   9.00  1.266  7.40E+02 2.18E+02 1.69E+03 1.12E+01 3.03E+01 4.10E+01 4.20E+01 3.55E+01 2.57E+01 1.62E+01 9.00E+00 4.42E+00 1.93E+00 7.48E-01 2.59E-01 8.03E-02 2.23E-02 5.53E-03 1.23E-03 2.46E-04 4.40E-05 7.08E-06 1.02E-06 1.33E-07 1.55E-08 1.62E-09 1.53E-10 1.29E-11 9.85E-13 6.75E-14 4.16E-15 2.30E-16 1.15E-17
   9.50  1.301  1.04E+03 2.99E+02 2.39E+03 1.46E+01 3.96E+01 5.42E+01 5.64E+01 4.89E+01 3.66E+01 2.39E+01 1.39E+01 7.14E+00 3.29E+00 1.36E+00 5.03E-01 1.68E-01 5.03E-02 1.36E-02 3.32E-03 7.31E-04 1.45E-04 2.61E-05 4.23E-06 6.20E-07 8.22E-08 9.85E-09 1.07E-09 1.05E-10 9.28E-12 7.45E-13 5.41E-14 3.56E-15 2.12E-16
  10.00  1.334  1.45E+03 4.09E+02 3.36E+03 1.88E+01 5.15E+01 7.12E+01 7.54E+01 6.68E+01 5.13E+01 3.47E+01 2.08E+01 1.12E+01 5.43E+00 2.37E+00 9.31E-01 3.31E-01 1.07E-01 3.11E-02 8.23E-03 1.98E-03 4.31E-04 8.53E-05 1.53E-05 2.51E-06 3.72E-07 5.03E-08 6.18E-09 6.90E-10 7.01E-11 6.48E-12 5.44E-13 4.17E-14 2.90E-15
  11.00  1.399  2.96E+03 7.53E+02 6.51E+03 3.13E+01 8.64E+01 1.22E+02 1.32E+02 1.22E+02 9.77E+01 6.97E+01 4.46E+01 2.58E+01 1.35E+01 6.46E+00 2.81E+00 1.11E+00 4.03E-01 1.33E-01 4.04E-02 1.12E-02 2.84E-03 6.62E-04 1.41E-04 2.76E-05 4.96E-06 8.17E-07 1.23E-07 1.71E-08 2.18E-09 2.54E-10 2.73E-11 2.68E-12 2.43E-13
  12.00  1.462  5.73E+03 1.39E+03 1.23E+04 5.48E+01 1.52E+02 2.16E+02 2.38E+02 2.22E+02 1.82E+02 1.33E+02 8.77E+01 5.25E+01 2.86E+01 1.42E+01 6.45E+00 2.69E+00 1.03E+00 3.60E-01 1.16E-01 3.44E-02 9.39E-03 2.35E-03 5.44E-04 1.16E-04 2.26E-05 4.08E-06 6.78E-07 1.04E-07 1.47E-08 1.91E-09 2.29E-10 2.53E-11 2.58E-12
