                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   6.50  0.735  1.25E+05 6.89E+04 6.62E+05 2.33E+03 6.53E+03 9.50E+03 1.08E+04 1.06E+04 9.22E+03 7.23E+03 5.18E+03 3.40E+03 2.06E+03 1.15E+03 5.95E+02 2.85E+02 1.27E+02 5.24E+01 2.01E+01 7.20E+00 2.40E+00 7.42E-01 2.14E-01 5.75E-02 1.44E-02 3.36E-03 7.31E-04 1.48E-04 2.80E-05 4.95E-06 8.14E-07 1.25E-07 1.79E-08
   7.00  0.763  2.74E+05 1.49E+05 1.45E+06 4.89E+03 1.37E+04 2.00E+04 2.30E+04 2.27E+04 1.99E+04 1.59E+04 1.15E+04 7.70E+03 4.75E+03 2.71E+03 1.44E+03 7.06E+02 3.23E+02 1.38E+02 5.46E+01 2.02E+01 6.96E+00 2.24E+00 6.73E-01 1.89E-01 4.95E-02 1.21E-02 2.76E-03 5.90E-04 1.18E-04 2.20E-05 3.83E-06 6.24E-07 9.51E-08
   7.50  0.789  5.95E+05 3.21E+05 3.19E+06 1.02E+04 2.86E+04 4.19E+04 4.85E+04 4.83E+04 4.29E+04 3.46E+04 2.56E+04 1.74E+04 1.10E+04 6.40E+03 3.48E+03 1.76E+03 8.30E+02 3.65E+02 1.50E+02 5.76E+01 2.07E+01 6.94E+00 2.18E+00 6.40E-01 1.76E-01 4.53E-02 1.09E-02 2.47E-03 5.22E-04 1.03E-04 1.92E-05 3.34E-06 5.45E-07
   8.00  0.815  1.27E+06 6.77E+05 6.88E+06 2.04E+04 5.76E+04 8.50E+04 9.92E+04 1.00E+05 9.02E+04 7.40E+04 5.58E+04 3.89E+04 2.52E+04 1.52E+04 8.51E+03 4.46E+03 2.19E+03 1.00E+03 4.31E+02 1.74E+02 6.55E+01 2.32E+01 7.71E+00 2.40E+00 7.04E-01 1.93E-01 5.00E-02 1.21E-02 2.76E-03 5.91E-04 1.19E-04 2.25E-05 4.00E-06
   8.50  0.840  2.66E+06 1.39E+06 1.44E+07 4.01E+04 1.14E+05 1.68E+05 1.98E+05 2.02E+05 1.84E+05 1.54E+05 1.18E+05 8.40E+04 5.56E+04 3.44E+04 1.98E+04 1.07E+04 5.44E+03 2.59E+03 1.16E+03 4.85E+02 1.91E+02 7.10E+01 2.48E+01 8.14E+00 2.52E+00 7.33E-01 2.01E-01 5.18E-02 1.26E-02 2.89E-03 6.23E-04 1.27E-04 2.43E-05
   9.00  0.865  5.45E+06 2.79E+06 2.95E+07 7.73E+04 2.19E+05 3.27E+05 3.87E+05 3.98E+05 3.68E+05 3.11E+05 2.42E+05 1.76E+05 1.19E+05 7.51E+04 4.45E+04 2.47E+04 1.29E+04 6.34E+03 2.93E+03 1.28E+03 5.23E+02 2.02E+02 7.37E+01 2.53E+01 8.22E+00 2.52E+00 7.26E-01 1.98E-01 5.10E-02 1.24E-02 2.84E-03 6.16E-04 1.26E-04
   9.50  0.888  1.09E+07 5.47E+06 5.91E+07 1.46E+05 4.16E+05 6.22E+05 7.41E+05 7.68E+05 7.17E+05 6.14E+05 4.86E+05 3.58E+05 2.46E+05 1.59E+05 9.62E+04 5.48E+04 2.94E+04 1.48E+04 7.07E+03 3.18E+03 1.35E+03 5.41E+02 2.05E+02 7.34E+01 2.49E+01 7.95E+00 2.41E+00 6.89E-01 1.87E-01 4.78E-02 1.16E-02 2.66E-03 5.77E-04
  10.00  0.911  2.14E+07 1.05E+07 1.16E+08 2.72E+05 7.75E+05 1.16E+06 1.39E+06 1.46E+06 1.37E+06 1.19E+06 9.51E+05 7.11E+05 4.97E+05 3.27E+05 2.02E+05 1.18E+05 6.45E+04 3.34E+04 1.64E+04 7.58E+03 3.32E+03 1.38E+03 5.39E+02 2.00E+02 7.04E+01 2.35E+01 7.40E+00 2.21E+00 6.27E-01 1.68E-01 4.29E-02 1.04E-02 2.37E-03
  11.00  0.956  9.56E+07 3.71E+07 4.20E+08 9.01E+05 2.57E+06 3.89E+06 4.71E+06 4.97E+06 4.76E+06 4.20E+06 3.44E+06 2.64E+06 1.90E+06 1.29E+06 8.22E+05 4.97E+05 2.84E+05 1.54E+05 7.90E+04 3.85E+04 1.78E+04 7.79E+03 3.24E+03 1.28E+03 4.81E+02 1.72E+02 5.83E+01 1.88E+01 5.76E+00 1.68E+00 4.65E-01 1.23E-01 3.07E-02
  12.00  0.998  3.41E+08 1.23E+08 1.43E+09 2.83E+06 8.10E+06 1.23E+07 1.50E+07 1.60E+07 1.55E+07 1.39E+07 1.16E+07 9.09E+06 6.70E+06 4.66E+06 3.07E+06 1.91E+06 1.13E+06 6.36E+05 3.40E+05 1.72E+05 8.33E+04 3.83E+04 1.67E+04 6.98E+03 2.77E+03 1.05E+03 3.77E+02 1.30E+02 4.24E+01 1.32E+01 3.93E+00 1.12E+00 3.02E-01
  13.00  1.039  1.11E+09 3.86E+08 4.62E+09 8.46E+06 2.43E+07 3.71E+07 4.55E+07 4.90E+07 4.81E+07 4.36E+07 3.70E+07 2.95E+07 2.22E+07 1.58E+07 1.06E+07 6.82E+06 4.15E+06 2.41E+06 1.33E+06 7.00E+05 3.51E+05 1.68E+05 7.67E+04 3.34E+04 1.39E+04 5.52E+03 2.09E+03 7.58E+02 2.63E+02 8.68E+01 2.74E+01 8.28E+00 2.39E+00
  14.00  1.078  3.44E+09 1.16E+09 1.42E+10 2.43E+07 6.99E+07 1.07E+08 1.32E+08 1.44E+08 1.42E+08 1.31E+08 1.12E+08 9.08E+07 6.94E+07 5.04E+07 3.47E+07 2.28E+07 1.42E+07 8.48E+06 4.82E+06 2.61E+06 1.36E+06 6.72E+05 3.18E+05 1.44E+05 6.24E+04 2.59E+04 1.03E+04 3.89E+03 1.41E+03 4.92E+02 1.64E+02 5.22E+01 1.59E+01
  15.00  1.116  1.01E+10 3.35E+09 4.17E+10 6.73E+07 1.94E+08 2.98E+08 3.69E+08 4.04E+08 4.04E+08 3.74E+08 3.25E+08 2.67E+08 2.07E+08 1.53E+08 1.07E+08 7.19E+07 4.59E+07 2.80E+07 1.63E+07 9.11E+06 4.86E+06 2.48E+06 1.22E+06 5.69E+05 2.56E+05 1.10E+05 4.54E+04 1.79E+04 6.80E+03 2.47E+03 8.61E+02 2.88E+02 9.23E+01
  16.00  1.153  2.87E+10 9.30E+09 1.18E+11 1.80E+08 5.19E+08 8.01E+08 9.98E+08 1.10E+09 1.10E+09 1.03E+09 9.09E+08 7.54E+08 5.94E+08 4.45E+08 3.18E+08 2.17E+08 1.41E+08 8.79E+07 5.24E+07 2.99E+07 1.64E+07 8.60E+06 4.33E+06 2.09E+06 9.69E+05 4.31E+05 1.84E+05 7.54E+04 2.97E+04 1.12E+04 4.07E+03 1.42E+03 4.76E+02
