                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   6.50  0.735  2.32E+04 1.22E+04 1.17E+05 4.13E+02 1.16E+03 1.68E+03 1.92E+03 1.88E+03 1.63E+03 1.28E+03 9.18E+02 6.03E+02 3.65E+02 2.04E+02 1.05E+02 5.05E+01 2.25E+01 9.30E+00 3.57E+00 1.28E+00 4.25E-01 1.32E-01 3.79E-02 1.02E-02 2.55E-03 5.96E-04 1.30E-04 2.63E-05 4.97E-06 8.77E-07 1.44E-07 2.22E-08 3.17E-09
   7.00  0.763  4.84E+04 2.51E+04 2.45E+05 8.23E+02 2.31E+03 3.38E+03 3.88E+03 3.83E+03 3.36E+03 2.67E+03 1.94E+03 1.30E+03 8.00E+02 4.57E+02 2.42E+02 1.19E+02 5.44E+01 2.32E+01 9.19E+00 3.40E+00 1.17E+00 3.78E-01 1.13E-01 3.18E-02 8.33E-03 2.04E-03 4.66E-04 9.94E-05 1.98E-05 3.70E-06 6.45E-07 1.05E-07 1.60E-08
   7.50  0.789  9.98E+04 5.15E+04 5.11E+05 1.63E+03 4.58E+03 6.72E+03 7.77E+03 7.74E+03 6.88E+03 5.55E+03 4.10E+03 2.79E+03 1.76E+03 1.03E+03 5.57E+02 2.82E+02 1.33E+02 5.85E+01 2.40E+01 9.23E+00 3.31E+00 1.11E+00 3.49E-01 1.03E-01 2.82E-02 7.27E-03 1.75E-03 3.96E-04 8.37E-05 1.66E-05 3.08E-06 5.35E-07 8.73E-08
   8.00  0.815  2.03E+05 1.03E+05 1.05E+06 3.11E+03 8.79E+03 1.30E+04 1.51E+04 1.53E+04 1.38E+04 1.13E+04 8.52E+03 5.94E+03 3.84E+03 2.31E+03 1.30E+03 6.81E+02 3.34E+02 1.53E+02 6.58E+01 2.65E+01 1.00E+01 3.54E+00 1.18E+00 3.67E-01 1.07E-01 2.95E-02 7.63E-03 1.85E-03 4.22E-04 9.03E-05 1.82E-05 3.43E-06 6.10E-07
   8.50  0.840  4.05E+05 2.02E+05 2.10E+06 5.84E+03 1.65E+04 2.45E+04 2.88E+04 2.94E+04 2.68E+04 2.24E+04 1.72E+04 1.22E+04 8.10E+03 5.00E+03 2.89E+03 1.56E+03 7.92E+02 3.77E+02 1.68E+02 7.07E+01 2.79E+01 1.03E+01 3.61E+00 1.19E+00 3.67E-01 1.07E-01 2.92E-02 7.55E-03 1.84E-03 4.20E-04 9.07E-05 1.84E-05 3.53E-06
   9.00  0.865  7.93E+05 3.87E+05 4.11E+06 1.08E+04 3.05E+04 4.55E+04 5.38E+04 5.53E+04 5.11E+04 4.32E+04 3.37E+04 2.44E+04 1.65E+04 1.04E+04 6.18E+03 3.44E+03 1.79E+03 8.82E+02 4.08E+02 1.77E+02 7.28E+01 2.81E+01 1.03E+01 3.52E+00 1.14E+00 3.50E-01 1.01E-01 2.75E-02 7.09E-03 1.72E-03 3.95E-04 8.57E-05 1.75E-05
   9.50  0.888  1.52E+06 7.27E+05 7.85E+06 1.95E+04 5.53E+04 8.27E+04 9.86E+04 1.02E+05 9.54E+04 8.16E+04 6.46E+04 4.76E+04 3.27E+04 2.11E+04 1.28E+04 7.28E+03 3.91E+03 1.97E+03 9.41E+02 4.23E+02 1.80E+02 7.20E+01 2.73E+01 9.76E+00 3.30E+00 1.06E+00 3.20E-01 9.16E-02 2.48E-02 6.35E-03 1.54E-03 3.53E-04 7.67E-05
  10.00  0.911  2.86E+06 1.34E+06 1.47E+07 3.46E+04 9.87E+04 1.48E+05 1.77E+05 1.85E+05 1.75E+05 1.51E+05 1.21E+05 9.04E+04 6.33E+04 4.16E+04 2.57E+04 1.50E+04 8.21E+03 4.26E+03 2.08E+03 9.65E+02 4.22E+02 1.75E+02 6.86E+01 2.55E+01 8.96E+00 2.98E+00 9.42E-01 2.82E-01 7.98E-02 2.14E-02 5.46E-03 1.32E-03 3.01E-04
  11.00  0.956  1.15E+07 4.33E+06 4.91E+07 1.05E+05 3.01E+05 4.55E+05 5.50E+05 5.81E+05 5.56E+05 4.90E+05 4.02E+05 3.08E+05 2.22E+05 1.50E+05 9.60E+04 5.80E+04 3.32E+04 1.80E+04 9.23E+03 4.49E+03 2.08E+03 9.10E+02 3.79E+02 1.50E+02 5.62E+01 2.01E+01 6.81E+00 2.19E+00 6.73E-01 1.96E-01 5.43E-02 1.43E-02 3.59E-03
  12.00  0.998  3.80E+07 1.32E+07 1.54E+08 3.04E+05 8.71E+05 1.32E+06 1.61E+06 1.72E+06 1.67E+06 1.50E+06 1.25E+06 9.77E+05 7.20E+05 5.01E+05 3.30E+05 2.06E+05 1.22E+05 6.84E+04 3.65E+04 1.86E+04 8.96E+03 4.12E+03 1.80E+03 7.51E+02 2.98E+02 1.13E+02 4.06E+01 1.39E+01 4.56E+00 1.42E+00 4.23E-01 1.20E-01 3.25E-02
