                    ************************************************************************************************
                    *  Z= 21 A= 45: Positive-Parity Spin-dependent Level Density [MeV-1] for Sc 45 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   6.50  1.005  1.72E+03 5.65E+02 3.75E+03 5.76E+01 9.80E+01 1.12E+02 1.03E+02 7.91E+01 5.25E+01 3.04E+01 1.55E+01 6.99E+00 2.79E+00 9.93E-01 3.14E-01 8.86E-02 2.23E-02 5.02E-03 1.01E-03 1.82E-04 2.92E-05 4.21E-06 5.43E-07 6.28E-08 6.50E-09 6.03E-10 5.02E-11 3.74E-12 2.50E-13 1.50E-14 8.05E-16 3.88E-17 1.68E-18
   7.00  1.043  2.51E+03 7.98E+02 5.40E+03 7.89E+01 1.35E+02 1.56E+02 1.44E+02 1.13E+02 7.64E+01 4.53E+01 2.37E+01 1.10E+01 4.54E+00 1.67E+00 5.50E-01 1.62E-01 4.27E-02 1.01E-02 2.14E-03 4.08E-04 6.97E-05 1.07E-05 1.48E-06 1.83E-07 2.04E-08 2.04E-09 1.84E-10 1.49E-11 1.09E-12 7.14E-14 4.22E-15 2.24E-16 1.07E-17
   7.50  1.079  3.63E+03 1.12E+03 7.70E+03 1.07E+02 1.84E+02 2.15E+02 2.01E+02 1.59E+02 1.10E+02 6.64E+01 3.56E+01 1.70E+01 7.23E+00 2.75E+00 9.40E-01 2.88E-01 7.94E-02 1.97E-02 4.38E-03 8.79E-04 1.59E-04 2.59E-05 3.81E-06 5.04E-07 6.02E-08 6.48E-09 6.30E-10 5.53E-11 4.38E-12 3.13E-13 2.02E-14 1.17E-15 6.17E-17
   8.00  1.114  5.18E+03 1.55E+03 1.09E+04 1.44E+02 2.49E+02 2.93E+02 2.77E+02 2.23E+02 1.56E+02 9.62E+01 5.28E+01 2.58E+01 1.13E+01 4.44E+00 1.57E+00 5.00E-01 1.44E-01 3.71E-02 8.68E-03 1.83E-03 3.49E-04 6.01E-05 9.37E-06 1.32E-06 1.68E-07 1.94E-08 2.02E-09 1.91E-10 1.64E-11 1.27E-12 8.87E-14 5.63E-15 3.24E-16
   8.50  1.149  7.31E+03 2.13E+03 1.52E+04 1.93E+02 3.35E+02 3.96E+02 3.78E+02 3.08E+02 2.19E+02 1.38E+02 7.72E+01 3.87E+01 1.74E+01 7.05E+00 2.58E+00 8.50E-01 2.53E-01 6.83E-02 1.67E-02 3.69E-03 7.39E-04 1.34E-04 2.21E-05 3.30E-06 4.47E-07 5.50E-08 6.14E-09 6.22E-10 5.72E-11 4.77E-12 3.62E-13 2.49E-14 1.56E-15
   9.00  1.182  1.02E+04 2.90E+03 2.11E+04 2.56E+02 4.46E+02 5.31E+02 5.13E+02 4.23E+02 3.05E+02 1.95E+02 1.11E+02 5.72E+01 2.64E+01 1.10E+01 4.14E+00 1.41E+00 4.37E-01 1.23E-01 3.12E-02 7.21E-03 1.51E-03 2.89E-04 5.02E-05 7.92E-06 1.14E-06 1.48E-07 1.76E-08 1.91E-09 1.88E-10 1.68E-11 1.37E-12 1.02E-13 6.91E-15
   9.50  1.214  1.41E+04 3.93E+03 2.90E+04 3.38E+02 5.91E+02 7.08E+02 6.89E+02 5.75E+02 4.21E+02 2.74E+02 1.59E+02 8.35E+01 3.95E+01 1.69E+01 6.56E+00 2.31E+00 7.39E-01 2.15E-01 5.69E-02 1.37E-02 3.01E-03 6.02E-04 1.10E-04 1.83E-05 2.77E-06 3.83E-07 4.83E-08 5.56E-09 5.84E-10 5.60E-11 4.90E-12 3.91E-13 2.85E-14
  10.00  1.246  1.94E+04 5.29E+03 3.96E+04 4.43E+02 7.78E+02 9.38E+02 9.20E+02 7.76E+02 5.75E+02 3.80E+02 2.25E+02 1.21E+02 5.83E+01 2.56E+01 1.02E+01 3.70E+00 1.22E+00 3.69E-01 1.01E-01 2.54E-02 5.82E-03 1.22E-03 2.33E-04 4.06E-05 6.49E-06 9.47E-07 1.26E-07 1.54E-08 1.72E-09 1.76E-10 1.65E-11 1.41E-12 1.10E-13
  11.00  1.307  3.83E+04 9.42E+03 7.25E+04 7.50E+02 1.32E+03 1.61E+03 1.61E+03 1.38E+03 1.05E+03 7.15E+02 4.39E+02 2.44E+02 1.23E+02 5.65E+01 2.37E+01 9.10E+00 3.19E+00 1.03E+00 3.02E-01 8.15E-02 2.02E-02 4.58E-03 9.54E-04 1.83E-04 3.21E-05 5.17E-06 7.67E-07 1.04E-07 1.31E-08 1.50E-09 1.58E-10 1.54E-11 1.37E-12
  12.00  1.365  7.12E+04 1.64E+04 1.30E+05 1.26E+03 2.23E+03 2.75E+03 2.77E+03 2.42E+03 1.87E+03 1.30E+03 8.19E+02 4.68E+02 2.44E+02 1.16E+02 5.07E+01 2.03E+01 7.46E+00 2.52E+00 7.81E-01 2.23E-01 5.86E-02 1.42E-02 3.15E-03 6.47E-04 1.22E-04 2.13E-05 3.41E-06 5.05E-07 6.89E-08 8.67E-09 1.01E-09 1.07E-10 1.06E-11
