                    ************************************************************************************************
                    *  Z= 22 A= 46: Positive-Parity Spin-dependent Level Density [MeV-1] for Ti 46 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  15.00  1.578  1.08E+05 2.32E+04 2.10E+05 8.74E+02 2.43E+03 3.48E+03 3.87E+03 3.67E+03 3.07E+03 2.30E+03 1.55E+03 9.58E+02 5.39E+02 2.78E+02 1.32E+02 5.75E+01 2.31E+01 8.53E+00 2.91E+00 9.16E-01 2.66E-01 7.14E-02 1.77E-02 4.06E-03 8.60E-04 1.68E-04 3.05E-05 5.12E-06 7.93E-07 1.14E-07 1.51E-08 1.86E-09 2.11E-10
  16.00  1.630  1.86E+05 3.91E+04 3.61E+05 1.43E+03 3.98E+03 5.72E+03 6.42E+03 6.14E+03 5.19E+03 3.94E+03 2.72E+03 1.71E+03 9.83E+02 5.20E+02 2.53E+02 1.14E+02 4.71E+01 1.80E+01 6.38E+00 2.09E+00 6.32E-01 1.77E-01 4.61E-02 1.11E-02 2.48E-03 5.12E-04 9.82E-05 1.74E-05 2.88E-06 4.40E-07 6.24E-08 8.21E-09 1.00E-09
  17.00  1.680  3.16E+05 6.49E+04 6.09E+05 2.30E+03 6.42E+03 9.28E+03 1.05E+04 1.01E+04 8.66E+03 6.67E+03 4.66E+03 2.98E+03 1.75E+03 9.48E+02 4.73E+02 2.18E+02 9.30E+01 3.67E+01 1.34E+01 4.56E+00 1.43E+00 4.19E-01 1.14E-01 2.86E-02 6.68E-03 1.45E-03 2.93E-04 5.49E-05 9.58E-06 1.55E-06 2.34E-07 3.28E-08 4.27E-09
  18.00  1.729  5.29E+05 1.07E+05 1.01E+06 3.67E+03 1.03E+04 1.49E+04 1.69E+04 1.65E+04 1.42E+04 1.11E+04 7.88E+03 5.12E+03 3.06E+03 1.69E+03 8.63E+02 4.08E+02 1.79E+02 7.25E+01 2.74E+01 9.59E+00 3.13E+00 9.47E-01 2.67E-01 6.99E-02 1.71E-02 3.88E-03 8.20E-04 1.62E-04 2.96E-05 5.06E-06 8.06E-07 1.20E-07 1.65E-08
  19.00  1.776  8.75E+05 1.73E+05 1.67E+06 5.79E+03 1.62E+04 2.36E+04 2.70E+04 2.65E+04 2.31E+04 1.82E+04 1.31E+04 8.65E+03 5.26E+03 2.96E+03 1.54E+03 7.45E+02 3.34E+02 1.39E+02 5.41E+01 1.95E+01 6.57E+00 2.06E+00 6.01E-01 1.64E-01 4.15E-02 9.83E-03 2.17E-03 4.47E-04 8.59E-05 1.54E-05 2.58E-06 4.03E-07 5.88E-08
  20.00  1.822  1.43E+06 2.77E+05 2.71E+06 9.06E+03 2.54E+04 3.72E+04 4.27E+04 4.22E+04 3.71E+04 2.95E+04 2.15E+04 1.44E+04 8.89E+03 5.09E+03 2.70E+03 1.33E+03 6.11E+02 2.61E+02 1.04E+02 3.86E+01 1.34E+01 4.32E+00 1.30E+00 3.68E-01 9.67E-02 2.38E-02 5.46E-03 1.17E-03 2.35E-04 4.42E-05 7.75E-06 1.27E-06 1.95E-07
  22.50  1.933  5.76E+06 8.66E+05 8.71E+06 2.67E+04 7.52E+04 1.11E+05 1.29E+05 1.29E+05 1.16E+05 9.42E+04 7.04E+04 4.86E+04 3.10E+04 1.85E+04 1.02E+04 5.27E+03 2.54E+03 1.15E+03 4.83E+02 1.90E+02 7.03E+01 2.43E+01 7.89E+00 2.40E+00 6.84E-01 1.83E-01 4.58E-02 1.08E-02 2.38E-03 4.92E-04 9.56E-05 1.74E-05 2.99E-06
  25.00  2.038  1.86E+07 2.56E+06 2.65E+07 7.48E+04 2.12E+05 3.13E+05 3.68E+05 3.74E+05 3.40E+05 2.83E+05 2.16E+05 1.53E+05 1.01E+05 6.17E+04 3.54E+04 1.90E+04 9.54E+03 4.50E+03 1.99E+03 8.26E+02 3.22E+02 1.18E+02 4.07E+01 1.32E+01 4.02E+00 1.15E+00 3.11E-01 7.89E-02 1.89E-02 4.24E-03 8.99E-04 1.79E-04 3.37E-05
  30.00  2.232  2.14E+08 1.96E+07 2.12E+08 5.22E+05 1.48E+06 2.22E+06 2.65E+06 2.75E+06 2.57E+06 2.20E+06 1.74E+06 1.28E+06 8.85E+05 5.72E+05 3.47E+05 1.98E+05 1.06E+05 5.39E+04 2.57E+04 1.16E+04 4.94E+03 1.98E+03 7.54E+02 2.71E+02 9.20E+01 2.95E+01 8.97E+00 2.58E+00 7.00E-01 1.80E-01 4.39E-02 1.01E-02 2.20E-03
  40.00  2.577  1.54E+10 7.61E+08 8.85E+09 1.76E+07 5.04E+07 7.65E+07 9.32E+07 9.95E+07 9.63E+07 8.61E+07 7.18E+07 5.61E+07 4.12E+07 2.86E+07 1.88E+07 1.17E+07 6.90E+06 3.87E+06 2.06E+06 1.04E+06 5.01E+05 2.29E+05 9.98E+04 4.14E+04 1.64E+04 6.15E+03 2.21E+03 7.53E+02 2.45E+02 7.60E+01 2.25E+01 6.34E+00 1.70E+00
