                    ************************************************************************************************
                    *  Z= 24 A= 52: Positive-Parity Spin-dependent Level Density [MeV-1] for Cr 52 and ldmodel= 1  *
   2.25  0.575  4.29E+00 1.76E+00 1.07E+01 1.45E-01 3.67E-01 4.37E-01 3.69E-01 2.42E-01 1.28E-01 5.49E-02 1.95E-02 5.76E-03 1.42E-03 2.91E-04 5.01E-05 7.24E-06 8.78E-07 8.94E-08 7.67E-09 5.53E-10 3.36E-11 1.72E-12 7.42E-14 2.70E-15 8.26E-17 2.14E-18 4.66E-20 8.57E-22 1.33E-23 1.74E-25 1.92E-27 1.80E-29 1.00E-30
   2.50  0.606  5.34E+00 2.10E+00 1.28E+01 1.73E-01 4.38E-01 5.22E-01 4.41E-01 2.89E-01 1.53E-01 6.57E-02 2.33E-02 6.89E-03 1.69E-03 3.48E-04 5.99E-05 8.65E-06 1.05E-06 1.07E-07 9.16E-09 6.61E-10 4.02E-11 2.06E-12 8.86E-14 3.22E-15 9.88E-17 2.55E-18 5.57E-20 1.02E-21 1.59E-23 2.08E-25 2.30E-27 2.15E-29 1.00E-30
   2.75  0.635  6.60E+00 2.51E+00 1.53E+01 2.07E-01 5.24E-01 6.24E-01 5.27E-01 3.46E-01 1.82E-01 7.85E-02 2.79E-02 8.23E-03 2.02E-03 4.16E-04 7.16E-05 1.03E-05 1.25E-06 1.28E-07 1.10E-08 7.90E-10 4.80E-11 2.46E-12 1.06E-13 3.85E-15 1.18E-16 3.05E-18 6.66E-20 1.22E-21 1.90E-23 2.49E-25 2.75E-27 2.57E-29 1.00E-30
   3.00  0.664  8.10E+00 3.00E+00 1.83E+01 2.47E-01 6.26E-01 7.46E-01 6.30E-01 4.14E-01 2.18E-01 9.39E-02 3.34E-02 9.84E-03 2.42E-03 4.98E-04 8.56E-05 1.24E-05 1.50E-06 1.53E-07 1.31E-08 9.45E-10 5.74E-11 2.94E-12 1.27E-13 4.61E-15 1.41E-16 3.65E-18 7.96E-20 1.46E-21 2.27E-23 2.97E-25 3.29E-27 3.07E-29 1.00E-30
   3.25  0.691  9.89E+00 3.59E+00 2.19E+01 2.95E-01 7.49E-01 8.92E-01 7.54E-01 4.94E-01 2.61E-01 1.12E-01 3.99E-02 1.18E-02 2.89E-03 5.95E-04 1.02E-04 1.48E-05 1.79E-06 1.83E-07 1.57E-08 1.13E-09 6.86E-11 3.51E-12 1.51E-13 5.51E-15 1.69E-16 4.36E-18 9.51E-20 1.75E-21 2.72E-23 3.56E-25 3.93E-27 3.67E-29 1.00E-30
   3.50  0.717  1.20E+01 4.29E+00 2.62E+01 3.53E-01 8.95E-01 1.07E+00 9.01E-01 5.91E-01 3.11E-01 1.34E-01 4.77E-02 1.41E-02 3.46E-03 7.11E-04 1.22E-04 1.77E-05 2.14E-06 2.18E-07 1.87E-08 1.35E-09 8.20E-11 4.20E-12 1.81E-13 6.58E-15 2.02E-16 5.21E-18 1.14E-19 2.09E-21 3.25E-23 4.25E-25 4.70E-27 4.38E-29 1.00E-30
   3.75  0.742  1.46E+01 5.13E+00 3.15E+01 4.18E-01 1.06E+00 1.27E+00 1.08E+00 7.12E-01 3.78E-01 1.65E-01 5.93E-02 1.77E-02 4.43E-03 9.27E-04 1.63E-04 2.40E-05 2.98E-06 3.11E-07 2.73E-08 2.03E-09 1.27E-10 6.71E-12 2.99E-13 1.13E-14 3.58E-16 9.63E-18 2.19E-19 4.19E-21 6.80E-23 9.33E-25 1.08E-26 1.06E-28 1.00E-30
   4.00  0.766  1.77E+01 6.13E+00 3.81E+01 4.89E-01 1.25E+00 1.50E+00 1.29E+00 8.63E-01 4.67E-01 2.08E-01 7.67E-02 2.36E-02 6.09E-03 1.32E-03 2.41E-04 3.71E-05 4.82E-06 5.29E-07 4.91E-08 3.86E-09 2.57E-10 1.45E-11 6.91E-13 2.79E-14 9.58E-16 2.78E-17 6.86E-19 1.43E-20 2.54E-22 3.83E-24 4.88E-26 5.29E-28 4.86E-30
   4.25  0.790  2.13E+01 7.33E+00 4.60E+01 5.73E-01 1.46E+00 1.77E+00 1.54E+00 1.05E+00 5.76E-01 2.61E-01 9.88E-02 3.13E-02 8.32E-03 1.87E-03 3.54E-04 5.67E-05 7.71E-06 8.88E-07 8.68E-08 7.20E-09 5.08E-10 3.04E-11 1.55E-12 6.71E-14 2.47E-15 7.75E-17 2.07E-18 4.69E-20 9.06E-22 1.49E-23 2.09E-25 2.49E-27 2.53E-29
   4.50  0.813  2.57E+01 8.76E+00 5.55E+01 6.71E-01 1.72E+00 2.10E+00 1.84E+00 1.27E+00 7.09E-01 3.28E-01 1.27E-01 4.12E-02 1.13E-02 2.62E-03 5.15E-04 8.58E-05 1.22E-05 1.47E-06 1.51E-07 1.32E-08 9.83E-10 6.25E-11 3.39E-12 1.57E-13 6.18E-15 2.08E-16 5.99E-18 1.47E-19 3.08E-21 5.52E-23 8.45E-25 1.10E-26 1.23E-28
   4.75  0.835  3.09E+01 1.05E+01 6.71E+01 7.86E-01 2.02E+00 2.48E+00 2.20E+00 1.53E+00 8.71E-01 4.11E-01 1.62E-01 5.41E-02 1.53E-02 3.65E-03 7.42E-04 1.29E-04 1.90E-05 2.39E-06 2.58E-07 2.37E-08 1.87E-09 1.25E-10 7.22E-12 3.56E-13 1.50E-14 5.42E-16 1.67E-17 4.43E-19 1.01E-20 1.96E-22 3.26E-24 4.65E-26 5.69E-28
   5.00  0.857  3.72E+01 1.25E+01 8.10E+01 9.21E-01 2.38E+00 2.94E+00 2.62E+00 1.85E+00 1.07E+00 5.13E-01 2.07E-01 7.07E-02 2.05E-02 5.05E-03 1.06E-03 1.91E-04 2.93E-05 3.86E-06 4.34E-07 4.20E-08 3.47E-09 2.47E-10 1.50E-11 7.87E-13 3.54E-14 1.36E-15 4.52E-17 1.29E-18 3.15E-20 6.63E-22 1.20E-23 1.86E-25 2.49E-27
   5.50  0.899  5.51E+01 1.79E+01 1.18E+02 1.27E+00 3.29E+00 4.11E+00 3.73E+00 2.69E+00 1.60E+00 7.96E-01 3.34E-01 1.19E-01 3.64E-02 9.51E-03 2.13E-03 4.10E-04 6.78E-05 9.66E-06 1.19E-06 1.25E-07 1.14E-08 9.01E-10 6.12E-11 3.59E-12 1.82E-13 7.95E-15 3.01E-16 9.82E-18 2.77E-19 6.76E-21 1.43E-22 2.60E-24 4.10E-26
   6.00  0.938  8.06E+01 2.56E+01 1.72E+02 1.75E+00 4.56E+00 5.75E+00 5.31E+00 3.91E+00 2.39E+00 1.23E+00 5.34E-01 1.99E-01 6.37E-02 1.75E-02 4.16E-03 8.53E-04 1.51E-04 2.32E-05 3.08E-06 3.55E-07 3.54E-08 3.06E-09 2.30E-10 1.50E-11 8.50E-13 4.18E-14 1.78E-15 6.61E-17 2.13E-18 5.96E-20 1.45E-21 3.06E-23 5.63E-25
   6.50  0.977  1.17E+02 3.65E+01 2.50E+02 2.41E+00 6.32E+00 8.05E+00 7.54E+00 5.67E+00 3.54E+00 1.87E+00 8.46E-01 3.28E-01 1.10E-01 3.17E-02 7.94E-03 1.73E-03 3.26E-04 5.36E-05 7.66E-06 9.54E-07 1.04E-07 9.80E-09 8.08E-10 5.81E-11 3.65E-12 2.00E-13 9.55E-15 3.98E-16 1.45E-17 4.61E-19 1.28E-20 3.11E-22 6.58E-24
   7.00  1.014  1.69E+02 5.22E+01 3.64E+02 3.33E+00 8.77E+00 1.13E+01 1.07E+01 8.20E+00 5.24E+00 2.85E+00 1.33E+00 5.34E-01 1.86E-01 5.63E-02 1.48E-02 3.41E-03 6.83E-04 1.20E-04 1.83E-05 2.46E-06 2.88E-07 2.96E-08 2.66E-09 2.10E-10 1.45E-11 8.78E-13 4.67E-14 2.17E-15 8.87E-17 3.18E-18 9.99E-20 2.75E-21 6.66E-23
   7.50  1.049  2.44E+02 7.46E+01 5.28E+02 4.60E+00 1.22E+01 1.58E+01 1.52E+01 1.18E+01 7.73E+00 4.31E+00 2.07E+00 8.61E-01 3.12E-01 9.85E-02 2.72E-02 6.58E-03 1.39E-03 2.59E-04 4.23E-05 6.08E-06 7.67E-07 8.50E-08 8.30E-09 7.13E-10 5.39E-11 3.58E-12 2.10E-13 1.08E-14 4.92E-16 1.97E-17 6.95E-19 2.16E-20 5.92E-22
   8.00  1.084  3.51E+02 1.07E+02 7.68E+02 6.37E+00 1.69E+01 2.21E+01 2.15E+01 1.70E+01 1.14E+01 6.49E+00 3.20E+00 1.38E+00 5.17E-01 1.70E-01 4.90E-02 1.24E-02 2.78E-03 5.46E-04 9.48E-05 1.45E-05 1.96E-06 2.33E-07 2.46E-08 2.29E-09 1.88E-10 1.37E-11 8.77E-13 4.98E-14 2.50E-15 1.11E-16 4.37E-18 1.52E-19 4.67E-21
   8.50  1.117  5.03E+02 1.52E+02 1.11E+03 8.82E+00 2.35E+01 3.10E+01 3.05E+01 2.45E+01 1.67E+01 9.73E+00 4.93E+00 2.18E+00 8.48E-01 2.89E-01 8.70E-02 2.31E-02 5.42E-03 1.12E-03 2.06E-04 3.35E-05 4.82E-06 6.15E-07 6.95E-08 6.97E-09 6.20E-10 4.89E-11 3.43E-12 2.13E-13 1.18E-14 5.76E-16 2.50E-17 9.67E-19 3.32E-20
   9.00  1.149  7.21E+02 2.18E+02 1.62E+03 1.22E+01 3.27E+01 4.35E+01 4.32E+01 3.52E+01 2.44E+01 1.45E+01 7.55E+00 3.44E+00 1.38E+00 4.87E-01 1.52E-01 4.22E-02 1.04E-02 2.26E-03 4.36E-04 7.50E-05 1.15E-05 1.56E-06 1.88E-07 2.03E-08 1.94E-09 1.66E-10 1.26E-11 8.52E-13 5.13E-14 2.76E-15 1.32E-16 5.62E-18 2.14E-19
   9.50  1.181  1.03E+03 3.11E+02 2.35E+03 1.70E+01 4.56E+01 6.09E+01 6.12E+01 5.05E+01 3.55E+01 2.16E+01 1.15E+01 5.38E+00 2.22E+00 8.12E-01 2.63E-01 7.59E-02 1.94E-02 4.44E-03 9.03E-04 1.64E-04 2.65E-05 3.82E-06 4.92E-07 5.66E-08 5.81E-09 5.33E-10 4.37E-11 3.20E-12 2.10E-13 1.23E-14 6.43E-16 3.01E-17 1.26E-18
  10.00  1.212  1.48E+03 4.45E+02 3.40E+03 2.36E+01 6.36E+01 8.54E+01 8.66E+01 7.25E+01 5.17E+01 3.21E+01 1.74E+01 8.36E+00 3.55E+00 1.34E+00 4.50E-01 1.35E-01 3.59E-02 8.57E-03 1.83E-03 3.48E-04 5.94E-05 9.07E-06 1.24E-06 1.52E-07 1.67E-08 1.64E-09 1.44E-10 1.14E-11 8.07E-13 5.13E-14 2.92E-15 1.49E-16 6.84E-18
  11.00  1.271  3.29E+03 9.08E+02 7.14E+03 4.56E+01 1.24E+02 1.68E+02 1.73E+02 1.48E+02 1.09E+02 7.00E+01 3.96E+01 1.99E+01 8.91E+00 3.56E+00 1.27E+00 4.08E-01 1.17E-01 3.04E-02 7.06E-03 1.48E-03 2.78E-04 4.70E-05 7.17E-06 9.85E-07 1.22E-07 1.36E-08 1.37E-09 1.24E-10 1.02E-11 7.50E-13 4.99E-14 3.00E-15 1.62E-16
  12.00  1.327  7.00E+03 1.86E+03 1.50E+04 8.85E+01 2.41E+02 3.31E+02 3.47E+02 3.03E+02 2.29E+02 1.51E+02 8.89E+01 4.65E+01 2.18E+01 9.18E+00 3.48E+00 1.19E+00 3.65E-01 1.01E-01 2.55E-02 5.79E-03 1.19E-03 2.21E-04 3.72E-05 5.67E-06 7.83E-07 9.79E-08 1.11E-08 1.14E-09 1.06E-10 8.96E-12 6.86E-13 4.76E-14 3.00E-15
  13.00  1.381  1.46E+04 3.79E+03 3.13E+04 1.72E+02 4.71E+02 6.53E+02 6.94E+02 6.18E+02 4.77E+02 3.25E+02 1.97E+02 1.07E+02 5.24E+01 2.31E+01 9.20E+00 3.32E+00 1.09E+00 3.22E-01 8.69E-02 2.13E-02 4.73E-03 9.57E-04 1.76E-04 2.94E-05 4.49E-06 6.22E-07 7.85E-08 9.02E-09 9.44E-10 9.00E-11 7.82E-12 6.18E-13 4.46E-14
  14.00  1.434  3.00E+04 7.70E+03 6.53E+04 3.33E+02 9.15E+02 1.28E+03 1.38E+03 1.25E+03 9.87E+02 6.90E+02 4.32E+02 2.43E+02 1.24E+02 5.71E+01 2.39E+01 9.10E+00 3.15E+00 9.96E-01 2.87E-01 7.54E-02 1.81E-02 3.97E-03 7.94E-04 1.45E-04 2.43E-05 3.72E-06 5.20E-07 6.65E-08 7.78E-09 8.33E-10 8.16E-11 7.31E-12 6.00E-13
  15.00  1.484  6.06E+04 1.53E+04 1.33E+05 6.32E+02 1.74E+03 2.46E+03 2.68E+03 2.47E+03 1.99E+03 1.42E+03 9.17E+02 5.33E+02 2.81E+02 1.35E+02 5.91E+01 2.36E+01 8.62E+00 2.88E+00 8.81E-01 2.47E-01 6.34E-02 1.49E-02 3.23E-03 6.40E-04 1.16E-04 1.94E-05 2.98E-06 4.20E-07 5.43E-08 6.45E-09 7.04E-10 7.06E-11 6.51E-12
  16.00  1.533  1.20E+05 2.98E+04 2.64E+05 1.18E+03 3.26E+03 4.63E+03 5.11E+03 4.77E+03 3.91E+03 2.86E+03 1.89E+03 1.13E+03 6.14E+02 3.05E+02 1.39E+02 5.79E+01 2.21E+01 7.77E+00 2.51E+00 7.43E-01 2.03E-01 5.08E-02 1.17E-02 2.50E-03 4.89E-04 8.83E-05 1.47E-05 2.25E-06 3.18E-07 4.14E-08 4.97E-09 5.50E-10 5.61E-11
  17.00  1.580  2.34E+05 5.68E+04 5.14E+05 2.16E+03 6.00E+03 8.58E+03 9.54E+03 9.03E+03 7.51E+03 5.60E+03 3.78E+03 2.32E+03 1.30E+03 6.65E+02 3.13E+02 1.36E+02 5.39E+01 1.98E+01 6.68E+00 2.08E+00 5.99E-01 1.59E-01 3.90E-02 8.83E-03 1.85E-03 3.57E-04 6.38E-05 1.05E-05 1.61E-06 2.27E-07 2.96E-08 3.58E-09 4.00E-10
  18.00  1.625  4.47E+05 1.07E+05 9.82E+05 3.91E+03 1.09E+04 1.56E+04 1.75E+04 1.68E+04 1.42E+04 1.07E+04 7.38E+03 4.63E+03 2.66E+03 1.40E+03 6.81E+02 3.04E+02 1.26E+02 4.79E+01 1.69E+01 5.50E+00 1.66E+00 4.63E-01 1.20E-01 2.87E-02 6.36E-03 1.31E-03 2.49E-04 4.40E-05 7.20E-06 1.09E-06 1.54E-07 2.01E-08 2.43E-09
  19.00  1.670  8.40E+05 1.97E+05 1.84E+06 6.96E+03 1.94E+04 2.81E+04 3.17E+04 3.07E+04 2.62E+04 2.02E+04 1.41E+04 9.03E+03 5.31E+03 2.87E+03 1.43E+03 6.60E+02 2.82E+02 1.11E+02 4.07E+01 1.38E+01 4.35E+00 1.27E+00 3.44E-01 8.67E-02 2.03E-02 4.40E-03 8.89E-04 1.67E-04 2.91E-05 4.71E-06 7.10E-07 9.95E-08 1.30E-08
  20.00  1.713  1.55E+06 3.57E+05 3.40E+06 1.22E+04 3.43E+04 4.97E+04 5.66E+04 5.52E+04 4.77E+04 3.72E+04 2.65E+04 1.72E+04 1.03E+04 5.72E+03 2.93E+03 1.39E+03 6.10E+02 2.49E+02 9.42E+01 3.31E+01 1.08E+01 3.30E+00 9.34E-01 2.46E-01 6.04E-02 1.38E-02 2.93E-03 5.81E-04 1.07E-04 1.85E-05 2.96E-06 4.42E-07 6.15E-08
  22.50  1.817  9.03E+06 1.50E+06 1.48E+07 4.77E+04 1.34E+05 1.97E+05 2.27E+05 2.26E+05 2.00E+05 1.61E+05 1.18E+05 8.01E+04 5.02E+04 2.92E+04 1.58E+04 7.91E+03 3.71E+03 1.62E+03 6.59E+02 2.51E+02 8.92E+01 2.96E+01 9.21E+00 2.68E+00 7.27E-01 1.85E-01 4.40E-02 9.81E-03 2.05E-03 4.00E-04 7.31E-05 1.25E-05 2.01E-06
  25.00  1.916  3.81E+07 5.81E+06 5.93E+07 1.74E+05 4.91E+05 7.26E+05 8.48E+05 8.56E+05 7.74E+05 6.37E+05 4.82E+05 3.37E+05 2.19E+05 1.32E+05 7.48E+04 3.94E+04 1.94E+04 8.97E+03 3.88E+03 1.57E+03 5.99E+02 2.14E+02 7.17E+01 2.26E+01 6.67E+00 1.85E+00 4.84E-01 1.19E-01 2.73E-02 5.92E-03 1.21E-03 2.31E-04 4.16E-05
  30.00  2.098  7.66E+08 7.28E+07 7.85E+08 1.96E+06 5.56E+06 8.32E+06 9.90E+06 1.03E+07 9.56E+06 8.17E+06 6.45E+06 4.74E+06 3.26E+06 2.10E+06 1.27E+06 7.19E+05 3.84E+05 1.94E+05 9.19E+04 4.12E+04 1.74E+04 6.95E+03 2.62E+03 9.33E+02 3.14E+02 1.00E+02 3.01E+01 8.56E+00 2.30E+00 5.87E-01 1.41E-01 3.22E-02 6.94E-03
  40.00  2.423  1.31E+11 6.52E+09 7.63E+10 1.49E+08 4.26E+08 6.47E+08 7.90E+08 8.45E+08 8.21E+08 7.37E+08 6.17E+08 4.85E+08 3.58E+08 2.50E+08 1.66E+08 1.04E+08 6.18E+07 3.49E+07 1.88E+07 9.59E+06 4.66E+06 2.16E+06 9.53E+05 4.00E+05 1.60E+05 6.11E+04 2.22E+04 7.71E+03 2.55E+03 8.05E+02 2.42E+02 6.95E+01 1.90E+01
  50.00  2.709  6.97E+12 3.42E+11 4.26E+12 6.88E+09 1.98E+10 3.05E+10 3.78E+10 4.13E+10 4.13E+10 3.82E+10 3.32E+10 2.72E+10 2.11E+10 1.56E+10 1.09E+10 7.31E+09 4.66E+09 2.84E+09 1.65E+09 9.22E+08 4.91E+08 2.50E+08 1.22E+08 5.72E+07 2.56E+07 1.10E+07 4.53E+06 1.79E+06 6.75E+05 2.45E+05 8.52E+04 2.84E+04 9.08E+03
  60.00  2.968  2.52E+14 1.23E+13 1.60E+14 2.24E+11 6.46E+11 1.00E+12 1.26E+12 1.39E+12 1.42E+12 1.35E+12 1.20E+12 1.02E+12 8.16E+11 6.25E+11 4.57E+11 3.20E+11 2.15E+11 1.38E+11 8.52E+10 5.04E+10 2.87E+10 1.57E+10 8.23E+09 4.16E+09 2.02E+09 9.43E+08 4.24E+08 1.83E+08 7.64E+07 3.06E+07 1.18E+07 4.38E+06 1.57E+06
  70.00  3.206  6.84E+15 3.29E+14 4.50E+15 5.53E+12 1.61E+13 2.50E+13 3.16E+13 3.55E+13 3.67E+13 3.54E+13 3.23E+13 2.79E+13 2.30E+13 1.82E+13 1.37E+13 9.96E+12 6.94E+12 4.65E+12 2.99E+12 1.86E+12 1.11E+12 6.39E+11 3.55E+11 1.90E+11 9.82E+10 4.89E+10 2.35E+10 1.09E+10 4.88E+09 2.11E+09 8.81E+08 3.55E+08 1.38E+08
  80.00  3.427  1.48E+17 7.06E+15 9.99E+16 1.11E+14 3.21E+14 5.03E+14 6.41E+14 7.26E+14 7.59E+14 7.43E+14 6.88E+14 6.06E+14 5.11E+14 4.12E+14 3.20E+14 2.38E+14 1.71E+14 1.18E+14 7.90E+13 5.08E+13 3.16E+13 1.90E+13 1.10E+13 6.18E+12 3.35E+12 1.76E+12 8.90E+11 4.37E+11 2.07E+11 9.51E+10 4.23E+10 1.82E+10 7.56E+09
  90.00  3.635  2.66E+18 1.26E+17 1.84E+18 1.85E+15 5.39E+15 8.47E+15 1.08E+16 1.24E+16 1.31E+16 1.29E+16 1.21E+16 1.09E+16 9.31E+15 7.66E+15 6.06E+15 4.63E+15 3.40E+15 2.42E+15 1.66E+15 1.10E+15 7.07E+14 4.40E+14 2.64E+14 1.54E+14 8.69E+13 4.75E+13 2.52E+13 1.29E+13 6.43E+12 3.10E+12 1.45E+12 6.58E+11 2.89E+11
 100.00  3.831  4.11E+19 1.92E+18 2.88E+19 2.67E+16 7.80E+16 1.23E+17 1.58E+17 1.82E+17 1.93E+17 1.93E+17 1.83E+17 1.66E+17 1.44E+17 1.21E+17 9.73E+16 7.56E+16 5.68E+16 4.13E+16 2.90E+16 1.98E+16 1.30E+16 8.34E+15 5.17E+15 3.11E+15 1.81E+15 1.03E+15 5.64E+14 3.01E+14 1.56E+14 7.83E+13 3.82E+13 1.81E+13 8.34E+12
 110.00  4.018  5.55E+20 2.57E+19 3.95E+20 3.40E+17 9.94E+17 1.57E+18 2.03E+18 2.35E+18 2.51E+18 2.53E+18 2.43E+18 2.22E+18 1.96E+18 1.66E+18 1.35E+18 1.07E+18 8.19E+17 6.06E+17 4.35E+17 3.03E+17 2.04E+17 1.34E+17 8.52E+16 5.26E+16 3.16E+16 1.84E+16 1.04E+16 5.76E+15 3.08E+15 1.61E+15 8.13E+14 4.00E+14 1.92E+14
 120.00  4.197  6.69E+21 3.07E+20 4.83E+21 3.88E+18 1.14E+19 1.80E+19 2.33E+19 2.71E+19 2.92E+19 2.96E+19 2.86E+19 2.65E+19 2.35E+19 2.02E+19 1.67E+19 1.34E+19 1.04E+19 7.83E+18 5.72E+18 4.05E+18 2.79E+18 1.87E+18 1.22E+18 7.69E+17 4.73E+17 2.83E+17 1.65E+17 9.35E+16 5.16E+16 2.77E+16 1.45E+16 7.37E+15 3.65E+15
 130.00  4.368  7.30E+22 3.31E+21 5.32E+22 4.02E+19 1.18E+20 1.87E+20 2.43E+20 2.84E+20 3.07E+20 3.14E+20 3.05E+20 2.85E+20 2.56E+20 2.21E+20 1.85E+20 1.50E+20 1.18E+20 9.04E+19 6.71E+19 4.84E+19 3.39E+19 2.31E+19 1.53E+19 9.91E+18 6.23E+18 3.81E+18 2.27E+18 1.32E+18 7.48E+17 4.13E+17 2.22E+17 1.16E+17 5.94E+16
 140.00  4.533  7.28E+23 3.28E+22 5.36E+23 3.83E+20 1.12E+21 1.78E+21 2.33E+21 2.73E+21 2.96E+21 3.04E+21 2.98E+21 2.80E+21 2.53E+21 2.22E+21 1.87E+21 1.54E+21 1.22E+21 9.48E+20 7.13E+20 5.21E+20 3.71E+20 2.57E+20 1.74E+20 1.14E+20 7.33E+19 4.58E+19 2.79E+19 1.66E+19 9.59E+18 5.42E+18 2.99E+18 1.61E+18 8.42E+17
 150.00  4.692  6.72E+24 2.99E+23 4.99E+24 3.38E+21 9.90E+21 1.58E+22 2.06E+22 2.42E+22 2.65E+22 2.73E+22 2.69E+22 2.54E+22 2.32E+22 2.04E+22 1.74E+22 1.45E+22 1.16E+22 9.10E+21 6.93E+21 5.14E+21 3.71E+21 2.61E+21 1.79E+21 1.20E+21 7.81E+20 4.97E+20 3.08E+20 1.87E+20 1.10E+20 6.37E+19 3.59E+19 1.98E+19 1.06E+19
 160.00  4.846  5.76E+25 2.55E+24 4.31E+25 2.78E+22 8.15E+22 1.30E+23 1.71E+23 2.01E+23 2.20E+23 2.28E+23 2.26E+23 2.15E+23 1.97E+23 1.75E+23 1.51E+23 1.26E+23 1.02E+23 8.10E+22 6.23E+22 4.68E+22 3.42E+22 2.44E+22 1.70E+22 1.15E+22 7.62E+21 4.93E+21 3.11E+21 1.92E+21 1.16E+21 6.80E+20 3.91E+20 2.19E+20 1.20E+20
 170.00  4.995  4.63E+26 2.03E+25 3.49E+26 2.15E+23 6.30E+23 1.01E+24 1.32E+24 1.56E+24 1.72E+24 1.79E+24 1.78E+24 1.70E+24 1.57E+24 1.40E+24 1.22E+24 1.03E+24 8.41E+23 6.71E+23 5.22E+23 3.96E+23 2.93E+23 2.11E+23 1.49E+23 1.02E+23 6.88E+22 4.51E+22 2.89E+22 1.81E+22 1.11E+22 6.65E+21 3.89E+21 2.23E+21 1.25E+21
