                    ************************************************************************************************
                    *  Z= 26 A= 58: Positive-Parity Spin-dependent Level Density [MeV-1] for Fe 58 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   8.00  1.005  7.24E+02 1.26E+03 2.57E+03 1.62E+01 2.20E+01 3.88E+01 3.90E+01 3.98E+01 3.35E+01 2.74E+01 1.85E+01 1.37E+01 8.57E+00 6.11E+00 3.22E+00 1.60E+00 5.49E-01 1.17E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  1.036  9.78E+02 1.71E+03 3.35E+03 1.86E+01 2.54E+01 4.55E+01 4.81E+01 4.85E+01 4.41E+01 3.60E+01 2.55E+01 1.89E+01 1.24E+01 8.67E+00 4.42E+00 2.22E+00 7.11E-01 2.19E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  1.066  1.32E+03 2.43E+03 4.80E+03 1.91E+01 3.01E+01 5.46E+01 5.89E+01 6.16E+01 5.82E+01 5.09E+01 4.01E+01 3.01E+01 2.04E+01 1.40E+01 7.58E+00 4.43E+00 1.71E+00 6.51E-01 8.30E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  1.096  1.80E+03 3.38E+03 6.59E+03 2.07E+01 4.21E+01 7.06E+01 7.51E+01 8.40E+01 7.72E+01 6.93E+01 5.63E+01 4.22E+01 2.96E+01 1.89E+01 1.12E+01 6.66E+00 2.60E+00 1.23E+00 1.81E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  1.124  2.48E+03 4.87E+03 8.94E+03 3.06E+01 5.83E+01 9.28E+01 1.05E+02 1.14E+02 1.04E+02 9.31E+01 7.50E+01 5.69E+01 3.98E+01 2.58E+01 1.63E+01 8.94E+00 3.78E+00 1.89E+00 3.65E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.179  5.20E+03 9.46E+03 1.83E+04 4.44E+01 9.69E+01 1.34E+02 1.73E+02 2.03E+02 1.89E+02 1.78E+02 1.62E+02 1.31E+02 8.95E+01 6.45E+01 4.17E+01 2.31E+01 1.27E+01 5.91E+00 2.16E+00 5.35E-01 5.31E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.231  1.01E+04 1.58E+04 3.23E+04 6.64E+01 1.72E+02 2.42E+02 3.07E+02 3.56E+02 3.28E+02 3.14E+02 2.78E+02 2.25E+02 1.60E+02 1.14E+02 7.87E+01 4.34E+01 2.35E+01 1.27E+01 4.08E+00 1.38E+00 2.12E-01 1.22E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  13.00  1.282  1.81E+04 2.76E+04 5.30E+04 7.99E+01 2.42E+02 4.05E+02 4.80E+02 5.30E+02 5.48E+02 5.05E+02 4.33E+02 3.55E+02 2.78E+02 2.01E+02 1.27E+02 8.26E+01 4.54E+01 2.43E+01 1.02E+01 3.28E+00 1.03E+00 1.48E-01 6.01E-06 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.330  3.13E+04 4.51E+04 8.72E+04 1.54E+02 3.88E+02 6.00E+02 7.79E+02 8.51E+02 8.42E+02 7.90E+02 7.19E+02 5.91E+02 4.36E+02 3.47E+02 2.36E+02 1.43E+02 8.57E+01 4.97E+01 2.28E+01 8.41E+00 3.22E+00 6.02E-01 1.65E-05 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.377  5.19E+04 7.01E+04 1.36E+05 2.04E+02 5.82E+02 9.05E+02 1.13E+03 1.26E+03 1.28E+03 1.21E+03 1.08E+03 9.03E+02 7.15E+02 5.41E+02 3.80E+02 2.52E+02 1.52E+02 8.59E+01 4.37E+01 1.95E+01 7.09E+00 2.06E+00 2.49E-01 1.00E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
