                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   6.50  0.735  1.65E+03 7.90E+02 7.58E+03 2.67E+01 7.49E+01 1.09E+02 1.24E+02 1.22E+02 1.06E+02 8.29E+01 5.94E+01 3.90E+01 2.36E+01 1.32E+01 6.82E+00 3.27E+00 1.45E+00 6.01E-01 2.31E-01 8.26E-02 2.75E-02 8.50E-03 2.45E-03 6.59E-04 1.65E-04 3.85E-05 8.38E-06 1.70E-06 3.22E-07 5.67E-08 9.33E-09 1.43E-09 2.05E-10
   7.00  0.763  3.14E+03 1.48E+03 1.45E+04 4.86E+01 1.37E+02 1.99E+02 2.29E+02 2.26E+02 1.99E+02 1.58E+02 1.15E+02 7.67E+01 4.73E+01 2.70E+01 1.43E+01 7.03E+00 3.22E+00 1.37E+00 5.43E-01 2.01E-01 6.93E-02 2.23E-02 6.70E-03 1.88E-03 4.92E-04 1.20E-04 2.75E-05 5.88E-06 1.17E-06 2.19E-07 3.81E-08 6.21E-09 9.47E-10
   7.50  0.789  5.93E+03 2.79E+03 2.77E+04 8.81E+01 2.48E+02 3.64E+02 4.21E+02 4.19E+02 3.73E+02 3.01E+02 2.22E+02 1.51E+02 9.51E+01 5.56E+01 3.02E+01 1.53E+01 7.20E+00 3.17E+00 1.30E+00 5.00E-01 1.79E-01 6.02E-02 1.89E-02 5.56E-03 1.53E-03 3.94E-04 9.49E-05 2.14E-05 4.53E-06 8.98E-07 1.67E-07 2.90E-08 4.73E-09
   8.00  0.815  1.11E+04 5.14E+03 5.23E+04 1.55E+02 4.38E+02 6.46E+02 7.54E+02 7.60E+02 6.86E+02 5.63E+02 4.24E+02 2.96E+02 1.91E+02 1.15E+02 6.47E+01 3.39E+01 1.66E+01 7.62E+00 3.28E+00 1.32E+00 4.98E-01 1.76E-01 5.86E-02 1.83E-02 5.35E-03 1.47E-03 3.80E-04 9.21E-05 2.10E-05 4.49E-06 9.04E-07 1.71E-07 3.04E-08
   8.50  0.840  2.03E+04 9.28E+03 9.64E+04 2.68E+02 7.58E+02 1.12E+03 1.32E+03 1.35E+03 1.23E+03 1.03E+03 7.88E+02 5.61E+02 3.71E+02 2.29E+02 1.33E+02 7.17E+01 3.63E+01 1.73E+01 7.72E+00 3.24E+00 1.28E+00 4.74E-01 1.66E-01 5.44E-02 1.68E-02 4.89E-03 1.34E-03 3.46E-04 8.42E-05 1.93E-05 4.16E-06 8.45E-07 1.62E-07
   9.00  0.865  3.67E+04 1.64E+04 1.74E+05 4.55E+02 1.29E+03 1.92E+03 2.28E+03 2.34E+03 2.16E+03 1.83E+03 1.43E+03 1.03E+03 6.99E+02 4.42E+02 2.62E+02 1.45E+02 7.60E+01 3.73E+01 1.73E+01 7.51E+00 3.08E+00 1.19E+00 4.34E-01 1.49E-01 4.84E-02 1.48E-02 4.28E-03 1.17E-03 3.00E-04 7.29E-05 1.67E-05 3.63E-06 7.42E-07
   9.50  0.888  6.52E+04 2.85E+04 3.07E+05 7.61E+02 2.16E+03 3.24E+03 3.86E+03 4.00E+03 3.73E+03 3.19E+03 2.53E+03 1.86E+03 1.28E+03 8.27E+02 5.01E+02 2.85E+02 1.53E+02 7.73E+01 3.68E+01 1.66E+01 7.03E+00 2.82E+00 1.07E+00 3.82E-01 1.29E-01 4.14E-02 1.25E-02 3.59E-03 9.71E-04 2.49E-04 6.03E-05 1.38E-05 3.00E-06
  10.00  0.911  1.14E+05 4.86E+04 5.34E+05 1.26E+03 3.58E+03 5.37E+03 6.44E+03 6.72E+03 6.33E+03 5.48E+03 4.39E+03 3.28E+03 2.30E+03 1.51E+03 9.32E+02 5.42E+02 2.98E+02 1.54E+02 7.56E+01 3.50E+01 1.53E+01 6.35E+00 2.49E+00 9.24E-01 3.25E-01 1.08E-01 3.42E-02 1.02E-02 2.89E-03 7.77E-04 1.98E-04 4.78E-05 1.09E-05
  11.00  0.956  3.85E+05 1.36E+05 1.54E+06 3.30E+03 9.41E+03 1.42E+04 1.72E+04 1.82E+04 1.74E+04 1.53E+04 1.26E+04 9.63E+03 6.93E+03 4.70E+03 3.01E+03 1.82E+03 1.04E+03 5.63E+02 2.89E+02 1.41E+02 6.50E+01 2.85E+01 1.19E+01 4.69E+00 1.76E+00 6.28E-01 2.13E-01 6.87E-02 2.11E-02 6.14E-03 1.70E-03 4.48E-04 1.12E-04
  12.00  0.998  1.10E+06 3.59E+05 4.19E+06 8.27E+03 2.37E+04 3.60E+04 4.38E+04 4.68E+04 4.54E+04 4.07E+04 3.39E+04 2.66E+04 1.96E+04 1.36E+04 8.97E+03 5.59E+03 3.31E+03 1.86E+03 9.93E+02 5.04E+02 2.43E+02 1.12E+02 4.90E+01 2.04E+01 8.10E+00 3.06E+00 1.10E+00 3.79E-01 1.24E-01 3.87E-02 1.15E-02 3.26E-03 8.83E-04
