                    ************************************************************************************************
                    *  Z= 28 A= 60: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 60 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   7.00  0.992  6.16E+02 9.86E+02 1.73E+03 8.86E+00 1.57E+01 3.12E+01 2.76E+01 3.16E+01 2.59E+01 2.15E+01 1.34E+01 7.84E+00 4.81E+00 1.56E+00 5.29E-01 8.77E-02 4.05E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  1.027  8.89E+02 1.49E+03 2.51E+03 1.20E+01 2.16E+01 4.30E+01 4.18E+01 4.56E+01 3.41E+01 3.05E+01 2.02E+01 1.29E+01 6.65E+00 3.00E+00 1.02E+00 3.18E-01 9.77E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  1.061  1.28E+03 2.28E+03 3.67E+03 1.79E+01 3.14E+01 6.13E+01 5.85E+01 6.66E+01 5.18E+01 4.12E+01 2.90E+01 1.99E+01 9.87E+00 5.35E+00 1.77E+00 7.02E-01 7.69E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  1.094  1.84E+03 3.52E+03 5.25E+03 2.48E+01 4.44E+01 8.18E+01 8.07E+01 9.23E+01 7.69E+01 5.96E+01 3.88E+01 2.91E+01 1.61E+01 7.75E+00 3.14E+00 1.37E+00 2.55E-01 5.27E-02 3.33E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  1.125  2.59E+03 5.28E+03 7.21E+03 2.87E+01 5.72E+01 1.03E+02 1.07E+02 1.23E+02 1.04E+02 8.53E+01 5.43E+01 3.94E+01 2.37E+01 1.21E+01 5.19E+00 2.05E+00 6.91E-01 1.04E-01 4.95E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  1.156  3.60E+03 7.54E+03 9.95E+03 3.26E+01 7.74E+01 1.36E+02 1.41E+02 1.62E+02 1.41E+02 1.19E+02 8.16E+01 5.36E+01 3.33E+01 1.86E+01 7.63E+00 3.06E+00 1.30E+00 2.92E-01 1.72E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  1.186  4.95E+03 1.08E+04 1.35E+04 4.30E+01 1.02E+02 1.76E+02 1.87E+02 2.12E+02 1.87E+02 1.59E+02 1.13E+02 7.76E+01 4.70E+01 2.70E+01 1.23E+01 5.25E+00 1.89E+00 5.82E-01 1.96E-01 3.59E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.244  9.84E+03 2.18E+04 2.51E+04 7.44E+01 1.81E+02 3.05E+02 3.32E+02 3.68E+02 3.33E+02 2.81E+02 2.10E+02 1.55E+02 9.61E+01 5.62E+01 2.87E+01 1.38E+01 5.10E+00 1.96E+00 6.32E-01 2.48E-01 4.97E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.299  1.84E+04 4.44E+04 4.51E+04 1.19E+02 3.07E+02 5.10E+02 5.73E+02 6.33E+02 5.83E+02 4.92E+02 3.75E+02 2.82E+02 1.87E+02 1.12E+02 5.86E+01 3.09E+01 1.35E+01 5.18E+00 1.84E+00 6.26E-01 1.68E-01 6.88E-02 1.11E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  13.00  1.352  3.28E+04 8.32E+04 7.77E+04 1.81E+02 4.91E+02 8.03E+02 9.25E+02 1.03E+03 9.78E+02 8.39E+02 6.55E+02 4.92E+02 3.37E+02 2.10E+02 1.15E+02 6.26E+01 2.87E+01 1.19E+01 4.53E+00 1.59E+00 4.64E-01 1.63E-01 4.18E-02 1.00E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.403  5.65E+04 1.54E+05 1.31E+05 2.75E+02 7.97E+02 1.26E+03 1.48E+03 1.64E+03 1.58E+03 1.38E+03 1.12E+03 8.54E+02 5.98E+02 3.81E+02 2.20E+02 1.23E+02 5.98E+01 2.66E+01 1.06E+01 4.01E+00 1.27E+00 3.80E-01 1.28E-01 2.35E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.453  9.47E+04 2.76E+05 2.17E+05 4.21E+02 1.26E+03 1.97E+03 2.36E+03 2.59E+03 2.54E+03 2.21E+03 1.82E+03 1.43E+03 1.03E+03 6.66E+02 4.00E+02 2.34E+02 1.17E+02 5.56E+01 2.39E+01 9.52E+00 3.31E+00 1.03E+00 3.16E-01 8.52E-02 8.25E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.500  1.55E+05 4.86E+05 3.48E+05 6.47E+02 1.88E+03 2.99E+03 3.59E+03 4.00E+03 3.97E+03 3.47E+03 2.90E+03 2.29E+03 1.70E+03 1.13E+03 6.95E+02 4.16E+02 2.21E+02 1.07E+02 4.85E+01 2.08E+01 7.12E+00 2.45E+00 7.67E-01 2.18E-01 5.50E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  17.00  1.546  2.47E+05 8.24E+05 5.45E+05 9.46E+02 2.77E+03 4.41E+03 5.33E+03 5.98E+03 5.99E+03 5.35E+03 4.55E+03 3.62E+03 2.72E+03 1.86E+03 1.18E+03 7.21E+02 3.94E+02 2.00E+02 9.38E+01 4.12E+01 1.51E+01 5.70E+00 1.79E+00 5.57E-01 1.41E-01 2.05E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  18.00  1.591  3.87E+05 1.38E+06 8.39E+05 1.35E+03 4.07E+03 6.44E+03 7.84E+03 8.81E+03 8.87E+03 8.02E+03 6.94E+03 5.62E+03 4.29E+03 2.96E+03 1.94E+03 1.22E+03 6.84E+02 3.57E+02 1.75E+02 8.03E+01 3.14E+01 1.20E+01 4.26E+00 1.40E+00 3.87E-01 1.07E-01 1.88E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  19.00  1.635  5.94E+05 2.24E+06 1.26E+06 1.92E+03 5.90E+03 9.24E+03 1.14E+04 1.28E+04 1.30E+04 1.18E+04 1.03E+04 8.46E+03 6.60E+03 4.62E+03 3.08E+03 1.98E+03 1.15E+03 6.15E+02 3.12E+02 1.48E+02 6.09E+01 2.42E+01 8.68E+00 3.06E+00 9.20E-01 2.35E-01 5.03E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  20.00  1.677  8.92E+05 3.58E+06 1.86E+06 2.68E+03 8.26E+03 1.30E+04 1.61E+04 1.80E+04 1.85E+04 1.69E+04 1.49E+04 1.24E+04 9.82E+03 7.00E+03 4.75E+03 3.11E+03 1.86E+03 1.01E+03 5.28E+02 2.60E+02 1.10E+02 4.45E+01 1.65E+01 6.01E+00 1.78E+00 4.81E-01 9.95E-02 3.02E-02 6.34E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  22.50  1.779  2.66E+06 1.06E+07 4.61E+06 6.02E+03 1.80E+04 2.87E+04 3.55E+04 4.07E+04 4.23E+04 3.97E+04 3.60E+04 3.06E+04 2.49E+04 1.84E+04 1.31E+04 8.99E+03 5.64E+03 3.29E+03 1.84E+03 9.58E+02 4.39E+02 1.93E+02 7.86E+01 3.07E+01 1.05E+01 3.20E+00 8.69E-01 1.93E-01 7.11E-02 4.47E-03 1.00E-30 1.00E-30 1.00E-30
