                    ************************************************************************************************
                    *  Z= 40 A= 91: Positive-Parity Spin-dependent Level Density [MeV-1] for Zr 91 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  50.00  2.138  3.94E+12 1.56E+11 2.86E+12 2.57E+09 5.01E+09 7.22E+09 9.10E+09 1.06E+10 1.16E+10 1.22E+10 1.23E+10 1.21E+10 1.15E+10 1.06E+10 9.54E+09 8.39E+09 7.20E+09 6.03E+09 4.94E+09 3.96E+09 3.10E+09 2.37E+09 1.77E+09 1.29E+09 9.20E+08 6.40E+08 4.34E+08 2.87E+08 1.85E+08 1.16E+08 7.07E+07 4.18E+07 2.40E+07
  60.00  2.342  1.56E+14 7.87E+12 1.55E+14 1.13E+11 2.21E+11 3.21E+11 4.07E+11 4.77E+11 5.29E+11 5.63E+11 5.78E+11 5.76E+11 5.59E+11 5.29E+11 4.88E+11 4.42E+11 3.91E+11 3.39E+11 2.88E+11 2.40E+11 1.96E+11 1.57E+11 1.23E+11 9.47E+10 7.14E+10 5.28E+10 3.83E+10 2.71E+10 1.89E+10 1.28E+10 8.50E+09 5.52E+09 3.49E+09
  70.00  2.530  4.24E+15 2.11E+14 4.30E+15 2.83E+12 5.55E+12 8.05E+12 1.02E+13 1.21E+13 1.35E+13 1.44E+13 1.49E+13 1.50E+13 1.46E+13 1.40E+13 1.31E+13 1.20E+13 1.07E+13 9.45E+12 8.15E+12 6.91E+12 5.75E+12 4.69E+12 3.76E+12 2.96E+12 2.29E+12 1.74E+12 1.30E+12 9.47E+11 6.79E+11 4.77E+11 3.29E+11 2.22E+11 1.47E+11
  80.00  2.705  9.08E+16 4.37E+15 9.13E+16 5.55E+13 1.09E+14 1.58E+14 2.02E+14 2.39E+14 2.67E+14 2.87E+14 2.99E+14 3.02E+14 2.97E+14 2.86E+14 2.70E+14 2.49E+14 2.26E+14 2.01E+14 1.75E+14 1.50E+14 1.27E+14 1.05E+14 8.55E+13 6.84E+13 5.38E+13 4.16E+13 3.16E+13 2.36E+13 1.73E+13 1.25E+13 8.82E+12 6.12E+12 4.17E+12
  90.00  2.869  1.61E+18 7.77E+16 1.67E+18 9.36E+14 1.84E+15 2.68E+15 3.43E+15 4.06E+15 4.56E+15 4.92E+15 5.14E+15 5.23E+15 5.18E+15 5.02E+15 4.77E+15 4.44E+15 4.06E+15 3.65E+15 3.22E+15 2.79E+15 2.38E+15 2.00E+15 1.65E+15 1.34E+15 1.08E+15 8.46E+14 6.55E+14 4.99E+14 3.74E+14 2.76E+14 2.00E+14 1.42E+14 9.96E+13
 100.00  3.024  3.14E+19 1.51E+18 3.31E+19 1.74E+16 3.42E+16 4.99E+16 6.40E+16 7.59E+16 8.56E+16 9.27E+16 9.72E+16 9.92E+16 9.89E+16 9.64E+16 9.21E+16 8.63E+16 7.95E+16 7.20E+16 6.41E+16 5.61E+16 4.84E+16 4.11E+16 3.43E+16 2.82E+16 2.29E+16 1.83E+16 1.43E+16 1.11E+16 8.45E+15 6.34E+15 4.68E+15 3.40E+15 2.43E+15
 110.00  3.171  6.20E+20 2.97E+19 6.66E+20 3.27E+17 6.43E+17 9.38E+17 1.20E+18 1.43E+18 1.62E+18 1.76E+18 1.85E+18 1.90E+18 1.90E+18 1.87E+18 1.79E+18 1.69E+18 1.57E+18 1.43E+18 1.29E+18 1.14E+18 9.91E+17 8.50E+17 7.19E+17 5.99E+17 4.91E+17 3.98E+17 3.17E+17 2.49E+17 1.93E+17 1.47E+17 1.11E+17 8.21E+16 5.99E+16
 120.00  3.312  1.43E+22 6.83E+20 1.56E+22 7.21E+18 1.42E+19 2.08E+19 2.67E+19 3.18E+19 3.61E+19 3.93E+19 4.15E+19 4.27E+19 4.29E+19 4.23E+19 4.09E+19 3.88E+19 3.62E+19 3.32E+19 3.01E+19 2.68E+19 2.35E+19 2.03E+19 1.74E+19 1.46E+19 1.21E+19 9.91E+18 7.99E+18 6.36E+18 4.99E+18 3.86E+18 2.94E+18 2.21E+18 1.64E+18
 130.00  3.448  2.50E+23 1.18E+22 2.74E+23 1.20E+20 2.37E+20 3.47E+20 4.46E+20 5.33E+20 6.05E+20 6.61E+20 7.01E+20 7.23E+20 7.30E+20 7.22E+20 7.00E+20 6.68E+20 6.27E+20 5.79E+20 5.26E+20 4.72E+20 4.17E+20 3.64E+20 3.13E+20 2.65E+20 2.22E+20 1.83E+20 1.49E+20 1.20E+20 9.52E+19 7.45E+19 5.75E+19 4.39E+19 3.30E+19
 140.00  3.578  3.57E+24 1.66E+23 3.91E+24 1.63E+21 3.22E+21 4.71E+21 6.07E+21 7.26E+21 8.26E+21 9.04E+21 9.60E+21 9.94E+21 1.01E+22 9.99E+21 9.73E+21 9.32E+21 8.79E+21 8.16E+21 7.47E+21 6.73E+21 5.99E+21 5.26E+21 4.55E+21 3.89E+21 3.28E+21 2.73E+21 2.25E+21 1.83E+21 1.46E+21 1.16E+21 9.04E+20 6.97E+20 5.31E+20
