                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  17.00  1.188  7.44E+10 2.36E+10 3.06E+11 4.42E+08 1.28E+09 1.97E+09 2.47E+09 2.73E+09 2.77E+09 2.61E+09 2.32E+09 1.94E+09 1.55E+09 1.18E+09 8.52E+08 5.90E+08 3.91E+08 2.48E+08 1.51E+08 8.83E+07 4.94E+07 2.66E+07 1.37E+07 6.81E+06 3.25E+06 1.49E+06 6.55E+05 2.77E+05 1.13E+05 4.41E+04 1.66E+04 6.02E+03 2.10E+03
  18.00  1.223  1.98E+11 6.18E+10 8.13E+11 1.12E+09 3.24E+09 5.01E+09 6.30E+09 7.00E+09 7.13E+09 6.78E+09 6.06E+09 5.14E+09 4.14E+09 3.18E+09 2.34E+09 1.64E+09 1.11E+09 7.14E+08 4.43E+08 2.63E+08 1.51E+08 8.28E+07 4.37E+07 2.22E+07 1.09E+07 5.11E+06 2.32E+06 1.01E+06 4.23E+05 1.71E+05 6.65E+04 2.49E+04 8.99E+03
  19.00  1.256  5.13E+11 1.57E+11 2.10E+12 2.76E+09 7.99E+09 1.24E+10 1.56E+10 1.75E+10 1.79E+10 1.71E+10 1.54E+10 1.32E+10 1.07E+10 8.34E+09 6.20E+09 4.42E+09 3.02E+09 1.98E+09 1.25E+09 7.55E+08 4.40E+08 2.47E+08 1.33E+08 6.91E+07 3.46E+07 1.67E+07 7.74E+06 3.46E+06 1.49E+06 6.21E+05 2.49E+05 9.62E+04 3.58E+04
  20.00  1.289  1.29E+12 3.90E+11 5.29E+12 6.66E+09 1.93E+10 3.00E+10 3.79E+10 4.25E+10 4.38E+10 4.22E+10 3.83E+10 3.30E+10 2.71E+10 2.13E+10 1.60E+10 1.15E+10 7.97E+09 5.30E+09 3.39E+09 2.09E+09 1.24E+09 7.06E+08 3.88E+08 2.06E+08 1.05E+08 5.18E+07 2.46E+07 1.13E+07 5.00E+06 2.13E+06 8.78E+05 3.49E+05 1.34E+05
  22.50  1.367  1.85E+13 3.44E+12 4.81E+13 5.49E+10 1.60E+11 2.49E+11 3.17E+11 3.59E+11 3.73E+11 3.64E+11 3.36E+11 2.94E+11 2.46E+11 1.98E+11 1.52E+11 1.13E+11 8.01E+10 5.50E+10 3.63E+10 2.31E+10 1.42E+10 8.45E+09 4.84E+09 2.68E+09 1.43E+09 7.41E+08 3.70E+08 1.79E+08 8.35E+07 3.77E+07 1.65E+07 6.96E+06 2.84E+06
  25.00  1.441  1.53E+14 2.69E+13 3.87E+14 4.05E+11 1.18E+12 1.85E+12 2.36E+12 2.69E+12 2.83E+12 2.79E+12 2.60E+12 2.32E+12 1.97E+12 1.61E+12 1.26E+12 9.56E+11 6.96E+11 4.90E+11 3.32E+11 2.18E+11 1.38E+11 8.48E+10 5.03E+10 2.89E+10 1.60E+10 8.63E+09 4.49E+09 2.27E+09 1.11E+09 5.24E+08 2.40E+08 1.07E+08 4.59E+07
  30.00  1.579  1.24E+16 1.23E+15 1.86E+16 1.68E+13 4.89E+13 7.72E+13 9.96E+13 1.15E+14 1.22E+14 1.23E+14 1.17E+14 1.06E+14 9.28E+13 7.79E+13 6.31E+13 4.94E+13 3.73E+13 2.73E+13 1.94E+13 1.33E+13 8.84E+12 5.71E+12 3.57E+12 2.17E+12 1.28E+12 7.33E+11 4.08E+11 2.20E+11 1.15E+11 5.88E+10 2.91E+10 1.40E+10 6.54E+09
  40.00  1.823  2.19E+19 1.09E+18 1.78E+19 1.28E+16 3.76E+16 5.97E+16 7.79E+16 9.11E+16 9.90E+16 1.02E+17 9.94E+16 9.34E+16 8.44E+16 7.37E+16 6.23E+16 5.11E+16 4.06E+16 3.14E+16 2.36E+16 1.72E+16 1.22E+16 8.47E+15 5.71E+15 3.75E+15 2.40E+15 1.49E+15 9.09E+14 5.38E+14 3.11E+14 1.75E+14 9.64E+13 5.17E+13 2.70E+13
  50.00  2.038  8.81E+21 4.39E+20 7.60E+21 4.59E+18 1.35E+19 2.15E+19 2.83E+19 3.35E+19 3.69E+19 3.84E+19 3.83E+19 3.67E+19 3.40E+19 3.04E+19 2.65E+19 2.24E+19 1.84E+19 1.47E+19 1.15E+19 8.77E+18 6.51E+18 4.72E+18 3.34E+18 2.31E+18 1.56E+18 1.03E+18 6.65E+17 4.19E+17 2.58E+17 1.56E+17 9.18E+16 5.29E+16 2.98E+16
  60.00  2.233  2.02E+24 1.01E+23 1.83E+24 9.58E+20 2.82E+21 4.52E+21 5.98E+21 7.13E+21 7.92E+21 8.35E+21 8.43E+21 8.20E+21 7.72E+21 7.05E+21 6.26E+21 5.41E+21 4.56E+21 3.75E+21 3.01E+21 2.37E+21 1.81E+21 1.36E+21 9.99E+20 7.17E+20 5.04E+20 3.47E+20 2.34E+20 1.54E+20 9.96E+19 6.30E+19 3.91E+19 2.38E+19 1.42E+19
  70.00  2.411  3.04E+26 1.51E+25 2.85E+26 1.33E+23 3.91E+23 6.29E+23 8.35E+23 1.00E+24 1.12E+24 1.19E+24 1.22E+24 1.20E+24 1.14E+24 1.06E+24 9.54E+23 8.40E+23 7.21E+23 6.05E+23 4.97E+23 3.99E+23 3.14E+23 2.42E+23 1.82E+23 1.35E+23 9.76E+22 6.94E+22 4.83E+22 3.30E+22 2.21E+22 1.45E+22 9.38E+21 5.94E+21 3.69E+21
  80.00  2.578  3.26E+28 1.61E+27 3.15E+28 1.32E+25 3.91E+25 6.31E+25 8.40E+25 1.01E+26 1.14E+26 1.22E+26 1.25E+26 1.25E+26 1.20E+26 1.13E+26 1.03E+26 9.19E+25 8.01E+25 6.83E+25 5.71E+25 4.67E+25 3.75E+25 2.95E+25 2.27E+25 1.72E+25 1.28E+25 9.30E+24 6.66E+24 4.68E+24 3.23E+24 2.19E+24 1.46E+24 9.52E+23 6.11E+23
  90.00  2.734  2.65E+30 1.31E+29 2.63E+30 1.01E+27 2.99E+27 4.83E+27 6.46E+27 7.80E+27 8.83E+27 9.51E+27 9.84E+27 9.85E+27 9.58E+27 9.07E+27 8.38E+27 7.56E+27 6.68E+27 5.78E+27 4.89E+27 4.07E+27 3.31E+27 2.65E+27 2.08E+27 1.61E+27 1.22E+27 9.06E+26 6.63E+26 4.76E+26 3.37E+26 2.34E+26 1.60E+26 1.07E+26 7.09E+25
 100.00  2.882  1.71E+32 8.43E+30 1.74E+32 6.17E+28 1.82E+29 2.95E+29 3.96E+29 4.80E+29 5.45E+29 5.89E+29 6.14E+29 6.19E+29 6.06E+29 5.78E+29 5.39E+29 4.91E+29 4.38E+29 3.83E+29 3.29E+29 2.77E+29 2.29E+29 1.86E+29 1.48E+29 1.16E+29 8.95E+28 6.78E+28 5.05E+28 3.70E+28 2.67E+28 1.90E+28 1.32E+28 9.09E+27 6.15E+27
 110.00  3.023  9.06E+33 4.44E+32 9.37E+33 3.10E+30 9.17E+30 1.49E+31 2.00E+31 2.43E+31 2.77E+31 3.01E+31 3.14E+31 3.19E+31 3.14E+31 3.02E+31 2.83E+31 2.61E+31 2.35E+31 2.07E+31 1.80E+31 1.53E+31 1.28E+31 1.05E+31 8.49E+30 6.75E+30 5.28E+30 4.06E+30 3.08E+30 2.29E+30 1.68E+30 1.22E+30 8.65E+29 6.06E+29 4.18E+29
