                    ************************************************************************************************
                    *  Z= 24 A= 52: Positive-Parity Spin-dependent Level Density [MeV-1] for Cr 52 and ldmodel= 2  *
   2.25  0.616  1.91E+00 9.52E-01 5.82E+00 7.84E-02 1.99E-01 2.37E-01 2.00E-01 1.31E-01 6.91E-02 2.98E-02 1.06E-02 3.12E-03 7.68E-04 1.58E-04 2.72E-05 3.92E-06 4.76E-07 4.85E-08 4.15E-09 3.00E-10 1.82E-11 9.32E-13 4.02E-14 1.46E-15 4.48E-17 1.16E-18 2.52E-20 4.64E-22 7.21E-24 9.44E-26 1.04E-27 9.73E-30 1.00E-30
   2.50  0.649  2.54E+00 1.27E+00 7.78E+00 1.05E-01 2.66E-01 3.16E-01 2.67E-01 1.75E-01 9.24E-02 3.98E-02 1.42E-02 4.18E-03 1.03E-03 2.11E-04 3.63E-05 5.24E-06 6.36E-07 6.48E-08 5.55E-09 4.01E-10 2.43E-11 1.25E-12 5.37E-14 1.95E-15 5.99E-17 1.55E-18 3.37E-20 6.21E-22 9.63E-24 1.26E-25 1.39E-27 1.30E-29 1.00E-30
   2.75  0.681  3.39E+00 1.69E+00 1.03E+01 1.39E-01 3.53E-01 4.20E-01 3.55E-01 2.33E-01 1.23E-01 5.29E-02 1.88E-02 5.54E-03 1.36E-03 2.80E-04 4.82E-05 6.96E-06 8.44E-07 8.60E-08 7.38E-09 5.32E-10 3.23E-11 1.65E-12 7.13E-14 2.59E-15 7.95E-17 2.05E-18 4.48E-20 8.24E-22 1.28E-23 1.68E-25 1.85E-27 1.73E-29 1.00E-30
   3.00  0.711  4.50E+00 2.23E+00 1.36E+01 1.84E-01 4.65E-01 5.54E-01 4.68E-01 3.07E-01 1.62E-01 6.98E-02 2.48E-02 7.31E-03 1.80E-03 3.70E-04 6.36E-05 9.19E-06 1.11E-06 1.14E-07 9.73E-09 7.02E-10 4.26E-11 2.18E-12 9.41E-14 3.42E-15 1.05E-16 2.71E-18 5.91E-20 1.09E-21 1.69E-23 2.21E-25 2.44E-27 2.28E-29 1.00E-30
   3.25  0.740  5.96E+00 2.92E+00 1.79E+01 2.41E-01 6.10E-01 7.27E-01 6.14E-01 4.03E-01 2.12E-01 9.15E-02 3.25E-02 9.59E-03 2.36E-03 4.85E-04 8.34E-05 1.20E-05 1.46E-06 1.49E-07 1.28E-08 9.21E-10 5.59E-11 2.86E-12 1.23E-13 4.49E-15 1.38E-16 3.55E-18 7.75E-20 1.43E-21 2.21E-23 2.90E-25 3.20E-27 2.99E-29 1.00E-30
   3.50  0.768  7.87E+00 3.81E+00 2.33E+01 3.14E-01 7.95E-01 9.47E-01 8.00E-01 5.25E-01 2.77E-01 1.19E-01 4.24E-02 1.25E-02 3.07E-03 6.32E-04 1.09E-04 1.57E-05 1.90E-06 1.94E-07 1.66E-08 1.20E-09 7.29E-11 3.73E-12 1.61E-13 5.85E-15 1.79E-16 4.63E-18 1.01E-19 1.86E-21 2.88E-23 3.78E-25 4.17E-27 3.90E-29 1.00E-30
   3.75  0.795  1.03E+01 4.90E+00 3.02E+01 3.97E-01 1.01E+00 1.21E+00 1.03E+00 6.82E-01 3.64E-01 1.59E-01 5.77E-02 1.74E-02 4.37E-03 9.22E-04 1.63E-04 2.43E-05 3.05E-06 3.22E-07 2.87E-08 2.16E-09 1.37E-10 7.34E-12 3.32E-13 1.27E-14 4.12E-16 1.13E-17 2.61E-19 5.10E-21 8.44E-23 1.18E-24 1.40E-26 1.40E-28 1.19E-30
   4.00  0.822  1.34E+01 6.21E+00 3.89E+01 4.88E-01 1.25E+00 1.51E+00 1.31E+00 8.83E-01 4.84E-01 2.18E-01 8.19E-02 2.57E-02 6.78E-03 1.51E-03 2.82E-04 4.47E-05 5.99E-06 6.80E-07 6.55E-08 5.35E-09 3.71E-10 2.18E-11 1.09E-12 4.62E-14 1.67E-15 5.11E-17 1.33E-18 2.95E-20 5.55E-22 8.89E-24 1.21E-25 1.40E-27 1.38E-29
   4.25  0.847  1.73E+01 7.84E+00 4.98E+01 5.98E-01 1.54E+00 1.87E+00 1.65E+00 1.14E+00 6.37E-01 2.96E-01 1.15E-01 3.75E-02 1.03E-02 2.41E-03 4.76E-04 7.99E-05 1.14E-05 1.39E-06 1.43E-07 1.27E-08 9.53E-10 6.12E-11 3.35E-12 1.57E-13 6.25E-15 2.13E-16 6.21E-18 1.54E-19 3.28E-21 5.97E-23 9.26E-25 1.23E-26 1.39E-28
   4.50  0.871  2.23E+01 9.84E+00 6.35E+01 7.30E-01 1.88E+00 2.32E+00 2.06E+00 1.45E+00 8.32E-01 3.97E-01 1.59E-01 5.39E-02 1.55E-02 3.77E-03 7.84E-04 1.39E-04 2.11E-05 2.73E-06 3.03E-07 2.87E-08 2.34E-09 1.63E-10 9.73E-12 4.98E-13 2.19E-14 8.25E-16 2.67E-17 7.41E-19 1.77E-20 3.61E-22 6.34E-24 9.56E-26 1.24E-27
   4.75  0.895  2.84E+01 1.23E+01 8.05E+01 8.87E-01 2.30E+00 2.86E+00 2.57E+00 1.84E+00 1.08E+00 5.29E-01 2.18E-01 7.65E-02 2.28E-02 5.81E-03 1.27E-03 2.37E-04 3.79E-05 5.22E-06 6.17E-07 6.27E-08 5.49E-09 4.13E-10 2.68E-11 1.50E-12 7.19E-14 2.98E-15 1.06E-16 3.28E-18 8.69E-20 1.99E-21 3.92E-23 6.67E-25 9.79E-27
   5.00  0.918  3.61E+01 1.53E+01 1.02E+02 1.07E+00 2.79E+00 3.50E+00 3.19E+00 2.32E+00 1.39E+00 6.98E-01 2.96E-01 1.07E-01 3.32E-02 8.80E-03 2.01E-03 3.93E-04 6.65E-05 9.68E-06 1.22E-06 1.32E-07 1.24E-08 1.00E-09 7.02E-11 4.25E-12 2.23E-13 1.01E-14 3.96E-16 1.34E-17 3.95E-19 1.00E-20 2.21E-22 4.21E-24 6.95E-26
   5.50  0.963  5.96E+01 2.35E+01 1.60E+02 1.56E+00 4.10E+00 5.21E+00 4.86E+00 3.64E+00 2.26E+00 1.19E+00 5.32E-01 2.04E-01 6.76E-02 1.93E-02 4.78E-03 1.03E-03 1.91E-04 3.09E-05 4.35E-06 5.32E-07 5.66E-08 5.25E-09 4.24E-10 2.98E-11 1.83E-12 9.77E-14 4.55E-15 1.85E-16 6.55E-18 2.02E-19 5.45E-21 1.28E-22 2.63E-24
   6.00  1.006  9.52E+01 3.56E+01 2.49E+02 2.25E+00 5.93E+00 7.64E+00 7.28E+00 5.60E+00 3.60E+00 1.97E+00 9.24E-01 3.75E-01 1.32E-01 4.03E-02 1.07E-02 2.50E-03 5.08E-04 9.03E-05 1.40E-05 1.91E-06 2.29E-07 2.39E-08 2.20E-09 1.77E-10 1.25E-11 7.74E-13 4.21E-14 2.01E-15 8.43E-17 3.10E-18 1.00E-19 2.85E-21 7.10E-23
   6.50  1.047  1.48E+02 5.31E+01 3.81E+02 3.20E+00 8.50E+00 1.11E+01 1.08E+01 8.47E+00 5.62E+00 3.19E+00 1.56E+00 6.64E-01 2.47E-01 8.03E-02 2.29E-02 5.73E-03 1.26E-03 2.44E-04 4.16E-05 6.25E-06 8.28E-07 9.67E-08 9.97E-09 9.07E-10 7.28E-11 5.16E-12 3.23E-13 1.79E-14 8.72E-16 3.76E-17 1.43E-18 4.83E-20 1.44E-21
   7.00  1.087  2.27E+02 7.85E+01 5.75E+02 4.52E+00 1.21E+01 1.59E+01 1.57E+01 1.26E+01 8.61E+00 5.05E+00 2.57E+00 1.14E+00 4.47E-01 1.54E-01 4.66E-02 1.25E-02 2.95E-03 6.16E-04 1.14E-04 1.88E-05 2.73E-06 3.52E-07 4.04E-08 4.10E-09 3.70E-10 2.96E-11 2.11E-12 1.33E-13 7.47E-15 3.72E-16 1.65E-17 6.49E-19 2.27E-20
   7.50  1.125  3.41E+02 1.15E+02 8.60E+02 6.32E+00 1.70E+01 2.26E+01 2.26E+01 1.86E+01 1.30E+01 7.86E+00 4.15E+00 1.92E+00 7.86E-01 2.84E-01 9.10E-02 2.59E-02 6.54E-03 1.47E-03 2.94E-04 5.23E-05 8.30E-06 1.17E-06 1.48E-07 1.66E-08 1.67E-09 1.49E-10 1.19E-11 8.52E-13 5.43E-14 3.08E-15 1.57E-16 7.10E-18 2.88E-19
   8.00  1.162  5.08E+02 1.66E+02 1.27E+03 8.78E+00 2.37E+01 3.18E+01 3.23E+01 2.71E+01 1.94E+01 1.20E+01 6.56E+00 3.16E+00 1.35E+00 5.09E-01 1.72E-01 5.16E-02 1.39E-02 3.32E-03 7.12E-04 1.37E-04 2.35E-05 3.61E-06 4.97E-07 6.13E-08 6.78E-09 6.73E-10 5.98E-11 4.77E-12 3.41E-13 2.19E-14 1.26E-15 6.50E-17 3.01E-18
   8.50  1.198  7.46E+02 2.38E+02 1.86E+03 1.21E+01 3.28E+01 4.45E+01 4.57E+01 3.90E+01 2.85E+01 1.82E+01 1.02E+01 5.08E+00 2.25E+00 8.89E-01 3.14E-01 9.94E-02 2.82E-02 7.18E-03 1.64E-03 3.37E-04 6.22E-05 1.03E-05 1.54E-06 2.07E-07 2.51E-08 2.74E-09 2.68E-10 2.37E-11 1.89E-12 1.35E-13 8.74E-15 5.09E-16 2.67E-17
   9.00  1.232  1.09E+03 3.40E+02 2.71E+03 1.66E+01 4.51E+01 6.16E+01 6.41E+01 5.55E+01 4.14E+01 2.70E+01 1.56E+01 8.02E+00 3.68E+00 1.51E+00 5.58E-01 1.85E-01 5.53E-02 1.49E-02 3.61E-03 7.90E-04 1.56E-04 2.78E-05 4.48E-06 6.51E-07 8.56E-08 1.02E-08 1.09E-09 1.06E-10 9.33E-12 7.41E-13 5.33E-14 3.46E-15 2.04E-16
   9.50  1.266  1.57E+03 4.80E+02 3.90E+03 2.26E+01 6.16E+01 8.49E+01 8.93E+01 7.84E+01 5.95E+01 3.97E+01 2.35E+01 1.25E+01 5.91E+00 2.52E+00 9.68E-01 3.36E-01 1.05E-01 2.98E-02 7.62E-03 1.77E-03 3.72E-04 7.07E-05 1.22E-05 1.91E-06 2.71E-07 3.49E-08 4.08E-09 4.33E-10 4.17E-11 3.64E-12 2.89E-13 2.08E-14 1.36E-15
  10.00  1.299  2.24E+03 6.74E+02 5.57E+03 3.06E+01 8.37E+01 1.16E+02 1.23E+02 1.10E+02 8.49E+01 5.78E+01 3.51E+01 1.91E+01 9.32E+00 4.11E+00 1.64E+00 5.92E-01 1.94E-01 5.76E-02 1.55E-02 3.80E-03 8.46E-04 1.71E-04 3.15E-05 5.28E-06 8.05E-07 1.12E-07 1.41E-08 1.62E-09 1.70E-10 1.62E-11 1.41E-12 1.12E-13 8.07E-15
  11.00  1.362  4.84E+03 1.30E+03 1.12E+04 5.52E+01 1.52E+02 2.14E+02 2.31E+02 2.11E+02 1.68E+02 1.19E+02 7.51E+01 4.29E+01 2.22E+01 1.04E+01 4.43E+00 1.72E+00 6.10E-01 1.97E-01 5.83E-02 1.58E-02 3.89E-03 8.79E-04 1.82E-04 3.44E-05 5.96E-06 9.47E-07 1.38E-07 1.83E-08 2.24E-09 2.50E-10 2.57E-11 2.41E-12 2.08E-13
  12.00  1.423  9.77E+03 2.46E+03 2.18E+04 9.79E+01 2.71E+02 3.85E+02 4.23E+02 3.94E+02 3.23E+02 2.35E+02 1.55E+02 9.22E+01 5.00E+01 2.47E+01 1.12E+01 4.63E+00 1.76E+00 6.14E-01 1.96E-01 5.78E-02 1.56E-02 3.89E-03 8.90E-04 1.88E-04 3.64E-05 6.49E-06 1.07E-06 1.62E-07 2.26E-08 2.90E-09 3.44E-10 3.75E-11 3.78E-12
  13.00  1.481  1.89E+04 4.58E+03 4.15E+04 1.74E+02 4.84E+02 6.92E+02 7.69E+02 7.28E+02 6.06E+02 4.52E+02 3.05E+02 1.87E+02 1.05E+02 5.38E+01 2.53E+01 1.10E+01 4.37E+00 1.60E+00 5.43E-01 1.69E-01 4.88E-02 1.30E-02 3.18E-03 7.21E-04 1.51E-04 2.92E-05 5.23E-06 8.65E-07 1.32E-07 1.87E-08 2.45E-09 2.96E-10 3.32E-11
  14.00  1.537  3.57E+04 8.39E+03 7.75E+04 3.05E+02 8.51E+02 1.22E+03 1.38E+03 1.32E+03 1.12E+03 8.48E+02 5.85E+02 3.68E+02 2.12E+02 1.12E+02 5.49E+01 2.47E+01 1.03E+01 3.93E+00 1.40E+00 4.58E-01 1.39E-01 3.92E-02 1.02E-02 2.47E-03 5.53E-04 1.15E-04 2.21E-05 3.95E-06 6.54E-07 1.01E-07 1.43E-08 1.90E-09 2.33E-10
  15.00  1.591  6.59E+04 1.51E+04 1.42E+05 5.28E+02 1.48E+03 2.14E+03 2.42E+03 2.34E+03 2.01E+03 1.56E+03 1.09E+03 7.05E+02 4.17E+02 2.27E+02 1.14E+02 5.33E+01 2.29E+01 9.16E+00 3.39E+00 1.17E+00 3.72E-01 1.10E-01 3.03E-02 7.75E-03 1.84E-03 4.07E-04 8.36E-05 1.60E-05 2.84E-06 4.70E-07 7.24E-08 1.04E-08 1.38E-09
  16.00  1.643  1.19E+05 2.67E+04 2.56E+05 9.02E+02 2.53E+03 3.68E+03 4.19E+03 4.11E+03 3.57E+03 2.80E+03 2.01E+03 1.32E+03 7.98E+02 4.46E+02 2.31E+02 1.11E+02 4.94E+01 2.04E+01 7.85E+00 2.81E+00 9.36E-01 2.90E-01 8.38E-02 2.25E-02 5.65E-03 1.32E-03 2.88E-04 5.84E-05 1.11E-05 1.96E-06 3.22E-07 4.96E-08 7.11E-09
  17.00  1.694  2.12E+05 4.66E+04 4.55E+05 1.52E+03 4.27E+03 6.24E+03 7.17E+03 7.09E+03 6.23E+03 4.96E+03 3.61E+03 2.42E+03 1.49E+03 8.54E+02 4.53E+02 2.24E+02 1.03E+02 4.38E+01 1.74E+01 6.47E+00 2.24E+00 7.24E-01 2.18E-01 6.15E-02 1.62E-02 3.97E-03 9.13E-04 1.96E-04 3.93E-05 7.37E-06 1.29E-06 2.12E-07 3.25E-08
  18.00  1.743  3.73E+05 8.02E+04 7.96E+05 2.54E+03 7.14E+03 1.05E+04 1.21E+04 1.21E+04 1.07E+04 8.64E+03 6.38E+03 4.34E+03 2.73E+03 1.60E+03 8.67E+02 4.38E+02 2.07E+02 9.09E+01 3.73E+01 1.43E+01 5.14E+00 1.72E+00 5.40E-01 1.59E-01 4.36E-02 1.12E-02 2.70E-03 6.10E-04 1.29E-04 2.55E-05 4.73E-06 8.21E-07 1.34E-07
  19.00  1.790  6.46E+05 1.36E+05 1.37E+06 4.19E+03 1.18E+04 1.74E+04 2.02E+04 2.03E+04 1.82E+04 1.48E+04 1.11E+04 7.67E+03 4.91E+03 2.92E+03 1.62E+03 8.39E+02 4.05E+02 1.83E+02 7.73E+01 3.06E+01 1.13E+01 3.93E+00 1.28E+00 3.90E-01 1.12E-01 2.99E-02 7.53E-03 1.78E-03 3.94E-04 8.19E-05 1.60E-05 2.93E-06 5.04E-07
  20.00  1.837  1.10E+06 2.29E+05 2.34E+06 6.84E+03 1.93E+04 2.86E+04 3.34E+04 3.37E+04 3.05E+04 2.51E+04 1.90E+04 1.33E+04 8.68E+03 5.26E+03 2.97E+03 1.57E+03 7.76E+02 3.59E+02 1.56E+02 6.33E+01 2.42E+01 8.65E+00 2.91E+00 9.19E-01 2.72E-01 7.59E-02 1.99E-02 4.90E-03 1.13E-03 2.47E-04 5.05E-05 9.71E-06 1.76E-06
  22.50  1.948  5.11E+06 8.01E+05 8.46E+06 2.24E+04 6.35E+04 9.46E+04 1.12E+05 1.15E+05 1.06E+05 8.92E+04 6.94E+04 5.01E+04 3.37E+04 2.12E+04 1.25E+04 6.91E+03 3.59E+03 1.75E+03 8.04E+02 3.47E+02 1.41E+02 5.42E+01 1.96E+01 6.68E+00 2.14E+00 6.50E-01 1.86E-01 5.01E-02 1.27E-02 3.06E-03 6.94E-04 1.48E-04 3.00E-05
  25.00  2.054  1.83E+07 2.64E+06 2.87E+07 6.96E+04 1.98E+05 2.97E+05 3.54E+05 3.68E+05 3.45E+05 2.96E+05 2.36E+05 1.75E+05 1.21E+05 7.85E+04 4.79E+04 2.75E+04 1.49E+04 7.59E+03 3.66E+03 1.66E+03 7.14E+02 2.90E+02 1.11E+02 4.04E+01 1.39E+01 4.50E+00 1.38E+00 4.03E-01 1.11E-01 2.89E-02 7.14E-03 1.67E-03 3.70E-04
  30.00  2.250  2.64E+08 2.46E+07 2.81E+08 5.89E+05 1.68E+06 2.55E+06 3.09E+06 3.28E+06 3.15E+06 2.79E+06 2.29E+06 1.77E+06 1.28E+06 8.75E+05 5.65E+05 3.44E+05 1.99E+05 1.09E+05 5.65E+04 2.78E+04 1.30E+04 5.79E+03 2.44E+03 9.80E+02 3.74E+02 1.36E+02 4.68E+01 1.54E+01 4.80E+00 1.43E+00 4.03E-01 1.09E-01 2.78E-02
  40.00  2.598  2.73E+10 1.35E+09 1.67E+10 2.78E+07 7.99E+07 1.23E+08 1.52E+08 1.65E+08 1.64E+08 1.52E+08 1.31E+08 1.07E+08 8.24E+07 6.03E+07 4.19E+07 2.78E+07 1.75E+07 1.06E+07 6.08E+06 3.35E+06 1.76E+06 8.85E+05 4.26E+05 1.96E+05 8.65E+04 3.65E+04 1.48E+04 5.72E+03 2.12E+03 7.54E+02 2.57E+02 8.38E+01 2.62E+01
  50.00  2.904  9.77E+11 4.75E+10 6.21E+11 8.66E+08 2.51E+09 3.88E+09 4.87E+09 5.40E+09 5.50E+09 5.21E+09 4.65E+09 3.93E+09 3.16E+09 2.42E+09 1.77E+09 1.24E+09 8.31E+08 5.34E+08 3.30E+08 1.95E+08 1.11E+08 6.06E+07 3.18E+07 1.61E+07 7.80E+06 3.64E+06 1.64E+06 7.08E+05 2.95E+05 1.18E+05 4.55E+04 1.69E+04 6.03E+03
  60.00  3.182  2.50E+13 1.20E+12 1.65E+13 2.00E+10 5.80E+10 9.04E+10 1.14E+11 1.29E+11 1.33E+11 1.29E+11 1.18E+11 1.02E+11 8.47E+10 6.71E+10 5.09E+10 3.71E+10 2.60E+10 1.75E+10 1.13E+10 7.08E+09 4.26E+09 2.47E+09 1.38E+09 7.47E+08 3.89E+08 1.96E+08 9.49E+07 4.44E+07 2.01E+07 8.78E+06 3.71E+06 1.51E+06 5.95E+05
  70.00  3.437  5.01E+14 2.38E+13 3.40E+14 3.65E+11 1.06E+12 1.66E+12 2.12E+12 2.41E+12 2.53E+12 2.48E+12 2.31E+12 2.05E+12 1.74E+12 1.41E+12 1.10E+12 8.27E+11 5.99E+11 4.18E+11 2.82E+11 1.83E+11 1.15E+11 7.00E+10 4.11E+10 2.34E+10 1.28E+10 6.83E+09 3.52E+09 1.75E+09 8.45E+08 3.95E+08 1.79E+08 7.82E+07 3.32E+07
  80.00  3.674  8.22E+15 3.86E+14 5.71E+15 5.52E+12 1.61E+13 2.53E+13 3.25E+13 3.73E+13 3.95E+13 3.93E+13 3.70E+13 3.34E+13 2.88E+13 2.39E+13 1.91E+13 1.47E+13 1.09E+13 7.85E+12 5.46E+12 3.67E+12 2.39E+12 1.51E+12 9.20E+11 5.45E+11 3.13E+11 1.74E+11 9.38E+10 4.91E+10 2.49E+10 1.23E+10 5.87E+09 2.72E+09 1.23E+09
  90.00  3.897  1.15E+17 5.32E+15 8.11E+16 7.16E+13 2.09E+14 3.30E+14 4.26E+14 4.92E+14 5.25E+14 5.28E+14 5.04E+14 4.60E+14 4.03E+14 3.40E+14 2.77E+14 2.17E+14 1.65E+14 1.22E+14 8.67E+13 5.99E+13 4.01E+13 2.61E+13 1.64E+13 1.01E+13 5.99E+12 3.46E+12 1.94E+12 1.06E+12 5.60E+11 2.88E+11 1.44E+11 7.02E+10 3.32E+10
 100.00  4.108  1.39E+18 6.39E+16 1.00E+18 8.15E+14 2.38E+15 3.77E+15 4.89E+15 5.68E+15 6.11E+15 6.19E+15 5.97E+15 5.51E+15 4.89E+15 4.19E+15 3.46E+15 2.77E+15 2.14E+15 1.61E+15 1.17E+15 8.27E+14 5.68E+14 3.79E+14 2.45E+14 1.55E+14 9.47E+13 5.65E+13 3.27E+13 1.85E+13 1.01E+13 5.41E+12 2.81E+12 1.42E+12 7.02E+11
 110.00  4.308  1.50E+19 6.83E+17 1.10E+19 8.30E+15 2.43E+16 3.86E+16 5.02E+16 5.85E+16 6.33E+16 6.47E+16 6.29E+16 5.87E+16 5.26E+16 4.56E+16 3.82E+16 3.10E+16 2.44E+16 1.86E+16 1.38E+16 9.94E+15 6.97E+15 4.75E+15 3.15E+15 2.03E+15 1.28E+15 7.83E+14 4.67E+14 2.71E+14 1.53E+14 8.45E+13 4.54E+13 2.38E+13 1.21E+13
 120.00  4.500  1.47E+20 6.59E+18 1.08E+20 7.67E+16 2.25E+17 3.57E+17 4.67E+17 5.46E+17 5.94E+17 6.11E+17 5.99E+17 5.63E+17 5.10E+17 4.46E+17 3.78E+17 3.11E+17 2.48E+17 1.92E+17 1.45E+17 1.06E+17 7.57E+16 5.26E+16 3.56E+16 2.35E+16 1.51E+16 9.46E+15 5.78E+15 3.44E+15 2.00E+15 1.13E+15 6.27E+14 3.38E+14 1.78E+14
 130.00  4.683  1.31E+21 5.82E+19 9.75E+20 6.50E+17 1.91E+18 3.04E+18 3.98E+18 4.68E+18 5.11E+18 5.28E+18 5.21E+18 4.94E+18 4.51E+18 3.98E+18 3.41E+18 2.83E+18 2.29E+18 1.80E+18 1.37E+18 1.02E+18 7.41E+17 5.23E+17 3.60E+17 2.42E+17 1.59E+17 1.02E+17 6.34E+16 3.86E+16 2.30E+16 1.33E+16 7.56E+15 4.19E+15 2.26E+15
 140.00  4.860  1.08E+22 4.75E+20 8.11E+21 5.11E+18 1.50E+19 2.39E+19 3.14E+19 3.70E+19 4.06E+19 4.22E+19 4.19E+19 3.99E+19 3.68E+19 3.28E+19 2.83E+19 2.38E+19 1.94E+19 1.54E+19 1.19E+19 8.98E+18 6.60E+18 4.74E+18 3.31E+18 2.26E+18 1.51E+18 9.84E+17 6.26E+17 3.89E+17 2.36E+17 1.40E+17 8.12E+16 4.60E+16 2.55E+16
 150.00  5.031  8.30E+22 3.61E+21 6.27E+22 3.74E+19 1.10E+20 1.76E+20 2.31E+20 2.74E+20 3.01E+20 3.14E+20 3.14E+20 3.01E+20 2.79E+20 2.50E+20 2.18E+20 1.85E+20 1.52E+20 1.22E+20 9.55E+19 7.29E+19 5.43E+19 3.94E+19 2.80E+19 1.94E+19 1.32E+19 8.71E+18 5.63E+18 3.57E+18 2.21E+18 1.33E+18 7.89E+17 4.57E+17 2.59E+17
 160.00  5.196  5.97E+23 2.57E+22 4.54E+23 2.58E+20 7.59E+20 1.21E+21 1.60E+21 1.90E+21 2.10E+21 2.20E+21 2.20E+21 2.13E+21 1.98E+21 1.79E+21 1.57E+21 1.34E+21 1.11E+21 9.03E+20 7.14E+20 5.51E+20 4.15E+20 3.05E+20 2.19E+20 1.54E+20 1.06E+20 7.11E+19 4.68E+19 3.01E+19 1.89E+19 1.16E+19 7.01E+18 4.14E+18 2.39E+18
 170.00  5.356  4.05E+24 1.73E+23 3.10E+24 1.68E+21 4.95E+21 7.93E+21 1.05E+22 1.25E+22 1.38E+22 1.45E+22 1.46E+22 1.42E+22 1.33E+22 1.21E+22 1.07E+22 9.17E+21 7.68E+21 6.27E+21 5.00E+21 3.90E+21 2.97E+21 2.21E+21 1.60E+21 1.14E+21 7.94E+20 5.41E+20 3.61E+20 2.35E+20 1.50E+20 9.40E+19 5.76E+19 3.45E+19 2.03E+19
