                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   6.50  0.735  2.41E+04 1.27E+04 1.22E+05 4.28E+02 1.20E+03 1.75E+03 1.99E+03 1.95E+03 1.69E+03 1.33E+03 9.52E+02 6.25E+02 3.78E+02 2.11E+02 1.09E+02 5.24E+01 2.33E+01 9.64E+00 3.70E+00 1.32E+00 4.40E-01 1.36E-01 3.93E-02 1.06E-02 2.65E-03 6.18E-04 1.34E-04 2.73E-05 5.16E-06 9.10E-07 1.50E-07 2.30E-08 3.29E-09
   7.00  0.763  5.01E+04 2.60E+04 2.54E+05 8.52E+02 2.39E+03 3.50E+03 4.01E+03 3.96E+03 3.48E+03 2.77E+03 2.01E+03 1.34E+03 8.28E+02 4.73E+02 2.50E+02 1.23E+02 5.64E+01 2.40E+01 9.52E+00 3.52E+00 1.22E+00 3.91E-01 1.17E-01 3.29E-02 8.63E-03 2.11E-03 4.82E-04 1.03E-04 2.05E-05 3.83E-06 6.68E-07 1.09E-07 1.66E-08
   7.50  0.789  1.03E+05 5.32E+04 5.29E+05 1.68E+03 4.74E+03 6.95E+03 8.04E+03 8.01E+03 7.12E+03 5.74E+03 4.24E+03 2.88E+03 1.82E+03 1.06E+03 5.77E+02 2.92E+02 1.38E+02 6.05E+01 2.49E+01 9.55E+00 3.43E+00 1.15E+00 3.61E-01 1.06E-01 2.92E-02 7.52E-03 1.81E-03 4.09E-04 8.66E-05 1.72E-05 3.18E-06 5.54E-07 9.03E-08
   8.00  0.815  2.10E+05 1.07E+05 1.09E+06 3.22E+03 9.09E+03 1.34E+04 1.57E+04 1.58E+04 1.42E+04 1.17E+04 8.81E+03 6.14E+03 3.97E+03 2.39E+03 1.34E+03 7.04E+02 3.45E+02 1.58E+02 6.80E+01 2.74E+01 1.03E+01 3.66E+00 1.22E+00 3.79E-01 1.11E-01 3.05E-02 7.88E-03 1.91E-03 4.36E-04 9.33E-05 1.88E-05 3.55E-06 6.31E-07
   8.50  0.840  4.19E+05 2.09E+05 2.17E+06 6.03E+03 1.71E+04 2.53E+04 2.98E+04 3.03E+04 2.77E+04 2.31E+04 1.78E+04 1.26E+04 8.36E+03 5.17E+03 2.98E+03 1.61E+03 8.18E+02 3.89E+02 1.74E+02 7.30E+01 2.88E+01 1.07E+01 3.73E+00 1.22E+00 3.79E-01 1.10E-01 3.02E-02 7.80E-03 1.90E-03 4.34E-04 9.37E-05 1.90E-05 3.65E-06
   9.00  0.865  8.19E+05 4.00E+05 4.24E+06 1.11E+04 3.15E+04 4.69E+04 5.55E+04 5.71E+04 5.28E+04 4.46E+04 3.48E+04 2.52E+04 1.70E+04 1.08E+04 6.38E+03 3.55E+03 1.85E+03 9.10E+02 4.21E+02 1.83E+02 7.51E+01 2.90E+01 1.06E+01 3.64E+00 1.18E+00 3.61E-01 1.04E-01 2.84E-02 7.32E-03 1.78E-03 4.08E-04 8.84E-05 1.81E-05
   9.50  0.888  1.57E+06 7.50E+05 8.10E+06 2.01E+04 5.70E+04 8.53E+04 1.02E+05 1.05E+05 9.84E+04 8.41E+04 6.66E+04 4.91E+04 3.38E+04 2.18E+04 1.32E+04 7.51E+03 4.03E+03 2.04E+03 9.70E+02 4.36E+02 1.85E+02 7.42E+01 2.81E+01 1.01E+01 3.41E+00 1.09E+00 3.30E-01 9.44E-02 2.56E-02 6.55E-03 1.59E-03 3.64E-04 7.91E-05
  10.00  0.911  2.95E+06 1.38E+06 1.52E+07 3.57E+04 1.02E+05 1.53E+05 1.83E+05 1.91E+05 1.80E+05 1.56E+05 1.25E+05 9.32E+04 6.52E+04 4.28E+04 2.65E+04 1.54E+04 8.46E+03 4.38E+03 2.15E+03 9.94E+02 4.35E+02 1.80E+02 7.07E+01 2.63E+01 9.23E+00 3.07E+00 9.70E-01 2.90E-01 8.22E-02 2.21E-02 5.62E-03 1.36E-03 3.11E-04
  11.00  0.956  1.19E+07 4.46E+06 5.05E+07 1.08E+05 3.10E+05 4.68E+05 5.66E+05 5.98E+05 5.72E+05 5.04E+05 4.13E+05 3.17E+05 2.28E+05 1.55E+05 9.88E+04 5.97E+04 3.42E+04 1.85E+04 9.50E+03 4.62E+03 2.14E+03 9.36E+02 3.90E+02 1.54E+02 5.79E+01 2.07E+01 7.00E+00 2.26E+00 6.92E-01 2.02E-01 5.59E-02 1.47E-02 3.69E-03
  12.00  0.998  3.91E+07 1.36E+07 1.58E+08 3.13E+05 8.96E+05 1.36E+06 1.66E+06 1.77E+06 1.72E+06 1.54E+06 1.28E+06 1.00E+06 7.40E+05 5.15E+05 3.39E+05 2.12E+05 1.25E+05 7.04E+04 3.76E+04 1.91E+04 9.21E+03 4.23E+03 1.85E+03 7.72E+02 3.06E+02 1.16E+02 4.17E+01 1.43E+01 4.69E+00 1.46E+00 4.35E-01 1.23E-01 3.34E-02
