                    ************************************************************************************************
                    *  Z= 25 A= 51: Positive-Parity Spin-dependent Level Density [MeV-1] for Mn 51 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   6.50  1.085  3.89E+02 1.25E+02 8.10E+02 1.32E+01 2.23E+01 2.53E+01 2.28E+01 1.72E+01 1.11E+01 6.28E+00 3.09E+00 1.34E+00 5.14E-01 1.74E-01 5.24E-02 1.40E-02 3.32E-03 6.99E-04 1.31E-04 2.19E-05 3.27E-06 4.34E-07 5.13E-08 5.41E-09 5.09E-10 4.27E-11 3.20E-12 2.14E-13 1.28E-14 6.80E-16 3.23E-17 1.37E-18 5.20E-20
   7.00  1.126  5.66E+02 1.76E+02 1.17E+03 1.80E+01 3.07E+01 3.51E+01 3.21E+01 2.47E+01 1.63E+01 9.44E+00 4.80E+00 2.15E+00 8.57E-01 3.03E-01 9.54E-02 2.68E-02 6.71E-03 1.50E-03 3.00E-04 5.35E-05 8.55E-06 1.22E-06 1.56E-07 1.79E-08 1.84E-09 1.69E-10 1.39E-11 1.03E-12 6.79E-14 4.02E-15 2.14E-16 1.02E-17 4.34E-19
   7.50  1.165  8.13E+02 2.47E+02 1.67E+03 2.45E+01 4.19E+01 4.84E+01 4.48E+01 3.50E+01 2.37E+01 1.40E+01 7.33E+00 3.40E+00 1.40E+00 5.16E-01 1.69E-01 4.98E-02 1.31E-02 3.10E-03 6.56E-04 1.25E-04 2.13E-05 3.26E-06 4.49E-07 5.55E-08 6.17E-09 6.17E-10 5.55E-11 4.49E-12 3.26E-13 2.14E-14 1.26E-15 6.66E-17 3.18E-18
   8.00  1.204  1.16E+03 3.45E+02 2.38E+03 3.31E+01 5.69E+01 6.64E+01 6.22E+01 4.94E+01 3.40E+01 2.06E+01 1.11E+01 5.28E+00 2.25E+00 8.59E-01 2.94E-01 9.03E-02 2.49E-02 6.19E-03 1.38E-03 2.79E-04 5.06E-05 8.26E-06 1.22E-06 1.62E-07 1.94E-08 2.10E-09 2.05E-10 1.81E-11 1.44E-12 1.03E-13 6.68E-15 3.91E-16 2.07E-17
   8.50  1.241  1.64E+03 4.79E+02 3.37E+03 4.45E+01 7.70E+01 9.05E+01 8.57E+01 6.91E+01 4.85E+01 3.00E+01 1.65E+01 8.10E+00 3.56E+00 1.41E+00 5.00E-01 1.60E-01 4.62E-02 1.20E-02 2.83E-03 6.01E-04 1.15E-04 2.00E-05 3.15E-06 4.47E-07 5.75E-08 6.70E-09 7.06E-10 6.74E-11 5.82E-12 4.56E-13 3.23E-14 2.08E-15 1.21E-16
   9.00  1.277  2.30E+03 6.62E+02 4.74E+03 5.97E+01 1.04E+02 1.23E+02 1.17E+02 9.60E+01 6.85E+01 4.32E+01 2.43E+01 1.23E+01 5.55E+00 2.26E+00 8.33E-01 2.77E-01 8.33E-02 2.27E-02 5.59E-03 1.25E-03 2.53E-04 4.66E-05 7.77E-06 1.18E-06 1.61E-07 2.01E-08 2.28E-09 2.35E-10 2.19E-11 1.86E-12 1.44E-13 1.01E-14 6.42E-16
   9.50  1.312  3.21E+03 9.09E+02 6.63E+03 7.96E+01 1.39E+02 1.65E+02 1.60E+02 1.33E+02 9.61E+01 6.18E+01 3.55E+01 1.83E+01 8.54E+00 3.59E+00 1.37E+00 4.71E-01 1.47E-01 4.18E-02 1.08E-02 2.52E-03 5.38E-04 1.04E-04 1.84E-05 2.95E-06 4.31E-07 5.74E-08 6.96E-09 7.68E-10 7.73E-11 7.08E-12 5.91E-13 4.50E-14 3.12E-15
  10.00  1.346  4.45E+03 1.24E+03 9.22E+03 1.06E+02 1.85E+02 2.22E+02 2.17E+02 1.82E+02 1.34E+02 8.76E+01 5.14E+01 2.72E+01 1.30E+01 5.61E+00 2.20E+00 7.85E-01 2.55E-01 7.51E-02 2.02E-02 4.95E-03 1.11E-03 2.25E-04 4.19E-05 7.11E-06 1.10E-06 1.56E-07 2.01E-08 2.38E-09 2.56E-10 2.52E-11 2.27E-12 1.86E-13 1.40E-14
  11.00  1.411  9.03E+03 2.29E+03 1.75E+04 1.84E+02 3.25E+02 3.95E+02 3.93E+02 3.37E+02 2.55E+02 1.72E+02 1.05E+02 5.78E+01 2.89E+01 1.32E+01 5.48E+00 2.08E+00 7.20E-01 2.28E-01 6.63E-02 1.76E-02 4.30E-03 9.61E-04 1.97E-04 3.70E-05 6.37E-06 1.01E-06 1.46E-07 1.95E-08 2.38E-09 2.68E-10 2.76E-11 2.61E-12 2.27E-13
  12.00  1.474  1.73E+04 4.15E+03 3.28E+04 3.17E+02 5.63E+02 6.92E+02 6.99E+02 6.11E+02 4.73E+02 3.29E+02 2.07E+02 1.19E+02 6.20E+01 2.96E+01 1.29E+01 5.19E+00 1.91E+00 6.46E-01 2.01E-01 5.75E-02 1.51E-02 3.67E-03 8.20E-04 1.69E-04 3.20E-05 5.59E-06 9.01E-07 1.34E-07 1.83E-08 2.31E-09 2.69E-10 2.90E-11 2.87E-12
