                    ************************************************************************************************
                    *  Z= 40 A= 90: Positive-Parity Spin-dependent Level Density [MeV-1] for Zr 90 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   6.50  0.789  2.16E+02 1.81E+02 1.92E+03 6.18E+00 1.21E+01 2.14E+01 2.34E+01 2.66E+01 2.45E+01 2.46E+01 1.82E+01 1.43E+01 8.10E+00 4.09E+00 1.00E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.819  4.11E+02 2.17E+02 2.29E+03 8.00E+00 1.33E+01 2.52E+01 2.73E+01 3.33E+01 2.94E+01 3.02E+01 2.04E+01 1.73E+01 9.27E+00 5.18E+00 1.10E+00 1.03E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.848  6.57E+02 2.48E+02 2.64E+03 8.00E+00 1.58E+01 2.69E+01 2.97E+01 3.58E+01 3.27E+01 3.18E+01 2.39E+01 2.00E+01 1.20E+01 7.10E+00 2.09E+00 1.10E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  0.876  9.39E+02 2.37E+02 2.72E+03 8.34E+00 1.47E+01 2.73E+01 2.85E+01 3.57E+01 3.16E+01 3.16E+01 2.42E+01 2.10E+01 1.26E+01 8.34E+00 3.16E+00 2.00E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  0.902  1.47E+03 3.81E+02 4.75E+03 1.33E+01 2.59E+01 4.60E+01 5.09E+01 6.09E+01 5.55E+01 5.54E+01 4.32E+01 3.63E+01 2.18E+01 1.39E+01 5.95E+00 2.45E+00 5.17E-01 2.07E-01 1.03E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  0.929  2.68E+03 1.29E+03 1.46E+04 3.16E+01 7.15E+01 1.24E+02 1.44E+02 1.69E+02 1.61E+02 1.57E+02 1.29E+02 1.07E+02 7.21E+01 4.97E+01 2.68E+01 1.40E+01 5.00E+00 2.00E+00 1.00E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  0.954  4.51E+03 1.11E+03 1.36E+04 2.90E+01 6.31E+01 1.12E+02 1.29E+02 1.53E+02 1.45E+02 1.43E+02 1.18E+02 1.00E+02 6.91E+01 5.00E+01 2.70E+01 1.52E+01 5.56E+00 2.24E+00 1.00E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  0.979  6.89E+03 1.79E+03 2.34E+04 4.16E+01 1.04E+02 1.71E+02 2.07E+02 2.37E+02 2.35E+02 2.29E+02 1.98E+02 1.69E+02 1.27E+02 9.29E+01 5.76E+01 3.39E+01 1.55E+01 6.68E+00 1.93E+00 3.10E-01 5.17E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.027  2.19E+04 7.33E+03 9.69E+04 1.39E+02 3.87E+02 6.19E+02 7.78E+02 8.87E+02 9.09E+02 8.80E+02 7.86E+02 6.71E+02 5.32E+02 4.02E+02 2.77E+02 1.78E+02 1.01E+02 5.08E+01 2.03E+01 6.51E+00 1.36E+00 5.17E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.072  5.23E+04 1.58E+04 2.17E+05 2.87E+02 7.96E+02 1.27E+03 1.60E+03 1.84E+03 1.91E+03 1.87E+03 1.69E+03 1.47E+03 1.19E+03 9.23E+02 6.61E+02 4.51E+02 2.74E+02 1.55E+02 7.37E+01 3.12E+01 8.77E+00 1.72E+00 1.55E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  13.00  1.116  1.22E+05 3.68E+04 5.22E+05 6.18E+02 1.74E+03 2.79E+03 3.54E+03 4.09E+03 4.28E+03 4.23E+03 3.89E+03 3.45E+03 2.86E+03 2.28E+03 1.70E+03 1.21E+03 7.93E+02 4.83E+02 2.60E+02 1.26E+02 4.97E+01 1.60E+01 3.22E+00 1.03E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.158  3.08E+05 8.50E+04 1.20E+06 1.38E+03 3.89E+03 6.22E+03 7.94E+03 9.17E+03 9.63E+03 9.56E+03 8.87E+03 7.88E+03 6.59E+03 5.29E+03 3.99E+03 2.87E+03 1.90E+03 1.18E+03 6.61E+02 3.36E+02 1.44E+02 5.32E+01 1.30E+01 2.23E+00 1.55E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
