                    ************************************************************************************************
                    *  Z= 27 A= 57: Positive-Parity Spin-dependent Level Density [MeV-1] for Co 57 and ldmodel= 1  *
   4.25  0.810  7.56E+01 2.48E+01 1.55E+02 2.81E+00 4.70E+00 5.21E+00 4.56E+00 3.32E+00 2.06E+00 1.10E+00 5.09E-01 2.06E-01 7.29E-02 2.27E-02 6.20E-03 1.49E-03 3.17E-04 5.94E-05 9.82E-06 1.43E-06 1.85E-07 2.11E-08 2.12E-09 1.89E-10 1.49E-11 1.04E-12 6.44E-14 3.52E-15 1.70E-16 7.30E-18 2.77E-19 9.31E-21 2.77E-22
   4.50  0.833  9.03E+01 2.94E+01 1.85E+02 3.28E+00 5.49E+00 6.12E+00 5.39E+00 3.96E+00 2.47E+00 1.34E+00 6.28E-01 2.58E-01 9.29E-02 2.95E-02 8.23E-03 2.03E-03 4.41E-04 8.47E-05 1.44E-05 2.16E-06 2.88E-07 3.39E-08 3.54E-09 3.28E-10 2.69E-11 1.95E-12 1.26E-13 7.18E-15 3.64E-16 1.63E-17 6.51E-19 2.30E-20 7.22E-22
   4.75  0.856  1.08E+02 3.47E+01 2.20E+02 3.83E+00 6.42E+00 7.20E+00 6.38E+00 4.71E+00 2.98E+00 1.62E+00 7.73E-01 3.23E-01 1.18E-01 3.81E-02 1.09E-02 2.73E-03 6.09E-04 1.20E-04 2.09E-05 3.24E-06 4.45E-07 5.41E-08 5.84E-09 5.60E-10 4.77E-11 3.60E-12 2.42E-13 1.44E-14 7.63E-16 3.59E-17 1.50E-18 5.57E-20 1.84E-21
   5.00  0.879  1.28E+02 4.11E+01 2.63E+02 4.47E+00 7.51E+00 8.45E+00 7.53E+00 5.61E+00 3.58E+00 1.97E+00 9.52E-01 4.03E-01 1.50E-01 4.93E-02 1.43E-02 3.68E-03 8.38E-04 1.69E-04 3.03E-05 4.82E-06 6.82E-07 8.56E-08 9.55E-09 9.48E-10 8.36E-11 6.56E-12 4.58E-13 2.85E-14 1.57E-15 7.74E-17 3.39E-18 1.32E-19 4.59E-21
   5.50  0.921  1.86E+02 5.75E+01 3.74E+02 6.08E+00 1.03E+01 1.17E+01 1.05E+01 7.95E+00 5.15E+00 2.91E+00 1.44E+00 6.24E-01 2.40E-01 8.15E-02 2.46E-02 6.57E-03 1.56E-03 3.31E-04 6.24E-05 1.05E-05 1.57E-06 2.09E-07 2.48E-08 2.63E-09 2.49E-10 2.10E-11 1.58E-12 1.06E-13 6.38E-15 3.42E-16 1.64E-17 7.00E-19 2.67E-20
   6.00  0.962  2.66E+02 8.05E+01 5.32E+02 8.29E+00 1.41E+01 1.61E+01 1.47E+01 1.12E+01 7.41E+00 4.26E+00 2.16E+00 9.62E-01 3.80E-01 1.33E-01 4.17E-02 1.16E-02 2.87E-03 6.35E-04 1.26E-04 2.22E-05 3.50E-06 4.93E-07 6.22E-08 7.02E-09 7.09E-10 6.41E-11 5.19E-12 3.76E-13 2.44E-14 1.42E-15 7.39E-17 3.45E-18 1.44E-19
   6.50  1.002  3.79E+02 1.13E+02 7.56E+02 1.13E+01 1.93E+01 2.22E+01 2.05E+01 1.59E+01 1.06E+01 6.24E+00 3.22E+00 1.47E+00 5.99E-01 2.17E-01 6.99E-02 2.02E-02 5.20E-03 1.20E-03 2.48E-04 4.59E-05 7.61E-06 1.13E-06 1.51E-07 1.81E-08 1.95E-09 1.88E-10 1.63E-11 1.27E-12 8.85E-14 5.55E-15 3.13E-16 1.58E-17 7.21E-19
   7.00  1.040  5.37E+02 1.58E+02 1.07E+03 1.54E+01 2.65E+01 3.07E+01 2.85E+01 2.24E+01 1.52E+01 9.09E+00 4.79E+00 2.24E+00 9.36E-01 3.49E-01 1.16E-01 3.46E-02 9.27E-03 2.23E-03 4.80E-04 9.29E-05 1.62E-05 2.53E-06 3.57E-07 4.52E-08 5.16E-09 5.29E-10 4.89E-11 4.07E-12 3.05E-13 2.06E-14 1.25E-15 6.85E-17 3.38E-18
   7.50  1.076  7.57E+02 2.21E+02 1.53E+03 2.11E+01 3.63E+01 4.23E+01 3.97E+01 3.16E+01 2.18E+01 1.32E+01 7.11E+00 3.40E+00 1.45E+00 5.57E-01 1.91E-01 5.89E-02 1.63E-02 4.07E-03 9.14E-04 1.85E-04 3.37E-05 5.53E-06 8.20E-07 1.10E-07 1.32E-08 1.44E-09 1.41E-10 1.25E-11 1.00E-12 7.25E-14 4.74E-15 2.79E-16 1.49E-17
   8.00  1.111  1.07E+03 3.09E+02 2.17E+03 2.88E+01 4.98E+01 5.84E+01 5.53E+01 4.44E+01 3.11E+01 1.92E+01 1.05E+01 5.13E+00 2.25E+00 8.83E-01 3.12E-01 9.91E-02 2.84E-02 7.34E-03 1.71E-03 3.61E-04 6.86E-05 1.18E-05 1.84E-06 2.58E-07 3.28E-08 3.78E-09 3.94E-10 3.71E-11 3.16E-12 2.44E-13 1.71E-14 1.08E-15 6.19E-17
   8.50  1.145  1.50E+03 4.32E+02 3.07E+03 3.94E+01 6.83E+01 8.07E+01 7.69E+01 6.25E+01 4.43E+01 2.77E+01 1.55E+01 7.71E+00 3.45E+00 1.39E+00 5.05E-01 1.65E-01 4.89E-02 1.31E-02 3.16E-03 6.93E-04 1.37E-04 2.47E-05 4.02E-06 5.93E-07 7.94E-08 9.63E-09 1.06E-09 1.06E-10 9.59E-12 7.88E-13 5.88E-14 3.98E-15 2.44E-16
   9.00  1.179  2.10E+03 6.05E+02 4.36E+03 5.39E+01 9.38E+01 1.11E+02 1.07E+02 8.79E+01 6.31E+01 4.01E+01 2.27E+01 1.15E+01 5.28E+00 2.18E+00 8.11E-01 2.73E-01 8.32E-02 2.30E-02 5.76E-03 1.31E-03 2.70E-04 5.06E-05 8.61E-06 1.33E-06 1.87E-07 2.38E-08 2.77E-09 2.92E-10 2.80E-11 2.44E-12 1.94E-13 1.40E-14 9.18E-16
   9.50  1.211  2.95E+03 8.46E+02 6.18E+03 7.38E+01 1.29E+02 1.54E+02 1.49E+02 1.23E+02 8.96E+01 5.77E+01 3.33E+01 1.72E+01 8.04E+00 3.39E+00 1.29E+00 4.47E-01 1.40E-01 4.00E-02 1.04E-02 2.44E-03 5.23E-04 1.02E-04 1.81E-05 2.92E-06 4.29E-07 5.75E-08 7.02E-09 7.80E-10 7.90E-11 7.30E-12 6.14E-13 4.71E-14 3.30E-15
  10.00  1.242  4.13E+03 1.18E+03 8.76E+03 1.01E+02 1.77E+02 2.12E+02 2.07E+02 1.73E+02 1.27E+02 8.31E+01 4.86E+01 2.56E+01 1.22E+01 5.25E+00 2.05E+00 7.28E-01 2.35E-01 6.90E-02 1.84E-02 4.49E-03 9.97E-04 2.02E-04 3.72E-05 6.27E-06 9.64E-07 1.35E-07 1.73E-08 2.02E-09 2.16E-10 2.11E-11 1.88E-12 1.53E-13 1.13E-14
  11.00  1.303  8.77E+03 2.32E+03 1.76E+04 1.90E+02 3.34E+02 4.05E+02 4.00E+02 3.41E+02 2.55E+02 1.71E+02 1.03E+02 5.60E+01 2.77E+01 1.24E+01 5.06E+00 1.89E+00 6.41E-01 1.99E-01 5.64E-02 1.46E-02 3.48E-03 7.55E-04 1.50E-04 2.74E-05 4.57E-06 6.98E-07 9.78E-08 1.26E-08 1.48E-09 1.60E-10 1.58E-11 1.43E-12 1.19E-13
  12.00  1.361  1.79E+04 4.54E+03 3.53E+04 3.57E+02 6.32E+02 7.72E+02 7.73E+02 6.68E+02 5.11E+02 3.50E+02 2.16E+02 1.21E+02 6.19E+01 2.88E+01 1.23E+01 4.77E+00 1.70E+00 5.55E-01 1.66E-01 4.57E-02 1.15E-02 2.68E-03 5.70E-04 1.12E-04 2.01E-05 3.32E-06 5.06E-07 7.08E-08 9.12E-09 1.08E-09 1.18E-10 1.18E-11 1.09E-12
  13.00  1.417  3.57E+04 8.90E+03 7.07E+04 6.73E+02 1.20E+03 1.47E+03 1.49E+03 1.31E+03 1.02E+03 7.13E+02 4.52E+02 2.60E+02 1.37E+02 6.59E+01 2.91E+01 1.18E+01 4.39E+00 1.50E+00 4.73E-01 1.37E-01 3.67E-02 9.03E-03 2.05E-03 4.29E-04 8.27E-05 1.47E-05 2.42E-06 3.66E-07 5.12E-08 6.61E-09 7.88E-10 8.66E-11 8.80E-12
  14.00  1.470  7.05E+04 1.74E+04 1.41E+05 1.27E+03 2.27E+03 2.82E+03 2.88E+03 2.56E+03 2.03E+03 1.45E+03 9.36E+02 5.54E+02 3.00E+02 1.49E+02 6.80E+01 2.86E+01 1.11E+01 3.96E+00 1.31E+00 3.99E-01 1.12E-01 2.92E-02 7.02E-03 1.56E-03 3.22E-04 6.12E-05 1.08E-05 1.76E-06 2.65E-07 3.71E-08 4.80E-09 5.75E-10 6.37E-11
  15.00  1.522  1.39E+05 3.41E+04 2.83E+05 2.40E+03 4.30E+03 5.38E+03 5.56E+03 5.00E+03 4.02E+03 2.92E+03 1.93E+03 1.17E+03 6.49E+02 3.32E+02 1.57E+02 6.82E+01 2.75E+01 1.02E+01 3.52E+00 1.12E+00 3.32E-01 9.09E-02 2.31E-02 5.43E-03 1.19E-03 2.41E-04 4.52E-05 7.89E-06 1.28E-06 1.92E-07 2.68E-08 3.48E-09 4.19E-10
  16.00  1.572  2.72E+05 6.65E+04 5.64E+05 4.51E+03 8.11E+03 1.02E+04 1.07E+04 9.71E+03 7.92E+03 5.86E+03 3.96E+03 2.45E+03 1.40E+03 7.37E+02 3.59E+02 1.62E+02 6.76E+01 2.62E+01 9.43E+00 3.15E+00 9.77E-01 2.82E-01 7.56E-02 1.88E-02 4.37E-03 9.43E-04 1.89E-04 3.54E-05 6.15E-06 9.96E-07 1.50E-07 2.11E-08 2.75E-09
  17.00  1.620  5.27E+05 1.28E+05 1.11E+06 8.34E+03 1.51E+04 1.91E+04 2.01E+04 1.85E+04 1.53E+04 1.15E+04 7.95E+03 5.04E+03 2.95E+03 1.59E+03 8.00E+02 3.72E+02 1.61E+02 6.48E+01 2.43E+01 8.46E+00 2.75E+00 8.31E-01 2.34E-01 6.16E-02 1.51E-02 3.45E-03 7.37E-04 1.47E-04 2.73E-05 4.73E-06 7.65E-07 1.16E-07 1.63E-08
  18.00  1.667  1.01E+06 2.42E+05 2.13E+06 1.52E+04 2.76E+04 3.52E+04 3.74E+04 3.49E+04 2.92E+04 2.23E+04 1.56E+04 1.01E+04 6.04E+03 3.35E+03 1.73E+03 8.28E+02 3.70E+02 1.54E+02 5.97E+01 2.16E+01 7.32E+00 2.31E+00 6.82E-01 1.88E-01 4.85E-02 1.17E-02 2.64E-03 5.55E-04 1.10E-04 2.02E-05 3.49E-06 5.63E-07 8.50E-08
  19.00  1.713  1.91E+06 4.50E+05 4.04E+06 2.75E+04 5.01E+04 6.41E+04 6.86E+04 6.45E+04 5.47E+04 4.24E+04 3.02E+04 1.99E+04 1.21E+04 6.87E+03 3.63E+03 1.79E+03 8.21E+02 3.52E+02 1.41E+02 5.30E+01 1.86E+01 6.11E+00 1.88E+00 5.42E-01 1.46E-01 3.69E-02 8.75E-03 1.94E-03 4.04E-04 7.89E-05 1.44E-05 2.48E-06 3.98E-07
  20.00  1.757  3.57E+06 8.28E+05 7.57E+06 4.91E+04 8.96E+04 1.15E+05 1.24E+05 1.18E+05 1.01E+05 7.92E+04 5.72E+04 3.83E+04 2.38E+04 1.38E+04 7.43E+03 3.75E+03 1.77E+03 7.81E+02 3.23E+02 1.25E+02 4.54E+01 1.55E+01 4.94E+00 1.48E+00 4.16E-01 1.10E-01 2.72E-02 6.34E-03 1.39E-03 2.85E-04 5.50E-05 9.96E-06 1.70E-06
  22.50  1.864  2.15E+07 3.59E+06 3.42E+07 1.99E+05 3.65E+05 4.75E+05 5.19E+05 5.02E+05 4.41E+05 3.55E+05 2.65E+05 1.83E+05 1.19E+05 7.17E+04 4.06E+04 2.16E+04 1.08E+04 5.06E+03 2.23E+03 9.26E+02 3.62E+02 1.33E+02 4.61E+01 1.51E+01 4.64E+00 1.35E+00 3.68E-01 9.49E-02 2.31E-02 5.30E-03 1.15E-03 2.34E-04 4.52E-05
  25.00  1.964  9.43E+07 1.45E+07 1.43E+08 7.58E+05 1.40E+06 1.84E+06 2.03E+06 1.99E+06 1.78E+06 1.47E+06 1.12E+06 8.02E+05 5.36E+05 3.36E+05 1.98E+05 1.10E+05 5.75E+04 2.84E+04 1.32E+04 5.80E+03 2.41E+03 9.45E+02 3.50E+02 1.23E+02 4.07E+01 1.28E+01 3.79E+00 1.06E+00 2.83E-01 7.11E-02 1.69E-02 3.82E-03 8.14E-04
  30.00  2.152  2.09E+09 1.99E+08 2.08E+09 9.35E+06 1.74E+07 2.31E+07 2.61E+07 2.63E+07 2.42E+07 2.06E+07 1.64E+07 1.23E+07 8.65E+06 5.74E+06 3.60E+06 2.14E+06 1.20E+06 6.42E+05 3.25E+05 1.56E+05 7.13E+04 3.09E+04 1.27E+04 4.99E+03 1.86E+03 6.58E+02 2.22E+02 7.11E+01 2.17E+01 6.30E+00 1.74E+00 4.58E-01 1.15E-01
  40.00  2.485  4.29E+11 2.13E+10 2.43E+11 8.53E+08 1.60E+09 2.17E+09 2.51E+09 2.61E+09 2.50E+09 2.24E+09 1.89E+09 1.50E+09 1.13E+09 8.10E+08 5.53E+08 3.59E+08 2.23E+08 1.32E+08 7.49E+07 4.06E+07 2.10E+07 1.04E+07 4.96E+06 2.25E+06 9.82E+05 4.10E+05 1.64E+05 6.28E+04 2.30E+04 8.11E+03 2.74E+03 8.86E+02 2.75E+02
  50.00  2.778  2.68E+13 1.32E+12 1.61E+13 4.68E+10 8.86E+10 1.21E+11 1.43E+11 1.52E+11 1.49E+11 1.38E+11 1.20E+11 9.95E+10 7.85E+10 5.91E+10 4.26E+10 2.94E+10 1.95E+10 1.24E+10 7.54E+09 4.42E+09 2.49E+09 1.35E+09 7.02E+08 3.52E+08 1.70E+08 7.89E+07 3.53E+07 1.52E+07 6.30E+06 2.51E+06 9.67E+05 3.58E+05 1.28E+05
  60.00  3.043  1.13E+15 5.51E+13 7.09E+14 1.77E+12 3.37E+12 4.66E+12 5.54E+12 5.98E+12 6.00E+12 5.66E+12 5.06E+12 4.31E+12 3.51E+12 2.74E+12 2.06E+12 1.48E+12 1.03E+12 6.85E+11 4.41E+11 2.73E+11 1.63E+11 9.42E+10 5.25E+10 2.82E+10 1.46E+10 7.34E+09 3.56E+09 1.67E+09 7.53E+08 3.29E+08 1.39E+08 5.68E+07 2.24E+07
  70.00  3.287  3.52E+16 1.70E+15 2.29E+16 5.04E+13 9.63E+13 1.34E+14 1.61E+14 1.76E+14 1.79E+14 1.71E+14 1.56E+14 1.36E+14 1.14E+14 9.13E+13 7.05E+13 5.25E+13 3.77E+13 2.61E+13 1.75E+13 1.13E+13 7.07E+12 4.28E+12 2.51E+12 1.42E+12 7.81E+11 4.15E+11 2.14E+11 1.07E+11 5.15E+10 2.41E+10 1.10E+10 4.82E+09 2.05E+09
  80.00  3.514  8.64E+17 4.15E+16 5.80E+17 1.14E+15 2.19E+15 3.07E+15 3.71E+15 4.09E+15 4.21E+15 4.09E+15 3.79E+15 3.36E+15 2.86E+15 2.35E+15 1.86E+15 1.42E+15 1.05E+15 7.47E+14 5.16E+14 3.46E+14 2.24E+14 1.41E+14 8.60E+13 5.09E+13 2.92E+13 1.63E+13 8.79E+12 4.61E+12 2.35E+12 1.16E+12 5.58E+11 2.60E+11 1.18E+11
  90.00  3.727  1.75E+19 8.32E+17 1.20E+19 2.16E+16 4.15E+16 5.84E+16 7.10E+16 7.88E+16 8.18E+16 8.05E+16 7.55E+16 6.79E+16 5.88E+16 4.91E+16 3.95E+16 3.08E+16 2.33E+16 1.70E+16 1.21E+16 8.32E+15 5.56E+15 3.61E+15 2.27E+15 1.39E+15 8.29E+14 4.80E+14 2.70E+14 1.47E+14 7.84E+13 4.06E+13 2.04E+13 9.99E+12 4.76E+12
 100.00  3.929  3.02E+20 1.42E+19 2.12E+20 3.50E+17 6.73E+17 9.49E+17 1.16E+18 1.30E+18 1.36E+18 1.35E+18 1.28E+18 1.16E+18 1.02E+18 8.64E+17 7.08E+17 5.62E+17 4.32E+17 3.23E+17 2.34E+17 1.65E+17 1.13E+17 7.53E+16 4.88E+16 3.08E+16 1.89E+16 1.13E+16 6.56E+15 3.71E+15 2.05E+15 1.10E+15 5.75E+14 2.93E+14 1.45E+14
 110.00  4.121  4.54E+21 2.12E+20 3.24E+21 4.95E+18 9.56E+18 1.35E+19 1.66E+19 1.86E+19 1.96E+19 1.96E+19 1.88E+19 1.73E+19 1.53E+19 1.32E+19 1.09E+19 8.81E+18 6.90E+18 5.24E+18 3.87E+18 2.78E+18 1.95E+18 1.33E+18 8.81E+17 5.69E+17 3.58E+17 2.20E+17 1.32E+17 7.67E+16 4.36E+16 2.42E+16 1.31E+16 6.90E+15 3.55E+15
 120.00  4.304  6.05E+22 2.80E+21 4.38E+22 6.26E+19 1.21E+20 1.72E+20 2.11E+20 2.39E+20 2.53E+20 2.55E+20 2.46E+20 2.28E+20 2.04E+20 1.77E+20 1.49E+20 1.22E+20 9.65E+19 7.45E+19 5.60E+19 4.09E+19 2.92E+19 2.03E+19 1.37E+19 9.06E+18 5.83E+18 3.67E+18 2.25E+18 1.34E+18 7.86E+17 4.48E+17 2.49E+17 1.35E+17 7.19E+16
 130.00  4.480  7.27E+23 3.33E+22 5.34E+23 7.16E+20 1.39E+21 1.97E+21 2.43E+21 2.76E+21 2.94E+21 2.97E+21 2.89E+21 2.70E+21 2.44E+21 2.14E+21 1.82E+21 1.50E+21 1.21E+21 9.44E+20 7.19E+20 5.34E+20 3.87E+20 2.73E+20 1.88E+20 1.27E+20 8.33E+19 5.34E+19 3.35E+19 2.05E+19 1.22E+19 7.16E+18 4.09E+18 2.28E+18 1.24E+18
 140.00  4.649  7.96E+24 3.62E+23 5.91E+24 7.48E+21 1.45E+22 2.06E+22 2.56E+22 2.91E+22 3.11E+22 3.17E+22 3.10E+22 2.92E+22 2.66E+22 2.35E+22 2.02E+22 1.68E+22 1.37E+22 1.08E+22 8.34E+21 6.28E+21 4.61E+21 3.31E+21 2.32E+21 1.59E+21 1.06E+21 6.93E+20 4.42E+20 2.76E+20 1.69E+20 1.01E+20 5.88E+19 3.36E+19 1.88E+19
 150.00  4.812  8.03E+25 3.62E+24 6.02E+25 7.21E+22 1.40E+23 2.00E+23 2.48E+23 2.83E+23 3.04E+23 3.11E+23 3.06E+23 2.90E+23 2.66E+23 2.37E+23 2.05E+23 1.73E+23 1.42E+23 1.13E+23 8.83E+22 6.73E+22 5.01E+22 3.64E+22 2.59E+22 1.80E+22 1.22E+22 8.11E+21 5.27E+21 3.35E+21 2.08E+21 1.27E+21 7.55E+20 4.40E+20 2.51E+20
 160.00  4.970  7.51E+26 3.35E+25 5.68E+26 6.48E+23 1.26E+24 1.80E+24 2.24E+24 2.56E+24 2.76E+24 2.84E+24 2.80E+24 2.67E+24 2.47E+24 2.21E+24 1.93E+24 1.64E+24 1.35E+24 1.09E+24 8.62E+23 6.64E+23 5.00E+23 3.68E+23 2.65E+23 1.86E+23 1.28E+23 8.66E+22 5.71E+22 3.69E+22 2.34E+22 1.45E+22 8.77E+21 5.21E+21 3.03E+21
