                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   6.50  0.735  1.21E+02 5.11E+01 4.90E+02 1.73E+00 4.84E+00 7.04E+00 8.03E+00 7.86E+00 6.83E+00 5.36E+00 3.84E+00 2.52E+00 1.52E+00 8.52E-01 4.41E-01 2.11E-01 9.40E-02 3.89E-02 1.49E-02 5.34E-03 1.78E-03 5.50E-04 1.59E-04 4.26E-05 1.07E-05 2.49E-06 5.42E-07 1.10E-07 2.08E-08 3.67E-09 6.03E-10 9.26E-11 1.33E-11
   7.00  0.763  2.09E+02 8.78E+01 8.56E+02 2.88E+00 8.07E+00 1.18E+01 1.35E+01 1.34E+01 1.17E+01 9.33E+00 6.78E+00 4.53E+00 2.79E+00 1.59E+00 8.45E-01 4.15E-01 1.90E-01 8.10E-02 3.21E-02 1.19E-02 4.10E-03 1.32E-03 3.96E-04 1.11E-04 2.91E-05 7.12E-06 1.63E-06 3.47E-07 6.93E-08 1.29E-08 2.25E-09 3.67E-10 5.59E-11
   7.50  0.789  3.60E+02 1.51E+02 1.50E+03 4.78E+00 1.34E+01 1.97E+01 2.28E+01 2.27E+01 2.02E+01 1.63E+01 1.20E+01 8.18E+00 5.15E+00 3.01E+00 1.64E+00 8.28E-01 3.90E-01 1.72E-01 7.06E-02 2.71E-02 9.72E-03 3.26E-03 1.02E-03 3.01E-04 8.28E-05 2.13E-05 5.14E-06 1.16E-06 2.46E-07 4.87E-08 9.03E-09 1.57E-09 2.56E-10
   8.00  0.815  6.16E+02 2.56E+02 2.60E+03 7.72E+00 2.18E+01 3.22E+01 3.75E+01 3.78E+01 3.41E+01 2.80E+01 2.11E+01 1.47E+01 9.53E+00 5.73E+00 3.22E+00 1.69E+00 8.27E-01 3.80E-01 1.63E-01 6.57E-02 2.48E-02 8.78E-03 2.92E-03 9.10E-04 2.66E-04 7.32E-05 1.89E-05 4.59E-06 1.04E-06 2.24E-07 4.50E-08 8.51E-09 1.51E-09
   8.50  0.840  1.04E+03 4.25E+02 4.42E+03 1.23E+01 3.48E+01 5.16E+01 6.07E+01 6.18E+01 5.65E+01 4.71E+01 3.61E+01 2.57E+01 1.70E+01 1.05E+01 6.08E+00 3.29E+00 1.67E+00 7.93E-01 3.54E-01 1.49E-01 5.86E-02 2.18E-02 7.59E-03 2.49E-03 7.71E-04 2.24E-04 6.15E-05 1.59E-05 3.86E-06 8.84E-07 1.91E-07 3.88E-08 7.43E-09
   9.00  0.865  1.74E+03 6.94E+02 7.36E+03 1.93E+01 5.46E+01 8.14E+01 9.64E+01 9.91E+01 9.16E+01 7.74E+01 6.04E+01 4.38E+01 2.96E+01 1.87E+01 1.11E+01 6.16E+00 3.22E+00 1.58E+00 7.30E-01 3.18E-01 1.30E-01 5.04E-02 1.84E-02 6.32E-03 2.05E-03 6.27E-04 1.81E-04 4.94E-05 1.27E-05 3.09E-06 7.08E-07 1.54E-07 3.14E-08
   9.50  0.888  2.85E+03 1.11E+03 1.20E+04 2.98E+01 8.47E+01 1.27E+02 1.51E+02 1.57E+02 1.46E+02 1.25E+02 9.90E+01 7.29E+01 5.02E+01 3.24E+01 1.96E+01 1.12E+01 5.99E+00 3.03E+00 1.44E+00 6.48E-01 2.75E-01 1.10E-01 4.18E-02 1.50E-02 5.06E-03 1.62E-03 4.90E-04 1.40E-04 3.80E-05 9.74E-06 2.36E-06 5.41E-07 1.18E-07
  10.00  0.911  4.61E+03 1.76E+03 1.94E+04 4.56E+01 1.30E+02 1.95E+02 2.34E+02 2.44E+02 2.30E+02 1.99E+02 1.59E+02 1.19E+02 8.33E+01 5.47E+01 3.38E+01 1.97E+01 1.08E+01 5.60E+00 2.74E+00 1.27E+00 5.56E-01 2.30E-01 9.03E-02 3.35E-02 1.18E-02 3.93E-03 1.24E-03 3.70E-04 1.05E-04 2.82E-05 7.18E-06 1.73E-06 3.97E-07
  11.00  0.956  1.31E+04 4.24E+03 4.81E+04 1.03E+02 2.95E+02 4.45E+02 5.38E+02 5.69E+02 5.45E+02 4.80E+02 3.93E+02 3.02E+02 2.17E+02 1.47E+02 9.41E+01 5.69E+01 3.25E+01 1.76E+01 9.04E+00 4.40E+00 2.03E+00 8.91E-01 3.71E-01 1.47E-01 5.51E-02 1.97E-02 6.67E-03 2.15E-03 6.59E-04 1.92E-04 5.32E-05 1.40E-05 3.52E-06
  12.00  0.998  3.26E+04 9.76E+03 1.14E+05 2.25E+02 6.43E+02 9.77E+02 1.19E+03 1.27E+03 1.23E+03 1.10E+03 9.22E+02 7.22E+02 5.32E+02 3.70E+02 2.44E+02 1.52E+02 8.99E+01 5.05E+01 2.70E+01 1.37E+01 6.62E+00 3.04E+00 1.33E+00 5.54E-01 2.20E-01 8.32E-02 3.00E-02 1.03E-02 3.37E-03 1.05E-03 3.13E-04 8.87E-05 2.40E-05
  13.00  1.039  7.58E+04 2.16E+04 2.58E+05 4.73E+02 1.36E+03 2.07E+03 2.54E+03 2.74E+03 2.69E+03 2.44E+03 2.07E+03 1.65E+03 1.24E+03 8.81E+02 5.95E+02 3.81E+02 2.32E+02 1.35E+02 7.43E+01 3.91E+01 1.96E+01 9.39E+00 4.29E+00 1.87E+00 7.77E-01 3.08E-01 1.17E-01 4.24E-02 1.47E-02 4.85E-03 1.53E-03 4.63E-04 1.34E-04
  14.00  1.078  1.68E+05 4.62E+04 5.64E+05 9.68E+02 2.78E+03 4.26E+03 5.26E+03 5.72E+03 5.66E+03 5.20E+03 4.46E+03 3.61E+03 2.76E+03 2.01E+03 1.38E+03 9.06E+02 5.66E+02 3.37E+02 1.92E+02 1.04E+02 5.40E+01 2.67E+01 1.27E+01 5.74E+00 2.48E+00 1.03E+00 4.08E-01 1.55E-01 5.63E-02 1.96E-02 6.52E-03 2.08E-03 6.35E-04
  15.00  1.116  3.60E+05 9.59E+04 1.20E+06 1.93E+03 5.56E+03 8.54E+03 1.06E+04 1.16E+04 1.16E+04 1.07E+04 9.33E+03 7.65E+03 5.95E+03 4.39E+03 3.08E+03 2.06E+03 1.32E+03 8.04E+02 4.69E+02 2.61E+02 1.39E+02 7.12E+01 3.48E+01 1.63E+01 7.33E+00 3.15E+00 1.30E+00 5.14E-01 1.95E-01 7.08E-02 2.47E-02 8.25E-03 2.65E-03
  16.00  1.153  7.48E+05 1.94E+05 2.46E+06 3.75E+03 1.08E+04 1.67E+04 2.08E+04 2.29E+04 2.30E+04 2.16E+04 1.89E+04 1.57E+04 1.24E+04 9.28E+03 6.63E+03 4.52E+03 2.94E+03 1.83E+03 1.09E+03 6.24E+02 3.42E+02 1.79E+02 9.03E+01 4.36E+01 2.02E+01 8.98E+00 3.83E+00 1.57E+00 6.19E-01 2.34E-01 8.49E-02 2.96E-02 9.92E-03
  17.00  1.188  1.51E+06 3.83E+05 4.95E+06 7.16E+03 2.07E+04 3.20E+04 4.00E+04 4.42E+04 4.48E+04 4.23E+04 3.75E+04 3.15E+04 2.51E+04 1.91E+04 1.38E+04 9.56E+03 6.34E+03 4.02E+03 2.45E+03 1.43E+03 8.01E+02 4.30E+02 2.22E+02 1.10E+02 5.26E+01 2.41E+01 1.06E+01 4.49E+00 1.83E+00 7.15E-01 2.69E-01 9.75E-02 3.39E-02
  18.00  1.223  2.99E+06 7.40E+05 9.73E+06 1.34E+04 3.87E+04 6.00E+04 7.54E+04 8.38E+04 8.54E+04 8.11E+04 7.26E+04 6.15E+04 4.96E+04 3.81E+04 2.80E+04 1.97E+04 1.32E+04 8.55E+03 5.30E+03 3.15E+03 1.80E+03 9.91E+02 5.24E+02 2.66E+02 1.30E+02 6.12E+01 2.77E+01 1.21E+01 5.07E+00 2.05E+00 7.96E-01 2.98E-01 1.08E-01
  19.00  1.256  5.80E+06 1.40E+06 1.87E+07 2.46E+04 7.13E+04 1.11E+05 1.39E+05 1.56E+05 1.60E+05 1.53E+05 1.38E+05 1.18E+05 9.58E+04 7.44E+04 5.53E+04 3.94E+04 2.69E+04 1.76E+04 1.11E+04 6.73E+03 3.92E+03 2.20E+03 1.19E+03 6.17E+02 3.08E+02 1.49E+02 6.90E+01 3.09E+01 1.33E+01 5.54E+00 2.22E+00 8.58E-01 3.19E-01
  20.00  1.289  1.10E+07 2.61E+06 3.54E+07 4.45E+04 1.29E+05 2.01E+05 2.54E+05 2.85E+05 2.93E+05 2.82E+05 2.56E+05 2.21E+05 1.81E+05 1.42E+05 1.07E+05 7.71E+04 5.33E+04 3.55E+04 2.27E+04 1.40E+04 8.28E+03 4.73E+03 2.60E+03 1.38E+03 7.04E+02 3.47E+02 1.65E+02 7.56E+01 3.34E+01 1.43E+01 5.87E+00 2.33E+00 8.95E-01
  22.50  1.367  6.88E+07 1.15E+07 1.62E+08 1.84E+05 5.36E+05 8.37E+05 1.06E+06 1.20E+06 1.25E+06 1.22E+06 1.13E+06 9.88E+05 8.28E+05 6.64E+05 5.11E+05 3.78E+05 2.69E+05 1.85E+05 1.22E+05 7.77E+04 4.78E+04 2.84E+04 1.63E+04 9.01E+03 4.82E+03 2.49E+03 1.24E+03 6.01E+02 2.81E+02 1.27E+02 5.53E+01 2.34E+01 9.54E+00
  25.00  1.441  3.03E+08 4.69E+07 6.76E+08 7.07E+05 2.06E+06 3.23E+06 4.13E+06 4.70E+06 4.94E+06 4.87E+06 4.55E+06 4.05E+06 3.44E+06 2.81E+06 2.21E+06 1.67E+06 1.22E+06 8.56E+05 5.81E+05 3.81E+05 2.42E+05 1.48E+05 8.79E+04 5.05E+04 2.80E+04 1.51E+04 7.85E+03 3.96E+03 1.93E+03 9.15E+02 4.20E+02 1.86E+02 8.02E+01
  30.00  1.579  6.64E+09 6.34E+08 9.60E+09 8.66E+06 2.53E+07 3.99E+07 5.14E+07 5.92E+07 6.31E+07 6.33E+07 6.03E+07 5.49E+07 4.79E+07 4.03E+07 3.26E+07 2.55E+07 1.93E+07 1.41E+07 1.00E+07 6.86E+06 4.57E+06 2.95E+06 1.85E+06 1.12E+06 6.61E+05 3.79E+05 2.10E+05 1.14E+05 5.96E+04 3.04E+04 1.50E+04 7.23E+03 3.38E+03
