                    ************************************************************************************************
                    *  Z= 32 A= 70: Positive-Parity Spin-dependent Level Density [MeV-1] for Ge 70 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  60.00  2.507  1.25E+16 6.10E+14 1.02E+16 6.84E+12 2.01E+13 3.20E+13 4.18E+13 4.92E+13 5.37E+13 5.55E+13 5.47E+13 5.18E+13 4.73E+13 4.17E+13 3.57E+13 2.96E+13 2.39E+13 1.87E+13 1.43E+13 1.06E+13 7.69E+12 5.42E+12 3.73E+12 2.50E+12 1.64E+12 1.04E+12 6.50E+11 3.95E+11 2.35E+11 1.36E+11 7.69E+10 4.25E+10 2.29E+10
  70.00  2.708  3.57E+17 1.72E+16 2.99E+17 1.79E+14 5.25E+14 8.40E+14 1.10E+15 1.31E+15 1.44E+15 1.50E+15 1.50E+15 1.44E+15 1.33E+15 1.19E+15 1.04E+15 8.81E+14 7.26E+14 5.82E+14 4.55E+14 3.47E+14 2.59E+14 1.88E+14 1.33E+14 9.25E+13 6.26E+13 4.14E+13 2.68E+13 1.70E+13 1.05E+13 6.34E+12 3.75E+12 2.17E+12 1.23E+12
  80.00  2.895  8.20E+18 3.92E+17 7.03E+18 3.81E+15 1.12E+16 1.80E+16 2.37E+16 2.82E+16 3.13E+16 3.29E+16 3.31E+16 3.21E+16 3.01E+16 2.74E+16 2.42E+16 2.08E+16 1.75E+16 1.43E+16 1.14E+16 8.88E+15 6.76E+15 5.03E+15 3.66E+15 2.61E+15 1.82E+15 1.24E+15 8.26E+14 5.39E+14 3.45E+14 2.16E+14 1.32E+14 7.95E+13 4.67E+13
  90.00  3.071  1.58E+20 7.48E+18 1.38E+20 6.86E+16 2.02E+17 3.25E+17 4.30E+17 5.14E+17 5.73E+17 6.06E+17 6.15E+17 6.02E+17 5.70E+17 5.24E+17 4.69E+17 4.09E+17 3.48E+17 2.89E+17 2.34E+17 1.86E+17 1.44E+17 1.09E+17 8.13E+16 5.92E+16 4.22E+16 2.95E+16 2.02E+16 1.35E+16 8.89E+15 5.73E+15 3.62E+15 2.24E+15 1.36E+15
 100.00  3.237  2.62E+21 1.23E+20 2.33E+21 1.07E+18 3.15E+18 5.08E+18 6.75E+18 8.09E+18 9.06E+18 9.64E+18 9.85E+18 9.71E+18 9.27E+18 8.61E+18 7.78E+18 6.86E+18 5.90E+18 4.97E+18 4.09E+18 3.29E+18 2.59E+18 2.00E+18 1.52E+18 1.12E+18 8.17E+17 5.83E+17 4.07E+17 2.79E+17 1.88E+17 1.24E+17 8.04E+16 5.11E+16 3.19E+16
 110.00  3.395  3.82E+22 1.78E+21 3.45E+22 1.48E+19 4.35E+19 7.02E+19 9.35E+19 1.12E+20 1.26E+20 1.35E+20 1.39E+20 1.38E+20 1.33E+20 1.24E+20 1.13E+20 1.01E+20 8.76E+19 7.45E+19 6.21E+19 5.06E+19 4.05E+19 3.17E+19 2.44E+19 1.84E+19 1.36E+19 9.85E+18 7.02E+18 4.91E+18 3.37E+18 2.27E+18 1.50E+18 9.78E+17 6.25E+17
 120.00  3.546  4.97E+23 2.30E+22 4.55E+23 1.83E+20 5.39E+20 8.71E+20 1.16E+21 1.40E+21 1.58E+21 1.70E+21 1.75E+21 1.75E+21 1.69E+21 1.60E+21 1.47E+21 1.32E+21 1.16E+21 9.94E+20 8.36E+20 6.90E+20 5.58E+20 4.43E+20 3.45E+20 2.64E+20 1.98E+20 1.46E+20 1.06E+20 7.50E+19 5.24E+19 3.60E+19 2.43E+19 1.61E+19 1.05E+19
 130.00  3.690  5.88E+24 2.69E+23 5.43E+24 2.06E+21 6.07E+21 9.82E+21 1.31E+22 1.59E+22 1.80E+22 1.94E+22 2.01E+22 2.01E+22 1.96E+22 1.86E+22 1.72E+22 1.56E+22 1.38E+22 1.19E+22 1.01E+22 8.45E+21 6.91E+21 5.54E+21 4.37E+21 3.38E+21 2.57E+21 1.92E+21 1.41E+21 1.02E+21 7.22E+20 5.04E+20 3.46E+20 2.33E+20 1.55E+20
 140.00  3.830  6.36E+25 2.88E+24 5.93E+25 2.12E+22 6.28E+22 1.02E+23 1.36E+23 1.65E+23 1.87E+23 2.03E+23 2.11E+23 2.12E+23 2.08E+23 1.98E+23 1.84E+23 1.68E+23 1.50E+23 1.31E+23 1.12E+23 9.42E+22 7.77E+22 6.30E+22 5.02E+22 3.92E+22 3.02E+22 2.28E+22 1.70E+22 1.24E+22 8.94E+21 6.33E+21 4.41E+21 3.02E+21 2.04E+21
 150.00  3.964  6.35E+26 2.86E+25 5.97E+26 2.03E+23 6.02E+23 9.75E+23 1.31E+24 1.59E+24 1.81E+24 1.96E+24 2.05E+24 2.07E+24 2.03E+24 1.95E+24 1.83E+24 1.67E+24 1.50E+24 1.32E+24 1.14E+24 9.65E+23 8.03E+23 6.57E+23 5.28E+23 4.17E+23 3.24E+23 2.48E+23 1.87E+23 1.38E+23 1.01E+23 7.22E+22 5.10E+22 3.54E+22 2.42E+22
