                    ************************************************************************************************
                    *  Z= 24 A= 52: Positive-Parity Spin-dependent Level Density [MeV-1] for Cr 52 and ldmodel= 6  *
   2.25  0.575  3.13E-02 2.91E+01 6.61E-01 4.39E-02 1.00E-30 1.00E-30 1.00E-30 1.73E-02 1.13E-02 1.13E-02 1.00E-30 1.13E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.50  0.606  2.19E-01 3.30E+01 8.92E+00 9.75E-03 1.00E-30 1.00E-30 1.00E-30 2.64E-01 1.59E-01 1.59E-01 1.00E-30 1.59E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.75  0.635  1.01E+00 1.34E+01 3.75E+01 1.97E-03 1.00E-30 3.40E-02 1.00E-30 1.18E+00 6.51E-01 6.51E-01 1.00E-30 6.50E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.00  0.664  2.10E+00 2.79E+00 4.92E+01 2.24E-02 1.00E-30 3.59E-01 1.00E-30 1.62E+00 8.00E-01 8.00E-01 1.00E-30 8.00E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.25  0.691  2.77E+00 4.76E+01 2.46E+01 2.14E-01 1.00E-30 8.00E-01 1.00E-30 7.28E-01 3.36E-01 3.37E-01 1.00E-30 3.36E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.717  3.25E+00 9.53E+01 1.94E+01 3.80E-01 1.46E-02 9.73E-01 2.75E-02 4.29E-01 2.59E-01 2.93E-01 1.93E-02 1.65E-01 8.90E-03 8.40E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.742  6.29E+00 9.31E+01 1.23E+02 8.41E-01 2.47E-01 1.92E+00 5.18E-01 3.12E+00 1.92E+00 2.27E+00 3.41E-01 1.09E+00 1.41E-01 1.36E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.766  1.37E+01 3.81E+01 2.84E+02 2.26E+00 1.22E+00 3.77E+00 2.82E+00 6.19E+00 3.67E+00 4.47E+00 1.76E+00 1.97E+00 6.52E-01 6.41E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.790  2.11E+01 1.18E+01 2.87E+02 2.56E+00 1.57E+00 3.59E+00 3.77E+00 5.86E+00 3.18E+00 3.97E+00 2.35E+00 1.71E+00 7.82E-01 7.91E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.813  2.39E+01 1.51E+02 1.10E+02 1.40E+00 5.58E-01 1.70E+00 1.39E+00 2.55E+00 1.15E+00 1.46E+00 8.43E-01 5.95E-01 2.78E-01 2.96E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.835  2.49E+01 3.42E+02 7.73E+01 4.89E-01 4.33E-01 9.82E-01 9.91E-01 1.30E+00 9.22E-01 9.67E-01 6.53E-01 5.22E-01 3.07E-01 2.04E-01 1.16E-02 8.22E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.857  3.78E+01 2.51E+02 5.38E+02 1.93E+00 2.76E+00 6.35E+00 6.30E+00 8.13E+00 6.55E+00 7.16E+00 4.34E+00 4.16E+00 2.04E+00 1.52E+00 1.66E-01 1.34E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.899  8.02E+01 5.71E+01 8.82E+02 3.64E+00 3.91E+00 1.10E+01 1.06E+01 1.34E+01 1.04E+01 1.15E+01 6.29E+00 6.49E+00 3.06E+00 2.53E+00 7.69E-01 7.92E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.938  8.84E+01 7.00E+02 2.54E+02 7.37E-01 1.59E+00 2.08E+00 2.76E+00 2.33E+00 2.40E+00 2.70E+00 2.59E+00 1.82E+00 1.52E+00 8.12E-01 5.57E-01 2.55E-01 3.63E-02 1.57E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.977  2.70E+02 7.21E+02 3.76E+03 8.02E+00 1.98E+01 3.40E+01 3.86E+01 4.49E+01 4.26E+01 3.98E+01 3.25E+01 2.65E+01 1.77E+01 1.27E+01 7.01E+00 3.90E+00 1.54E+00 6.52E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  1.014  3.43E+02 2.54E+02 1.24E+03 3.42E+00 7.85E+00 1.21E+01 1.52E+01 1.62E+01 1.42E+01 1.33E+01 1.02E+01 6.71E+00 5.26E+00 4.51E+00 2.54E+00 1.32E+00 6.03E-01 7.91E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  1.049  5.03E+02 1.97E+03 3.04E+03 6.29E+00 1.57E+01 2.44E+01 3.08E+01 3.29E+01 2.96E+01 2.71E+01 2.09E+01 1.45E+01 1.14E+01 1.62E+01 1.09E+01 6.66E+00 3.35E+00 1.45E+00 2.22E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  1.084  9.16E+02 2.77E+03 8.27E+03 1.51E+01 4.39E+01 6.97E+01 8.59E+01 9.45E+01 9.21E+01 8.22E+01 6.76E+01 5.37E+01 3.94E+01 2.82E+01 1.91E+01 1.16E+01 5.73E+00 2.49E+00 6.11E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  1.117  1.19E+03 1.92E+03 4.55E+03 8.19E+00 2.55E+01 4.10E+01 5.08E+01 5.63E+01 5.57E+01 4.85E+01 3.94E+01 3.03E+01 1.99E+01 1.27E+01 8.20E+00 3.84E+00 2.70E+00 1.16E+00 3.80E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  1.149  1.76E+03 9.64E+02 9.51E+03 1.60E+01 4.81E+01 7.66E+01 9.48E+01 1.05E+02 1.05E+02 9.38E+01 7.83E+01 6.19E+01 4.25E+01 2.85E+01 1.87E+01 9.62E+00 1.34E+01 7.25E+00 3.14E+00 4.51E-01 1.88E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  1.181  3.18E+03 1.68E+03 2.89E+04 4.89E+01 1.40E+02 2.17E+02 2.69E+02 2.95E+02 2.93E+02 2.71E+02 2.33E+02 1.90E+02 1.45E+02 1.07E+02 7.34E+01 4.75E+01 2.84E+01 1.52E+01 6.76E+00 1.92E+00 4.74E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  1.212  4.49E+03 4.40E+03 2.71E+04 4.83E+01 1.37E+02 2.11E+02 2.62E+02 2.86E+02 2.81E+02 2.56E+02 2.18E+02 1.75E+02 1.33E+02 9.85E+01 6.59E+01 4.19E+01 2.53E+01 1.37E+01 5.91E+00 2.22E+00 7.31E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.271  6.17E+03 6.80E+03 1.52E+04 3.35E+01 8.08E+01 1.30E+02 1.55E+02 1.73E+02 1.64E+02 1.53E+02 1.26E+02 1.03E+02 7.35E+01 5.38E+01 3.16E+01 1.86E+01 9.97E+00 4.13E+00 6.83E-01 3.03E-01 7.07E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.327  1.26E+04 5.38E+03 6.11E+04 1.03E+02 2.74E+02 4.35E+02 5.36E+02 6.06E+02 6.03E+02 5.75E+02 4.99E+02 4.18E+02 3.18E+02 2.34E+02 1.55E+02 9.97E+01 5.41E+01 2.98E+01 1.37E+01 5.79E+00 1.82E+00 6.47E-01 7.05E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  13.00  1.381  2.39E+04 1.73E+04 7.97E+04 1.23E+02 3.52E+02 5.46E+02 6.82E+02 7.59E+02 7.68E+02 7.23E+02 6.36E+02 5.32E+02 4.18E+02 3.11E+02 2.13E+02 1.39E+02 8.36E+01 4.72E+01 2.22E+01 1.02E+01 4.16E+00 1.42E+00 8.23E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.434  3.68E+04 1.90E+04 9.33E+04 1.44E+02 4.14E+02 6.39E+02 8.01E+02 8.85E+02 8.89E+02 8.27E+02 7.31E+02 6.16E+02 4.91E+02 3.74E+02 2.58E+02 1.68E+02 1.01E+02 5.66E+01 2.79E+01 1.13E+01 4.50E+00 1.78E+00 8.16E-01 1.92E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.484  6.58E+04 4.54E+04 2.24E+05 3.34E+02 9.53E+02 1.49E+03 1.86E+03 2.08E+03 2.11E+03 2.01E+03 1.78E+03 1.50E+03 1.18E+03 8.80E+02 6.15E+02 4.07E+02 2.49E+02 1.45E+02 7.57E+01 3.78E+01 1.63E+01 6.82E+00 1.91E+00 5.33E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.533  1.13E+05 5.00E+04 3.13E+05 4.42E+02 1.25E+03 1.97E+03 2.47E+03 2.77E+03 2.83E+03 2.72E+03 2.43E+03 2.07E+03 1.65E+03 1.26E+03 9.07E+02 6.18E+02 3.95E+02 2.39E+02 1.32E+02 3.71E+01 1.63E+01 6.97E+00 1.88E+00 4.34E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  17.00  1.580  1.94E+05 8.97E+04 6.08E+05 8.19E+02 2.36E+03 3.70E+03 4.66E+03 5.25E+03 5.40E+03 5.20E+03 4.70E+03 4.02E+03 3.25E+03 2.49E+03 1.81E+03 1.24E+03 8.04E+02 4.87E+02 2.74E+02 8.84E+01 3.86E+01 1.60E+01 5.15E+00 1.62E+00 1.37E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  18.00  1.625  3.08E+05 1.24E+05 7.77E+05 1.01E+03 2.89E+03 4.55E+03 5.76E+03 6.52E+03 6.73E+03 6.53E+03 5.94E+03 5.12E+03 4.17E+03 3.22E+03 2.36E+03 1.63E+03 1.06E+03 6.42E+02 3.61E+02 1.88E+02 8.69E+01 2.88E+01 9.94E+00 2.83E+00 3.60E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  19.00  1.670  4.88E+05 1.51E+05 1.32E+06 1.62E+03 4.68E+03 7.34E+03 9.34E+03 1.06E+04 1.10E+04 1.08E+04 9.87E+03 8.59E+03 7.10E+03 5.57E+03 4.15E+03 2.93E+03 1.96E+03 1.23E+03 7.25E+02 3.96E+02 1.98E+02 4.85E+01 1.89E+01 1.96E+00 1.26E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  20.00  1.713  7.27E+05 1.92E+05 1.75E+06 2.21E+03 6.40E+03 1.00E+04 1.27E+04 1.43E+04 1.49E+04 1.45E+04 1.31E+04 1.14E+04 9.30E+03 7.25E+03 5.36E+03 3.77E+03 2.50E+03 1.58E+03 9.23E+02 5.01E+02 2.51E+02 1.10E+02 4.48E+01 3.29E+00 7.71E-01 1.88E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  22.50  1.817  2.28E+06 4.41E+05 3.32E+06 4.24E+03 1.22E+04 1.91E+04 2.42E+04 2.73E+04 2.82E+04 2.72E+04 2.48E+04 2.14E+04 1.76E+04 1.38E+04 1.02E+04 7.19E+03 4.77E+03 2.99E+03 1.76E+03 9.67E+02 4.93E+02 2.31E+02 9.81E+01 2.69E+01 2.13E+00 6.21E-01 2.49E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  25.00  1.916  5.35E+06 8.98E+05 7.29E+06 9.49E+03 2.75E+04 4.28E+04 5.42E+04 6.09E+04 6.28E+04 6.06E+04 5.50E+04 4.74E+04 3.86E+04 2.99E+04 2.20E+04 1.54E+04 1.01E+04 6.26E+03 3.63E+03 1.96E+03 9.74E+02 4.42E+02 1.77E+02 6.12E+01 1.84E+01 3.27E+00 1.85E+00 4.73E-01 3.20E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  30.00  2.098  3.19E+07 3.35E+06 2.89E+07 3.46E+04 1.00E+05 1.58E+05 2.02E+05 2.29E+05 2.39E+05 2.34E+05 2.16E+05 1.89E+05 1.50E+05 1.19E+05 8.90E+04 6.37E+04 4.31E+04 2.77E+04 1.68E+04 9.59E+03 5.11E+03 2.54E+03 1.16E+03 4.83E+02 2.02E+02 6.91E+01 2.09E+01 6.73E+00 2.93E+00 5.59E-01 1.00E-30 1.00E-30 1.00E-30
  40.00  2.423  6.87E+08 5.23E+07 4.60E+08 4.96E+05 1.44E+06 2.27E+06 2.91E+06 3.32E+06 3.50E+06 3.45E+06 3.22E+06 2.86E+06 2.40E+06 1.95E+06 1.51E+06 1.12E+06 7.89E+05 5.34E+05 3.44E+05 2.11E+05 1.23E+05 6.76E+04 3.50E+04 1.70E+04 7.72E+03 3.29E+03 1.31E+03 4.79E+02 1.55E+02 6.77E+01 1.45E+01 2.52E+00 1.00E-30
  50.00  2.709  8.53E+09 5.61E+08 5.49E+09 5.22E+06 1.52E+07 2.40E+07 3.10E+07 3.57E+07 3.80E+07 3.81E+07 3.61E+07 3.27E+07 2.83E+07 2.36E+07 1.88E+07 1.44E+07 1.06E+07 7.51E+06 5.08E+06 3.30E+06 2.05E+06 1.21E+06 6.83E+05 3.67E+05 1.86E+05 8.95E+04 4.01E+04 1.68E+04 6.44E+03 2.21E+03 6.85E+02 1.87E+02 9.69E+01
  60.00  2.968  1.63E+11 1.38E+10 1.22E+11 1.02E+08 2.99E+08 4.74E+08 6.18E+08 7.16E+08 7.72E+08 7.83E+08 7.57E+08 7.02E+08 6.24E+08 5.31E+08 4.35E+08 3.43E+08 2.61E+08 1.91E+08 1.33E+08 8.92E+07 5.73E+07 3.51E+07 2.06E+07 1.15E+07 6.14E+06 3.17E+06 1.55E+06 7.15E+05 3.07E+05 1.23E+05 4.54E+04 1.54E+04 4.64E+03
  70.00  3.206  3.10E+12 2.42E+11 2.35E+12 1.78E+09 5.21E+09 8.27E+09 1.08E+10 1.26E+10 1.37E+10 1.41E+10 1.37E+10 1.29E+10 1.16E+10 1.01E+10 8.39E+09 6.78E+09 5.29E+09 3.99E+09 2.90E+09 2.04E+09 1.38E+09 9.00E+08 5.63E+08 3.39E+08 1.96E+08 1.09E+08 5.76E+07 2.92E+07 1.40E+07 6.39E+06 2.73E+06 1.10E+06 4.09E+05
  80.00  3.427  4.74E+13 3.49E+12 3.61E+13 2.51E+10 7.39E+10 1.18E+11 1.54E+11 1.81E+11 1.98E+11 2.04E+11 2.01E+11 1.90E+11 1.73E+11 1.52E+11 1.29E+11 1.06E+11 8.43E+10 6.48E+10 4.85E+10 3.51E+10 2.45E+10 1.66E+10 1.09E+10 6.88E+09 4.19E+09 2.46E+09 1.39E+09 7.49E+08 3.90E+08 1.93E+08 9.10E+07 4.09E+07 1.73E+07
  90.00  3.635  5.49E+14 3.79E+13 4.24E+14 2.71E+11 7.97E+11 1.27E+12 1.67E+12 1.97E+12 2.17E+12 2.25E+12 2.24E+12 2.14E+12 1.97E+12 1.75E+12 1.51E+12 1.26E+12 1.02E+12 8.04E+11 6.14E+11 4.55E+11 3.27E+11 2.28E+11 1.55E+11 1.01E+11 6.43E+10 3.94E+10 2.34E+10 1.34E+10 7.37E+09 3.91E+09 1.99E+09 9.68E+08 4.48E+08
 100.00  3.831  5.75E+15 3.88E+14 4.51E+15 2.66E+12 7.84E+12 1.26E+13 1.65E+13 1.96E+13 2.16E+13 2.27E+13 2.27E+13 2.18E+13 2.03E+13 1.83E+13 1.60E+13 1.35E+13 1.11E+13 8.88E+12 6.93E+12 5.23E+12 3.84E+12 2.74E+12 1.91E+12 1.29E+12 8.44E+11 5.35E+11 3.29E+11 1.96E+11 1.13E+11 6.30E+10 3.37E+10 1.74E+10 8.61E+09
 110.00  4.018  5.50E+16 3.62E+15 4.37E+16 2.40E+13 7.07E+13 1.13E+14 1.50E+14 1.78E+14 1.98E+14 2.09E+14 2.10E+14 2.04E+14 1.91E+14 1.74E+14 1.53E+14 1.32E+14 1.10E+14 8.90E+13 7.06E+13 5.42E+13 4.07E+13 2.97E+13 2.11E+13 1.46E+13 9.86E+12 6.44E+12 4.10E+12 2.53E+12 1.52E+12 8.80E+11 4.93E+11 2.68E+11 1.40E+11
 120.00  4.197  4.47E+17 2.79E+16 3.56E+17 1.83E+14 5.40E+14 8.64E+14 1.15E+15 1.37E+15 1.53E+15 1.62E+15 1.64E+15 1.60E+15 1.51E+15 1.39E+15 1.24E+15 1.07E+15 9.02E+14 7.40E+14 5.96E+14 4.66E+14 3.55E+14 2.64E+14 1.91E+14 1.35E+14 9.30E+13 6.24E+13 4.08E+13 2.59E+13 1.60E+13 9.62E+12 5.58E+12 3.15E+12 1.72E+12
 130.00  4.368  3.28E+18 1.99E+17 2.62E+18 1.27E+15 3.75E+15 6.02E+15 7.97E+15 9.61E+15 1.07E+16 1.14E+16 1.16E+16 1.14E+16 1.09E+16 9.99E+15 8.98E+15 7.89E+15 6.71E+15 5.57E+15 4.53E+15 3.59E+15 2.77E+15 2.10E+15 1.55E+15 1.11E+15 7.79E+14 5.35E+14 3.57E+14 2.33E+14 1.48E+14 9.13E+13 5.47E+13 3.19E+13 1.81E+13
 140.00  4.533  2.23E+19 1.32E+18 1.79E+19 8.21E+15 2.42E+16 3.89E+16 5.18E+16 6.23E+16 6.99E+16 7.47E+16 7.61E+16 7.53E+16 7.21E+16 6.70E+16 6.06E+16 5.36E+16 4.60E+16 3.87E+16 3.18E+16 2.55E+16 2.00E+16 1.53E+16 1.14E+16 8.36E+15 5.97E+15 4.17E+15 2.84E+15 1.89E+15 1.23E+15 7.77E+14 4.80E+14 2.88E+14 1.68E+14
 150.00  4.692  1.41E+20 8.15E+18 1.15E+20 4.96E+16 1.46E+17 2.36E+17 3.14E+17 3.79E+17 4.26E+17 4.56E+17 4.69E+17 4.65E+17 4.48E+17 4.19E+17 3.82E+17 3.40E+17 2.95E+17 2.50E+17 2.07E+17 1.68E+17 1.33E+17 1.03E+17 7.84E+16 5.81E+16 4.22E+16 2.99E+16 2.08E+16 1.41E+16 9.33E+15 6.04E+15 3.81E+15 2.35E+15 1.41E+15
 160.00  4.846  8.43E+20 4.75E+19 6.86E+20 2.82E+17 8.32E+17 1.34E+18 1.80E+18 2.17E+18 2.45E+18 2.62E+18 2.71E+18 2.70E+18 2.61E+18 2.46E+18 2.25E+18 2.02E+18 1.77E+18 1.51E+18 1.26E+18 1.03E+18 8.27E+17 6.49E+17 4.99E+17 3.74E+17 2.76E+17 1.99E+17 1.40E+17 9.64E+16 6.52E+16 4.30E+16 2.78E+16 1.75E+16 1.07E+16
 170.00  4.995  4.74E+21 2.61E+20 3.87E+21 1.51E+18 4.48E+18 7.24E+18 9.67E+18 1.17E+19 1.33E+19 1.42E+19 1.47E+19 1.48E+19 1.43E+19 1.36E+19 1.25E+19 1.13E+19 9.97E+18 8.55E+18 7.23E+18 5.96E+18 4.83E+18 3.82E+18 2.97E+18 2.26E+18 1.68E+18 1.23E+18 8.77E+17 6.16E+17 4.23E+17 2.84E+17 1.86E+17 1.20E+17 7.53E+16
