                    ************************************************************************************************
                    *  Z= 28 A= 61: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 61 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   7.00  0.950  2.49E+03 8.03E+02 6.56E+03 3.96E+01 7.18E+01 1.09E+02 1.26E+02 1.16E+02 1.09E+02 7.55E+01 4.53E+01 2.57E+01 1.43E+01 7.02E+00 4.55E+00 7.65E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.984  3.75E+03 1.19E+03 9.73E+03 5.60E+01 1.12E+02 1.36E+02 1.54E+02 1.72E+02 1.56E+02 1.15E+02 8.46E+01 3.73E+01 2.39E+01 1.28E+01 5.72E+00 2.40E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  1.016  5.62E+03 1.72E+03 1.46E+04 9.00E+01 1.70E+02 1.97E+02 2.35E+02 2.27E+02 2.24E+02 1.68E+02 1.29E+02 6.61E+01 4.15E+01 2.02E+01 1.06E+01 4.46E+00 7.44E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  1.047  8.46E+03 2.60E+03 2.28E+04 1.47E+02 2.69E+02 3.39E+02 3.78E+02 3.41E+02 3.25E+02 2.48E+02 1.89E+02 1.27E+02 7.08E+01 3.36E+01 1.69E+01 7.09E+00 1.72E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  1.078  1.29E+04 4.19E+03 3.61E+04 2.26E+02 4.41E+02 5.61E+02 6.20E+02 5.50E+02 5.10E+02 3.59E+02 2.80E+02 2.08E+02 1.16E+02 5.58E+01 2.73E+01 1.23E+01 5.03E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  1.107  1.95E+04 6.76E+03 5.57E+04 3.27E+02 6.58E+02 8.30E+02 9.53E+02 8.72E+02 7.93E+02 5.61E+02 4.11E+02 3.04E+02 1.90E+02 9.14E+01 4.51E+01 1.99E+01 9.52E+00 1.41E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  1.136  2.91E+04 1.04E+04 8.33E+04 4.66E+02 9.14E+02 1.18E+03 1.36E+03 1.29E+03 1.21E+03 8.64E+02 6.33E+02 4.38E+02 2.85E+02 1.51E+02 7.66E+01 3.08E+01 1.44E+01 3.60E+00 3.54E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.191  6.78E+04 2.27E+04 1.81E+05 9.27E+02 1.81E+03 2.35E+03 2.71E+03 2.64E+03 2.58E+03 1.93E+03 1.49E+03 9.57E+02 6.35E+02 3.81E+02 2.13E+02 8.19E+01 3.52E+01 1.54E+01 2.42E+00 3.36E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.244  1.46E+05 4.79E+04 3.80E+05 1.83E+03 3.62E+03 4.70E+03 5.42E+03 5.24E+03 5.10E+03 3.95E+03 3.17E+03 2.16E+03 1.44E+03 8.47E+02 5.19E+02 2.33E+02 9.97E+01 3.98E+01 1.60E+01 2.12E+00 1.64E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  13.00  1.295  3.02E+05 9.88E+04 7.73E+05 3.55E+03 6.87E+03 9.10E+03 1.05E+04 1.03E+04 1.01E+04 7.83E+03 6.31E+03 4.53E+03 3.14E+03 1.86E+03 1.14E+03 5.67E+02 2.69E+02 1.05E+02 4.24E+01 1.40E+01 3.73E+00 1.61E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
