                    ************************************************************************************************
                    *  Z= 26 A= 58: Positive-Parity Spin-dependent Level Density [MeV-1] for Fe 58 and ldmodel= 2  *
   2.25  0.605  4.20E+00 2.35E+00 1.50E+01 1.78E-01 4.58E-01 5.60E-01 4.94E-01 3.42E-01 1.94E-01 9.06E-02 3.55E-02 1.17E-02 3.27E-03 7.72E-04 1.55E-04 2.64E-05 3.84E-06 4.76E-07 5.03E-08 4.54E-09 3.50E-10 2.30E-11 1.29E-12 6.22E-14 2.55E-15 8.98E-17 2.70E-18 6.94E-20 1.53E-21 2.87E-23 4.63E-25 6.39E-27 7.54E-29
   2.50  0.638  5.76E+00 3.13E+00 2.00E+01 2.37E-01 6.09E-01 7.45E-01 6.57E-01 4.56E-01 2.57E-01 1.21E-01 4.72E-02 1.56E-02 4.35E-03 1.03E-03 2.06E-04 3.52E-05 5.11E-06 6.34E-07 6.70E-08 6.04E-09 4.65E-10 3.06E-11 1.72E-12 8.27E-14 3.40E-15 1.19E-16 3.59E-18 9.23E-20 2.03E-21 3.82E-23 6.16E-25 8.50E-27 1.00E-28
   2.75  0.669  7.82E+00 4.12E+00 2.64E+01 3.11E-01 8.00E-01 9.81E-01 8.66E-01 6.02E-01 3.41E-01 1.60E-01 6.29E-02 2.08E-02 5.83E-03 1.39E-03 2.79E-04 4.80E-05 7.01E-06 8.75E-07 9.31E-08 8.46E-09 6.57E-10 4.36E-11 2.47E-12 1.20E-13 4.97E-15 1.77E-16 5.37E-18 1.40E-19 3.11E-21 5.92E-23 9.66E-25 1.35E-26 1.61E-28
   3.00  0.699  1.05E+01 5.30E+00 3.46E+01 3.84E-01 9.93E-01 1.23E+00 1.11E+00 7.89E-01 4.61E-01 2.25E-01 9.24E-02 3.21E-02 9.52E-03 2.41E-03 5.20E-04 9.61E-05 1.52E-05 2.07E-06 2.42E-07 2.43E-08 2.10E-09 1.56E-10 9.94E-12 5.46E-13 2.58E-14 1.05E-15 3.69E-17 1.11E-18 2.89E-20 6.48E-22 1.25E-23 2.08E-25 2.98E-27
   3.25  0.727  1.39E+01 6.76E+00 4.50E+01 4.71E-01 1.23E+00 1.54E+00 1.41E+00 1.03E+00 6.17E-01 3.11E-01 1.33E-01 4.85E-02 1.51E-02 4.05E-03 9.32E-04 1.85E-04 3.15E-05 4.65E-06 5.92E-07 6.52E-08 6.20E-09 5.10E-10 3.63E-11 2.24E-12 1.19E-13 5.51E-15 2.21E-16 7.64E-18 2.29E-19 5.97E-21 1.34E-22 2.63E-24 4.44E-26
   3.50  0.755  1.81E+01 8.58E+00 5.82E+01 5.76E-01 1.51E+00 1.91E+00 1.78E+00 1.32E+00 8.17E-01 4.26E-01 1.89E-01 7.18E-02 2.35E-02 6.63E-03 1.62E-03 3.41E-04 6.25E-05 9.93E-06 1.37E-06 1.64E-07 1.71E-08 1.55E-09 1.22E-10 8.34E-12 4.98E-13 2.58E-14 1.17E-15 4.59E-17 1.57E-18 4.70E-20 1.22E-21 2.77E-23 5.47E-25
   3.75  0.781  2.36E+01 1.08E+01 7.49E+01 7.01E-01 1.84E+00 2.36E+00 2.23E+00 1.69E+00 1.07E+00 5.75E-01 2.64E-01 1.04E-01 3.57E-02 1.06E-02 2.73E-03 6.11E-04 1.19E-04 2.03E-05 3.01E-06 3.90E-07 4.42E-08 4.37E-09 3.78E-10 2.86E-11 1.89E-12 1.09E-13 5.54E-15 2.45E-16 9.51E-18 3.23E-19 9.59E-21 2.49E-22 5.68E-24
   4.00  0.807  3.04E+01 1.36E+01 9.57E+01 8.51E-01 2.25E+00 2.91E+00 2.78E+00 2.15E+00 1.39E+00 7.68E-01 3.64E-01 1.49E-01 5.32E-02 1.65E-02 4.47E-03 1.06E-03 2.19E-04 3.98E-05 6.33E-06 8.83E-07 1.08E-07 1.16E-08 1.10E-09 9.08E-11 6.61E-12 4.23E-13 2.38E-14 1.18E-15 5.12E-17 1.96E-18 6.58E-20 1.94E-21 5.06E-23
   4.25  0.832  3.89E+01 1.70E+01 1.22E+02 1.03E+00 2.73E+00 3.56E+00 3.45E+00 2.71E+00 1.80E+00 1.02E+00 4.96E-01 2.11E-01 7.80E-02 2.53E-02 7.17E-03 1.79E-03 3.91E-04 7.54E-05 1.28E-05 1.91E-06 2.51E-07 2.92E-08 2.98E-09 2.69E-10 2.15E-11 1.51E-12 9.36E-14 5.13E-15 2.48E-16 1.06E-17 4.00E-19 1.33E-20 3.93E-22
   4.50  0.856  4.95E+01 2.12E+01 1.54E+02 1.24E+00 3.30E+00 4.34E+00 4.26E+00 3.40E+00 2.30E+00 1.33E+00 6.69E-01 2.93E-01 1.13E-01 3.79E-02 1.13E-02 2.94E-03 6.79E-04 1.38E-04 2.49E-05 3.96E-06 5.58E-07 6.96E-08 7.68E-09 7.51E-10 6.51E-11 5.00E-12 3.40E-13 2.05E-14 1.10E-15 5.19E-17 2.18E-18 8.14E-20 2.69E-21
   4.75  0.880  6.26E+01 2.63E+01 1.94E+02 1.49E+00 3.98E+00 5.27E+00 5.23E+00 4.24E+00 2.92E+00 1.73E+00 8.93E-01 4.03E-01 1.60E-01 5.60E-02 1.73E-02 4.73E-03 1.15E-03 2.46E-04 4.69E-05 7.92E-06 1.19E-06 1.59E-07 1.88E-08 1.98E-09 1.86E-10 1.55E-11 1.15E-12 7.57E-14 4.45E-15 2.32E-16 1.08E-17 4.47E-19 1.65E-20
   5.00  0.902  7.88E+01 3.25E+01 2.44E+02 1.78E+00 4.79E+00 6.39E+00 6.40E+00 5.27E+00 3.69E+00 2.23E+00 1.18E+00 5.48E-01 2.25E-01 8.14E-02 2.62E-02 7.46E-03 1.89E-03 4.26E-04 8.56E-05 1.53E-05 2.44E-06 3.47E-07 4.39E-08 4.97E-09 5.01E-10 4.51E-11 3.63E-12 2.60E-13 1.67E-14 9.56E-16 4.89E-17 2.23E-18 9.11E-20
   5.50  0.946  1.28E+02 4.90E+01 3.79E+02 2.54E+00 6.86E+00 9.27E+00 9.46E+00 7.99E+00 5.78E+00 3.63E+00 2.01E+00 9.83E-01 4.27E-01 1.65E-01 5.69E-02 1.75E-02 4.83E-03 1.19E-03 2.63E-04 5.22E-05 9.28E-06 1.48E-06 2.12E-07 2.72E-08 3.14E-09 3.26E-10 3.04E-11 2.55E-12 1.92E-13 1.30E-14 7.88E-16 4.31E-17 2.12E-18
   6.00  0.988  2.01E+02 7.30E+01 5.80E+02 3.58E+00 9.72E+00 1.33E+01 1.38E+01 1.19E+01 8.87E+00 5.78E+00 3.33E+00 1.70E+00 7.78E-01 3.18E-01 1.17E-01 3.86E-02 1.15E-02 3.06E-03 7.37E-04 1.60E-04 3.14E-05 5.55E-06 8.86E-07 1.28E-07 1.66E-08 1.96E-09 2.08E-10 2.00E-11 1.73E-12 1.36E-13 9.67E-15 6.20E-16 3.60E-17
   6.50  1.029  3.08E+02 1.07E+02 8.77E+02 5.00E+00 1.36E+01 1.88E+01 1.99E+01 1.75E+01 1.34E+01 8.99E+00 5.36E+00 2.86E+00 1.37E+00 5.90E-01 2.29E-01 8.04E-02 2.55E-02 7.33E-03 1.91E-03 4.50E-04 9.61E-05 1.86E-05 3.28E-06 5.24E-07 7.60E-08 1.00E-08 1.20E-09 1.30E-10 1.28E-11 1.15E-12 9.39E-14 6.96E-15 4.69E-16
   7.00  1.068  4.65E+02 1.56E+02 1.31E+03 6.93E+00 1.90E+01 2.65E+01 2.83E+01 2.54E+01 1.99E+01 1.37E+01 8.46E+00 4.68E+00 2.34E+00 1.05E+00 4.31E-01 1.60E-01 5.39E-02 1.65E-02 4.60E-03 1.17E-03 2.70E-04 5.70E-05 1.09E-05 1.92E-06 3.07E-07 4.47E-08 5.95E-09 7.22E-10 8.01E-11 8.10E-12 7.48E-13 6.31E-14 4.86E-15
   7.50  1.105  6.90E+02 2.25E+02 1.93E+03 9.52E+00 2.62E+01 3.69E+01 3.99E+01 3.65E+01 2.91E+01 2.06E+01 1.31E+01 7.48E+00 3.88E+00 1.83E+00 7.81E-01 3.05E-01 1.08E-01 3.53E-02 1.05E-02 2.84E-03 7.06E-04 1.60E-04 3.34E-05 6.36E-06 1.11E-06 1.78E-07 2.60E-08 3.50E-09 4.30E-10 4.86E-11 5.02E-12 4.77E-13 4.15E-14
   8.00  1.141  1.01E+03 3.22E+02 2.83E+03 1.30E+01 3.60E+01 5.09E+01 5.58E+01 5.18E+01 4.21E+01 3.05E+01 1.99E+01 1.17E+01 6.29E+00 3.08E+00 1.37E+00 5.61E-01 2.10E-01 7.19E-02 2.26E-02 6.53E-03 1.73E-03 4.21E-04 9.42E-05 1.94E-05 3.67E-06 6.38E-07 1.02E-07 1.50E-08 2.03E-09 2.53E-10 2.91E-11 3.07E-12 2.98E-13
   8.50  1.177  1.47E+03 4.56E+02 4.09E+03 1.76E+01 4.90E+01 6.98E+01 7.73E+01 7.27E+01 6.02E+01 4.45E+01 2.97E+01 1.80E+01 9.99E+00 5.06E+00 2.35E+00 9.99E-01 3.91E-01 1.41E-01 4.67E-02 1.42E-02 4.00E-03 1.04E-03 2.48E-04 5.48E-05 1.11E-05 2.09E-06 3.63E-07 5.81E-08 8.58E-09 1.17E-09 1.48E-10 1.72E-11 1.85E-12
   9.00  1.211  2.11E+03 6.42E+02 5.88E+03 2.38E+01 6.63E+01 9.51E+01 1.06E+02 1.01E+02 8.52E+01 6.42E+01 4.39E+01 2.73E+01 1.56E+01 8.14E+00 3.91E+00 1.73E+00 7.06E-01 2.66E-01 9.25E-02 2.97E-02 8.82E-03 2.42E-03 6.16E-04 1.45E-04 3.15E-05 6.35E-06 1.19E-06 2.05E-07 3.28E-08 4.87E-09 6.69E-10 8.52E-11 1.01E-11
   9.50  1.244  3.01E+03 8.96E+02 8.37E+03 3.19E+01 8.92E+01 1.29E+02 1.45E+02 1.40E+02 1.19E+02 9.17E+01 6.39E+01 4.08E+01 2.38E+01 1.28E+01 6.37E+00 2.92E+00 1.24E+00 4.86E-01 1.77E-01 5.95E-02 1.86E-02 5.39E-03 1.45E-03 3.61E-04 8.36E-05 1.80E-05 3.59E-06 6.67E-07 1.15E-07 1.84E-08 2.74E-09 3.79E-10 4.87E-11
  10.00  1.276  4.25E+03 1.24E+03 1.18E+04 4.26E+01 1.19E+02 1.73E+02 1.97E+02 1.92E+02 1.66E+02 1.30E+02 9.21E+01 6.00E+01 3.60E+01 1.99E+01 1.02E+01 4.83E+00 2.12E+00 8.64E-01 3.27E-01 1.15E-01 3.77E-02 1.15E-02 3.24E-03 8.55E-04 2.10E-04 4.79E-05 1.02E-05 2.02E-06 3.72E-07 6.40E-08 1.03E-08 1.53E-09 2.13E-10
  11.00  1.338  8.99E+03 2.37E+03 2.32E+04 7.72E+01 2.17E+02 3.17E+02 3.64E+02 3.60E+02 3.17E+02 2.53E+02 1.84E+02 1.23E+02 7.63E+01 4.37E+01 2.33E+01 1.15E+01 5.28E+00 2.26E+00 9.03E-01 3.36E-01 1.17E-01 3.78E-02 1.14E-02 3.23E-03 8.54E-04 2.11E-04 4.85E-05 1.05E-05 2.11E-06 3.97E-07 6.99E-08 1.15E-08 1.77E-09
  12.00  1.398  1.78E+04 4.42E+03 4.43E+04 1.38E+02 3.88E+02 5.70E+02 6.61E+02 6.61E+02 5.91E+02 4.79E+02 3.57E+02 2.45E+02 1.56E+02 9.18E+01 5.04E+01 2.58E+01 1.23E+01 5.51E+00 2.30E+00 8.98E-01 3.28E-01 1.12E-01 3.59E-02 1.08E-02 3.02E-03 7.97E-04 1.97E-04 4.55E-05 9.88E-06 2.01E-06 3.84E-07 6.87E-08 1.15E-08
  13.00  1.455  3.40E+04 8.09E+03 8.27E+04 2.41E+02 6.81E+02 1.01E+03 1.18E+03 1.19E+03 1.08E+03 8.88E+02 6.72E+02 4.71E+02 3.07E+02 1.86E+02 1.05E+02 5.55E+01 2.74E+01 1.27E+01 5.51E+00 2.24E+00 8.57E-01 3.07E-01 1.03E-01 3.26E-02 9.69E-03 2.70E-03 7.08E-04 1.75E-04 4.04E-05 8.81E-06 1.80E-06 3.47E-07 6.29E-08
  14.00  1.510  6.31E+04 1.45E+04 1.51E+05 4.17E+02 1.18E+03 1.75E+03 2.06E+03 2.10E+03 1.93E+03 1.61E+03 1.24E+03 8.84E+02 5.88E+02 3.64E+02 2.11E+02 1.15E+02 5.85E+01 2.80E+01 1.26E+01 5.31E+00 2.11E+00 7.87E-01 2.77E-01 9.16E-02 2.85E-02 8.38E-03 2.32E-03 6.03E-04 1.48E-04 3.42E-05 7.46E-06 1.53E-06 2.97E-07
  15.00  1.563  1.14E+05 2.56E+04 2.72E+05 7.09E+02 2.01E+03 3.00E+03 3.55E+03 3.66E+03 3.38E+03 2.86E+03 2.24E+03 1.62E+03 1.10E+03 6.95E+02 4.12E+02 2.30E+02 1.20E+02 5.92E+01 2.74E+01 1.20E+01 4.92E+00 1.91E+00 6.98E-01 2.41E-01 7.84E-02 2.41E-02 6.98E-03 1.91E-03 4.94E-04 1.20E-04 2.78E-05 6.05E-06 1.24E-06
  16.00  1.614  2.03E+05 4.46E+04 4.82E+05 1.19E+03 3.39E+03 5.07E+03 6.04E+03 6.26E+03 5.85E+03 5.00E+03 3.96E+03 2.92E+03 2.01E+03 1.29E+03 7.84E+02 4.47E+02 2.39E+02 1.21E+02 5.77E+01 2.59E+01 1.10E+01 4.41E+00 1.67E+00 5.98E-01 2.03E-01 6.48E-02 1.96E-02 5.61E-03 1.52E-03 3.89E-04 9.44E-05 2.16E-05 4.70E-06
  17.00  1.664  3.56E+05 7.64E+04 8.39E+05 1.98E+03 5.64E+03 8.47E+03 1.01E+04 1.06E+04 9.96E+03 8.61E+03 6.89E+03 5.15E+03 3.60E+03 2.36E+03 1.46E+03 8.46E+02 4.64E+02 2.40E+02 1.17E+02 5.42E+01 2.37E+01 9.78E+00 3.83E+00 1.42E+00 4.97E-01 1.65E-01 5.19E-02 1.55E-02 4.37E-03 1.17E-03 2.97E-04 7.14E-05 1.63E-05
  18.00  1.712  6.15E+05 1.29E+05 1.44E+06 3.25E+03 9.28E+03 1.40E+04 1.68E+04 1.76E+04 1.67E+04 1.46E+04 1.18E+04 8.94E+03 6.33E+03 4.22E+03 2.65E+03 1.57E+03 8.76E+02 4.63E+02 2.32E+02 1.10E+02 4.92E+01 2.09E+01 8.43E+00 3.22E+00 1.17E+00 4.00E-01 1.30E-01 4.04E-02 1.18E-02 3.30E-03 8.73E-04 2.19E-04 5.23E-05
  19.00  1.759  1.05E+06 2.16E+05 2.44E+06 5.29E+03 1.51E+04 2.28E+04 2.76E+04 2.91E+04 2.78E+04 2.45E+04 2.00E+04 1.53E+04 1.10E+04 7.41E+03 4.72E+03 2.84E+03 1.62E+03 8.74E+02 4.46E+02 2.16E+02 9.93E+01 4.33E+01 1.79E+01 7.04E+00 2.63E+00 9.30E-01 3.13E-01 1.00E-01 3.05E-02 8.81E-03 2.42E-03 6.32E-04 1.57E-04
  20.00  1.805  1.76E+06 3.57E+05 4.09E+06 8.51E+03 2.43E+04 3.69E+04 4.47E+04 4.74E+04 4.56E+04 4.05E+04 3.34E+04 2.58E+04 1.87E+04 1.28E+04 8.29E+03 5.07E+03 2.94E+03 1.61E+03 8.40E+02 4.15E+02 1.95E+02 8.71E+01 3.69E+01 1.49E+01 5.71E+00 2.08E+00 7.22E-01 2.38E-01 7.49E-02 2.24E-02 6.37E-03 1.73E-03 4.45E-04
  22.50  1.914  7.76E+06 1.20E+06 1.42E+07 2.69E+04 7.71E+04 1.17E+05 1.44E+05 1.54E+05 1.50E+05 1.36E+05 1.14E+05 9.03E+04 6.73E+04 4.74E+04 3.16E+04 2.00E+04 1.20E+04 6.87E+03 3.74E+03 1.93E+03 9.54E+02 4.48E+02 2.01E+02 8.57E+01 3.49E+01 1.35E+01 5.02E+00 1.77E+00 5.99E-01 1.93E-01 5.93E-02 1.74E-02 4.87E-03
  25.00  2.018  2.68E+07 3.81E+06 4.62E+07 8.08E+04 2.32E+05 3.55E+05 4.38E+05 4.75E+05 4.69E+05 4.29E+05 3.67E+05 2.96E+05 2.25E+05 1.62E+05 1.11E+05 7.25E+04 4.50E+04 2.66E+04 1.50E+04 8.06E+03 4.14E+03 2.03E+03 9.51E+02 4.26E+02 1.82E+02 7.47E+01 2.93E+01 1.10E+01 3.93E+00 1.35E+00 4.41E-01 1.39E-01 4.16E-02
  30.00  2.210  3.59E+08 3.32E+07 4.23E+08 6.42E+05 1.85E+06 2.86E+06 3.56E+06 3.92E+06 3.94E+06 3.69E+06 3.25E+06 2.70E+06 2.13E+06 1.59E+06 1.14E+06 7.77E+05 5.07E+05 3.16E+05 1.89E+05 1.08E+05 5.92E+04 3.11E+04 1.57E+04 7.59E+03 3.52E+03 1.57E+03 6.71E+02 2.76E+02 1.09E+02 4.12E+01 1.50E+01 5.24E+00 1.76E+00
  40.00  2.552  3.30E+10 1.63E+09 2.24E+10 2.72E+07 7.90E+07 1.23E+08 1.56E+08 1.75E+08 1.81E+08 1.75E+08 1.60E+08 1.39E+08 1.15E+08 9.07E+07 6.87E+07 5.00E+07 3.49E+07 2.35E+07 1.52E+07 9.47E+06 5.69E+06 3.29E+06 1.84E+06 9.89E+05 5.13E+05 2.57E+05 1.24E+05 5.81E+04 2.62E+04 1.14E+04 4.79E+03 1.95E+03 7.63E+02
  50.00  2.853  1.08E+12 5.25E+10 7.61E+11 7.81E+08 2.27E+09 3.57E+09 4.57E+09 5.21E+09 5.49E+09 5.42E+09 5.08E+09 4.53E+09 3.87E+09 3.17E+09 2.50E+09 1.90E+09 1.39E+09 9.85E+08 6.73E+08 4.44E+08 2.84E+08 1.75E+08 1.05E+08 6.06E+07 3.39E+07 1.84E+07 9.67E+06 4.93E+06 2.43E+06 1.16E+06 5.39E+05 2.42E+05 1.05E+05
  60.00  3.126  2.59E+13 1.24E+12 1.88E+13 1.68E+10 4.90E+10 7.74E+10 9.99E+10 1.15E+11 1.23E+11 1.23E+11 1.18E+11 1.07E+11 9.38E+10 7.90E+10 6.41E+10 5.03E+10 3.81E+10 2.80E+10 1.99E+10 1.37E+10 9.15E+09 5.93E+09 3.73E+09 2.27E+09 1.35E+09 7.74E+08 4.33E+08 2.35E+08 1.24E+08 6.34E+07 3.16E+07 1.53E+07 7.18E+06
  70.00  3.376  4.87E+14 2.31E+13 3.64E+14 2.89E+11 8.46E+11 1.34E+12 1.74E+12 2.02E+12 2.18E+12 2.22E+12 2.14E+12 1.99E+12 1.77E+12 1.52E+12 1.26E+12 1.02E+12 7.91E+11 5.97E+11 4.38E+11 3.12E+11 2.16E+11 1.45E+11 9.47E+10 6.02E+10 3.72E+10 2.24E+10 1.31E+10 7.47E+09 4.15E+09 2.24E+09 1.18E+09 6.04E+08 3.01E+08
  80.00  3.609  7.58E+15 3.55E+14 5.80E+15 4.16E+12 1.22E+13 1.94E+13 2.53E+13 2.96E+13 3.22E+13 3.30E+13 3.23E+13 3.03E+13 2.74E+13 2.40E+13 2.03E+13 1.66E+13 1.32E+13 1.02E+13 7.68E+12 5.61E+12 3.99E+12 2.76E+12 1.86E+12 1.22E+12 7.83E+11 4.89E+11 2.97E+11 1.76E+11 1.02E+11 5.75E+10 3.16E+10 1.70E+10 8.88E+09
  90.00  3.828  1.01E+17 4.67E+15 7.86E+16 5.16E+13 1.51E+14 2.41E+14 3.16E+14 3.72E+14 4.07E+14 4.21E+14 4.16E+14 3.95E+14 3.62E+14 3.20E+14 2.75E+14 2.29E+14 1.85E+14 1.46E+14 1.12E+14 8.37E+13 6.09E+13 4.32E+13 2.99E+13 2.02E+13 1.33E+13 8.55E+12 5.36E+12 3.29E+12 1.97E+12 1.15E+12 6.55E+11 3.65E+11 1.99E+11
 100.00  4.035  1.18E+18 5.38E+16 9.31E+17 5.64E+14 1.66E+15 2.65E+15 3.48E+15 4.11E+15 4.52E+15 4.71E+15 4.70E+15 4.50E+15 4.16E+15 3.73E+15 3.24E+15 2.74E+15 2.25E+15 1.80E+15 1.41E+15 1.07E+15 7.94E+14 5.75E+14 4.07E+14 2.81E+14 1.90E+14 1.25E+14 8.05E+13 5.07E+13 3.12E+13 1.88E+13 1.11E+13 6.37E+12 3.59E+12
 110.00  4.232  1.23E+19 5.54E+17 9.81E+18 5.53E+15 1.63E+16 2.60E+16 3.43E+16 4.07E+16 4.51E+16 4.72E+16 4.74E+16 4.57E+16 4.27E+16 3.86E+16 3.39E+16 2.90E+16 2.42E+16 1.96E+16 1.55E+16 1.20E+16 9.06E+15 6.68E+15 4.81E+15 3.39E+15 2.34E+15 1.57E+15 1.04E+15 6.69E+14 4.22E+14 2.61E+14 1.58E+14 9.33E+13 5.40E+13
 120.00  4.421  1.16E+20 5.17E+18 9.35E+19 4.94E+16 1.45E+17 2.33E+17 3.08E+17 3.67E+17 4.07E+17 4.29E+17 4.33E+17 4.21E+17 3.96E+17 3.62E+17 3.21E+17 2.77E+17 2.33E+17 1.92E+17 1.54E+17 1.20E+17 9.22E+16 6.91E+16 5.06E+16 3.63E+16 2.54E+16 1.75E+16 1.17E+16 7.73E+15 4.98E+15 3.15E+15 1.95E+15 1.18E+15 7.01E+14
 130.00  4.601  9.99E+20 4.42E+19 8.16E+20 4.05E+17 1.19E+18 1.92E+18 2.54E+18 3.04E+18 3.38E+18 3.58E+18 3.63E+18 3.55E+18 3.37E+18 3.10E+18 2.77E+18 2.41E+18 2.05E+18 1.70E+18 1.38E+18 1.10E+18 8.51E+17 6.46E+17 4.80E+17 3.49E+17 2.49E+17 1.74E+17 1.19E+17 7.97E+16 5.24E+16 3.37E+16 2.13E+16 1.32E+16 8.01E+15
 140.00  4.775  7.99E+21 3.50E+20 6.58E+21 3.09E+18 9.11E+18 1.47E+19 1.95E+19 2.33E+19 2.61E+19 2.77E+19 2.82E+19 2.78E+19 2.65E+19 2.45E+19 2.21E+19 1.94E+19 1.66E+19 1.39E+19 1.14E+19 9.16E+18 7.19E+18 5.53E+18 4.16E+18 3.07E+18 2.22E+18 1.57E+18 1.09E+18 7.44E+17 4.97E+17 3.26E+17 2.10E+17 1.32E+17 8.19E+16
 150.00  4.942  5.96E+22 2.58E+21 4.94E+22 2.21E+19 6.50E+19 1.05E+20 1.39E+20 1.67E+20 1.88E+20 2.00E+20 2.05E+20 2.02E+20 1.94E+20 1.81E+20 1.64E+20 1.45E+20 1.25E+20 1.06E+20 8.77E+19 7.10E+19 5.63E+19 4.37E+19 3.33E+19 2.48E+19 1.82E+19 1.31E+19 9.20E+18 6.36E+18 4.32E+18 2.87E+18 1.88E+18 1.21E+18 7.60E+17
 160.00  5.104  4.18E+23 1.79E+22 3.48E+23 1.48E+20 4.37E+20 7.04E+20 9.38E+20 1.13E+21 1.27E+21 1.36E+21 1.40E+21 1.39E+21 1.33E+21 1.25E+21 1.14E+21 1.02E+21 8.85E+20 7.54E+20 6.28E+20 5.13E+20 4.11E+20 3.22E+20 2.48E+20 1.87E+20 1.39E+20 1.01E+20 7.19E+19 5.03E+19 3.46E+19 2.34E+19 1.55E+19 1.01E+19 6.47E+18
 170.00  5.262  2.76E+24 1.17E+23 2.31E+24 9.41E+20 2.78E+21 4.48E+21 5.98E+21 7.21E+21 8.13E+21 8.73E+21 9.00E+21 8.97E+21 8.67E+21 8.16E+21 7.49E+21 6.71E+21 5.88E+21 5.05E+21 4.24E+21 3.49E+21 2.82E+21 2.23E+21 1.73E+21 1.32E+21 9.88E+20 7.26E+20 5.24E+20 3.71E+20 2.59E+20 1.77E+20 1.19E+20 7.86E+19 5.11E+19
