                    ************************************************************************************************
                    *  Z= 25 A= 51: Positive-Parity Spin-dependent Level Density [MeV-1] for Mn 51 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   6.50  1.016  2.76E+02 8.02E+01 4.92E+02 9.35E+00 1.55E+01 1.71E+01 1.48E+01 1.06E+01 6.40E+00 3.34E+00 1.50E+00 5.90E-01 2.02E-01 6.04E-02 1.58E-02 3.64E-03 7.35E-04 1.31E-04 2.04E-05 2.80E-06 3.38E-07 3.60E-08 3.38E-09 2.79E-10 2.04E-11 1.31E-12 7.40E-14 3.70E-15 1.63E-16 6.33E-18 2.17E-19 6.56E-21 1.75E-22
   7.00  1.054  3.87E+02 1.11E+02 6.93E+02 1.26E+01 2.11E+01 2.34E+01 2.04E+01 1.49E+01 9.19E+00 4.90E+00 2.27E+00 9.17E-01 3.24E-01 1.01E-01 2.75E-02 6.60E-03 1.40E-03 2.61E-04 4.31E-05 6.27E-06 8.06E-07 9.16E-08 9.20E-09 8.17E-10 6.42E-11 4.47E-12 2.75E-13 1.50E-14 7.20E-16 3.07E-17 1.16E-18 3.88E-20 1.15E-21
   7.50  1.091  5.41E+02 1.54E+02 9.77E+02 1.70E+01 2.86E+01 3.20E+01 2.83E+01 2.09E+01 1.32E+01 7.17E+00 3.40E+00 1.41E+00 5.16E-01 1.66E-01 4.71E-02 1.18E-02 2.61E-03 5.12E-04 8.88E-05 1.37E-05 1.86E-06 2.25E-07 2.41E-08 2.29E-09 1.94E-10 1.45E-11 9.64E-13 5.69E-14 2.99E-15 1.39E-16 5.75E-18 2.11E-19 6.90E-21
   8.00  1.127  7.55E+02 2.14E+02 1.38E+03 2.30E+01 3.88E+01 4.38E+01 3.92E+01 2.93E+01 1.88E+01 1.04E+01 5.08E+00 2.17E+00 8.15E-01 2.71E-01 7.97E-02 2.08E-02 4.80E-03 9.84E-04 1.79E-04 2.90E-05 4.18E-06 5.36E-07 6.10E-08 6.19E-09 5.59E-10 4.50E-11 3.22E-12 2.05E-13 1.17E-14 5.91E-16 2.66E-17 1.07E-18 3.83E-20
   8.50  1.162  1.05E+03 2.96E+02 1.94E+03 3.11E+01 5.27E+01 5.99E+01 5.42E+01 4.11E+01 2.68E+01 1.52E+01 7.54E+00 3.30E+00 1.28E+00 4.38E-01 1.33E-01 3.61E-02 8.67E-03 1.86E-03 3.55E-04 6.03E-05 9.15E-06 1.24E-06 1.50E-07 1.61E-08 1.55E-09 1.34E-10 1.03E-11 7.04E-13 4.31E-14 2.36E-15 1.16E-16 5.06E-18 1.98E-19
   9.00  1.196  1.46E+03 4.11E+02 2.73E+03 4.21E+01 7.17E+01 8.20E+01 7.49E+01 5.75E+01 3.81E+01 2.20E+01 1.12E+01 5.00E+00 1.99E+00 7.03E-01 2.21E-01 6.19E-02 1.55E-02 3.45E-03 6.88E-04 1.23E-04 1.96E-05 2.79E-06 3.56E-07 4.07E-08 4.16E-09 3.81E-10 3.13E-11 2.30E-12 1.52E-13 8.95E-15 4.74E-16 2.25E-17 9.55E-19
   9.50  1.228  2.03E+03 5.70E+02 3.83E+03 5.71E+01 9.74E+01 1.12E+02 1.03E+02 8.04E+01 5.40E+01 3.17E+01 1.64E+01 7.55E+00 3.08E+00 1.12E+00 3.62E-01 1.05E-01 2.72E-02 6.31E-03 1.31E-03 2.45E-04 4.09E-05 6.13E-06 8.24E-07 9.95E-08 1.08E-08 1.05E-09 9.18E-11 7.21E-12 5.09E-13 3.22E-14 1.84E-15 9.41E-17 4.33E-18
  10.00  1.260  2.82E+03 7.90E+02 5.39E+03 7.73E+01 1.32E+02 1.54E+02 1.43E+02 1.12E+02 7.65E+01 4.57E+01 2.41E+01 1.13E+01 4.73E+00 1.77E+00 5.90E-01 1.76E-01 4.73E-02 1.14E-02 2.46E-03 4.79E-04 8.37E-05 1.31E-05 1.86E-06 2.37E-07 2.71E-08 2.79E-09 2.59E-10 2.17E-11 1.63E-12 1.11E-13 6.78E-15 3.73E-16 1.85E-17
  11.00  1.322  5.86E+03 1.52E+03 1.07E+04 1.42E+02 2.45E+02 2.88E+02 2.72E+02 2.19E+02 1.53E+02 9.42E+01 5.16E+01 2.52E+01 1.10E+01 4.32E+00 1.52E+00 4.84E-01 1.38E-01 3.57E-02 8.31E-03 1.75E-03 3.32E-04 5.69E-05 8.83E-06 1.24E-06 1.57E-07 1.80E-08 1.87E-09 1.76E-10 1.50E-11 1.15E-12 8.03E-14 5.07E-15 2.89E-16
  12.00  1.381  1.17E+04 2.92E+03 2.10E+04 2.62E+02 4.55E+02 5.39E+02 5.18E+02 4.24E+02 3.04E+02 1.93E+02 1.09E+02 5.52E+01 2.51E+01 1.03E+01 3.83E+00 1.28E+00 3.89E-01 1.07E-01 2.66E-02 6.01E-03 1.23E-03 2.29E-04 3.87E-05 5.93E-06 8.26E-07 1.05E-07 1.20E-08 1.26E-09 1.19E-10 1.03E-11 8.09E-13 5.77E-14 3.75E-15
