                    ************************************************************************************************
                    *  Z= 26 A= 56: Positive-Parity Spin-dependent Level Density [MeV-1] for Fe 56 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   6.50  0.983  2.90E+02 1.47E+02 1.46E+03 2.50E+00 9.03E+00 2.09E+01 2.03E+01 2.17E+01 2.25E+01 1.72E+01 1.01E+01 8.17E+00 5.12E+00 3.61E+00 9.63E-01 1.20E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  1.020  4.81E+02 2.42E+02 2.39E+03 1.07E+01 1.69E+01 2.57E+01 3.23E+01 4.02E+01 2.54E+01 2.75E+01 2.08E+01 1.29E+01 1.15E+01 6.54E+00 2.64E+00 1.26E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  1.055  8.37E+02 4.52E+02 4.67E+03 1.88E+01 1.98E+01 5.34E+01 6.90E+01 4.24E+01 5.94E+01 5.50E+01 4.22E+01 2.95E+01 1.80E+01 1.61E+01 6.75E+00 3.82E+00 9.71E-01 1.94E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  1.090  1.45E+03 7.63E+02 7.77E+03 2.96E+01 5.35E+01 9.67E+01 1.02E+02 7.94E+01 8.52E+01 1.00E+02 7.22E+01 4.40E+01 3.30E+01 2.40E+01 8.88E+00 7.40E+00 2.47E+00 9.72E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  1.124  2.26E+03 9.73E+02 1.03E+04 3.72E+01 7.00E+01 1.08E+02 1.23E+02 1.18E+02 1.24E+02 1.22E+02 8.71E+01 6.08E+01 5.00E+01 3.04E+01 1.35E+01 1.18E+01 2.98E+00 1.85E-01 2.58E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  1.156  3.34E+03 1.31E+03 1.44E+04 3.36E+01 8.23E+01 1.18E+02 1.49E+02 2.01E+02 1.81E+02 1.44E+02 1.23E+02 1.04E+02 6.65E+01 3.81E+01 2.99E+01 1.45E+01 3.22E+00 1.38E+00 2.05E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  1.188  4.85E+03 1.85E+03 2.04E+04 4.53E+01 1.05E+02 1.81E+02 2.16E+02 2.65E+02 2.48E+02 2.00E+02 1.83E+02 1.47E+02 8.66E+01 5.99E+01 4.71E+01 1.74E+01 6.97E+00 3.38E+00 6.80E-03 1.22E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  1.219  7.01E+03 2.65E+03 2.89E+04 9.56E+01 1.88E+02 2.70E+02 3.08E+02 3.22E+02 3.18E+02 3.07E+02 2.52E+02 1.93E+02 1.39E+02 9.24E+01 5.43E+01 3.31E+01 1.64E+01 5.20E+00 1.41E+00 1.96E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.278  2.70E+04 1.17E+04 1.36E+05 2.22E+02 6.09E+02 9.64E+02 1.23E+03 1.39E+03 1.41E+03 1.33E+03 1.17E+03 9.54E+02 7.23E+02 5.07E+02 3.30E+02 1.97E+02 1.01E+02 4.62E+01 1.86E+01 5.72E+00 8.51E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.335  4.46E+04 9.33E+03 1.12E+05 2.24E+02 6.05E+02 9.06E+02 1.10E+03 1.16E+03 1.14E+03 1.04E+03 8.88E+02 7.10E+02 5.48E+02 4.04E+02 2.79E+02 1.85E+02 1.08E+02 5.68E+01 2.62E+01 1.15E+01 3.94E+00 8.82E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
