                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  10.00  0.911  1.55E+07 7.66E+06 8.41E+07 1.98E+05 5.64E+05 8.47E+05 1.01E+06 1.06E+06 9.98E+05 8.63E+05 6.92E+05 5.17E+05 3.62E+05 2.38E+05 1.47E+05 8.54E+04 4.69E+04 2.43E+04 1.19E+04 5.51E+03 2.41E+03 1.00E+03 3.92E+02 1.46E+02 5.12E+01 1.71E+01 5.38E+00 1.61E+00 4.56E-01 1.22E-01 3.12E-02 7.53E-03 1.72E-03
  11.00  0.956  7.02E+07 2.73E+07 3.10E+08 6.65E+05 1.90E+06 2.87E+06 3.47E+06 3.67E+06 3.51E+06 3.09E+06 2.53E+06 1.94E+06 1.40E+06 9.48E+05 6.06E+05 3.66E+05 2.10E+05 1.13E+05 5.83E+04 2.84E+04 1.31E+04 5.74E+03 2.39E+03 9.45E+02 3.55E+02 1.27E+02 4.30E+01 1.39E+01 4.25E+00 1.24E+00 3.43E-01 9.04E-02 2.27E-02
  12.00  0.998  2.54E+08 9.17E+07 1.07E+09 2.11E+06 6.05E+06 9.18E+06 1.12E+07 1.20E+07 1.16E+07 1.04E+07 8.66E+06 6.78E+06 5.00E+06 3.48E+06 2.29E+06 1.43E+06 8.45E+05 4.75E+05 2.54E+05 1.29E+05 6.22E+04 2.86E+04 1.25E+04 5.21E+03 2.07E+03 7.81E+02 2.82E+02 9.67E+01 3.16E+01 9.87E+00 2.94E+00 8.33E-01 2.25E-01
  13.00  1.039  8.37E+08 2.92E+08 3.48E+09 6.39E+06 1.83E+07 2.80E+07 3.43E+07 3.70E+07 3.63E+07 3.29E+07 2.79E+07 2.22E+07 1.67E+07 1.19E+07 8.03E+06 5.14E+06 3.13E+06 1.82E+06 1.00E+06 5.28E+05 2.65E+05 1.27E+05 5.79E+04 2.52E+04 1.05E+04 4.16E+03 1.58E+03 5.72E+02 1.98E+02 6.55E+01 2.07E+01 6.25E+00 1.80E+00
  14.00  1.078  2.61E+09 8.84E+08 1.08E+10 1.85E+07 5.33E+07 8.16E+07 1.01E+08 1.09E+08 1.08E+08 9.94E+07 8.55E+07 6.92E+07 5.29E+07 3.84E+07 2.65E+07 1.74E+07 1.08E+07 6.46E+06 3.67E+06 1.99E+06 1.03E+06 5.12E+05 2.42E+05 1.10E+05 4.76E+04 1.97E+04 7.82E+03 2.97E+03 1.08E+03 3.75E+02 1.25E+02 3.98E+01 1.21E+01
  15.00  1.116  7.75E+09 2.57E+09 3.21E+10 5.17E+07 1.49E+08 2.29E+08 2.84E+08 3.11E+08 3.10E+08 2.88E+08 2.50E+08 2.05E+08 1.59E+08 1.18E+08 8.26E+07 5.53E+07 3.53E+07 2.15E+07 1.26E+07 7.01E+06 3.74E+06 1.91E+06 9.34E+05 4.38E+05 1.97E+05 8.46E+04 3.49E+04 1.38E+04 5.22E+03 1.90E+03 6.62E+02 2.21E+02 7.10E+01
  16.00  1.153  2.22E+10 7.21E+09 9.16E+10 1.40E+08 4.03E+08 6.21E+08 7.73E+08 8.51E+08 8.56E+08 8.01E+08 7.04E+08 5.85E+08 4.60E+08 3.45E+08 2.46E+08 1.68E+08 1.09E+08 6.81E+07 4.06E+07 2.32E+07 1.27E+07 6.67E+06 3.36E+06 1.62E+06 7.51E+05 3.34E+05 1.43E+05 5.84E+04 2.30E+04 8.69E+03 3.15E+03 1.10E+03 3.69E+02
  17.00  1.188  6.12E+10 1.95E+10 2.53E+11 3.65E+08 1.05E+09 1.63E+09 2.04E+09 2.26E+09 2.29E+09 2.16E+09 1.91E+09 1.61E+09 1.28E+09 9.72E+08 7.04E+08 4.88E+08 3.23E+08 2.05E+08 1.25E+08 7.29E+07 4.08E+07 2.20E+07 1.13E+07 5.62E+06 2.68E+06 1.23E+06 5.41E+05 2.29E+05 9.32E+04 3.65E+04 1.37E+04 4.97E+03 1.73E+03
  18.00  1.223  1.64E+11 5.13E+10 6.75E+11 9.29E+08 2.69E+09 4.16E+09 5.23E+09 5.81E+09 5.92E+09 5.63E+09 5.04E+09 4.27E+09 3.44E+09 2.64E+09 1.94E+09 1.36E+09 9.18E+08 5.93E+08 3.68E+08 2.19E+08 1.25E+08 6.87E+07 3.63E+07 1.85E+07 9.03E+06 4.25E+06 1.92E+06 8.38E+05 3.52E+05 1.42E+05 5.52E+04 2.07E+04 7.47E+03
  19.00  1.256  4.26E+11 1.31E+11 1.75E+12 2.30E+09 6.67E+09 1.04E+10 1.30E+10 1.46E+10 1.49E+10 1.43E+10 1.29E+10 1.10E+10 8.96E+09 6.96E+09 5.17E+09 3.68E+09 2.52E+09 1.65E+09 1.04E+09 6.30E+08 3.67E+08 2.06E+08 1.11E+08 5.77E+07 2.89E+07 1.39E+07 6.46E+06 2.89E+06 1.25E+06 5.18E+05 2.08E+05 8.02E+04 2.99E+04
