                    ************************************************************************************************
                    *  Z= 27 A= 59: Positive-Parity Spin-dependent Level Density [MeV-1] for Co 59 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   6.50  0.922  9.98E+02 2.09E+02 1.17E+03 1.48E+01 2.22E+01 2.42E+01 2.03E+01 1.88E+01 1.85E+01 1.52E+01 9.30E+00 5.91E+00 4.48E-01 1.98E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.957  1.42E+03 4.28E+02 2.41E+03 2.68E+01 3.58E+01 3.95E+01 3.49E+01 3.73E+01 3.50E+01 3.10E+01 2.43E+01 1.63E+01 2.57E+00 1.05E+00 1.31E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.991  2.06E+03 5.44E+02 4.15E+03 3.79E+01 6.02E+01 6.36E+01 5.84E+01 6.16E+01 5.85E+01 5.28E+01 4.16E+01 2.94E+01 6.82E+00 2.81E+00 1.32E-01 1.95E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  1.023  2.89E+03 6.96E+02 5.23E+03 4.57E+01 7.99E+01 8.54E+01 8.10E+01 7.94E+01 7.44E+01 6.13E+01 4.56E+01 3.15E+01 1.30E+01 5.82E+00 9.46E-01 2.81E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  1.055  4.04E+03 1.01E+03 7.29E+03 5.52E+01 1.03E+02 1.10E+02 1.15E+02 1.08E+02 1.00E+02 8.19E+01 5.91E+01 4.35E+01 2.41E+01 1.16E+01 3.24E+00 1.18E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  1.085  5.68E+03 1.53E+03 1.14E+04 7.74E+01 1.38E+02 1.53E+02 1.60E+02 1.56E+02 1.39E+02 1.26E+02 9.92E+01 7.34E+01 4.74E+01 2.28E+01 1.02E+01 3.14E+00 4.33E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  1.115  7.95E+03 2.38E+03 1.81E+04 1.15E+02 1.90E+02 2.26E+02 2.39E+02 2.43E+02 2.10E+02 1.93E+02 1.62E+02 1.17E+02 8.23E+01 4.31E+01 2.03E+01 6.92E+00 1.23E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  1.144  1.13E+04 3.68E+03 2.75E+04 1.72E+02 2.88E+02 3.61E+02 4.05E+02 3.90E+02 3.41E+02 2.94E+02 2.35E+02 1.66E+02 1.10E+02 6.37E+01 2.81E+01 1.01E+01 2.03E+00 2.23E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.200  2.49E+04 6.97E+03 5.81E+04 2.97E+02 5.31E+02 6.73E+02 7.89E+02 8.04E+02 7.05E+02 6.25E+02 4.93E+02 3.61E+02 2.50E+02 1.43E+02 7.42E+01 3.24E+01 9.85E+00 2.87E+00 3.30E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.253  4.86E+04 1.22E+04 1.10E+05 4.52E+02 8.53E+02 1.18E+03 1.32E+03 1.37E+03 1.30E+03 1.13E+03 9.29E+02 7.11E+02 5.02E+02 3.25E+02 1.82E+02 9.04E+01 3.39E+01 9.74E+00 2.15E+00 6.54E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  13.00  1.304  8.88E+04 2.08E+04 1.94E+05 7.26E+02 1.43E+03 1.86E+03 2.22E+03 2.32E+03 2.17E+03 1.99E+03 1.63E+03 1.28E+03 9.30E+02 6.12E+02 3.72E+02 1.95E+02 8.87E+01 2.77E+01 6.77E+00 1.20E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.353  1.57E+05 3.61E+04 3.44E+05 1.17E+03 2.33E+03 3.15E+03 3.67E+03 3.89E+03 3.77E+03 3.44E+03 2.87E+03 2.28E+03 1.68E+03 1.16E+03 7.21E+02 4.01E+02 2.02E+02 7.21E+01 2.14E+01 4.63E+00 1.93E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
