                    ************************************************************************************************
                    *  Z= 27 A= 59: Positive-Parity Spin-dependent Level Density [MeV-1] for Co 59 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  18.00  1.535  5.30E+06 1.77E+06 1.31E+07 4.42E+04 8.59E+04 1.16E+05 1.37E+05 1.50E+05 1.41E+05 1.26E+05 1.07E+05 8.48E+04 6.20E+04 4.39E+04 2.75E+04 1.69E+04 9.16E+03 4.84E+03 2.23E+03 9.36E+02 3.56E+02 1.05E+02 2.35E+01 3.47E+00 2.33E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  19.00  1.577  9.22E+06 2.92E+06 2.25E+07 7.21E+04 1.42E+05 1.91E+05 2.26E+05 2.48E+05 2.36E+05 2.13E+05 1.84E+05 1.46E+05 1.09E+05 7.83E+04 5.04E+04 3.17E+04 1.78E+04 9.79E+03 4.62E+03 2.05E+03 8.30E+02 2.65E+02 7.19E+01 1.39E+01 1.61E+00 7.55E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  20.00  1.618  1.57E+07 4.72E+06 3.77E+07 1.15E+05 2.24E+05 3.03E+05 3.62E+05 3.99E+05 3.83E+05 3.49E+05 3.04E+05 2.46E+05 1.86E+05 1.36E+05 8.89E+04 5.72E+04 3.29E+04 1.85E+04 9.04E+03 4.20E+03 1.82E+03 6.32E+02 1.86E+02 4.44E+01 8.02E+00 7.85E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  22.50  1.716  6.60E+07 1.43E+07 1.23E+08 3.30E+05 6.47E+05 8.84E+05 1.06E+06 1.18E+06 1.16E+06 1.08E+06 9.61E+05 8.01E+05 6.27E+05 4.76E+05 3.26E+05 2.20E+05 1.34E+05 8.05E+04 4.25E+04 2.14E+04 1.01E+04 4.07E+03 1.49E+03 4.68E+02 1.16E+02 1.95E+01 4.99E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  25.00  1.809  2.07E+08 3.86E+07 3.60E+08 8.58E+05 1.68E+06 2.32E+06 2.80E+06 3.15E+06 3.13E+06 2.97E+06 2.71E+06 2.31E+06 1.87E+06 1.46E+06 1.04E+06 7.37E+05 4.74E+05 2.99E+05 1.69E+05 9.10E+04 4.61E+04 2.03E+04 8.35E+03 3.11E+03 9.75E+02 2.54E+02 4.98E+01 1.27E+01 1.09E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  30.00  1.981  1.85E+09 2.16E+08 2.25E+09 4.41E+06 8.69E+06 1.20E+07 1.48E+07 1.68E+07 1.70E+07 1.66E+07 1.56E+07 1.38E+07 1.16E+07 9.58E+06 7.31E+06 5.50E+06 3.85E+06 2.65E+06 1.66E+06 1.00E+06 5.78E+05 2.97E+05 1.42E+05 6.42E+04 2.53E+04 8.90E+03 2.80E+03 6.90E+02 1.36E+02 4.34E+01 4.35E+00 1.00E-30 1.00E-30
  40.00  2.288  6.53E+10 4.00E+09 4.71E+10 7.61E+07 1.50E+08 2.09E+08 2.58E+08 2.96E+08 3.05E+08 3.02E+08 2.89E+08 2.62E+08 2.29E+08 1.96E+08 1.58E+08 1.27E+08 9.58E+07 7.23E+07 5.12E+07 3.56E+07 2.41E+07 1.51E+07 9.17E+06 5.35E+06 2.84E+06 1.41E+06 6.59E+05 2.67E+05 1.01E+05 3.20E+04 9.01E+03 3.85E+03 8.12E+02
  50.00  2.558  1.07E+12 6.26E+10 7.61E+11 1.18E+09 2.31E+09 3.24E+09 4.00E+09 4.60E+09 4.76E+09 4.73E+09 4.54E+09 4.15E+09 3.64E+09 3.13E+09 2.54E+09 2.05E+09 1.57E+09 1.20E+09 8.66E+08 6.19E+08 4.33E+08 2.87E+08 1.87E+08 1.20E+08 7.28E+07 4.29E+07 2.46E+07 1.31E+07 6.69E+06 3.09E+06 1.35E+06 5.07E+05 1.72E+05
  60.00  2.802  2.83E+13 1.78E+12 2.12E+13 2.80E+10 5.53E+10 8.07E+10 1.04E+11 1.25E+11 1.25E+11 1.29E+11 1.23E+11 1.14E+11 1.01E+11 8.68E+10 7.17E+10 5.75E+10 4.54E+10 3.49E+10 2.61E+10 1.83E+10 1.29E+10 8.77E+09 5.59E+09 3.75E+09 2.26E+09 1.33E+09 8.11E+08 4.69E+08 2.71E+08 1.44E+08 7.56E+07 3.75E+07 1.89E+07
  70.00  3.026  4.85E+14 2.84E+13 3.65E+14 4.43E+11 8.74E+11 1.28E+12 1.66E+12 2.00E+12 2.02E+12 2.11E+12 2.04E+12 1.91E+12 1.70E+12 1.49E+12 1.25E+12 1.01E+12 8.21E+11 6.40E+11 4.89E+11 3.49E+11 2.50E+11 1.74E+11 1.13E+11 7.71E+10 4.71E+10 2.78E+10 1.71E+10 9.96E+09 5.73E+09 3.02E+09 1.59E+09 7.99E+08 4.21E+08
