                    ************************************************************************************************
                    *  Z= 30 A= 66: Positive-Parity Spin-dependent Level Density [MeV-1] for Zn 66 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   6.50  0.818  7.96E+02 1.16E+03 3.24E+03 2.32E+01 2.42E+01 7.13E+01 4.95E+01 7.17E+01 4.45E+01 4.34E+01 2.38E+01 1.17E+01 6.00E+00 2.80E+00 2.49E-01 3.89E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.849  1.34E+03 1.97E+03 5.28E+03 3.53E+01 4.07E+01 1.15E+02 8.22E+01 1.07E+02 6.90E+01 6.88E+01 3.93E+01 2.38E+01 9.34E+00 6.17E+00 1.50E+00 5.31E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.879  2.30E+03 3.22E+03 8.74E+03 5.78E+01 6.46E+01 1.78E+02 1.39E+02 1.69E+02 1.08E+02 1.10E+02 6.23E+01 4.57E+01 2.01E+01 1.14E+01 4.50E+00 2.00E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  0.908  3.94E+03 4.93E+03 1.50E+04 9.61E+01 1.01E+02 2.83E+02 2.33E+02 2.81E+02 1.82E+02 1.84E+02 1.09E+02 7.89E+01 4.18E+01 2.37E+01 9.06E+00 4.10E+00 8.89E-01 2.49E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  0.935  6.60E+03 7.59E+03 2.55E+04 1.49E+02 1.61E+02 4.38E+02 3.66E+02 4.78E+02 3.15E+02 3.09E+02 1.92E+02 1.34E+02 7.71E+01 4.79E+01 1.80E+01 8.44E+00 2.43E+00 7.80E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  0.963  1.08E+04 1.23E+04 4.10E+04 2.26E+02 2.41E+02 6.44E+02 5.37E+02 7.37E+02 5.24E+02 5.07E+02 3.20E+02 2.22E+02 1.30E+02 7.92E+01 3.63E+01 1.38E+01 4.26E+00 1.89E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  0.989  1.73E+04 1.95E+04 6.42E+04 3.50E+02 3.63E+02 9.75E+02 7.86E+02 1.08E+03 8.00E+02 7.97E+02 5.19E+02 3.67E+02 2.18E+02 1.32E+02 6.51E+01 2.73E+01 1.03E+01 3.99E+00 3.91E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  1.015  2.76E+04 2.95E+04 1.04E+05 5.45E+02 5.69E+02 1.55E+03 1.27E+03 1.67E+03 1.21E+03 1.24E+03 8.46E+02 6.14E+02 3.77E+02 2.32E+02 1.22E+02 6.09E+01 2.48E+01 8.52E+00 1.50E+00 1.03E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.064  7.82E+04 6.53E+04 2.65E+05 1.20E+03 1.27E+03 3.54E+03 3.01E+03 4.11E+03 3.05E+03 3.10E+03 2.09E+03 1.62E+03 1.07E+03 6.68E+02 3.65E+02 1.97E+02 9.13E+01 3.35E+01 1.11E+01 3.48E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.111  1.91E+05 1.44E+05 6.11E+05 2.48E+03 2.69E+03 7.47E+03 6.32E+03 8.70E+03 6.61E+03 7.04E+03 5.04E+03 3.87E+03 2.58E+03 1.75E+03 1.01E+03 5.35E+02 2.71E+02 1.25E+02 3.64E+01 1.46E+01 4.28E+00 5.01E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
