                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  20.00  1.382  3.46E+08 8.51E+07 1.21E+09 1.31E+06 3.82E+06 5.98E+06 7.63E+06 8.67E+06 9.08E+06 8.91E+06 8.27E+06 7.32E+06 6.19E+06 5.02E+06 3.91E+06 2.93E+06 2.11E+06 1.47E+06 9.88E+05 6.40E+05 4.01E+05 2.43E+05 1.42E+05 8.03E+04 4.39E+04 2.33E+04 1.19E+04 5.90E+03 2.83E+03 1.31E+03 5.91E+02 2.57E+02 1.08E+02
  22.50  1.465  2.41E+09 4.13E+08 6.07E+09 6.00E+06 1.75E+07 2.75E+07 3.53E+07 4.03E+07 4.26E+07 4.23E+07 3.98E+07 3.57E+07 3.07E+07 2.54E+07 2.02E+07 1.55E+07 1.14E+07 8.16E+06 5.64E+06 3.76E+06 2.43E+06 1.52E+06 9.23E+05 5.42E+05 3.08E+05 1.70E+05 9.08E+04 4.70E+04 2.36E+04 1.15E+04 5.44E+03 2.49E+03 1.11E+03
  25.00  1.545  1.17E+10 1.85E+09 2.79E+10 2.54E+07 7.41E+07 1.17E+08 1.51E+08 1.73E+08 1.85E+08 1.85E+08 1.76E+08 1.60E+08 1.39E+08 1.17E+08 9.46E+07 7.39E+07 5.57E+07 4.07E+07 2.88E+07 1.97E+07 1.31E+07 8.41E+06 5.25E+06 3.18E+06 1.87E+06 1.07E+06 5.90E+05 3.17E+05 1.66E+05 8.41E+04 4.14E+04 1.98E+04 9.23E+03
  30.00  1.692  3.13E+11 3.02E+10 4.78E+11 3.78E+08 1.10E+09 1.75E+09 2.27E+09 2.64E+09 2.85E+09 2.90E+09 2.80E+09 2.60E+09 2.32E+09 1.99E+09 1.66E+09 1.33E+09 1.04E+09 7.85E+08 5.76E+08 4.10E+08 2.84E+08 1.91E+08 1.25E+08 7.95E+07 4.92E+07 2.97E+07 1.74E+07 9.93E+06 5.52E+06 2.99E+06 1.57E+06 8.07E+05 4.04E+05
  40.00  1.954  8.87E+13 4.42E+12 7.53E+13 4.78E+10 1.40E+11 2.24E+11 2.94E+11 3.46E+11 3.80E+11 3.94E+11 3.91E+11 3.72E+11 3.42E+11 3.05E+11 2.63E+11 2.20E+11 1.80E+11 1.42E+11 1.10E+11 8.28E+10 6.07E+10 4.35E+10 3.04E+10 2.07E+10 1.38E+10 8.95E+09 5.68E+09 3.52E+09 2.13E+09 1.26E+09 7.29E+08 4.12E+08 2.27E+08
  50.00  2.185  7.45E+15 3.68E+14 6.63E+15 3.55E+12 1.05E+13 1.68E+13 2.21E+13 2.64E+13 2.92E+13 3.08E+13 3.10E+13 3.01E+13 2.83E+13 2.57E+13 2.28E+13 1.96E+13 1.65E+13 1.35E+13 1.08E+13 8.44E+12 6.45E+12 4.81E+12 3.51E+12 2.51E+12 1.75E+12 1.20E+12 8.02E+11 5.25E+11 3.37E+11 2.12E+11 1.30E+11 7.86E+10 4.65E+10
  60.00  2.393  4.18E+17 2.05E+16 3.87E+17 1.80E+14 5.32E+14 8.56E+14 1.14E+15 1.36E+15 1.52E+15 1.62E+15 1.65E+15 1.63E+15 1.55E+15 1.44E+15 1.30E+15 1.14E+15 9.79E+14 8.21E+14 6.74E+14 5.41E+14 4.25E+14 3.27E+14 2.47E+14 1.82E+14 1.32E+14 9.37E+13 6.52E+13 4.45E+13 2.98E+13 1.96E+13 1.26E+13 7.98E+12 4.95E+12
  70.00  2.585  1.72E+19 8.41E+17 1.65E+19 6.85E+15 2.02E+16 3.26E+16 4.35E+16 5.23E+16 5.90E+16 6.32E+16 6.50E+16 6.47E+16 6.24E+16 5.86E+16 5.36E+16 4.79E+16 4.19E+16 3.58E+16 2.99E+16 2.46E+16 1.97E+16 1.56E+16 1.20E+16 9.12E+15 6.79E+15 4.96E+15 3.56E+15 2.51E+15 1.74E+15 1.18E+15 7.89E+14 5.18E+14 3.34E+14
  80.00  2.763  5.57E+20 2.70E+19 5.46E+20 2.06E+17 6.07E+17 9.82E+17 1.31E+18 1.59E+18 1.80E+18 1.94E+18 2.01E+18 2.02E+18 1.97E+18 1.86E+18 1.73E+18 1.56E+18 1.38E+18 1.20E+18 1.02E+18 8.52E+17 6.97E+17 5.60E+17 4.42E+17 3.42E+17 2.61E+17 1.95E+17 1.43E+17 1.04E+17 7.37E+16 5.15E+16 3.54E+16 2.39E+16 1.59E+16
  90.00  2.931  1.47E+22 7.09E+20 1.48E+22 5.09E+18 1.50E+19 2.44E+19 3.27E+19 3.97E+19 4.51E+19 4.89E+19 5.10E+19 5.15E+19 5.06E+19 4.85E+19 4.53E+19 4.14E+19 3.71E+19 3.26E+19 2.81E+19 2.38E+19 1.97E+19 1.61E+19 1.29E+19 1.02E+19 7.90E+18 6.03E+18 4.52E+18 3.34E+18 2.43E+18 1.74E+18 1.22E+18 8.46E+17 5.77E+17
 100.00  3.089  3.29E+23 1.57E+22 3.35E+23 1.07E+20 3.17E+20 5.14E+20 6.90E+20 8.41E+20 9.60E+20 1.05E+21 1.10E+21 1.11E+21 1.10E+21 1.06E+21 1.00E+21 9.24E+20 8.36E+20 7.42E+20 6.46E+20 5.53E+20 4.65E+20 3.85E+20 3.13E+20 2.51E+20 1.97E+20 1.53E+20 1.17E+20 8.78E+19 6.50E+19 4.74E+19 3.40E+19 2.41E+19 1.68E+19
 110.00  3.240  6.37E+24 3.02E+23 6.58E+24 1.96E+21 5.80E+21 9.42E+21 1.27E+22 1.55E+22 1.77E+22 1.94E+22 2.04E+22 2.08E+22 2.07E+22 2.01E+22 1.91E+22 1.78E+22 1.62E+22 1.45E+22 1.28E+22 1.10E+22 9.38E+21 7.85E+21 6.47E+21 5.24E+21 4.18E+21 3.29E+21 2.55E+21 1.94E+21 1.46E+21 1.08E+21 7.92E+20 5.71E+20 4.05E+20
 120.00  3.384  1.08E+26 5.11E+24 1.14E+26 3.17E+22 9.40E+22 1.53E+23 2.06E+23 2.52E+23 2.89E+23 3.17E+23 3.36E+23 3.44E+23 3.44E+23 3.36E+23 3.21E+23 3.00E+23 2.76E+23 2.49E+23 2.21E+23 1.93E+23 1.65E+23 1.40E+23 1.16E+23 9.54E+22 7.71E+22 6.13E+22 4.81E+22 3.72E+22 2.84E+22 2.13E+22 1.58E+22 1.16E+22 8.36E+21
 130.00  3.522  1.65E+27 7.73E+25 1.75E+27 4.61E+23 1.37E+24 2.23E+24 3.01E+24 3.68E+24 4.24E+24 4.67E+24 4.95E+24 5.10E+24 5.12E+24 5.02E+24 4.82E+24 4.54E+24 4.20E+24 3.81E+24 3.41E+24 3.00E+24 2.59E+24 2.21E+24 1.86E+24 1.54E+24 1.26E+24 1.01E+24 8.01E+23 6.27E+23 4.84E+23 3.69E+23 2.77E+23 2.06E+23 1.50E+23
 140.00  3.655  2.29E+28 1.06E+27 2.44E+28 6.10E+24 1.81E+25 2.94E+25 3.98E+25 4.89E+25 5.64E+25 6.22E+25 6.63E+25 6.85E+25 6.90E+25 6.80E+25 6.56E+25 6.21E+25 5.77E+25 5.28E+25 4.75E+25 4.20E+25 3.67E+25 3.15E+25 2.67E+25 2.23E+25 1.84E+25 1.49E+25 1.19E+25 9.45E+24 7.38E+24 5.68E+24 4.32E+24 3.24E+24 2.41E+24
 150.00  3.784  2.89E+29 1.33E+28 3.11E+29 7.39E+25 2.19E+26 3.58E+26 4.84E+26 5.96E+26 6.88E+26 7.61E+26 8.12E+26 8.42E+26 8.52E+26 8.42E+26 8.16E+26 7.77E+26 7.26E+26 6.67E+26 6.04E+26 5.38E+26 4.72E+26 4.09E+26 3.49E+26 2.93E+26 2.44E+26 2.00E+26 1.61E+26 1.29E+26 1.02E+26 7.91E+25 6.08E+25 4.61E+25 3.46E+25
