                    ************************************************************************************************
                    *  Z= 40 A= 90: Positive-Parity Spin-dependent Level Density [MeV-1] for Zr 90 and ldmodel= 1  *
   2.25  0.464  2.68E-01 2.10E-01 1.78E+00 8.98E-03 2.47E-02 3.46E-02 3.74E-02 3.40E-02 2.69E-02 1.89E-02 1.19E-02 6.74E-03 3.45E-03 1.60E-03 6.76E-04 2.60E-04 9.09E-05 2.90E-05 8.44E-06 2.25E-06 5.45E-07 1.21E-07 2.46E-08 4.56E-09 7.75E-10 1.20E-10 1.71E-11 2.23E-12 2.65E-13 2.90E-14 2.89E-15 2.64E-16 2.22E-17
   2.50  0.489  4.38E-01 3.41E-01 2.91E+00 1.46E-02 4.03E-02 5.64E-02 6.09E-02 5.54E-02 4.39E-02 3.08E-02 1.94E-02 1.10E-02 5.62E-03 2.61E-03 1.10E-03 4.23E-04 1.48E-04 4.73E-05 1.38E-05 3.66E-06 8.89E-07 1.97E-07 4.01E-08 7.44E-09 1.26E-09 1.96E-10 2.79E-11 3.63E-12 4.33E-13 4.72E-14 4.71E-15 4.31E-16 3.61E-17
   2.75  0.513  7.17E-01 5.57E-01 4.74E+00 2.39E-02 6.57E-02 9.20E-02 9.93E-02 9.03E-02 7.15E-02 5.02E-02 3.16E-02 1.79E-02 9.17E-03 4.26E-03 1.80E-03 6.90E-04 2.41E-04 7.70E-05 2.24E-05 5.96E-06 1.45E-06 3.22E-07 6.53E-08 1.21E-08 2.06E-09 3.20E-10 4.55E-11 5.92E-12 7.05E-13 7.69E-14 7.68E-15 7.03E-16 5.89E-17
   3.00  0.536  1.17E+00 9.07E-01 7.72E+00 3.89E-02 1.07E-01 1.50E-01 1.62E-01 1.47E-01 1.17E-01 8.19E-02 5.15E-02 2.92E-02 1.49E-02 6.94E-03 2.93E-03 1.12E-03 3.93E-04 1.26E-04 3.66E-05 9.72E-06 2.36E-06 5.24E-07 1.06E-07 1.98E-08 3.35E-09 5.21E-10 7.41E-11 9.65E-12 1.15E-12 1.25E-13 1.25E-14 1.15E-15 9.59E-17
   3.25  0.558  1.91E+00 1.48E+00 1.26E+01 6.34E-02 1.74E-01 2.44E-01 2.64E-01 2.40E-01 1.90E-01 1.33E-01 8.39E-02 4.75E-02 2.43E-02 1.13E-02 4.77E-03 1.83E-03 6.41E-04 2.05E-04 5.96E-05 1.58E-05 3.85E-06 8.54E-07 1.73E-07 3.22E-08 5.47E-09 8.50E-10 1.21E-10 1.57E-11 1.87E-12 2.04E-13 2.04E-14 1.87E-15 1.56E-16
   3.50  0.579  3.11E+00 2.40E+00 2.05E+01 1.03E-01 2.83E-01 3.97E-01 4.29E-01 3.90E-01 3.09E-01 2.17E-01 1.36E-01 7.72E-02 3.96E-02 1.84E-02 7.76E-03 2.98E-03 1.04E-03 3.33E-04 9.68E-05 2.57E-05 6.25E-06 1.39E-06 2.82E-07 5.23E-08 8.88E-09 1.38E-09 1.96E-10 2.55E-11 3.04E-12 3.32E-13 3.32E-14 3.03E-15 2.54E-16
   3.75  0.599  5.03E+00 3.84E+00 3.27E+01 1.65E-01 4.53E-01 6.35E-01 6.85E-01 6.23E-01 4.94E-01 3.47E-01 2.18E-01 1.24E-01 6.33E-02 2.94E-02 1.24E-02 4.76E-03 1.67E-03 5.32E-04 1.55E-04 4.12E-05 1.00E-05 2.22E-06 4.51E-07 8.37E-08 1.42E-08 2.21E-09 3.14E-10 4.09E-11 4.87E-12 5.31E-13 5.30E-14 4.85E-15 4.06E-16
   4.00  0.619  8.05E+00 6.03E+00 5.14E+01 2.59E-01 7.12E-01 9.97E-01 1.08E+00 9.78E-01 7.75E-01 5.44E-01 3.42E-01 1.94E-01 9.93E-02 4.61E-02 1.95E-02 7.48E-03 2.62E-03 8.35E-04 2.43E-04 6.46E-05 1.57E-05 3.49E-06 7.08E-07 1.31E-07 2.23E-08 3.47E-09 4.93E-10 6.41E-11 7.64E-12 8.34E-13 8.33E-14 7.61E-15 6.38E-16
   4.25  0.638  1.27E+01 9.31E+00 7.93E+01 3.99E-01 1.10E+00 1.54E+00 1.66E+00 1.51E+00 1.20E+00 8.40E-01 5.28E-01 2.99E-01 1.53E-01 7.12E-02 3.01E-02 1.15E-02 4.04E-03 1.29E-03 3.75E-04 9.98E-05 2.42E-05 5.38E-06 1.09E-06 2.03E-07 3.44E-08 5.35E-09 7.61E-10 9.90E-11 1.18E-11 1.29E-12 1.28E-13 1.18E-14 9.84E-16
   4.50  0.657  1.98E+01 1.41E+01 1.20E+02 6.06E-01 1.67E+00 2.34E+00 2.52E+00 2.29E+00 1.82E+00 1.28E+00 8.03E-01 4.55E-01 2.33E-01 1.08E-01 4.57E-02 1.75E-02 6.13E-03 1.96E-03 5.70E-04 1.52E-04 3.68E-05 8.17E-06 1.66E-06 3.08E-07 5.23E-08 8.13E-09 1.16E-09 1.50E-10 1.79E-11 1.95E-12 1.95E-13 1.79E-14 1.50E-15
   4.75  0.675  3.04E+01 2.12E+01 1.80E+02 9.08E-01 2.50E+00 3.50E+00 3.78E+00 3.44E+00 2.72E+00 1.91E+00 1.20E+00 6.81E-01 3.49E-01 1.62E-01 6.84E-02 2.63E-02 9.19E-03 2.93E-03 8.54E-04 2.27E-04 5.51E-05 1.22E-05 2.49E-06 4.61E-07 7.83E-08 1.22E-08 1.73E-09 2.25E-10 2.68E-11 2.93E-12 2.92E-13 2.67E-14 2.24E-15
   5.00  0.692  4.60E+01 3.13E+01 2.67E+02 1.34E+00 3.70E+00 5.18E+00 5.59E+00 5.08E+00 4.03E+00 2.83E+00 1.78E+00 1.01E+00 5.16E-01 2.40E-01 1.01E-01 3.88E-02 1.36E-02 4.34E-03 1.26E-03 3.36E-04 8.15E-05 1.81E-05 3.67E-06 6.82E-07 1.16E-07 1.80E-08 2.56E-09 3.33E-10 3.97E-11 4.33E-12 4.32E-13 3.95E-14 3.31E-15
   5.50  0.726  1.12E+02 6.62E+01 5.64E+02 2.84E+00 7.81E+00 1.09E+01 1.18E+01 1.07E+01 8.51E+00 5.98E+00 3.76E+00 2.13E+00 1.09E+00 5.07E-01 2.14E-01 8.21E-02 2.87E-02 9.17E-03 2.67E-03 7.10E-04 1.72E-04 3.83E-05 7.77E-06 1.44E-06 2.45E-07 3.81E-08 5.41E-09 7.04E-10 8.39E-11 9.15E-12 9.14E-13 8.36E-14 7.00E-15
   6.00  0.758  2.42E+02 1.30E+02 1.15E+03 5.17E+00 1.43E+01 2.03E+01 2.23E+01 2.08E+01 1.70E+01 1.24E+01 8.15E+00 4.85E+00 2.63E+00 1.30E+00 5.87E-01 2.43E-01 9.21E-02 3.20E-02 1.02E-02 3.01E-03 8.12E-04 2.02E-04 4.60E-05 9.67E-06 1.87E-06 3.33E-07 5.47E-08 8.26E-09 1.15E-09 1.47E-10 1.74E-11 1.89E-12 1.90E-13
   6.50  0.789  4.89E+02 2.47E+02 2.26E+03 9.19E+00 2.56E+01 3.67E+01 4.10E+01 3.90E+01 3.28E+01 2.47E+01 1.68E+01 1.05E+01 5.95E+00 3.10E+00 1.49E+00 6.57E-01 2.67E-01 1.00E-01 3.48E-02 1.11E-02 3.29E-03 9.01E-04 2.28E-04 5.34E-05 1.16E-05 2.32E-06 4.31E-07 7.41E-08 1.18E-08 1.74E-09 2.38E-10 3.01E-11 3.53E-12
   7.00  0.819  9.48E+02 4.59E+02 4.33E+03 1.61E+01 4.49E+01 6.50E+01 7.36E+01 7.14E+01 6.13E+01 4.74E+01 3.34E+01 2.15E+01 1.27E+01 6.94E+00 3.49E+00 1.63E+00 7.02E-01 2.80E-01 1.04E-01 3.57E-02 1.14E-02 3.38E-03 9.32E-04 2.39E-04 5.68E-05 1.26E-05 2.59E-06 4.95E-07 8.82E-08 1.46E-08 2.25E-09 3.23E-10 4.32E-11
   7.50  0.848  1.78E+03 8.35E+02 8.10E+03 2.77E+01 7.77E+01 1.13E+02 1.30E+02 1.28E+02 1.12E+02 8.84E+01 6.39E+01 4.24E+01 2.60E+01 1.47E+01 7.73E+00 3.77E+00 1.71E+00 7.19E-01 2.82E-01 1.03E-01 3.51E-02 1.11E-02 3.29E-03 9.10E-04 2.34E-04 5.64E-05 1.27E-05 2.65E-06 5.19E-07 9.49E-08 1.62E-08 2.58E-09 3.85E-10
   8.00  0.876  3.27E+03 1.49E+03 1.48E+04 4.70E+01 1.32E+02 1.94E+02 2.25E+02 2.24E+02 1.99E+02 1.61E+02 1.19E+02 8.10E+01 5.11E+01 2.99E+01 1.63E+01 8.24E+00 3.90E+00 1.72E+00 7.07E-01 2.72E-01 9.79E-02 3.30E-02 1.04E-02 3.06E-03 8.44E-04 2.18E-04 5.27E-05 1.20E-05 2.54E-06 5.05E-07 9.41E-08 1.64E-08 2.69E-09
   8.50  0.902  5.89E+03 2.62E+03 2.66E+04 7.89E+01 2.23E+02 3.29E+02 3.84E+02 3.87E+02 3.49E+02 2.86E+02 2.16E+02 1.51E+02 9.74E+01 5.86E+01 3.29E+01 1.73E+01 8.46E+00 3.88E+00 1.67E+00 6.71E-01 2.54E-01 8.98E-02 2.98E-02 9.31E-03 2.72E-03 7.49E-04 1.93E-04 4.69E-05 1.07E-05 2.29E-06 4.61E-07 8.71E-08 1.55E-08
   9.00  0.929  1.04E+04 4.52E+03 4.70E+04 1.31E+02 3.70E+02 5.49E+02 6.46E+02 6.57E+02 6.00E+02 5.00E+02 3.84E+02 2.73E+02 1.81E+02 1.12E+02 6.43E+01 3.48E+01 1.76E+01 8.36E+00 3.73E+00 1.56E+00 6.16E-01 2.28E-01 7.95E-02 2.61E-02 8.05E-03 2.34E-03 6.39E-04 1.65E-04 3.99E-05 9.13E-06 1.97E-06 3.99E-07 7.62E-08
   9.50  0.954  1.81E+04 7.71E+03 8.16E+04 2.14E+02 6.08E+02 9.07E+02 1.07E+03 1.10E+03 1.02E+03 8.60E+02 6.70E+02 4.85E+02 3.27E+02 2.07E+02 1.22E+02 6.78E+01 3.54E+01 1.73E+01 7.99E+00 3.47E+00 1.42E+00 5.48E-01 1.99E-01 6.83E-02 2.21E-02 6.73E-03 1.94E-03 5.27E-04 1.35E-04 3.27E-05 7.47E-06 1.61E-06 3.29E-07
  10.00  0.979  3.11E+04 1.30E+04 1.40E+05 3.48E+02 9.90E+02 1.48E+03 1.76E+03 1.83E+03 1.70E+03 1.46E+03 1.15E+03 8.46E+02 5.82E+02 3.74E+02 2.26E+02 1.29E+02 6.88E+01 3.47E+01 1.65E+01 7.40E+00 3.13E+00 1.25E+00 4.72E-01 1.69E-01 5.68E-02 1.81E-02 5.46E-03 1.56E-03 4.20E-04 1.07E-04 2.58E-05 5.90E-06 1.27E-06
  11.00  1.027  1.02E+05 3.55E+04 3.96E+05 8.92E+02 2.54E+03 3.83E+03 4.61E+03 4.84E+03 4.59E+03 4.01E+03 3.25E+03 2.45E+03 1.74E+03 1.16E+03 7.28E+02 4.31E+02 2.41E+02 1.28E+02 6.39E+01 3.03E+01 1.36E+01 5.78E+00 2.33E+00 8.91E-01 3.23E-01 1.11E-01 3.63E-02 1.12E-02 3.30E-03 9.21E-04 2.44E-04 6.13E-05 1.46E-05
  12.00  1.072  2.88E+05 9.31E+04 1.07E+06 2.21E+03 6.32E+03 9.57E+03 1.16E+04 1.23E+04 1.19E+04 1.05E+04 8.71E+03 6.74E+03 4.91E+03 3.37E+03 2.18E+03 1.34E+03 7.77E+02 4.28E+02 2.24E+02 1.11E+02 5.24E+01 2.35E+01 9.99E+00 4.05E+00 1.56E+00 5.71E-01 1.99E-01 6.61E-02 2.09E-02 6.28E-03 1.80E-03 4.90E-04 1.27E-04
  13.00  1.116  7.60E+05 2.36E+05 2.78E+06 5.30E+03 1.52E+04 2.31E+04 2.83E+04 3.04E+04 2.96E+04 2.67E+04 2.24E+04 1.77E+04 1.32E+04 9.25E+03 6.16E+03 3.89E+03 2.34E+03 1.33E+03 7.22E+02 3.73E+02 1.83E+02 8.58E+01 3.83E+01 1.63E+01 6.61E+00 2.56E+00 9.44E-01 3.32E-01 1.12E-01 3.58E-02 1.10E-02 3.20E-03 8.92E-04
  14.00  1.158  1.92E+06 5.78E+05 6.98E+06 1.24E+04 3.56E+04 5.44E+04 6.70E+04 7.25E+04 7.14E+04 6.52E+04 5.56E+04 4.46E+04 3.39E+04 2.43E+04 1.66E+04 1.07E+04 6.62E+03 3.89E+03 2.18E+03 1.16E+03 5.93E+02 2.89E+02 1.34E+02 5.96E+01 2.53E+01 1.02E+01 3.97E+00 1.47E+00 5.22E-01 1.77E-01 5.73E-02 1.78E-02 5.27E-03
  15.00  1.199  4.67E+06 1.38E+06 1.70E+07 2.82E+04 8.13E+04 1.25E+05 1.54E+05 1.68E+05 1.67E+05 1.54E+05 1.34E+05 1.09E+05 8.39E+04 6.14E+04 4.27E+04 2.83E+04 1.79E+04 1.08E+04 6.21E+03 3.42E+03 1.80E+03 9.06E+02 4.36E+02 2.01E+02 8.87E+01 3.75E+01 1.52E+01 5.87E+00 2.18E+00 7.76E-01 2.64E-01 8.64E-02 2.70E-02
  16.00  1.238  1.11E+07 3.20E+06 4.03E+07 6.29E+04 1.82E+05 2.79E+05 3.47E+05 3.81E+05 3.82E+05 3.56E+05 3.12E+05 2.57E+05 2.01E+05 1.50E+05 1.06E+05 7.18E+04 4.63E+04 2.86E+04 1.69E+04 9.54E+03 5.16E+03 2.68E+03 1.33E+03 6.34E+02 2.89E+02 1.27E+02 5.33E+01 2.15E+01 8.31E+00 3.09E+00 1.10E+00 3.76E-01 1.24E-01
  17.00  1.276  2.56E+07 7.24E+06 9.30E+07 1.37E+05 3.97E+05 6.13E+05 7.65E+05 8.44E+05 8.53E+05 8.02E+05 7.09E+05 5.92E+05 4.70E+05 3.55E+05 2.55E+05 1.76E+05 1.16E+05 7.29E+04 4.40E+04 2.54E+04 1.41E+04 7.52E+03 3.84E+03 1.88E+03 8.88E+02 4.02E+02 1.75E+02 7.30E+01 2.93E+01 1.13E+01 4.19E+00 1.50E+00 5.13E-01
  18.00  1.313  5.77E+07 1.61E+07 2.10E+08 2.94E+05 8.50E+05 1.32E+06 1.65E+06 1.83E+06 1.86E+06 1.77E+06 1.57E+06 1.33E+06 1.07E+06 8.17E+05 5.97E+05 4.17E+05 2.79E+05 1.79E+05 1.10E+05 6.52E+04 3.70E+04 2.02E+04 1.06E+04 5.33E+03 2.58E+03 1.20E+03 5.39E+02 2.33E+02 9.65E+01 3.86E+01 1.48E+01 5.49E+00 1.95E+00
  19.00  1.349  1.27E+08 3.49E+07 4.64E+08 6.18E+05 1.79E+06 2.78E+06 3.49E+06 3.90E+06 3.99E+06 3.81E+06 3.42E+06 2.92E+06 2.37E+06 1.83E+06 1.36E+06 9.63E+05 6.55E+05 4.28E+05 2.68E+05 1.62E+05 9.36E+04 5.21E+04 2.80E+04 1.44E+04 7.17E+03 3.43E+03 1.58E+03 7.02E+02 3.00E+02 1.24E+02 4.91E+01 1.88E+01 6.93E+00
  20.00  1.384  2.76E+08 7.44E+07 1.00E+09 1.28E+06 3.70E+06 5.76E+06 7.27E+06 8.14E+06 8.38E+06 8.05E+06 7.30E+06 6.28E+06 5.14E+06 4.03E+06 3.02E+06 2.17E+06 1.50E+06 9.92E+05 6.32E+05 3.88E+05 2.29E+05 1.30E+05 7.12E+04 3.75E+04 1.91E+04 9.35E+03 4.42E+03 2.01E+03 8.86E+02 3.75E+02 1.54E+02 6.06E+01 2.31E+01
  22.50  1.468  2.57E+09 4.59E+08 6.42E+09 7.34E+06 2.13E+07 3.33E+07 4.24E+07 4.79E+07 4.99E+07 4.86E+07 4.48E+07 3.93E+07 3.29E+07 2.63E+07 2.03E+07 1.50E+07 1.07E+07 7.30E+06 4.82E+06 3.07E+06 1.89E+06 1.12E+06 6.41E+05 3.54E+05 1.89E+05 9.77E+04 4.88E+04 2.35E+04 1.10E+04 4.94E+03 2.16E+03 9.09E+02 3.71E+02
  25.00  1.548  1.55E+10 2.58E+09 3.72E+10 3.87E+07 1.13E+08 1.77E+08 2.26E+08 2.58E+08 2.71E+08 2.67E+08 2.50E+08 2.22E+08 1.89E+08 1.55E+08 1.22E+08 9.21E+07 6.72E+07 4.73E+07 3.21E+07 2.11E+07 1.34E+07 8.24E+06 4.89E+06 2.81E+06 1.57E+06 8.44E+05 4.41E+05 2.23E+05 1.09E+05 5.17E+04 2.38E+04 1.06E+04 4.57E+03
  30.00  1.695  6.60E+11 6.45E+10 9.81E+11 8.72E+08 2.54E+09 4.02E+09 5.18E+09 5.98E+09 6.38E+09 6.41E+09 6.12E+09 5.58E+09 4.89E+09 4.12E+09 3.35E+09 2.63E+09 1.99E+09 1.46E+09 1.04E+09 7.19E+08 4.81E+08 3.12E+08 1.96E+08 1.20E+08 7.12E+07 4.10E+07 2.30E+07 1.25E+07 6.60E+06 3.39E+06 1.69E+06 8.19E+05 3.86E+05
  40.00  1.958  3.98E+14 1.99E+13 3.28E+14 2.28E+11 6.70E+11 1.07E+12 1.39E+12 1.63E+12 1.78E+12 1.83E+12 1.80E+12 1.69E+12 1.54E+12 1.35E+12 1.15E+12 9.47E+11 7.58E+11 5.90E+11 4.46E+11 3.29E+11 2.36E+11 1.65E+11 1.12E+11 7.42E+10 4.80E+10 3.03E+10 1.86E+10 1.12E+10 6.53E+09 3.73E+09 2.08E+09 1.13E+09 5.99E+08
  50.00  2.189  6.26E+16 3.11E+15 5.46E+16 3.16E+13 9.29E+13 1.49E+14 1.96E+14 2.32E+14 2.56E+14 2.68E+14 2.68E+14 2.58E+14 2.40E+14 2.16E+14 1.90E+14 1.61E+14 1.34E+14 1.08E+14 8.51E+13 6.54E+13 4.91E+13 3.60E+13 2.57E+13 1.80E+13 1.23E+13 8.24E+12 5.39E+12 3.44E+12 2.16E+12 1.32E+12 7.90E+11 4.63E+11 2.66E+11
  60.00  2.398  6.04E+18 2.99E+17 5.51E+18 2.75E+15 8.10E+15 1.30E+16 1.72E+16 2.06E+16 2.29E+16 2.43E+16 2.46E+16 2.41E+16 2.28E+16 2.09E+16 1.87E+16 1.63E+16 1.39E+16 1.15E+16 9.32E+15 7.39E+15 5.73E+15 4.35E+15 3.23E+15 2.35E+15 1.67E+15 1.17E+15 7.97E+14 5.33E+14 3.50E+14 2.25E+14 1.42E+14 8.79E+13 5.33E+13
  70.00  2.590  4.03E+20 1.98E+19 3.81E+20 1.68E+17 4.95E+17 7.98E+17 1.06E+18 1.28E+18 1.43E+18 1.53E+18 1.57E+18 1.55E+18 1.49E+18 1.39E+18 1.26E+18 1.12E+18 9.68E+17 8.19E+17 6.79E+17 5.51E+17 4.38E+17 3.41E+17 2.60E+17 1.95E+17 1.43E+17 1.03E+17 7.29E+16 5.06E+16 3.44E+16 2.30E+16 1.51E+16 9.73E+15 6.16E+15
  80.00  2.769  2.00E+22 9.82E+20 1.95E+22 7.75E+18 2.29E+19 3.69E+19 4.93E+19 5.95E+19 6.72E+19 7.23E+19 7.47E+19 7.46E+19 7.23E+19 6.82E+19 6.28E+19 5.64E+19 4.96E+19 4.27E+19 3.60E+19 2.98E+19 2.41E+19 1.92E+19 1.50E+19 1.15E+19 8.64E+18 6.39E+18 4.64E+18 3.31E+18 2.32E+18 1.60E+18 1.08E+18 7.20E+17 4.71E+17
  90.00  2.937  7.87E+23 3.83E+22 7.85E+23 2.84E+20 8.40E+20 1.36E+21 1.82E+21 2.21E+21 2.50E+21 2.70E+21 2.81E+21 2.83E+21 2.77E+21 2.64E+21 2.45E+21 2.23E+21 1.99E+21 1.73E+21 1.48E+21 1.24E+21 1.02E+21 8.29E+20 6.59E+20 5.15E+20 3.95E+20 2.98E+20 2.21E+20 1.62E+20 1.16E+20 8.19E+19 5.69E+19 3.89E+19 2.62E+19
 100.00  3.096  2.53E+25 1.23E+24 2.58E+25 8.60E+21 2.55E+22 4.12E+22 5.54E+22 6.73E+22 7.67E+22 8.33E+22 8.71E+22 8.82E+22 8.68E+22 8.34E+22 7.83E+22 7.19E+22 6.46E+22 5.70E+22 4.94E+22 4.20E+22 3.51E+22 2.88E+22 2.32E+22 1.84E+22 1.44E+22 1.11E+22 8.35E+21 6.21E+21 4.55E+21 3.28E+21 2.33E+21 1.63E+21 1.12E+21
 110.00  3.247  6.88E+26 3.31E+25 7.13E+26 2.21E+23 6.55E+23 1.06E+24 1.43E+24 1.74E+24 1.99E+24 2.17E+24 2.28E+24 2.32E+24 2.30E+24 2.23E+24 2.10E+24 1.95E+24 1.77E+24 1.57E+24 1.38E+24 1.18E+24 1.00E+24 8.31E+23 6.79E+23 5.47E+23 4.33E+23 3.37E+23 2.59E+23 1.96E+23 1.46E+23 1.07E+23 7.75E+22 5.52E+22 3.88E+22
 120.00  3.391  1.61E+28 7.73E+26 1.70E+28 4.93E+24 1.46E+25 2.37E+25 3.20E+25 3.90E+25 4.48E+25 4.90E+25 5.17E+25 5.29E+25 5.27E+25 5.13E+25 4.88E+25 4.55E+25 4.16E+25 3.74E+25 3.30E+25 2.86E+25 2.44E+25 2.05E+25 1.69E+25 1.38E+25 1.11E+25 8.74E+24 6.80E+24 5.22E+24 3.95E+24 2.94E+24 2.16E+24 1.57E+24 1.12E+24
 130.00  3.529  3.33E+29 1.59E+28 3.55E+29 9.71E+25 2.88E+26 4.68E+26 6.31E+26 7.73E+26 8.88E+26 9.75E+26 1.03E+27 1.06E+27 1.06E+27 1.04E+27 9.94E+26 9.32E+26 8.59E+26 7.77E+26 6.91E+26 6.04E+26 5.20E+26 4.41E+26 3.68E+26 3.03E+26 2.46E+26 1.96E+26 1.55E+26 1.20E+26 9.20E+25 6.95E+25 5.18E+25 3.81E+25 2.76E+25
 140.00  3.663  6.14E+30 2.90E+29 6.61E+30 1.71E+27 5.07E+27 8.26E+27 1.12E+28 1.37E+28 1.58E+28 1.74E+28 1.84E+28 1.90E+28 1.91E+28 1.88E+28 1.81E+28 1.70E+28 1.58E+28 1.44E+28 1.29E+28 1.13E+28 9.84E+27 8.41E+27 7.09E+27 5.88E+27 4.82E+27 3.89E+27 3.10E+27 2.43E+27 1.88E+27 1.44E+27 1.09E+27 8.09E+26 5.95E+26
 150.00  3.791  1.02E+32 4.80E+30 1.11E+32 2.73E+28 8.10E+28 1.32E+29 1.79E+29 2.19E+29 2.53E+29 2.80E+29 2.98E+29 3.08E+29 3.11E+29 3.07E+29 2.96E+29 2.81E+29 2.62E+29 2.40E+29 2.16E+29 1.92E+29 1.67E+29 1.44E+29 1.22E+29 1.02E+29 8.46E+28 6.89E+28 5.54E+28 4.39E+28 3.44E+28 2.66E+28 2.03E+28 1.53E+28 1.14E+28
 160.00  3.916  1.55E+33 7.26E+31 1.70E+33 3.99E+29 1.18E+30 1.93E+30 2.62E+30 3.22E+30 3.72E+30 4.12E+30 4.40E+30 4.56E+30 4.62E+30 4.57E+30 4.44E+30 4.23E+30 3.95E+30 3.64E+30 3.30E+30 2.94E+30 2.59E+30 2.24E+30 1.92E+30 1.62E+30 1.35E+30 1.11E+30 8.97E+29 7.18E+29 5.67E+29 4.43E+29 3.41E+29 2.60E+29 1.95E+29
 170.00  4.036  2.17E+34 1.01E+33 2.39E+34 5.38E+30 1.60E+31 2.60E+31 3.53E+31 4.35E+31 5.04E+31 5.59E+31 5.98E+31 6.22E+31 6.32E+31 6.28E+31 6.11E+31 5.84E+31 5.49E+31 5.08E+31 4.63E+31 4.15E+31 3.67E+31 3.20E+31 2.76E+31 2.34E+31 1.96E+31 1.62E+31 1.33E+31 1.07E+31 8.53E+30 6.71E+30 5.22E+30 4.01E+30 3.05E+30
