                    ************************************************************************************************
                    *  Z= 40 A= 90: Positive-Parity Spin-dependent Level Density [MeV-1] for Zr 90 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  50.00  2.333  3.50E+15 1.74E+14 3.15E+15 1.64E+12 4.84E+12 7.76E+12 1.03E+13 1.22E+13 1.36E+13 1.43E+13 1.45E+13 1.41E+13 1.33E+13 1.21E+13 1.08E+13 9.34E+12 7.88E+12 6.49E+12 5.22E+12 4.10E+12 3.15E+12 2.37E+12 1.74E+12 1.25E+12 8.80E+11 6.06E+11 4.09E+11 2.70E+11 1.75E+11 1.11E+11 6.90E+10 4.20E+10 2.51E+10
  60.00  2.556  2.44E+17 1.20E+16 2.30E+17 1.03E+14 3.05E+14 4.91E+14 6.53E+14 7.83E+14 8.78E+14 9.36E+14 9.58E+14 9.46E+14 9.05E+14 8.43E+14 7.64E+14 6.75E+14 5.83E+14 4.92E+14 4.07E+14 3.29E+14 2.60E+14 2.02E+14 1.53E+14 1.14E+14 8.35E+13 5.99E+13 4.21E+13 2.90E+13 1.97E+13 1.31E+13 8.52E+12 5.45E+12 3.43E+12
  70.00  2.760  1.21E+19 5.95E+17 1.18E+19 4.70E+15 1.39E+16 2.24E+16 2.99E+16 3.61E+16 4.08E+16 4.38E+16 4.53E+16 4.52E+16 4.38E+16 4.13E+16 3.80E+16 3.42E+16 3.00E+16 2.58E+16 2.18E+16 1.80E+16 1.46E+16 1.16E+16 9.03E+15 6.92E+15 5.20E+15 3.84E+15 2.79E+15 1.99E+15 1.39E+15 9.58E+14 6.48E+14 4.31E+14 2.82E+14
  80.00  2.951  4.61E+20 2.24E+19 4.61E+20 1.65E+17 4.89E+17 7.91E+17 1.06E+18 1.28E+18 1.46E+18 1.58E+18 1.64E+18 1.65E+18 1.62E+18 1.54E+18 1.43E+18 1.31E+18 1.16E+18 1.02E+18 8.71E+17 7.33E+17 6.04E+17 4.90E+17 3.90E+17 3.05E+17 2.35E+17 1.78E+17 1.32E+17 9.66E+16 6.95E+16 4.92E+16 3.43E+16 2.35E+16 1.59E+16
  90.00  3.130  1.40E+22 6.79E+20 1.44E+22 4.70E+18 1.39E+19 2.26E+19 3.03E+19 3.69E+19 4.20E+19 4.57E+19 4.78E+19 4.85E+19 4.79E+19 4.61E+19 4.33E+19 3.98E+19 3.59E+19 3.18E+19 2.76E+19 2.35E+19 1.97E+19 1.62E+19 1.31E+19 1.05E+19 8.20E+18 6.33E+18 4.80E+18 3.59E+18 2.64E+18 1.91E+18 1.36E+18 9.59E+17 6.64E+17
 100.00  3.299  3.56E+23 1.71E+22 3.71E+23 1.12E+20 3.32E+20 5.39E+20 7.26E+20 8.85E+20 1.01E+21 1.11E+21 1.16E+21 1.19E+21 1.18E+21 1.14E+21 1.08E+21 1.01E+21 9.17E+20 8.19E+20 7.19E+20 6.21E+20 5.26E+20 4.39E+20 3.61E+20 2.92E+20 2.32E+20 1.82E+20 1.41E+20 1.07E+20 8.02E+19 5.92E+19 4.31E+19 3.09E+19 2.19E+19
 110.00  3.460  7.73E+24 3.69E+23 8.18E+24 2.30E+21 6.81E+21 1.11E+22 1.49E+22 1.83E+22 2.10E+22 2.30E+22 2.43E+22 2.49E+22 2.49E+22 2.43E+22 2.32E+22 2.17E+22 1.99E+22 1.80E+22 1.59E+22 1.39E+22 1.19E+22 1.00E+22 8.35E+21 6.83E+21 5.51E+21 4.38E+21 3.43E+21 2.65E+21 2.02E+21 1.52E+21 1.12E+21 8.21E+20 5.91E+20
 120.00  3.614  1.46E+26 6.93E+24 1.57E+26 4.13E+22 1.23E+23 1.99E+23 2.69E+23 3.30E+23 3.80E+23 4.18E+23 4.44E+23 4.57E+23 4.59E+23 4.50E+23 4.32E+23 4.07E+23 3.76E+23 3.42E+23 3.06E+23 2.69E+23 2.33E+23 1.98E+23 1.67E+23 1.38E+23 1.13E+23 9.06E+22 7.19E+22 5.63E+22 4.35E+22 3.31E+22 2.49E+22 1.85E+22 1.35E+22
 130.00  3.762  2.46E+27 1.16E+26 2.67E+27 6.62E+23 1.96E+24 3.20E+24 4.33E+24 5.31E+24 6.13E+24 6.77E+24 7.21E+24 7.45E+24 7.51E+24 7.40E+24 7.15E+24 6.77E+24 6.30E+24 5.76E+24 5.19E+24 4.60E+24 4.01E+24 3.45E+24 2.93E+24 2.45E+24 2.02E+24 1.64E+24 1.32E+24 1.04E+24 8.15E+23 6.29E+23 4.79E+23 3.60E+23 2.67E+23
 140.00  3.904  3.72E+28 1.74E+27 4.07E+28 9.58E+24 2.84E+25 4.63E+25 6.27E+25 7.72E+25 8.93E+25 9.88E+25 1.05E+26 1.09E+26 1.11E+26 1.10E+26 1.06E+26 1.01E+26 9.48E+25 8.72E+25 7.90E+25 7.05E+25 6.20E+25 5.38E+25 4.59E+25 3.87E+25 3.22E+25 2.65E+25 2.14E+25 1.72E+25 1.36E+25 1.06E+25 8.15E+24 6.20E+24 4.66E+24
 150.00  4.041  5.13E+29 2.38E+28 5.65E+29 1.26E+26 3.75E+26 6.12E+26 8.30E+26 1.02E+27 1.19E+27 1.31E+27 1.41E+27 1.47E+27 1.49E+27 1.48E+27 1.44E+27 1.38E+27 1.30E+27 1.20E+27 1.09E+27 9.81E+26 8.68E+26 7.58E+26 6.53E+26 5.55E+26 4.65E+26 3.85E+26 3.15E+26 2.54E+26 2.03E+26 1.60E+26 1.24E+26 9.57E+25 7.28E+25
