                    ************************************************************************************************
                    *  Z= 32 A= 70: Positive-Parity Spin-dependent Level Density [MeV-1] for Ge 70 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  60.00  2.322  7.72E+14 6.05E+13 6.79E+14 6.28E+11 6.38E+11 1.87E+12 1.83E+12 2.97E+12 2.86E+12 3.32E+12 3.00E+12 3.23E+12 2.88E+12 2.80E+12 2.23E+12 2.06E+12 1.67E+12 1.47E+12 1.11E+12 8.83E+11 6.43E+11 5.05E+11 3.37E+11 2.52E+11 1.67E+11 1.11E+11 7.23E+10 4.70E+10 2.76E+10 1.71E+10 9.60E+09 5.62E+09 3.08E+09
  70.00  2.508  1.70E+16 1.22E+15 1.53E+16 1.27E+13 1.29E+13 3.78E+13 3.72E+13 6.10E+13 5.90E+13 6.87E+13 6.29E+13 6.85E+13 6.19E+13 6.08E+13 4.91E+13 4.59E+13 3.79E+13 3.40E+13 2.64E+13 2.14E+13 1.59E+13 1.29E+13 8.82E+12 6.77E+12 4.65E+12 3.20E+12 2.16E+12 1.46E+12 8.90E+11 5.78E+11 3.39E+11 2.09E+11 1.21E+11
  80.00  2.681  2.98E+17 2.06E+16 2.71E+17 2.07E+14 2.11E+14 6.19E+14 6.11E+14 1.00E+15 9.73E+14 1.14E+15 1.05E+15 1.16E+15 1.05E+15 1.04E+15 8.56E+14 8.13E+14 6.77E+14 6.16E+14 4.85E+14 4.03E+14 3.04E+14 2.52E+14 1.76E+14 1.39E+14 9.76E+13 6.92E+13 4.80E+13 3.35E+13 2.12E+13 1.43E+13 8.72E+12 5.58E+12 3.37E+12
  90.00  2.844  4.46E+18 2.99E+17 4.13E+18 2.93E+15 2.98E+15 8.79E+15 8.65E+15 1.42E+16 1.38E+16 1.64E+16 1.52E+16 1.68E+16 1.53E+16 1.54E+16 1.27E+16 1.22E+16 1.03E+16 9.47E+15 7.57E+15 6.40E+15 4.90E+15 4.12E+15 2.95E+15 2.37E+15 1.70E+15 1.24E+15 8.78E+14 6.27E+14 4.09E+14 2.83E+14 1.78E+14 1.18E+14 7.38E+13
 100.00  2.997  5.87E+19 3.83E+18 5.50E+19 3.67E+16 3.72E+16 1.09E+17 1.08E+17 1.78E+17 1.73E+17 2.07E+17 1.92E+17 2.14E+17 1.97E+17 1.99E+17 1.66E+17 1.61E+17 1.37E+17 1.27E+17 1.03E+17 8.82E+16 6.84E+16 5.83E+16 4.24E+16 3.47E+16 2.52E+16 1.88E+16 1.36E+16 9.92E+15 6.62E+15 4.70E+15 3.04E+15 2.07E+15 1.33E+15
 110.00  3.144  6.92E+20 4.41E+19 6.56E+20 4.13E+17 4.18E+17 1.23E+18 1.22E+18 2.00E+18 1.95E+18 2.35E+18 2.18E+18 2.45E+18 2.26E+18 2.30E+18 1.94E+18 1.89E+18 1.62E+18 1.52E+18 1.24E+18 1.08E+18 8.45E+17 7.29E+17 5.38E+17 4.46E+17 3.30E+17 2.50E+17 1.83E+17 1.36E+17 9.30E+16 6.73E+16 4.45E+16 3.10E+16 2.04E+16
 120.00  3.284  7.41E+21 4.62E+20 7.09E+21 4.22E+18 4.28E+18 1.26E+19 1.25E+19 2.05E+19 2.00E+19 2.43E+19 2.26E+19 2.54E+19 2.36E+19 2.42E+19 2.05E+19 2.01E+19 1.74E+19 1.65E+19 1.35E+19 1.18E+19 9.37E+18 8.19E+18 6.13E+18 5.14E+18 3.85E+18 2.96E+18 2.20E+18 1.67E+18 1.15E+18 8.50E+17 5.74E+17 4.08E+17 2.73E+17
 130.00  3.418  7.29E+22 4.45E+21 7.03E+22 3.98E+19 4.04E+19 1.19E+20 1.18E+20 1.94E+20 1.89E+20 2.31E+20 2.16E+20 2.44E+20 2.26E+20 2.34E+20 2.00E+20 1.97E+20 1.71E+20 1.63E+20 1.35E+20 1.19E+20 9.55E+19 8.37E+19 6.35E+19 5.39E+19 4.08E+19 3.18E+19 2.39E+19 1.84E+19 1.29E+19 9.70E+18 6.63E+18 4.79E+18 3.27E+18
 140.00  3.547  6.66E+23 3.99E+22 6.46E+23 3.50E+20 3.54E+20 1.05E+21 1.03E+21 1.70E+21 1.66E+21 2.04E+21 1.91E+21 2.16E+21 2.01E+21 2.10E+21 1.79E+21 1.78E+21 1.56E+21 1.49E+21 1.24E+21 1.11E+21 8.92E+20 7.93E+20 6.06E+20 5.19E+20 3.97E+20 3.13E+20 2.38E+20 1.85E+20 1.32E+20 1.00E+20 6.96E+19 5.10E+19 3.54E+19
 150.00  3.671  5.68E+24 3.34E+23 5.54E+24 2.87E+21 2.91E+21 8.61E+21 8.53E+21 1.40E+22 1.37E+22 1.68E+22 1.58E+22 1.80E+22 1.67E+22 1.76E+22 1.51E+22 1.51E+22 1.32E+22 1.28E+22 1.07E+22 9.60E+21 7.79E+21 6.97E+21 5.37E+21 4.63E+21 3.58E+21 2.85E+21 2.19E+21 1.72E+21 1.24E+21 9.56E+20 6.72E+20 4.99E+20 3.51E+20
