                    ************************************************************************************************
                    *  Z= 27 A= 59: Positive-Parity Spin-dependent Level Density [MeV-1] for Co 59 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   6.50  0.988  7.02E+02 2.52E+02 1.82E+03 2.24E+01 3.89E+01 4.62E+01 4.45E+01 3.66E+01 2.63E+01 1.68E+01 9.54E+00 4.87E+00 2.23E+00 9.25E-01 3.46E-01 1.17E-01 3.59E-02 9.98E-03 2.52E-03 5.76E-04 1.20E-04 2.26E-05 3.87E-06 6.03E-07 8.55E-08 1.10E-08 1.29E-09 1.37E-10 1.33E-11 1.18E-12 9.43E-14 6.89E-15 4.58E-16
   7.00  1.026  1.08E+03 3.73E+02 2.76E+03 3.19E+01 5.58E+01 6.69E+01 6.53E+01 5.46E+01 4.01E+01 2.62E+01 1.53E+01 8.07E+00 3.84E+00 1.66E+00 6.47E-01 2.30E-01 7.41E-02 2.18E-02 5.82E-03 1.42E-03 3.15E-04 6.37E-05 1.18E-05 1.98E-06 3.05E-07 4.27E-08 5.48E-09 6.40E-10 6.84E-11 6.67E-12 5.94E-13 4.83E-14 3.59E-15
   7.50  1.062  1.62E+03 5.49E+02 4.15E+03 4.51E+01 7.93E+01 9.60E+01 9.48E+01 8.05E+01 6.03E+01 4.03E+01 2.42E+01 1.31E+01 6.46E+00 2.89E+00 1.17E+00 4.36E-01 1.47E-01 4.55E-02 1.29E-02 3.32E-03 7.83E-04 1.69E-04 3.34E-05 6.05E-06 1.00E-06 1.52E-07 2.12E-08 2.70E-09 3.15E-10 3.37E-11 3.30E-12 2.97E-13 2.45E-14
   8.00  1.097  2.42E+03 7.99E+02 6.18E+03 6.33E+01 1.12E+02 1.36E+02 1.36E+02 1.18E+02 8.96E+01 6.11E+01 3.76E+01 2.10E+01 1.06E+01 4.92E+00 2.08E+00 8.02E-01 2.84E-01 9.18E-02 2.73E-02 7.42E-03 1.85E-03 4.25E-04 8.95E-05 1.73E-05 3.07E-06 5.02E-07 7.53E-08 1.04E-08 1.32E-09 1.53E-10 1.64E-11 1.62E-12 1.47E-13
   8.50  1.130  3.58E+03 1.15E+03 9.11E+03 8.82E+01 1.57E+02 1.93E+02 1.94E+02 1.70E+02 1.32E+02 9.16E+01 5.76E+01 3.30E+01 1.72E+01 8.22E+00 3.59E+00 1.44E+00 5.30E-01 1.79E-01 5.57E-02 1.59E-02 4.19E-03 1.02E-03 2.27E-04 4.67E-05 8.84E-06 1.54E-06 2.49E-07 3.69E-08 5.05E-09 6.37E-10 7.41E-11 7.96E-12 7.88E-13
   9.00  1.163  5.23E+03 1.66E+03 1.33E+04 1.22E+02 2.18E+02 2.70E+02 2.75E+02 2.43E+02 1.92E+02 1.36E+02 8.72E+01 5.11E+01 2.74E+01 1.35E+01 6.07E+00 2.52E+00 9.63E-01 3.39E-01 1.10E-01 3.30E-02 9.12E-03 2.33E-03 5.48E-04 1.19E-04 2.40E-05 4.47E-06 7.68E-07 1.22E-07 1.79E-08 2.44E-09 3.06E-10 3.56E-11 3.82E-12
   9.50  1.195  7.59E+03 2.36E+03 1.94E+04 1.68E+02 3.01E+02 3.76E+02 3.86E+02 3.46E+02 2.76E+02 1.99E+02 1.30E+02 7.81E+01 4.29E+01 2.17E+01 1.01E+01 4.32E+00 1.71E+00 6.25E-01 2.11E-01 6.60E-02 1.91E-02 5.12E-03 1.27E-03 2.91E-04 6.20E-05 1.22E-05 2.23E-06 3.78E-07 5.93E-08 8.64E-09 1.17E-09 1.46E-10 1.69E-11
  10.00  1.226  1.09E+04 3.33E+03 2.79E+04 2.31E+02 4.14E+02 5.19E+02 5.39E+02 4.88E+02 3.95E+02 2.89E+02 1.93E+02 1.18E+02 6.63E+01 3.43E+01 1.64E+01 7.25E+00 2.97E+00 1.12E+00 3.94E-01 1.28E-01 3.87E-02 1.08E-02 2.82E-03 6.81E-04 1.53E-04 3.18E-05 6.15E-06 1.10E-06 1.85E-07 2.86E-08 4.13E-09 5.55E-10 6.92E-11
  11.00  1.286  2.41E+04 6.57E+03 5.67E+04 4.31E+02 7.79E+02 9.86E+02 1.04E+03 9.55E+02 7.89E+02 5.92E+02 4.07E+02 2.57E+02 1.50E+02 8.10E+01 4.05E+01 1.88E+01 8.10E+00 3.25E+00 1.21E+00 4.20E-01 1.36E-01 4.08E-02 1.14E-02 2.99E-03 7.29E-04 1.66E-04 3.51E-05 6.94E-06 1.28E-06 2.20E-07 3.54E-08 5.30E-09 7.42E-10
  12.00  1.343  4.95E+04 1.27E+04 1.13E+05 7.98E+02 1.45E+03 1.85E+03 1.96E+03 1.83E+03 1.54E+03 1.18E+03 8.28E+02 5.37E+02 3.22E+02 1.80E+02 9.29E+01 4.48E+01 2.01E+01 8.41E+00 3.28E+00 1.20E+00 4.08E-01 1.30E-01 3.85E-02 1.07E-02 2.78E-03 6.77E-04 1.54E-04 3.28E-05 6.52E-06 1.22E-06 2.12E-07 3.46E-08 5.28E-09
  13.00  1.398  9.77E+04 2.41E+04 2.18E+05 1.45E+03 2.65E+03 3.40E+03 3.65E+03 3.45E+03 2.94E+03 2.29E+03 1.64E+03 1.09E+03 6.69E+02 3.83E+02 2.04E+02 1.02E+02 4.73E+01 2.06E+01 8.38E+00 3.19E+00 1.14E+00 3.80E-01 1.19E-01 3.49E-02 9.60E-03 2.48E-03 5.99E-04 1.36E-04 2.90E-05 5.79E-06 1.09E-06 1.91E-07 3.16E-08
  14.00  1.451  1.88E+05 4.49E+04 4.15E+05 2.61E+03 4.77E+03 6.16E+03 6.66E+03 6.36E+03 5.49E+03 4.34E+03 3.17E+03 2.14E+03 1.35E+03 7.91E+02 4.34E+02 2.22E+02 1.07E+02 4.81E+01 2.03E+01 8.03E+00 2.98E+00 1.04E+00 3.41E-01 1.05E-01 3.04E-02 8.27E-03 2.11E-03 5.08E-04 1.15E-04 2.44E-05 4.89E-06 9.20E-07 1.63E-07
  15.00  1.502  3.52E+05 8.22E+04 7.76E+05 4.61E+03 8.46E+03 1.10E+04 1.20E+04 1.15E+04 1.01E+04 8.08E+03 5.99E+03 4.12E+03 2.65E+03 1.59E+03 8.92E+02 4.70E+02 2.32E+02 1.08E+02 4.69E+01 1.92E+01 7.41E+00 2.69E+00 9.19E-01 2.95E-01 8.94E-02 2.55E-02 6.86E-03 1.74E-03 4.14E-04 9.32E-05 1.97E-05 3.95E-06 7.44E-07
  16.00  1.551  6.48E+05 1.48E+05 1.43E+06 8.05E+03 1.48E+04 1.93E+04 2.12E+04 2.06E+04 1.82E+04 1.48E+04 1.11E+04 7.77E+03 5.08E+03 3.11E+03 1.78E+03 9.62E+02 4.88E+02 2.33E+02 1.04E+02 4.42E+01 1.76E+01 6.62E+00 2.34E+00 7.84E-01 2.47E-01 7.36E-02 2.07E-02 5.49E-03 1.38E-03 3.25E-04 7.27E-05 1.53E-05 3.06E-06
  17.00  1.598  1.18E+06 2.63E+05 2.58E+06 1.39E+04 2.56E+04 3.35E+04 3.70E+04 3.62E+04 3.23E+04 2.65E+04 2.02E+04 1.43E+04 9.54E+03 5.94E+03 3.48E+03 1.92E+03 9.95E+02 4.87E+02 2.24E+02 9.77E+01 4.01E+01 1.56E+01 5.71E+00 1.98E+00 6.48E-01 2.01E-01 5.87E-02 1.63E-02 4.26E-03 1.05E-03 2.47E-04 5.48E-05 1.15E-05
  18.00  1.645  2.10E+06 4.62E+05 4.59E+06 2.36E+04 4.37E+04 5.75E+04 6.38E+04 6.29E+04 5.66E+04 4.69E+04 3.62E+04 2.60E+04 1.76E+04 1.11E+04 6.64E+03 3.73E+03 1.98E+03 9.90E+02 4.68E+02 2.09E+02 8.84E+01 3.53E+01 1.34E+01 4.78E+00 1.62E+00 5.19E-01 1.58E-01 4.54E-02 1.24E-02 3.20E-03 7.83E-04 1.82E-04 3.99E-05
  19.00  1.690  3.70E+06 8.00E+05 8.08E+06 3.98E+04 7.38E+04 9.74E+04 1.09E+05 1.08E+05 9.78E+04 8.19E+04 6.38E+04 4.65E+04 3.18E+04 2.05E+04 1.24E+04 7.11E+03 3.84E+03 1.96E+03 9.50E+02 4.35E+02 1.88E+02 7.73E+01 3.01E+01 1.11E+01 3.88E+00 1.29E+00 4.04E-01 1.21E-01 3.41E-02 9.16E-03 2.33E-03 5.64E-04 1.29E-04
  20.00  1.734  6.44E+06 1.37E+06 1.40E+07 6.64E+04 1.23E+05 1.63E+05 1.83E+05 1.83E+05 1.67E+05 1.41E+05 1.11E+05 8.19E+04 5.67E+04 3.70E+04 2.28E+04 1.33E+04 7.31E+03 3.81E+03 1.88E+03 8.80E+02 3.90E+02 1.64E+02 6.56E+01 2.49E+01 8.95E+00 3.06E+00 9.92E-01 3.06E-01 8.95E-02 2.49E-02 6.58E-03 1.65E-03 3.95E-04
  22.50  1.839  3.15E+07 5.01E+06 5.31E+07 2.29E+05 4.27E+05 5.70E+05 6.45E+05 6.53E+05 6.06E+05 5.22E+05 4.20E+05 3.18E+05 2.26E+05 1.52E+05 9.71E+04 5.86E+04 3.36E+04 1.83E+04 9.44E+03 4.64E+03 2.17E+03 9.63E+02 4.08E+02 1.64E+02 6.29E+01 2.30E+01 7.99E+00 2.65E+00 8.36E-01 2.51E-01 7.21E-02 1.97E-02 5.13E-03
  25.00  1.938  1.18E+08 1.73E+07 1.89E+08 7.48E+05 1.40E+06 1.88E+06 2.15E+06 2.20E+06 2.07E+06 1.81E+06 1.48E+06 1.15E+06 8.37E+05 5.78E+05 3.79E+05 2.36E+05 1.40E+05 7.89E+04 4.24E+04 2.17E+04 1.06E+04 4.93E+03 2.19E+03 9.27E+02 3.75E+02 1.45E+02 5.34E+01 1.88E+01 6.33E+00 2.03E+00 6.24E-01 1.83E-01 5.13E-02
  30.00  2.123  1.89E+09 1.77E+08 2.03E+09 6.98E+06 1.31E+07 1.78E+07 2.06E+07 2.15E+07 2.07E+07 1.86E+07 1.57E+07 1.25E+07 9.50E+06 6.85E+06 4.70E+06 3.08E+06 1.93E+06 1.15E+06 6.57E+05 3.59E+05 1.88E+05 9.42E+04 4.52E+04 2.08E+04 9.17E+03 3.87E+03 1.57E+03 6.09E+02 2.27E+02 8.10E+01 2.78E+01 9.12E+00 2.88E+00
