                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   9.50  0.888  8.09E+05 3.80E+05 4.11E+06 1.02E+04 2.89E+04 4.33E+04 5.16E+04 5.34E+04 4.99E+04 4.27E+04 3.38E+04 2.49E+04 1.71E+04 1.10E+04 6.69E+03 3.81E+03 2.04E+03 1.03E+03 4.92E+02 2.21E+02 9.39E+01 3.77E+01 1.43E+01 5.11E+00 1.73E+00 5.53E-01 1.67E-01 4.79E-02 1.30E-02 3.32E-03 8.05E-04 1.85E-04 4.01E-05
  10.00  0.911  1.50E+06 6.90E+05 7.58E+06 1.78E+04 5.08E+04 7.63E+04 9.14E+04 9.54E+04 8.99E+04 7.78E+04 6.23E+04 4.66E+04 3.26E+04 2.14E+04 1.32E+04 7.70E+03 4.23E+03 2.19E+03 1.07E+03 4.97E+02 2.18E+02 9.02E+01 3.54E+01 1.31E+01 4.62E+00 1.54E+00 4.85E-01 1.45E-01 4.11E-02 1.10E-02 2.81E-03 6.78E-04 1.55E-04
  11.00  0.956  5.83E+06 2.17E+06 2.46E+07 5.27E+04 1.50E+05 2.27E+05 2.75E+05 2.91E+05 2.78E+05 2.45E+05 2.01E+05 1.54E+05 1.11E+05 7.51E+04 4.80E+04 2.90E+04 1.66E+04 8.99E+03 4.62E+03 2.25E+03 1.04E+03 4.55E+02 1.89E+02 7.49E+01 2.81E+01 1.00E+01 3.40E+00 1.10E+00 3.36E-01 9.80E-02 2.72E-02 7.16E-03 1.79E-03
  12.00  0.998  1.87E+07 6.43E+06 7.49E+07 1.48E+05 4.24E+05 6.44E+05 7.84E+05 8.38E+05 8.13E+05 7.28E+05 6.07E+05 4.75E+05 3.50E+05 2.44E+05 1.60E+05 1.00E+05 5.92E+04 3.33E+04 1.78E+04 9.02E+03 4.36E+03 2.00E+03 8.76E+02 3.65E+02 1.45E+02 5.48E+01 1.97E+01 6.78E+00 2.22E+00 6.92E-01 2.06E-01 5.84E-02 1.58E-02
  13.00  1.039  5.50E+07 1.82E+07 2.17E+08 3.98E+05 1.14E+06 1.74E+06 2.14E+06 2.31E+06 2.26E+06 2.05E+06 1.74E+06 1.39E+06 1.04E+06 7.42E+05 5.00E+05 3.21E+05 1.95E+05 1.13E+05 6.25E+04 3.29E+04 1.65E+04 7.90E+03 3.61E+03 1.57E+03 6.53E+02 2.60E+02 9.84E+01 3.57E+01 1.23E+01 4.08E+00 1.29E+00 3.90E-01 1.12E-01
  14.00  1.078  1.54E+08 4.92E+07 6.01E+08 1.03E+06 2.97E+06 4.54E+06 5.61E+06 6.09E+06 6.03E+06 5.54E+06 4.76E+06 3.85E+06 2.95E+06 2.14E+06 1.47E+06 9.66E+05 6.04E+05 3.60E+05 2.04E+05 1.11E+05 5.75E+04 2.85E+04 1.35E+04 6.11E+03 2.65E+03 1.10E+03 4.35E+02 1.65E+02 6.00E+01 2.09E+01 6.95E+00 2.22E+00 6.76E-01
  15.00  1.116  4.10E+08 1.28E+08 1.60E+09 2.58E+06 7.44E+06 1.14E+07 1.42E+07 1.55E+07 1.55E+07 1.44E+07 1.25E+07 1.03E+07 7.96E+06 5.88E+06 4.13E+06 2.76E+06 1.76E+06 1.08E+06 6.28E+05 3.50E+05 1.87E+05 9.54E+04 4.67E+04 2.19E+04 9.82E+03 4.22E+03 1.74E+03 6.89E+02 2.61E+02 9.49E+01 3.31E+01 1.11E+01 3.55E+00
  16.00  1.153  1.06E+09 3.24E+08 4.12E+09 6.28E+06 1.81E+07 2.79E+07 3.48E+07 3.83E+07 3.85E+07 3.60E+07 3.17E+07 2.63E+07 2.07E+07 1.55E+07 1.11E+07 7.55E+06 4.92E+06 3.06E+06 1.83E+06 1.04E+06 5.71E+05 3.00E+05 1.51E+05 7.29E+04 3.38E+04 1.50E+04 6.41E+03 2.63E+03 1.03E+03 3.91E+02 1.42E+02 4.95E+01 1.66E+01
  17.00  1.188  2.65E+09 7.94E+08 1.03E+10 1.48E+07 4.29E+07 6.63E+07 8.29E+07 9.17E+07 9.29E+07 8.77E+07 7.78E+07 6.53E+07 5.20E+07 3.95E+07 2.86E+07 1.98E+07 1.31E+07 8.34E+06 5.08E+06 2.96E+06 1.66E+06 8.92E+05 4.61E+05 2.29E+05 1.09E+05 4.99E+04 2.20E+04 9.30E+03 3.79E+03 1.48E+03 5.58E+02 2.02E+02 7.04E+01
  18.00  1.223  6.43E+09 1.89E+09 2.49E+10 3.42E+07 9.90E+07 1.53E+08 1.93E+08 2.14E+08 2.18E+08 2.07E+08 1.86E+08 1.57E+08 1.27E+08 9.74E+07 7.15E+07 5.02E+07 3.38E+07 2.18E+07 1.35E+07 8.06E+06 4.61E+06 2.53E+06 1.34E+06 6.80E+05 3.33E+05 1.56E+05 7.08E+04 3.09E+04 1.30E+04 5.23E+03 2.04E+03 7.62E+02 2.75E+02
