                    ************************************************************************************************
                    *  Z= 21 A= 45: Positive-Parity Spin-dependent Level Density [MeV-1] for Sc 45 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   7.00  0.955  1.21E+03 3.83E+02 2.38E+03 4.35E+01 7.26E+01 8.05E+01 7.03E+01 5.11E+01 3.15E+01 1.68E+01 7.75E+00 3.12E+00 1.10E+00 3.41E-01 9.28E-02 2.22E-02 4.69E-03 8.72E-04 1.43E-04 2.07E-05 2.65E-06 3.00E-07 2.99E-08 2.64E-09 2.06E-10 1.42E-11 8.70E-13 4.70E-14 2.25E-15 9.52E-17 3.56E-18 1.18E-19 3.47E-21
   7.50  0.989  1.77E+03 5.53E+02 3.49E+03 6.15E+01 1.03E+02 1.15E+02 1.02E+02 7.46E+01 4.68E+01 2.53E+01 1.19E+01 4.93E+00 1.78E+00 5.68E-01 1.59E-01 3.95E-02 8.65E-03 1.67E-03 2.86E-04 4.34E-05 5.82E-06 6.92E-07 7.29E-08 6.81E-09 5.64E-10 4.14E-11 2.70E-12 1.56E-13 7.98E-15 3.63E-16 1.47E-17 5.25E-19 1.67E-20
   8.00  1.021  2.56E+03 7.98E+02 5.10E+03 8.70E+01 1.46E+02 1.64E+02 1.46E+02 1.09E+02 6.92E+01 3.81E+01 1.83E+01 7.73E+00 2.87E+00 9.40E-01 2.72E-01 6.96E-02 1.58E-02 3.17E-03 5.65E-04 8.93E-05 1.25E-05 1.56E-06 1.73E-07 1.71E-08 1.50E-09 1.17E-10 8.07E-12 4.97E-13 2.72E-14 1.33E-15 5.75E-17 2.22E-18 7.63E-20
   8.50  1.053  3.72E+03 1.15E+03 7.46E+03 1.23E+02 2.08E+02 2.35E+02 2.11E+02 1.59E+02 1.02E+02 5.73E+01 2.81E+01 1.21E+01 4.60E+00 1.54E+00 4.60E-01 1.21E-01 2.85E-02 5.93E-03 1.10E-03 1.81E-04 2.66E-05 3.47E-06 4.04E-07 4.19E-08 3.87E-09 3.19E-10 2.34E-11 1.53E-12 8.94E-14 4.66E-15 2.16E-16 8.96E-18 3.31E-19
   9.00  1.083  5.38E+03 1.67E+03 1.09E+04 1.74E+02 2.95E+02 3.36E+02 3.04E+02 2.31E+02 1.51E+02 8.59E+01 4.28E+01 1.88E+01 7.32E+00 2.52E+00 7.72E-01 2.10E-01 5.08E-02 1.10E-02 2.11E-03 3.61E-04 5.53E-05 7.55E-06 9.20E-07 1.00E-07 9.75E-09 8.47E-10 6.58E-11 4.57E-12 2.83E-13 1.57E-14 7.80E-16 3.46E-17 1.37E-18
   9.50  1.113  7.79E+03 2.41E+03 1.59E+04 2.47E+02 4.20E+02 4.80E+02 4.38E+02 3.37E+02 2.23E+02 1.29E+02 6.52E+01 2.92E+01 1.16E+01 4.10E+00 1.29E+00 3.60E-01 9.00E-02 2.01E-02 4.00E-03 7.12E-04 1.13E-04 1.61E-05 2.06E-06 2.35E-07 2.40E-08 2.20E-09 1.80E-10 1.32E-11 8.69E-13 5.13E-14 2.71E-15 1.28E-16 5.44E-18
  10.00  1.142  1.13E+04 3.48E+03 2.33E+04 3.50E+02 5.96E+02 6.86E+02 6.31E+02 4.89E+02 3.28E+02 1.92E+02 9.90E+01 4.52E+01 1.83E+01 6.62E+00 2.13E+00 6.14E-01 1.58E-01 3.64E-02 7.49E-03 1.38E-03 2.29E-04 3.40E-05 4.52E-06 5.40E-07 5.78E-08 5.56E-09 4.80E-10 3.72E-11 2.59E-12 1.62E-13 9.07E-15 4.57E-16 2.07E-17
  11.00  1.197  2.55E+04 7.12E+03 4.93E+04 6.81E+02 1.17E+03 1.37E+03 1.28E+03 1.02E+03 7.04E+02 4.27E+02 2.30E+02 1.10E+02 4.70E+01 1.80E+01 6.18E+00 1.90E+00 5.28E-01 1.32E-01 2.96E-02 5.98E-03 1.09E-03 1.79E-04 2.65E-05 3.55E-06 4.28E-07 4.66E-08 4.58E-09 4.07E-10 3.26E-11 2.36E-12 1.54E-13 9.09E-15 4.84E-16
  12.00  1.251  5.37E+04 1.41E+04 1.00E+05 1.29E+03 2.23E+03 2.64E+03 2.51E+03 2.04E+03 1.45E+03 9.05E+02 5.05E+02 2.51E+02 1.12E+02 4.53E+01 1.64E+01 5.37E+00 1.59E+00 4.24E-01 1.02E-01 2.24E-02 4.44E-03 7.97E-04 1.30E-04 1.91E-05 2.55E-06 3.09E-07 3.40E-08 3.39E-09 3.06E-10 2.51E-11 1.87E-12 1.26E-13 7.76E-15
  13.00  1.302  1.08E+05 2.71E+04 1.98E+05 2.38E+03 4.14E+03 4.94E+03 4.78E+03 3.95E+03 2.87E+03 1.84E+03 1.06E+03 5.46E+02 2.54E+02 1.07E+02 4.06E+01 1.40E+01 4.37E+00 1.24E+00 3.19E-01 7.47E-02 1.59E-02 3.08E-03 5.42E-04 8.69E-05 1.27E-05 1.69E-06 2.04E-07 2.25E-08 2.26E-09 2.07E-10 1.72E-11 1.31E-12 9.05E-14
