                    ************************************************************************************************
                    *  Z= 21 A= 46: Positive-Parity Spin-dependent Level Density [MeV-1] for Sc 46 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   8.50  1.061  1.47E+04 7.23E+02 1.50E+04 2.52E+01 7.17E+01 1.11E+02 1.38E+02 1.52E+02 1.52E+02 1.38E+02 1.21E+02 9.82E+01 7.65E+01 5.49E+01 3.69E+01 2.21E+01 1.27E+01 5.60E+00 7.70E+00 3.43E+00 1.24E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  1.091  1.98E+04 3.77E+02 7.60E+04 1.05E+02 3.03E+02 4.74E+02 6.03E+02 6.80E+02 6.99E+02 6.58E+02 5.96E+02 5.07E+02 4.06E+02 3.04E+02 2.20E+02 1.47E+02 9.26E+01 5.38E+01 2.89E+01 1.32E+01 4.93E+00 1.07E+00 1.28E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  1.121  2.77E+04 2.84E+03 1.17E+05 1.53E+02 4.42E+02 6.89E+02 8.78E+02 9.91E+02 1.02E+03 1.03E+03 9.38E+02 8.04E+02 6.51E+02 4.96E+02 3.26E+02 2.20E+02 1.40E+02 8.18E+01 4.54E+01 2.17E+01 8.85E+00 2.41E+00 3.37E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  1.150  3.60E+04 6.97E+03 8.72E+04 1.11E+02 3.20E+02 4.96E+02 6.28E+02 7.03E+02 7.20E+02 8.33E+02 7.54E+02 6.44E+02 5.25E+02 4.05E+02 2.06E+02 1.37E+02 8.50E+01 4.85E+01 2.74E+01 1.34E+01 5.51E+00 1.80E+00 3.88E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.207  6.56E+04 3.81E+03 1.90E+05 9.31E+01 2.58E+02 3.96E+02 5.00E+02 5.55E+02 5.58E+02 2.51E+03 2.29E+03 1.98E+03 1.62E+03 1.26E+03 2.07E+02 1.44E+02 9.10E+01 5.32E+01 3.02E+01 1.55E+01 7.00E+00 2.78E+00 9.86E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.260  1.18E+05 1.29E+04 4.09E+05 3.60E+02 1.03E+03 1.60E+03 2.05E+03 2.31E+03 2.39E+03 4.30E+03 3.95E+03 3.42E+03 2.80E+03 2.17E+03 9.05E+02 6.28E+02 4.08E+02 2.48E+02 1.43E+02 7.54E+01 3.59E+01 1.42E+01 6.15E+00 8.82E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  13.00  1.312  1.87E+05 2.55E+04 4.25E+05 5.40E+02 1.56E+03 2.44E+03 3.10E+03 3.51E+03 3.64E+03 3.53E+03 3.22E+03 2.77E+03 2.26E+03 1.75E+03 1.30E+03 9.04E+02 5.95E+02 3.70E+02 2.15E+02 1.16E+02 5.81E+01 2.51E+01 9.33E+00 2.30E+00 1.05E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.361  2.90E+05 1.89E+04 5.46E+05 6.43E+02 1.87E+03 2.94E+03 3.74E+03 4.26E+03 4.45E+03 4.36E+03 4.02E+03 3.50E+03 2.90E+03 2.30E+03 1.73E+03 1.24E+03 8.43E+02 5.42E+02 3.28E+02 1.87E+02 9.89E+01 4.56E+01 1.78E+01 5.13E+00 7.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.409  4.64E+05 2.90E+04 1.14E+06 1.26E+03 3.67E+03 5.79E+03 7.42E+03 8.52E+03 9.00E+03 8.91E+03 8.31E+03 7.33E+03 6.15E+03 4.91E+03 3.74E+03 2.70E+03 1.85E+03 1.20E+03 7.37E+02 4.27E+02 2.29E+02 1.12E+02 4.73E+01 1.61E+01 5.17E+00 1.01E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.455  7.02E+05 6.60E+04 1.19E+06 1.32E+03 3.84E+03 6.00E+03 7.68E+03 8.74E+03 9.20E+03 9.09E+03 8.51E+03 7.57E+03 6.41E+03 5.15E+03 3.95E+03 2.88E+03 1.98E+03 1.28E+03 7.81E+02 4.41E+02 2.26E+02 1.03E+02 5.65E+01 2.15E+01 6.35E+00 1.28E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  17.00  1.500  9.31E+05 4.80E+04 1.25E+06 1.52E+03 4.37E+03 6.81E+03 8.64E+03 9.71E+03 1.00E+04 9.79E+03 9.05E+03 7.96E+03 6.72E+03 5.36E+03 4.04E+03 2.86E+03 1.99E+03 1.28E+03 7.67E+02 4.26E+02 2.16E+02 9.30E+01 6.06E+01 2.05E+01 5.21E+00 6.19E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  18.00  1.543  1.27E+06 5.98E+04 2.07E+06 2.55E+03 7.40E+03 1.16E+04 1.47E+04 1.65E+04 1.72E+04 1.66E+04 1.53E+04 1.33E+04 1.11E+04 8.77E+03 6.56E+03 4.62E+03 3.13E+03 1.97E+03 1.16E+03 6.33E+02 3.18E+02 1.39E+02 6.38E+01 1.89E+01 3.89E+00 1.18E-01 6.55E-04 1.29E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  19.00  1.586  1.82E+06 1.11E+05 3.14E+06 3.43E+03 9.99E+03 1.57E+04 2.03E+04 2.32E+04 2.45E+04 2.41E+04 2.25E+04 1.99E+04 1.69E+04 1.35E+04 1.04E+04 7.56E+03 5.23E+03 3.43E+03 2.14E+03 1.25E+03 6.38E+02 3.01E+02 1.23E+02 4.12E+01 1.31E+01 4.33E+00 1.34E+00 1.97E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  20.00  1.627  2.63E+06 1.45E+05 4.64E+06 4.78E+03 1.39E+04 2.20E+04 2.84E+04 3.26E+04 3.46E+04 3.44E+04 3.25E+04 2.90E+04 2.48E+04 2.02E+04 1.57E+04 1.16E+04 8.18E+03 5.50E+03 3.53E+03 2.14E+03 1.12E+03 5.53E+02 2.39E+02 9.02E+01 3.53E+01 1.01E+01 3.07E+00 6.60E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
