                    ************************************************************************************************
                    *  Z= 22 A= 47: Positive-Parity Spin-dependent Level Density [MeV-1] for Ti 47 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  10.00  1.167  1.86E+05 2.25E+03 1.81E+05 5.04E+02 9.54E+02 1.29E+03 1.51E+03 1.59E+03 1.56E+03 1.45E+03 1.29E+03 1.09E+03 8.80E+02 6.70E+02 4.79E+02 4.59E+02 2.94E+02 1.79E+02 1.05E+02 5.14E+01 2.53E+01 1.05E+01 1.95E+00 3.23E+00 1.16E+00 2.94E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.224  2.92E+05 1.99E+03 9.71E+05 1.67E+03 3.21E+03 4.61E+03 5.73E+03 6.47E+03 6.81E+03 6.72E+03 6.21E+03 5.47E+03 4.57E+03 3.66E+03 2.81E+03 3.49E+03 2.39E+03 1.54E+03 9.32E+02 5.22E+02 2.81E+02 1.42E+02 6.53E+01 2.68E+01 8.81E+00 2.26E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.278  5.06E+05 1.08E+04 1.41E+06 2.93E+03 5.64E+03 8.05E+03 9.96E+03 1.11E+04 1.15E+04 1.12E+04 1.03E+04 9.07E+03 7.59E+03 6.08E+03 4.64E+03 3.12E+03 2.03E+03 1.22E+03 6.79E+02 4.84E+02 2.45E+02 1.12E+02 4.53E+01 1.45E+01 2.47E+00 7.55E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  13.00  1.331  8.59E+05 7.00E+03 1.99E+06 4.32E+03 8.28E+03 1.16E+04 1.40E+04 1.55E+04 1.59E+04 1.54E+04 1.42E+04 1.24E+04 1.03E+04 8.19E+03 6.21E+03 4.47E+03 3.09E+03 2.04E+03 1.30E+03 7.88E+02 4.58E+02 2.54E+02 1.30E+02 6.43E+01 2.96E+01 1.24E+01 5.21E+00 1.73E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.381  1.40E+06 3.18E+04 5.57E+06 1.26E+04 2.42E+04 3.35E+04 4.01E+04 4.38E+04 4.45E+04 4.29E+04 3.92E+04 3.44E+04 2.87E+04 2.30E+04 1.76E+04 1.28E+04 8.83E+03 5.77E+03 3.58E+03 2.07E+03 1.12E+03 5.61E+02 2.60E+02 1.08E+02 3.97E+01 1.22E+01 2.42E+00 8.30E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.429  1.75E+06 4.89E+04 2.56E+06 6.07E+03 1.16E+04 1.61E+04 1.93E+04 2.10E+04 2.12E+04 2.03E+04 1.85E+04 1.60E+04 1.32E+04 1.04E+04 7.80E+03 5.56E+03 3.76E+03 2.41E+03 1.46E+03 8.41E+02 4.58E+02 2.32E+02 1.18E+02 5.70E+01 2.38E+01 1.08E+01 2.99E+00 5.51E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.476  2.70E+06 6.70E+04 6.53E+06 1.43E+04 2.73E+04 3.83E+04 4.59E+04 5.05E+04 5.14E+04 4.97E+04 4.57E+04 3.99E+04 3.35E+04 2.70E+04 2.07E+04 1.51E+04 1.06E+04 7.03E+03 4.47E+03 2.70E+03 1.55E+03 8.44E+02 4.33E+02 2.05E+02 9.30E+01 4.26E+01 1.70E+01 6.07E+00 8.56E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  17.00  1.522  3.81E+06 1.84E+05 9.95E+06 2.39E+04 4.57E+04 6.33E+04 7.58E+04 8.22E+04 8.32E+04 7.95E+04 7.19E+04 6.21E+04 5.14E+04 4.04E+04 3.03E+04 2.15E+04 1.46E+04 9.32E+03 5.60E+03 3.18E+03 1.68E+03 8.24E+02 3.69E+02 1.56E+02 6.73E+01 2.94E+01 1.27E+01 4.55E+00 4.18E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  18.00  1.566  5.50E+06 8.40E+04 1.44E+07 3.28E+04 6.27E+04 8.72E+04 1.05E+05 1.14E+05 1.16E+05 1.12E+05 1.02E+05 8.91E+04 7.43E+04 5.91E+04 4.50E+04 3.25E+04 2.24E+04 1.46E+04 9.04E+03 5.29E+03 2.90E+03 1.48E+03 6.94E+02 3.09E+02 1.34E+02 5.84E+01 2.46E+01 9.15E+00 3.45E+00 7.83E-01 1.00E-30 1.00E-30 1.00E-30
  19.00  1.609  8.08E+06 2.04E+05 2.09E+07 4.48E+04 8.60E+04 1.20E+05 1.45E+05 1.59E+05 1.63E+05 1.58E+05 1.45E+05 1.28E+05 1.07E+05 8.65E+04 6.66E+04 4.90E+04 3.44E+04 2.29E+04 1.46E+04 8.81E+03 5.00E+03 2.66E+03 1.30E+03 6.12E+02 2.69E+02 1.16E+02 4.78E+01 1.84E+01 6.61E+00 1.60E+00 1.00E-30 1.00E-30 1.00E-30
  20.00  1.651  1.17E+07 3.14E+05 2.95E+07 6.19E+04 1.19E+05 1.66E+05 2.01E+05 2.21E+05 2.28E+05 2.21E+05 2.04E+05 1.80E+05 1.52E+05 1.23E+05 9.48E+04 7.02E+04 4.96E+04 3.34E+04 2.15E+04 1.32E+04 7.60E+03 4.13E+03 1.82E+03 9.83E+02 4.28E+02 1.73E+02 6.71E+01 2.41E+01 8.87E+00 2.21E+00 1.00E-30 1.00E-30 1.00E-30
  22.50  1.751  3.06E+07 7.15E+05 6.44E+07 1.38E+05 2.65E+05 3.71E+05 4.49E+05 4.93E+05 5.05E+05 4.90E+05 4.50E+05 3.94E+05 3.32E+05 2.66E+05 2.04E+05 1.50E+05 1.06E+05 7.10E+04 4.56E+04 2.79E+04 1.61E+04 8.77E+03 2.46E+03 2.03E+03 8.46E+02 2.60E+02 8.26E+01 2.16E+01 1.37E+01 3.43E+00 1.18E-01 1.00E-30 1.00E-30
  25.00  1.845  6.98E+07 1.53E+06 1.31E+08 2.72E+05 5.21E+05 7.31E+05 8.85E+05 9.76E+05 1.00E+06 9.75E+05 9.01E+05 7.93E+05 6.69E+05 5.39E+05 4.18E+05 3.09E+05 2.20E+05 1.50E+05 9.79E+04 6.10E+04 3.61E+04 2.02E+04 8.22E+03 5.22E+03 2.37E+03 6.08E+02 2.06E+02 6.36E+01 2.68E+01 6.82E+00 7.43E-01 1.00E-30 1.00E-30
  30.00  2.021  3.80E+08 5.59E+06 4.90E+08 1.01E+06 1.94E+06 2.72E+06 3.29E+06 3.63E+06 3.74E+06 3.64E+06 3.37E+06 2.97E+06 2.51E+06 2.02E+06 1.57E+06 1.17E+06 8.33E+05 5.71E+05 3.74E+05 2.35E+05 1.40E+05 7.95E+04 4.28E+04 2.16E+04 1.03E+04 2.78E+03 1.03E+03 3.76E+02 1.21E+02 3.41E+01 3.79E+01 1.12E+01 2.11E-01
  40.00  2.334  9.16E+09 5.97E+07 6.08E+09 1.28E+07 2.47E+07 3.45E+07 4.18E+07 4.60E+07 4.73E+07 4.58E+07 4.22E+07 3.71E+07 3.12E+07 2.51E+07 1.93E+07 1.42E+07 1.01E+07 6.78E+06 4.37E+06 2.68E+06 1.56E+06 8.62E+05 4.46E+05 2.16E+05 9.78E+04 4.15E+04 1.65E+04 6.20E+03 2.17E+03 6.84E+02 2.02E+02 4.90E+01 1.64E+00
